Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,N/A,2,7,0.04451107978820801
1,GBFS,h1,2,7,0.043999671936035156
1,GBFS,h2,2,10,0.0625143051147461
1,GBFS,h3,2,7,0.043076276779174805
1,GBFS,h4,2,7,0.04399847984313965
1,A/A*,h1,2,7,0.0429997444152832
1,A/A*,h2,2,10,0.06303143501281738
1,A/A*,h3,2,7,0.04399824142456055
1,A/A*,h4,2,7,0.04600071907043457
2,UCS,N/A,17,5214,61.84442949295044
2,GBFS,h1,17,4140,51.140175342559814
2,GBFS,h2,17,4579,52.63061571121216
2,GBFS,h3,17,2568,29.41754913330078
2,GBFS,h4,18,3818,48.69483160972595
2,A/A*,h1,17,4140,51.2244508266449
2,A/A*,h2,17,4579,52.33416962623596
2,A/A*,h3,17,2568,29.43256449699402
2,A/A*,h4,18,3818,48.539605379104614
3,UCS,N/A,No solution,156,0.9295198917388916
3,GBFS,h1,No solution,173,1.0854260921478271
3,GBFS,h2,No solution,161,1.0296630859375
3,GBFS,h3,No solution,192,1.2058491706848145
3,GBFS,h4,No solution,177,1.1434924602508545
3,A/A*,h1,No solution,173,1.10003662109375
3,A/A*,h2,No solution,161,1.0229063034057617
3,A/A*,h3,No solution,192,1.2216386795043945
3,A/A*,h4,No solution,177,1.1339149475097656
4,UCS,N/A,No solution,353,2.1005945205688477
4,GBFS,h1,No solution,353,2.1784636974334717
4,GBFS,h2,No solution,353,2.1839945316314697
4,GBFS,h3,No solution,353,2.2281742095947266
4,GBFS,h4,No solution,353,2.1763954162597656
4,A/A*,h1,No solution,353,2.222320795059204
4,A/A*,h2,No solution,353,2.180089235305786
4,A/A*,h3,No solution,353,2.209152936935425
4,A/A*,h4,No solution,353,2.2234489917755127
5,UCS,N/A,32,825,3.3716495037078857
5,GBFS,h1,32,605,2.5950465202331543
5,GBFS,h2,34,657,2.9075958728790283
5,GBFS,h3,34,580,2.5080296993255615
5,GBFS,h4,36,632,2.844153881072998
5,A/A*,h1,32,605,2.552626609802246
5,A/A*,h2,34,657,2.86934232711792
5,A/A*,h3,34,580,2.482024908065796
5,A/A*,h4,36,632,2.779993772506714
