Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,N/A,15,434,3.567560911178589
1,GBFS,h1,15,390,2.996070623397827
1,GBFS,h2,15,415,3.1116702556610107
1,GBFS,h3,15,344,2.8464417457580566
1,GBFS,h4,16,379,3.1627137660980225
1,A/A*,h1,15,412,3.616602659225464
1,A/A*,h2,15,432,3.8988449573516846
1,A/A*,h3,15,379,3.4344475269317627
1,A/A*,h4,15,375,3.4034204483032227
2,UCS,N/A,No solution,1302,17.58458709716797
2,GBFS,h1,No solution,1302,15.993221759796143
2,GBFS,h2,No solution,1302,15.388202667236328
2,GBFS,h3,No solution,1302,17.05263066291809
2,GBFS,h4,No solution,1302,16.615756034851074
2,A/A*,h1,No solution,1516,20.99601459503174
2,A/A*,h2,No solution,1345,19.076367378234863
2,A/A*,h3,No solution,1730,25.35525417327881
2,A/A*,h4,No solution,1570,24.122697114944458
3,UCS,N/A,No solution,1674,25.441827297210693
3,GBFS,h1,No solution,1674,21.74015235900879
3,GBFS,h2,No solution,1674,21.98936629295349
3,GBFS,h3,No solution,1674,21.907296419143677
3,GBFS,h4,No solution,1674,21.043554544448853
3,A/A*,h1,No solution,1918,28.195691108703613
3,A/A*,h2,No solution,1869,25.762603759765625
3,A/A*,h3,No solution,2079,31.710206985473633
3,A/A*,h4,No solution,2120,31.881853580474854
4,UCS,N/A,4,346,11.033966779708862
4,GBFS,h1,4,69,1.211038589477539
4,GBFS,h2,4,121,2.601731777191162
4,GBFS,h3,4,37,0.6455540657043457
4,GBFS,h4,4,41,0.7181158065795898
4,A/A*,h1,4,66,1.352159023284912
4,A/A*,h2,4,120,2.8344314098358154
4,A/A*,h3,4,37,0.6860885620117188
4,A/A*,h4,4,41,0.7881762981414795
5,UCS,N/A,17,975,8.466763496398926
5,GBFS,h1,18,602,5.268019437789917
5,GBFS,h2,17,714,6.38397741317749
5,GBFS,h3,21,242,1.9251513481140137
5,GBFS,h4,19,382,3.6025912761688232
5,A/A*,h1,19,917,8.62139630317688
5,A/A*,h2,18,1036,9.491143465042114
