3 0 3	BB.K..CCCKU..AAKUG.FF.UG.....GEEE.TT 
3 1 2	BB....CCC.U..AA.UG.FFKUG...K.GEEEKTT K97 
4 2 2	.BB...CCC.U..AA.UG.FFKUG...K.GEEEKTT B99 K97 
4 2 2	..BB..CCC.U..AA.UG.FFKUG...K.GEEEKTT B98 K97 
4 2 2	...BB.CCC.U..AA.UG.FFKUG...K.GEEEKTT B97 K97 
4 2 2	BB....CCC.U..AA.UGFF.KUG...K.GEEEKTT K97 F99 
4 2 2	....BBCCC.U..AA.UG.FFKUG...K.GEEEKTT B96 K97 
4 2 2	BB....CCC.U.AA..UG.FFKUG...K.GEEEKTT K97 A99 
4 2 2	BB....CCC.UG.AA.UG.FFKUG...K..EEEKTT K97 G99 
4 2 2	BB...GCCC.UG.AA.UG.FFKU....K..EEEKTT K97 G98 
4 2 2	BB....CCC.U...AAUG.FFKUG...K.GEEEKTT K97 A99 
4 2 2	BB.....CCCU..AA.UG.FFKUG...K.GEEEKTT K97 C99 
4 2 2	BB....CCC....AA.UG.FFKUG...KUGEEEKTT K97 U99 
4 2 2	BB..U.CCC.U..AA.UG.FFK.G...K.GEEEKTT K97 U99 
4 1 3	BB....CCC.U..AAKUG.FFKUG...K.GEEE.TT K98 
5 3 2	.BB...CCC.U..AA.UGFF.KUG...K.GEEEKTT B99 K97 F99 
5 3 2	....BBCCC.U...AAUG.FFKUG...K.GEEEKTT B96 K97 A99 
5 3 2	....BBCCC.UG.AA.UG.FFKUG...K..EEEKTT B96 K97 G99 
5 3 2	.BB..GCCC.UG.AA.UG.FFKU....K..EEEKTT B99 K97 G98 
5 3 2	....BBCCC.U.AA..UG.FFKUG...K.GEEEKTT B96 K97 A99 
5 3 2	....BBCCC....AA.UG.FFKUG...KUGEEEKTT B96 K97 U99 
5 3 2	.BB...CCC.UG.AA.UG.FFKUG...K..EEEKTT B99 K97 G99 
5 3 2	....BB.CCCU..AA.UG.FFKUG...K.GEEEKTT B96 K97 C99 
5 3 2	.BB...CCC.U...AAUG.FFKUG...K.GEEEKTT B99 K97 A99 
5 3 2	BB...GCCC.UG.AA.UGFF.KU....K..EEEKTT K97 G98 F99 
5 3 2	BB....CCC.UG.AA.UGFF.KUG...K..EEEKTT K97 G99 F99 
5 3 2	.BB...CCC.U.AA..UG.FFKUG...K.GEEEKTT B99 K97 A99 
5 3 2	BB....CCC.U.AA..UGFF.KUG...K.GEEEKTT K97 A99 F99 
5 3 2	BB....CCC.U...AAUGFF.KUG...K.GEEEKTT K97 A99 F99 
5 3 2	.BB.U.CCC.U..AA.UG.FFK.G...K.GEEEKTT B99 K97 U99 
5 3 2	BB..U.CCC.U..AA.UGFF.K.G...K.GEEEKTT K97 U99 F99 
5 3 2	BB....CCC....AA.UGFF.KUG...KUGEEEKTT K97 U99 F99 
5 3 2	.BB...CCC....AA.UG.FFKUG...KUGEEEKTT B99 K97 U99 
5 3 2	BB.....CCCU..AA.UGFF.KUG...K.GEEEKTT K97 C99 F99 
5 3 2	....BBCCC.U..AA.UGFF.KUG...K.GEEEKTT B96 K97 F99 
5 3 2	.BB....CCCU..AA.UG.FFKUG...K.GEEEKTT B99 K97 C99 
5 3 2	...BB.CCC.U..AA.UGFF.KUG...K.GEEEKTT B97 K97 F99 
5 3 2	...BBGCCC.UG.AA.UG.FFKU....K..EEEKTT B97 K97 G98 
5 3 2	...BB.CCC.UG.AA.UG.FFKUG...K..EEEKTT B97 K97 G99 
5 3 2	...BB.CCC.U...AAUG.FFKUG...K.GEEEKTT B97 K97 A99 
5 3 2	...BB.CCC.U.AA..UG.FFKUG...K.GEEEKTT B97 K97 A99 
5 3 2	...BB.CCC....AA.UG.FFKUG...KUGEEEKTT B97 K97 U99 
5 3 2	BB......CCC..AA.UG.FFKUG...KUGEEEKTT K97 C98 U99 
5 3 2	BB.......CCC.AA.UG.FFKUG...KUGEEEKTT K97 C97 U99 
5 3 2	...BB..CCCU..AA.UG.FFKUG...K.GEEEKTT B97 K97 C99 
5 3 2	BB..U..CCCU..AA.UG.FFK.G...K.GEEEKTT K97 C99 U99 
5 3 2	BB.....CCC...AA.UG.FFKUG...KUGEEEKTT K97 C99 U99 
5 3 2	BB.....CCCU...AAUG.FFKUG...K.GEEEKTT K97 C99 A99 
5 3 2	BB....CCC.....AAUG.FFKUG...KUGEEEKTT K97 U99 A99 
5 3 2	..BB..CCC.U..AA.UGFF.KUG...K.GEEEKTT B98 K97 F99 
5 3 2	BB...GCCC.UG..AAUG.FFKU....K..EEEKTT K97 A99 G98 
5 3 2	..BB.GCCC.UG.AA.UG.FFKU....K..EEEKTT B98 K97 G98 
5 3 2	BB...GCCC..G.AA.UG.FFKU....KU.EEEKTT K97 U99 G98 
5 3 2	BB..UGCCC.UG.AA.UG.FFK.....K..EEEKTT K97 U99 G98 
5 3 2	BB..U.CCC.U...AAUG.FFK.G...K.GEEEKTT K97 U99 A99 
5 3 2	..BB..CCC.UG.AA.UG.FFKUG...K..EEEKTT B98 K97 G99 
5 3 2	BB...G.CCCUG.AA.UG.FFKU....K..EEEKTT K97 C99 G98 
5 3 2	..BB..CCC.U...AAUG.FFKUG...K.GEEEKTT B98 K97 A99 
5 3 2	BB....CCC.UG..AAUG.FFKUG...K..EEEKTT K97 A99 G99 
5 3 2	BB..U.CCC.UG.AA.UG.FFK.G...K..EEEKTT K97 U99 G99 
5 3 2	..BB..CCC.U.AA..UG.FFKUG...K.GEEEKTT B98 K97 A99 
5 3 2	BB....CCC..G.AA.UG.FFKUG...KU.EEEKTT K97 U99 G99 
5 3 2	BB.....CCCUG.AA.UG.FFKUG...K..EEEKTT K97 C99 G99 
5 3 2	..BBU.CCC.U..AA.UG.FFK.G...K.GEEEKTT B98 K97 U99 
5 3 2	BB...GCCC.UGAA..UG.FFKU....K..EEEKTT K97 A99 G98 
