2 0 2	CHH..YC....YCFAADE.F..DE..RITTBBRI.. 
2 1 1	CHH.DYC...DYCFAA.E.F...E..RITTBBRI.. D98 
3 2 1	.HH.DYC...DYCFAA.ECF...E..RITTBBRI.. C99 D98 
3 2 1	C.HHDYC...DYCFAA.E.F...E..RITTBBRI.. H99 D98 
3 2 1	CHH.DYCF..DYCFAA.E.....E..RITTBBRI.. F99 D98 
3 2 1	CHH.DYC...DYCF.AAE.F...E..RITTBBRI.. A99 D98 
3 2 1	CHH.DYC...DYC.AA.E.F...E.FRITTBBRI.. F99 D98 
3 2 1	.HH.DY....DYCFAA.ECF...EC.RITTBBRI.. C98 D98 
3 2 1	CHH.DYC...DYCFAA.E.FR..E..RITTBB.I.. D98 R99 
3 2 1	CHH.DYC...DYCFAA.E.F.I.E..RITTBBR... D98 I99 
3 1 2	.HH..Y.....YCFAADECF..DEC.RITTBBRI.. C98 
3 1 2	CHH..YC...DYCFAADE.F...E..RITTBBRI.. D99 
4 3 1	.HH.DY.F..DYCFAA.EC....EC.RITTBBRI.. C98 D98 F99 
4 3 1	CHH.DYC...DYCFAA.E.FR..E..RITT.BBI.. D98 R99 B99 
4 3 1	C.HHDYC...DYCFAA.E.FR..E..RITTBB.I.. H99 D98 R99 
4 3 1	C.HHDYC...DYCF.AAE.F...E..RITTBBRI.. H99 A99 D98 
4 3 1	CHH.DYCF..DYCFAA.E...I.E..RITTBBR... F99 D98 I99 
4 3 1	CFHHDYCF..DYC.AA.E.....E..RITTBBRI.. H99 F98 D98 
4 3 1	C.HHDYCF..DYCFAA.E.....E..RITTBBRI.. H99 F99 D98 
4 3 1	C.HHDYC...DYCFAA.E.F.I.E..RITTBBR... H99 D98 I99 
4 3 1	C.HHDYC...DYC.AA.E.F...E.FRITTBBRI.. H99 F99 D98 
4 3 1	..HHDY....DYCFAA.ECF...EC.RITTBBRI.. C98 H99 D98 
4 3 1	CHH.DYC...DYCFAA.E.FRI.E..RITTBB.... D98 R99 I99 
4 3 1	.HH.DYC...DYCFAA.ECFR..E..RITTBB.I.. C99 D98 R99 
4 3 1	.HH.DY....DYCFAA.ECFR..EC.RITTBB.I.. C98 D98 R99 
4 3 1	.HH.DY....DYCFAA.ECF.I.EC.RITTBBR... C98 D98 I99 
4 3 1	.HH.DYC...DYCF.AAECF...E..RITTBBRI.. C99 D98 A99 
4 3 1	HH..DY....DYCFAA.ECF...EC.RITTBBRI.. H99 D98 C98 
4 3 1	.HH.DYCF..DYCFAA.EC....E..RITTBBRI.. C99 D98 F99 
4 3 1	CHH.DYC...DYC.AA.E.FR..E.FRITTBB.I.. F99 D98 R99 
4 3 1	CHH.DYC...DYCAA..E.F...E.FRITTBBRI.. F99 A99 D98 
4 3 1	.HH.DYC...DYC.AA.ECF...E.FRITTBBRI.. C99 D98 F99 
4 3 1	.HH.DY....DYC.AA.ECF...ECFRITTBBRI.. C98 D98 F99 
4 3 1	CHH.DYC...DYCFRAAE.FR..E...ITTBB.I.. A99 D98 R98 
4 3 1	CHH.DYC.R.DYCFRAAE.F...E...ITTBB.I.. A99 D98 R97 
4 3 1	CHH.DYC...DYC.AA.E.F.I.E.FRITTBBR... F99 D98 I99 
4 3 1	..HHDYC...DYCFAA.ECF...E..RITTBBRI.. C99 H99 D98 
4 3 1	CHH.DYC...DYCF.AAE.FR..E..RITTBB.I.. A99 D98 R99 
4 3 1	CHH.DYC...DYC..AAE.F...E.FRITTBBRI.. F99 A99 D98 
4 3 1	HH..DYC...DYCFAA.ECF...E..RITTBBRI.. H99 D98 C99 
4 3 1	.HH.DY....DYCF.AAECF...EC.RITTBBRI.. C98 D98 A99 
4 3 1	CHH.DYCF..DYCFAA.E..R..E..RITTBB.I.. F99 D98 R99 
4 3 1	CHH.DYCF..DYCF.AAE.....E..RITTBBRI.. F99 A99 D98 
