3 0 3	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.DEE. 
3 1 2	.CCBBBHH.FL..AAFL....FLYG.DUUYG.DEE. Y99 
3 1 2	.CCBBBHH.FL..AAFL....FL.G.DUUYG.DEEY Y98 
4 2 2	.CCBBB.HHFL..AAFL....FLYG.DUUYG.DEE. H99 Y99 
4 2 2	.CCBBBHH.FL..AAFL.G..FLYG.DUUY..DEE. Y99 G99 
4 2 2	.CCBBBHH.FL.GAAFL.G..FLY..DUUY..DEE. Y99 G98 
4 2 2	.CCBBBHH.FL.AA.FL....FLYG.DUUYG.DEE. A99 Y99 
4 2 2	CC.BBBHH.FL..AAFL....FLYG.DUUYG.DEE. C99 Y99 
4 2 2	.CCBBBHH.FL..AAFL.G..FL.G.DUUY..DEEY Y98 G99 
4 2 2	.CCBBBHH.FL..AAFL...DFL.G.DUUYG..EEY Y98 D99 
4 2 2	.CCBBBHH.FL.GAAFL.G..FL...DUUY..DEEY Y98 G98 
4 2 2	.CCBBBHH.FL..AAFL...DFLYG.DUUYG..EE. Y99 D99 
4 2 2	.CCBBB.HHFL..AAFL....FL.G.DUUYG.DEEY H99 Y98 
4 2 2	.CCBBBHH.FL.AA.FL....FL.G.DUUYG.DEEY A99 Y98 
4 2 2	.CCBBBHH.FL..AAFL....FLYG.DUUYG.D.EE Y99 E99 
4 2 2	CC.BBBHH.FL..AAFL....FL.G.DUUYG.DEEY C99 Y98 
4 1 3	.CCBBB.HHFL..AAFLY...FLYG.DUU.G.DEE. H99 
4 1 3	.CCBBBHH.FL..AAFLYG..FLYG.DUU...DEE. G99 
4 1 3	.CCBBBHH.FLY.AAFLY...FL.G.DUU.G.DEE. Y99 
5 3 2	CCBBB.HH.FL..AAFL....FL.G.DUUYG.DEEY C99 B99 Y98 
5 3 2	CC.BBBHH.FL..AAFL.G..FLYG.DUUY..DEE. C99 G99 Y99 
5 3 2	CC.BBBHH.FL.AA.FL....FL.G.DUUYG.DEEY C99 A99 Y98 
5 3 2	.CCBBB.HHFL..AAFL...DFLYG.DUUYG..EE. H99 Y99 D99 
5 3 2	.CCBBBGHHFL.GAAFL....FL...DUUY..DEEY H99 Y98 G97 
5 3 2	.CCBBB.HHFL.AA.FL....FL.G.DUUYG.DEEY H99 A99 Y98 
5 3 2	GCCBBBGHHFL..AAFL....FLY..DUUY..DEE. H99 Y99 G96 
5 3 2	CC.BBB.HHFL..AAFL....FL.G.DUUYG.DEEY C99 H99 Y98 
5 3 2	.CCBBBHH.FL..AAFL...DFLYG.DUUYGEE... Y99 D99 E98 
5 3 2	.CCBBBGHHFL.GAAFL....FLY..DUUY..DEE. H99 Y99 G97 
5 3 2	.CCBBB.HHFL..AAFL....FLYG.DUUYG.D.EE H99 Y99 E99 
5 3 2	.CCBBBHH.FL..AAFL...DFLYG.DUUYG.EE.. Y99 D99 E99 
5 3 2	CC.BBBHH.FL.GAAFL.G..FL...DUUY..DEEY C99 G98 Y98 
