2 0 2	...BYYGGGBS..AACS.F..C..F..CPPF.DDOO 
3 1 2	...BYYGGGB...AACS.F..CS.F..CPPF.DDOO S99 
3 1 2	...BYYGGGBS.FAACS.F..C..F..CPP..DDOO F99 
3 1 2	...BYYGGGBS..AACS.F..C..F..CPPFDD.OO D99 
3 1 2	...BYYGGGBS.AA.CS.F..C..F..CPPF.DDOO A99 
3 2 1	...BYYGGGBS..AA.S.F..C..F..CPPFDDCOO C99 D99 
4 2 2	...BYYGGGB...AACS.F..CS.F..CPPFDD.OO S99 D99 
4 2 2	...BYYGGGBS.AA.CS.F..C..F..CPPFDD.OO A99 D99 
4 2 2	...BYYGGGB..AA.CS.F..CS.F..CPPF.DDOO S99 A99 
4 3 1	...BYYGGGBS.FAA.S.F..C..F..CPP.DDCOO C99 F99 D99 
4 2 2	...BYYGGGBS.FAACS.F..C..F..CPP.DD.OO F99 D99 
4 2 2	...BYYGGGBS.FAACS.F..C..F..CPPDD..OO F99 D98 
4 3 1	...BYYGGGBS...AAS.F..C..F..CPPFDDCOO A99 C99 D99 
4 3 1	...BYYGGGBS.AA..S.F..C..F..CPPFDDCOO A99 C99 D99 
4 2 2	...BYYGGGB..FAACS.F..CS.F..CPP..DDOO S99 F99 
4 3 1	...BYYGGGB...AA.S.F..CS.F..CPPFDDCOO S99 C99 D99 
4 3 1	...BYYGGGBS.FAA.S.F..C..F..CPPDD.COO C99 F99 D98 
5 3 2	...BYYGGGB...AACS.F..CS.F..CPPFDDOO. S99 D99 O99 
5 3 2	...BYYGGGBS.AA.CS.F..C..F..CPPFDDOO. A99 D99 O99 
5 4 1	...BYYGGGBS.F.AAS.F..C..F..CPP.DDCOO A99 C99 F99 D99 
5 4 1	...BYYGGGB..FAA.S.F..CS.F..CPP.DDCOO S99 C99 F99 D99 
5 4 1	...BYYGGGBS.F.AAS.F..C..F..CPPDD.COO A99 C99 F99 D98 
5 3 2	...BYYGGGB..FAACS.F..CS.F..CPP.DD.OO S99 F99 D99 
5 3 2	...BYYGGGB..AA.CS.F..CS.F..CPPFDD.OO S99 A99 D99 
5 4 1	...BYYGGGBS.FAA.S.F..C..F..CPPDD.COO C99 F99 D98 
5 3 2	...BYYGGGB..FAACS.F..CS.F..CPPDD..OO S99 F99 D98 
