2 0 2	..D.....D...AADG.....GB.ECCGB.E.FFB. 
3 1 2	........D...AADG....DGB.ECCGB.E.FFB. D99 
3 1 2	..DG....DG..AADG......B.ECC.B.E.FFB. G98 
3 1 2	..D.....D...AADG..E..GB.ECCGB...FFB. E99 
3 1 2	..D.....DG..AADG.....GB.ECC.B.E.FFB. G99 
3 1 2	..D.....D...AADG.....GB.ECCGB.EFF.B. F99 
3 2 1	..D.....D...AAD......GB.ECCGB.EFFGB. G99 F99 
4 1 3	..D.....D...AADGB....GB.ECCGB.E.FF.. B99 
4 2 2	........D...AADG....DGB.ECCGB.EFF.B. D99 F99 
4 2 2	..D.....DG..AADG.....GB.ECC.B.EFF.B. G99 F99 
4 3 1	........D...AAD.....DGB.ECCGB.EFFGB. D99 G99 F99 
4 3 1	..D.....D...AAD...E..GB.ECCGB..FFGB. G99 E99 F99 
4 1 3	..D.B...D.B.AADGB....G..ECCG..E.FF.. B97 
4 2 2	........D...AADG..E.DGB.ECCGB...FFB. D99 E99 
4 2 2	..D.....DG..AADG.....GB.E.CCB.E.FFB. G99 C99 
4 2 2	..D.....D...AADG..E..GB.ECCGB.FF..B. E99 F98 
4 2 2	..D.....D...AADG..E..GB.ECCGB..FF.B. E99 F99 
4 2 2	...G....DG..AADG....D.B.ECC.B.E.FFB. D99 G98 
4 2 2	..DG....DG..AADG......B.E.CCB.E.FFB. G98 C99 
4 2 2	..D.....DG..AADG..E..GB.ECC.B...FFB. G99 E99 
4 2 2	..DG....DG..AADG......B.ECC.B.EFF.B. G98 F99 
4 2 2	..DG....DG..AADG..E...B.ECC.B...FFB. G98 E99 
5 2 3	..DG....DGB.AADGB.....B.ECC...E.FF.. G98 B98 
5 2 3	..D.....D...AADGB....GB.ECCGB.E...FF B99 F98 
5 3 2	........D...AADG..E.DGB.ECCGB.FF..B. D99 E99 F98 
5 3 2	..DG....DG..AADG..E...B.ECC.B.FF..B. G98 E99 F98 
5 3 2	..D.....DG..AADG..E..GB.ECC.B.FF..B. G99 E99 F98 
5 3 2	........D...AADG..E.DGB.ECCGB..FF.B. D99 E99 F99 
5 2 3	..D.....D.B.AADGB....GB.ECCG..EFF... B98 F99 
5 2 3	..D.....D...AADGB....GB.ECCGB.EFF... B99 F99 
5 2 3	..D.B...D.B.AADGB....G..ECCG..EFF... B97 F99 
5 3 2	........DG..AADG....DGB.E.CCB.E.FFB. D99 G99 C99 
5 2 3	..DG....DG..AADGB.....B.ECC.B.E.FF.. G98 B99 
5 3 2	..D.....DG..AADG.....GB.E.CCB.EFF.B. G99 C99 F99 
5 4 1	........D...AAD...E.DGB.ECCGB..FFGB. D99 G99 E99 F99 
5 2 3	..D.B...D.B.AADGB....G..ECCG..E...FF B97 F98 
5 3 2	...G....DG..AADG..E.D.B.ECC.B...FFB. D99 G98 E99 
5 2 3	..D.B...DGB.AADGB....G..ECC...E.FF.. G99 B97 
5 3 2	..D.B...D.B.AAD.B....G..ECCG..E..GFF G99 B97 F98 
5 3 2	........DG..AADG..E.DGB.ECC.B...FFB. D99 G99 E99 
5 2 3	..D.B...D.B.AADGB....G..ECCG..E..FF. B97 F99 
5 2 3	..D.....DGB.AADGB....GB.ECC...E.FF.. G99 B98 
5 4 1	..D.....D...AAD...E..GB.ECCGB.FF.GB. G99 E99 F98 
5 2 3	..D.....DG..AADGB....GB.ECC.B.E.FF.. G99 B99 
5 2 3	........D.B.AADGB...DGB.ECCG..E.FF.. D99 B98 
5 2 3	....B...D.B.AADGB...DG..ECCG..E.FF.. D99 B97 
5 3 2	..D.....DG..AADG..E..GB.E.CCB...FFB. G99 E99 C99 
5 2 3	..D.B...D.B.AADGB.E..G..ECCG....FF.. B97 E99 
5 4 1	........D...AAD...E.DGB.ECCGB.FF.GB. D99 G99 E99 F98 
5 3 2	..D.....DG..AADG..E..GB.ECC.B..FF.B. G99 E99 F99 
5 2 3	........D...AADGB...DGB.ECCGB.E.FF.. D99 B99 
5 2 3	..D.....D.B.AADGB.E..GB.ECCG....FF.. B98 E99 
5 3 2	..D.....D...AAD.B....GB.ECCGB.E..GFF G99 B99 F98 
5 2 3	..D.....D...AADGB.E..GB.ECCGB...FF.. B99 E99 
5 3 2	...G....DG..AADG....D.B.ECC.B.EFF.B. D99 G98 F99 
5 3 2	........DG..AADG....DGB.ECC.B.EFF.B. D99 G99 F99 
5 3 2	..DG....DG..AADG..E...B.ECC.B..FF.B. G98 E99 F99 
