4 0 4	VVBC....BCDEAABCDEHJ..F.HJNNF..KK.F. 
4 1 3	VVBCD...BCDEAABC.EHJ..F.HJNNF..KK.F. D99 
4 1 3	VVBC....BCD.AABCD.HJ..F.HJNNFE.KK.FE E97 
4 1 3	VVBC.E..BCDEAABCD.HJ..F.HJNNF..KK.F. E99 
4 2 2	VVBCD...BCD.AABC..HJ..F.HJNNFE.KK.FE D99 E97 
4 2 2	VVBCDE..BCDEAABC..HJ..F.HJNNF..KK.F. D99 E99 
4 2 2	VVBCD...BCD.AABC..HJ..FEHJNNFE.KK.F. D99 E98 
4 1 3	VVBC....BCD.AABCD.HJ..FEHJNNFE.KK.F. E98 
5 2 3	VVBCD...BCDEAABC.EHJ..F.HJNNF...KKF. D99 K99 
5 2 3	VVBC....BCD.AABCD.HJ..F.HJNNFE..KKFE E97 K99 
5 3 2	VVBCD...BCD.AABC..HJ..F.HJNNFEKK..FE D99 E97 K99 
5 3 2	VVBCD...BCD.AABC..HJ..F.HJNNFE..KKFE D99 E97 K99 
5 3 2	VVBCD...BCD.AABC..HJ..FEHJNNFE..KKF. D99 E98 K99 
5 2 3	VVBC....BCD.AABCD.HJ..FEHJNNFE..KKF. E98 K99 
5 1 4	VVBC....BCDEAABCDEHJ..F.HJNNF...KKF. K99 
5 3 2	VVB.D...BCD.AABC..HJ.CF.HJNNFE.KK.FE C99 D99 E97 
5 1 4	VV.C....BCDEAABCDEHJB.F.HJNNF..KK.F. B99 
5 2 3	VVBC.E..BCDEAABCD.HJ..F.HJNNF.KK..F. E99 K99 
5 3 2	VV.CD...BCD.AABC..HJB.F.HJNNFE.KK.FE B99 D99 E97 
5 2 3	VVBC.E..BCDEAABCD.HJ..F.HJNNF...KKF. E99 K99 
5 2 3	VVBCD...BCD.AABC.EHJ..FEHJNNF..KK.F. D99 E99 
5 2 3	VVB.D...BCDEAABC.EHJ.CF.HJNNF..KK.F. C99 D99 
5 3 2	VVBCDE..BCDEAABC..HJ..F.HJNNF...KKF. D99 E99 K99 
5 2 3	VVBC....BCD.AABCD.HJ..F.HJNNFEKK..FE E97 K99 
5 2 3	VVBC....BCD.AABCD.HJ..FEHJNNFEKK..F. E98 K99 
5 2 3	VVBC....BCD.AABCD..J..FEHJNNFEHKK.F. E98 H99 
5 2 3	VV.CD...BCDEAABC.EHJB.F.HJNNF..KK.F. B99 D99 
5 2 3	VVBC....BCD.AABCD..J..F.HJNNFEHKK.FE E97 H99 
5 2 3	VVB.....BCD.AABCD.HJ.CFEHJNNFE.KK.F. C99 E98 
5 3 2	VVBCD...BCD.AABC...J..F.HJNNFEHKK.FE D99 E97 H99 
5 2 3	VV.C....BCD.AABCD.HJB.FEHJNNFE.KK.F. B99 E98 
5 2 3	VVB.....BCD.AABCD.HJ.CF.HJNNFE.KK.FE C99 E97 
5 3 2	VVBCD...BCD.AABC..HJ..FEHJNNFEKK..F. D99 E98 K99 
5 1 4	VVBC....BCD.AABCDEHJ..FEHJNNF..KK.F. E99 
5 2 3	VVBCD...BCDEAABC.EHJ..F.HJNNF.KK..F. D99 K99 
5 3 2	VV.CD...BCD.AABC..HJB.FEHJNNFE.KK.F. B99 D99 E98 
5 3 2	VVBCDE..BCDEAABC..HJ..F.HJNNF.KK..F. D99 E99 K99 
