2 0 2	CHH..YC....YCFAADE.F..DE..RITTBBRI.. 
2 1 1	CHH.DYC...DYCFAA.E.F...E..RITTBBRI.. D98 
3 1 2	C.HH.YC....YCFAADE.F..DE..RITTBBRI.. H99 
3 1 2	CHH..YC...DYCFAADE.F...E..RITTBBRI.. D99 
3 1 2	CHH..YC....YCFAADE.F.IDE..RITTBBR... I99 
3 2 1	CHH.DYC...DYCF.AAE.F...E..RITTBBRI.. A99 D98 
3 2 1	CHH.DYC...DYCFAA.E.F.I.E..RITTBBR... D98 I99 
3 2 1	CHH.DYCF..DYCFAA.E.....E..RITTBBRI.. F99 D98 
3 1 2	CHH..YCF...YCFAADE....DE..RITTBBRI.. F99 
3 2 1	CHH.DYC...DYC.AA.E.F...E.FRITTBBRI.. F99 D98 
3 2 1	C.HHDYC...DYCFAA.E.F...E..RITTBBRI.. H99 D98 
3 1 2	.HH..YC....YCFAADECF..DE..RITTBBRI.. C99 
3 1 2	CHH..YC....YC.AADE.F..DE.FRITTBBRI.. F99 
3 2 1	.HH.DY....DYCFAA.ECF...EC.RITTBBRI.. C98 D98 
3 2 1	.HH.DYC...DYCFAA.ECF...E..RITTBBRI.. C99 D98 
3 1 2	.HH..Y.....YCFAADECF..DEC.RITTBBRI.. C98 
3 1 2	CHH..YC....YCFAADE.FR.DE..RITTBB.I.. R99 
3 1 2	C..HHYC....YCFAADE.F..DE..RITTBBRI.. H98 
3 2 1	CHH.DYC...DYCFAA.E.FR..E..RITTBB.I.. D98 R99 
4 2 2	C.HH.YC....YCFAADE.F.IDE..RITTBBR... H99 I99 
4 2 2	.HH..Y.....YCFAADECF.IDEC.RITTBBR... C98 I99 
4 2 2	CHH..YC....YCFAADE.FRIDE..RITTBB.... R99 I99 
4 2 2	CHH..YCF...YCFAADE..R.DE..RITTBB.I.. F99 R99 
4 2 2	.HH..YC....YC.AADECF..DE.FRITTBBRI.. C99 F99 
4 2 2	CF.HHYCF...YC.AADE....DE..RITTBBRI.. H98 F98 
4 3 1	CHH.DYC...DYCFAA.E.FR..E..RITT.BBI.. D98 R99 B99 
4 2 2	...HHYC....YCFAADECF..DE..RITTBBRI.. C99 H98 
4 2 2	.HH..YC....YCFAADECF.IDE..RITTBBR... C99 I99 
4 2 2	HH...YC....YCFAADECF..DE..RITTBBRI.. H99 C99 
4 3 1	CFHHDYCF..DYC.AA.E.....E..RITTBBRI.. H99 F98 D98 
4 2 2	CHH..YC...DYCFAADE.FR..E..RITTBB.I.. D99 R99 
4 3 1	..HHDY....DYCFAA.ECF...EC.RITTBBRI.. C98 H99 D98 
4 3 1	..HHDYC...DYCFAA.ECF...E..RITTBBRI.. C99 H99 D98 
4 2 2	CHH..YCF..DYCFAADE.....E..RITTBBRI.. F99 D99 
4 3 1	CHH.DYC...DYCAA..E.F...E.FRITTBBRI.. F99 A99 D98 
4 3 1	C.HHDYC...DYC.AA.E.F...E.FRITTBBRI.. H99 F99 D98 
4 2 2	CHH..YC...DYC.AADE.F...E.FRITTBBRI.. F99 D99 
4 3 1	.HH.DY....DYC.AA.ECF...ECFRITTBBRI.. C98 D98 F99 
4 3 1	.HH.DYC...DYC.AA.ECF...E.FRITTBBRI.. C99 D98 F99 
4 2 2	C..HHYC...DYCFAADE.F...E..RITTBBRI.. H98 D99 
4 2 2	C..HHYCF...YCFAADE....DE..RITTBBRI.. H98 F99 
4 2 2	.HH..Y.F...YCFAADEC...DEC.RITTBBRI.. C98 F99 
4 2 2	.HH..Y....DYCFAADECF...EC.RITTBBRI.. C98 D99 
4 2 2	.HH..YCF...YCFAADEC...DE..RITTBBRI.. C99 F99 
4 3 1	C.HHDYCF..DYCFAA.E.....E..RITTBBRI.. H99 F99 D98 
4 2 2	.HH..YC...DYCFAADECF...E..RITTBBRI.. C99 D99 
4 3 1	.HH.DYCF..DYCFAA.EC....E..RITTBBRI.. C99 D98 F99 
4 2 2	C.HH.YC....YCFAADE.FR.DE..RITTBB.I.. H99 R99 
4 3 1	CHH.DYCF..DYCFAA.E...I.E..RITTBBR... F99 D98 I99 
4 3 1	CHH.DYC...DYC.AA.E.FR..E.FRITTBB.I.. F99 D98 R99 
4 2 2	.HH..YC....YCFAADECFR.DE..RITTBB.I.. C99 R99 
4 2 2	CHH..YC....YCFAADE.FR.DE..RITT.BBI.. R99 B99 
4 2 2	C.HH.YC...DYCFAADE.F...E..RITTBBRI.. H99 D99 
4 2 2	CFHH.YCF...YC.AADE....DE..RITTBBRI.. H99 F98 
4 3 1	C.HHDYC...DYCFAA.E.FR..E..RITTBB.I.. H99 D98 R99 
4 3 1	CHH.DYC.R.DYCFRAAE.F...E...ITTBB.I.. A99 D98 R97 
4 2 2	C.HH.YCF...YCFAADE....DE..RITTBBRI.. H99 F99 
4 3 1	CHH.DYC...DYCFRAAE.FR..E...ITTBB.I.. A99 D98 R98 
4 3 1	CHH.DYC...DYCF.AAE.FR..E..RITTBB.I.. A99 D98 R99 
4 2 2	C.HH.YC....YC.AADE.F..DE.FRITTBBRI.. H99 F99 
4 3 1	CHH.DYCF..DYCF.AAE.....E..RITTBBRI.. F99 A99 D98 
4 2 2	CHH..YC....YC.AADE.FR.DE.FRITTBB.I.. F99 R99 
4 2 2	.HH..Y.....YCFAADECFR.DEC.RITTBB.I.. C98 R99 
4 3 1	CHH.DYC...DYC..AAE.F...E.FRITTBBRI.. F99 A99 D98 
4 2 2	..HH.Y.....YCFAADECF..DEC.RITTBBRI.. C98 H99 
4 3 1	C.HHDYC...DYCF.AAE.F...E..RITTBBRI.. H99 A99 D98 
4 3 1	.HH.DY....DYCF.AAECF...EC.RITTBBRI.. C98 D98 A99 
4 2 2	..HH.YC....YCFAADECF..DE..RITTBBRI.. C99 H99 
4 3 1	.HH.DYC...DYCF.AAECF...E..RITTBBRI.. C99 D98 A99 
4 3 1	.HH.DYC...DYCFAA.ECFR..E..RITTBB.I.. C99 D98 R99 
4 2 2	C..HHYC....YCFAADE.FR.DE..RITTBB.I.. H98 R99 
4 2 2	...HHY.....YCFAADECF..DEC.RITTBBRI.. C98 H98 
4 2 2	CHH..YCF...YCFAADE...IDE..RITTBBR... F99 I99 
4 2 2	HH...Y.....YCFAADECF..DEC.RITTBBRI.. H99 C98 
4 3 1	HH..DYC...DYCFAA.ECF...E..RITTBBRI.. H99 D98 C99 
4 2 2	CHH..YC....YC.AADE.F.IDE.FRITTBBR... F99 I99 
4 3 1	HH..DY....DYCFAA.ECF...EC.RITTBBRI.. H99 D98 C98 
4 3 1	CHH.DYC...DYC.AA.E.F.I.E.FRITTBBR... F99 D98 I99 
4 3 1	.HH.DY....DYCFAA.ECFR..EC.RITTBB.I.. C98 D98 R99 
4 2 2	CHH..YC....YCAA.DE.F..DE.FRITTBBRI.. F99 A99 
4 2 2	C..HHYC....YC.AADE.F..DE.FRITTBBRI.. H98 F99 
4 2 2	.HH..Y.....YC.AADECF..DECFRITTBBRI.. C98 F99 
5 3 2	CHH..YC....YCFAADE.FRIDE..RITT....BB R99 I99 B96 
5 4 1	CHH.DYC...DYCFAA.E.FRI.E..RITT.BB... D98 R99 I99 B99 
5 4 1	CFHHDYCF..DYC.AA.E..R..E..RITTBB.I.. H99 F98 D98 R99 
5 4 1	..HHDYC...DYCFAA.ECF.I.E..RITTBBR... C99 H99 D98 I99 
5 4 1	C.HHDYCF..DYCFAA.E..R..E..RITTBB.I.. H99 F99 D98 R99 
5 3 2	.F.HHYCF...YC.AADEC...DE..RITTBBRI.. C99 F98 H98 
5 4 1	CFHHDYCF..DYC..AAE.....E..RITTBBRI.. H99 F98 A99 D98 
5 3 2	.HH..Y.....YCFAADECFRIDEC.RITTBB.... C98 I99 R99 
5 4 1	CFHHDYCF..DYCAA..E.....E..RITTBBRI.. H99 F98 A99 D98 
5 3 2	CHH..YCF...YCFAADE..R.DE..RITT.BBI.. F99 R99 B99 
5 3 2	CF.HHYCF...YC.AADE...IDE..RITTBBR... H98 F98 I99 
5 4 1	.FHHDY.F..DYC.AA.EC....EC.RITTBBRI.. C98 F98 H99 D98 
5 4 1	.FHHDYCF..DYC.AA.EC....E..RITTBBRI.. C99 F98 H99 D98 
5 3 2	.HH..YC....YC.AADECF.IDE.FRITTBBR... C99 F99 I99 
5 3 2	HH...YC...DYCFAADECF...E..RITTBBRI.. H99 C99 D99 
5 3 2	HH...YCF...YCFAADEC...DE..RITTBBRI.. H99 C99 F99 
5 3 2	...HHYC....YCFAADECF.IDE..RITTBBR... C99 H98 I99 
5 3 2	.HH..YCF...YCFAADEC..IDE..RITTBBR... C99 F99 I99 
5 3 2	HH...YC....YCFAADECFR.DE..RITTBB.I.. H99 C99 R99 
5 4 1	..HHDY....DYCFAA.ECF.I.EC.RITTBBR... C98 H99 D98 I99 
5 3 2	HH...YC....YCFAADECF.IDE..RITTBBR... H99 C99 I99 
5 3 2	...HHYC....YCFAADECFR.DE..RITTBB.I.. C99 H98 R99 
5 3 2	.HH..YC...DYCFAADECF.I.E..RITTBBR... C99 D99 I99 
5 4 1	CFHHDYCF..DYC.AA.E...I.E..RITTBBR... H99 F98 D98 I99 
5 3 2	CHH..YC...DYCFAADE.FR..E..RITT.BBI.. D99 R99 B99 
5 4 1	CHH.DYCF..DYCFAA.E..R..E..RITT.BBI.. F99 D98 R99 B99 
5 3 2	CHH..YC...DYC.AADE.FR..E.FRITTBB.I.. F99 D99 R99 
5 4 1	CHH.DYC...DYC.AA.E.FR..E.FRITT.BBI.. F99 D98 R99 B99 
5 3 2	C.HH.YC....YCFAADE.FRIDE..RITTBB.... H99 R99 I99 
5 3 2	CHH..YCF..DYCFAADE...I.E..RITTBBR... F99 D99 I99 
5 4 1	C.HHDYC...DYC.AA.E.F.I.E.FRITTBBR... H99 F99 D98 I99 
5 4 1	.HH.DY....DYC.AA.ECF.I.ECFRITTBBR... C98 D98 F99 I99 
5 4 1	C.HHDYCF..DYCFAA.E...I.E..RITTBBR... H99 F99 D98 I99 
5 4 1	.HH.DY....DY.FAA.ECFR..EC.RITTCBBI.. C97 D98 R99 B99 
5 4 1	CHHIDYC..IDYCAA..E.F...E.FR.TTBBR... F99 A99 D98 I96 
5 4 1	CHH.DYC...DYCFAA.E.FRI.E..RITT....BB D98 R99 I99 B96 
5 4 1	.HH.DY....DYCFAA.ECFR..EC.RITT.BBI.. C98 D98 R99 B99 
5 4 1	.HH.DYC...DYCFAA.ECFR..E..RITT.BBI.. C99 D98 R99 B99 
5 3 2	.HH..Y....DYC.AADECF...ECFRITTBBRI.. C98 D99 F99 
5 3 2	CF.HHYCF...YC.AADE..R.DE..RITTBB.I.. H98 F98 R99 
5 3 2	CF.HHYCF..DYC.AADE.....E..RITTBBRI.. H98 F98 D99 
5 3 2	C..HHYC...DYC.AADE.F...E.FRITTBBRI.. H98 F99 D99 
5 3 2	CF.HHYCF...YCAA.DE....DE..RITTBBRI.. H98 F98 A99 
5 3 2	CHH..YC...DYCAA.DE.F...E.FRITTBBRI.. F99 A99 D99 
5 3 2	.F.HHY.F...YC.AADEC...DEC.RITTBBRI.. C98 F98 H98 
5 4 1	.HH.DYC...DYC.AA.ECF.I.E.FRITTBBR... C99 D98 F99 I99 
5 3 2	..HH.YCF...YCFAADEC...DE..RITTBBRI.. C99 H99 F99 
5 3 2	.HH..Y.....YCAA.DECF..DECFRITTBBRI.. C98 A99 F99 
5 4 1	.HH.DY.F..DYCFAA.EC.R..EC.RITTBB.I.. C98 D98 F99 R99 
5 3 2	C..HHYCF...YCFAADE...IDE..RITTBBR... H98 F99 I99 
5 4 1	HH..DY.F..DYCFAA.EC....EC.RITTBBRI.. H99 D98 C98 F99 
5 3 2	CHH..YC....YCAA.DE.F.IDE.FRITTBBR... F99 A99 I99 
5 3 2	.HH..YC....YC.AADECFR.DE.FRITTBB.I.. C99 F99 R99 
5 3 2	C..HHYC...DYCFAADE.F.I.E..RITTBBR... H98 D99 I99 
5 3 2	C..HHYC....YC.AADE.F.IDE.FRITTBBR... H98 F99 I99 
5 3 2	C..HHYC....YC.AADE.FR.DE.FRITTBB.I.. H98 F99 R99 
5 3 2	.HH..YC...DYC.AADECF...E.FRITTBBRI.. C99 F99 D99 
5 3 2	.HH..Y.....YC.AADECFR.DECFRITTBB.I.. C98 F99 R99 
5 3 2	..HH.Y.....YC.AADECF..DECFRITTBBRI.. C98 H99 F99 
5 3 2	.HH..YC....YCAA.DECF..DE.FRITTBBRI.. C99 F99 A99 
5 3 2	..HH.Y.F...YCFAADEC...DEC.RITTBBRI.. C98 H99 F99 
5 3 2	..HH.Y....DYCFAADECF...EC.RITTBBRI.. C98 H99 D99 
5 3 2	...HHYC....YC.AADECF..DE.FRITTBBRI.. C99 H98 F99 
5 4 1	.HH.DYC...DYCF.AAECFR..E..RITTBB.I.. C99 D98 A99 R99 
5 4 1	CHH.DYC...DYCFRAAE.FRI.E...ITTBB.... A99 D98 R98 I99 
5 3 2	..HH.YC....YC.AADECF..DE.FRITTBBRI.. C99 H99 F99 
5 3 2	HH...Y....DYCFAADECF...EC.RITTBBRI.. H99 D99 C98 
5 4 1	CHH.DYC...DYC.RAAE.FR..E.F.ITTBB.I.. F99 A99 D98 R98 
5 3 2	HH...YC....YC.AADECF..DE.FRITTBBRI.. H99 C99 F99 
5 4 1	C.HHDYC...DYCFRAAE.FR..E...ITTBB.I.. H99 A99 D98 R98 
5 4 1	.HH.DY....DYCFRAAECFR..EC..ITTBB.I.. C98 D98 R98 A99 
5 3 2	CHH..YCF..DYCFAADE..R..E..RITTBB.I.. F99 D99 R99 
5 3 2	CHH..YC....YC.AADE.FR.DE.FRITT.BBI.. F99 R99 B99 
5 4 1	CHH.DYC.R.DYCFRAAE.F.I.E...ITTBB.... A99 D98 R97 I99 
5 4 1	.HH.DYC...DYCFRAAECFR..E...ITTBB.I.. C99 D98 R98 A99 
5 3 2	CHHI.YC..I.YCAA.DE.F..DE.FR.TTBBR... F99 A99 I96 
5 4 1	CHH.DYCFR.DYCFRAAE.....E...ITTBB.I.. F99 A99 D98 R97 
5 3 2	C..HHYCF...YCFAADE..R.DE..RITTBB.I.. H98 F99 R99 
5 4 1	CHH.DYC.R.DYC.RAAE.F...E.F.ITTBB.I.. F99 A99 D98 R97 
5 4 1	C.HHDYC.R.DYCFRAAE.F...E...ITTBB.I.. H99 A99 D98 R97 
5 3 2	C.HH.YCF...YCFAADE..R.DE..RITTBB.I.. H99 F99 R99 
5 4 1	.HH.DY..R.DYCFRAAECF...EC..ITTBB.I.. C98 D98 R97 A99 
5 4 1	.HH.DYC.R.DYCFRAAECF...E...ITTBB.I.. C99 D98 R97 A99 
5 3 2	.HH..Y.F...YCFAADEC.R.DEC.RITTBB.I.. C98 F99 R99 
5 4 1	C.HHDYC...DYCF.AAE.FR..E..RITTBB.I.. H99 A99 D98 R99 
5 3 2	.FHH.Y.F...YC.AADEC...DEC.RITTBBRI.. C98 F98 H99 
5 3 2	.HH..YCF...YCFAADEC.R.DE..RITTBB.I.. C99 F99 R99 
5 4 1	CHH.DYCF..DYCFAA.E..RI.E..RITTBB.... F99 D98 R99 I99 
5 3 2	.HH..YC....YCFAADECFR.DE..RITT.BBI.. C99 R99 B99 
5 3 2	.FHH.YCF...YC.AADEC...DE..RITTBBRI.. C99 F98 H99 
5 3 2	CHH..YC....YCFAADE.FRIDE..RITT...BB. R99 I99 B97 
5 4 1	CHH.DYCF..DYCFAA.E..R..E..RITTBB.I.. F97 D98 R99 
5 4 1	CHH.DYC...DYCFAA.E.FRI.E..RITT...BB. D98 R99 I99 B97 
5 3 2	CHH..YC....YCFAADE.FRIDE..RITT..BB.. R99 I99 B98 
5 4 1	CHH.DYC...DYC.AA.E.FRI.E.FRITTBB.... F99 D98 R99 I99 
5 4 1	CHH.DYC...DYCFAA.E.FRI.E..RITT..BB.. D98 R99 I99 B98 
5 4 1	CHH.DYCF..DYCF.AAE...I.E..RITTBBR... F99 A99 D98 I99 
5 3 2	CHH..YC....YCFAADE.FRIDE..RITT.BB... R99 I99 B99 
5 4 1	.HH.DY.F..DYCFAA.EC..I.EC.RITTBBR... C98 D98 F99 I99 
5 3 2	CFHH.YCF...YC.AADE..R.DE..RITTBB.I.. H99 F98 R99 
