9 0 9	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
10 1 9	.JJJPS....PSHAADPUH.NDLUBINDLOBINGGO J99 
10 1 9	JJJ.PS...DPSHAADPUH.NDLUBIN.LOBINGGO D99 
10 1 9	JJJ.PS....PSHAADPUHINDLUBINDLOB.NGGO I99 
10 1 9	JJJ.PSH...PSHAADPU..NDLUBINDLOBINGGO H99 
10 1 9	JJJDPS...DPSHAADPUH.N.LUBIN.LOBINGGO D98 
11 2 9	.JJJPS...DPSHAADPUH.NDLUBIN.LOBINGGO J99 D99 
11 2 9	.JJJPS....PSHAADPUHINDLUBINDLOB.NGGO J99 I99 
11 2 9	JJJ.PSH...PSHAADPUB.NDLUBINDLO.INGGO H99 B99 
11 2 9	JJJDPSH..DPSHAADPU..N.LUBIN.LOBINGGO H99 D98 
11 2 9	HJJJPSH...PS.AADPU..NDLUBINDLOBINGGO J99 H98 
11 2 9	.JJJPSH...PSHAADPU..NDLUBINDLOBINGGO J99 H99 
11 2 9	JJJDPS...DPSHAADPUHIN.LUBIN.LOB.NGGO D98 I99 
11 2 9	JJJ.PSH..DPSHAADPU..NDLUBIN.LOBINGGO H99 D99 
11 2 9	JJJ.PSH...PSHAADPU.INDLUBINDLOB.NGGO H99 I99 
11 2 9	JJJ.PS...DPSHAADPUHINDLUBIN.LOB.NGGO D99 I99 
12 3 9	.JJJPS...DPSHAADPUHINDLUBIN.LOB.NGGO J99 D99 I99 
12 3 9	JJJDPSH..DPSHAADPUB.N.LUBIN.LO.INGGO H99 D98 B99 
12 3 9	JJJ.PSH..DPSHAADPUB.NDLUBIN.LO.INGGO H99 D99 B99 
12 3 9	JJJ.PSH...PSHAADPUBINDLUBINDLO..NGGO H99 B99 I99 
12 3 9	.JJJPSH...PSHAADPU.INDLUBINDLOB.NGGO J99 H99 I99 
12 3 9	.JJJPSH...PSHAADPUB.NDLUBINDLO.INGGO J99 H99 B99 
12 3 9	HJJJPSH...PS.AADPU.INDLUBINDLOB.NGGO J99 H98 I99 
12 3 9	HJJJPSH..DPS.AADPU..NDLUBIN.LOBINGGO J99 H98 D99 
12 3 9	JJJDPSH..DPSHAADPU.IN.LUBIN.LOB.NGGO H99 D98 I99 
12 3 9	JJJ.PSH..DPSHAADPU.INDLUBIN.LOB.NGGO H99 D99 I99 
12 3 9	.JJJPSH..DPSHAADPU..NDLUBIN.LOBINGGO J99 H99 D99 
12 3 9	HJJJPSH...PSBAADPUB.NDLU.INDLO.INGGO J99 H98 B98 
12 3 9	HJJJPSH...PS.AADPUB.NDLUBINDLO.INGGO J99 H98 B99 
12 3 9	HJJJPSH...PSAA.DPU..NDLUBINDLOBINGGO J99 H98 A99 
13 4 9	.JJJPSH..DPSHAADPU.INDLUBIN.LOB.NGGO J99 H99 D99 I99 
13 4 9	HJJJPSH..DPS.AADPU.INDLUBIN.LOB.NGGO J99 H98 D99 I99 
13 4 9	HJJJPSH...PSAA.DPUB.NDLUBINDLO.INGGO J99 H98 A99 B99 
13 4 9	JJJDPSH..DPSHAADPUBIN.LUBIN.LO..NGGO H99 D98 B99 I99 
13 4 9	.JJJPSH...PSHAADPUBINDLUBINDLO..NGGO J99 H99 B99 I99 
13 4 9	JJJ.PSH..DPSHAADPUBINDLUBIN.LO..NGGO H99 D99 B99 I99 
13 4 9	.JJJPSH..DPSHAADPUB.NDLUBIN.LO.INGGO J99 H99 D99 B99 
13 4 9	HJJJPSH..DPSBAADPUB.NDLU.IN.LO.INGGO J99 H98 D99 B98 
13 4 9	HJJJPSH...PSAA.DPU.INDLUBINDLOB.NGGO J99 H98 A99 I99 
13 4 9	HJJJPSH...PSBAADPUBINDLU.INDLO..NGGO J99 H98 B98 I99 
13 4 9	HJJJPSH..DPS.AADPUB.NDLUBIN.LO.INGGO J99 H98 D99 B99 
13 4 9	HJJJPSH...PS.AADPUBINDLUBINDLO..NGGO J99 H98 B99 I99 
13 4 9	HJJJPSH..DPSAA.DPU..NDLUBIN.LOBINGGO J99 H98 A99 D99 
14 5 9	.JJJPSH..DPSHAADPUBINDLUBIN.LO..NGGO J99 H99 D99 B99 I99 
14 5 9	HJJJPSH..DPSAA.DPU.INDLUBIN.LOB.NGGO J99 H98 A99 D99 I99 
14 5 9	HJJJPSH..DPSBAADPUBINDLU.IN.LO..NGGO J99 H98 D99 B98 I99 
14 5 9	HJJJPSH...PSAA.DPUBINDLUBINDLO..NGGO J99 H98 A99 B99 I99 
14 5 9	HJJJPSH..DPSAA.DPUB.NDLUBIN.LO.INGGO J99 H98 A99 D99 B99 
14 5 9	HJJJPSH..DPS.AADPUBINDLUBIN.LO..NGGO J99 H98 D99 B99 I99 
15 6 9	HJJJPSH..DPSAA.DPUBINDLUBIN.LO..NGGO J99 H98 A99 D99 B99 I99 
16 4 12	HJJJPSH...PSAANDPU..NDLUBINDLOBI.GGO J99 H98 A99 N99 
16 4 12	HJJJPSH.N.PSAANDPU..NDLUBI.DLOBI.GGO J99 H98 A99 N98 
