9 0 9	.CCBBBHH.FLY.AAFLY...FLYGWDUUUGWDEEE 
10 1 9	CC.BBBHH.FLY.AAFLY...FLYGWDUUUGWDEEE C99 
10 1 9	.CCBBBHH.FLYAA.FLY...FLYGWDUUUGWDEEE A99 
10 1 9	.CCBBBHH.FLY.AAFLY.W.FLYGWDUUUG.DEEE W99 
10 1 9	.CCBBBHH.FLY.AAFLY..DFLYGWDUUUGW.EEE D99 
10 1 9	.CCBBB.HHFLY.AAFLY...FLYGWDUUUGWDEEE H99 
10 1 9	.CCBBBHH.FLYGAAFLYG..FLY.WDUUU.WDEEE G98 
10 1 9	.CCBBBHH.FLY.AAFLYG..FLYGWDUUU.WDEEE G99 
11 2 9	CCBBB.HH.FLY.AAFLY...FLYGWDUUUGWDEEE C99 B99 
11 2 9	.CCBBBHH.FLYAA.FLY.W.FLYGWDUUUG.DEEE A99 W99 
11 2 9	.CCBBBHH.FLYAA.FLYG..FLYGWDUUU.WDEEE A99 G99 
11 2 9	.CCBBBGHHFLYGAAFLY...FLY.WDUUU.WDEEE H99 G97 
11 2 9	.CCBBB.HHFLYGAAFLYG..FLY.WDUUU.WDEEE H99 G98 
11 2 9	CC.BBBHH.FLY.AAFLY.W.FLYGWDUUUG.DEEE C99 W99 
11 2 9	.CCBBB.HHFLYAA.FLY...FLYGWDUUUGWDEEE H99 A99 
11 2 9	CC.BBBHH.FLY.AAFLY..DFLYGWDUUUGW.EEE C99 D99 
11 2 9	.CCBBB.HHFLY.AAFLYG..FLYGWDUUU.WDEEE H99 G99 
11 2 9	CC.BBBHH.FLYGAAFLYG..FLY.WDUUU.WDEEE C99 G98 
11 2 9	.CCBBBHH.FLY.AAFLY.WDFLYGWDUUUG..EEE W99 D99 
11 2 9	.CCBBBHH.FLYGAAFLYG.DFLY.WDUUU.W.EEE G98 D99 
11 2 9	GCCBBBGHHFLY.AAFLY...FLY.WDUUU.WDEEE H99 G96 
11 2 9	.CCBBBHH.FLY.AAFLYG.DFLYGWDUUU.W.EEE G99 D99 
11 2 9	CC.BBBHH.FLY.AAFLYG..FLYGWDUUU.WDEEE C99 G99 
11 2 9	.CCBBB.HHFLY.AAFLY..DFLYGWDUUUGW.EEE H99 D99 
11 2 9	.CCBBBHH.FLYGAAFLYGW.FLY.WDUUU..DEEE G98 W99 
11 2 9	CC.BBBHH.FLYAA.FLY...FLYGWDUUUGWDEEE C99 A99 
11 2 9	.CCBBBHH.FLY.AAFLYGW.FLYGWDUUU..DEEE G99 W99 
11 2 9	.CCBBBHH.FLY.AAFLY..DFLYGWDUUUGWEEE. D99 E99 
11 2 9	.CCBBB.HHFLY.AAFLY.W.FLYGWDUUUG.DEEE H99 W99 
11 2 9	CC.BBB.HHFLY.AAFLY...FLYGWDUUUGWDEEE C99 H99 
11 2 9	.CCBBBHH.FLYAA.FLY..DFLYGWDUUUGW.EEE A99 D99 
12 3 9	CCBBB.HH.FLY.AAFLY.W.FLYGWDUUUG.DEEE C99 B99 W99 
12 3 9	CC.BBBHH.FLYAA.FLY.W.FLYGWDUUUG.DEEE C99 A99 W99 
12 3 9	GCCBBBGHHFLY.AAFLY..DFLY.WDUUU.W.EEE H99 G96 D99 
12 3 9	.CCBBBHH.FLY.AAFLYG.DFLYGWDUUU.WEEE. G99 D99 E99 
12 3 9	.CCBBBHH.FLY.AAFLY.WDFLYGWDUUUG.EEE. W99 D99 E99 
12 3 9	.CCBBBHH.FLYGAAFLYGWDFLY.WDUUU...EEE G98 W99 D99 
12 3 9	CCBBB.HH.FLYGAAFLYG..FLY.WDUUU.WDEEE C99 B99 G98 
12 3 9	CCBBB.HH.FLY.AAFLY..DFLYGWDUUUGW.EEE C99 B99 D99 
12 3 9	CCBBB.HH.FLY.AAFLYG..FLYGWDUUU.WDEEE C99 B99 G99 
12 3 9	CCBBB.HH.FLYAA.FLY...FLYGWDUUUGWDEEE C99 B99 A99 
12 3 9	CCBBBYHH.FLY.AAFLY...FL.GWDUUUGWDEEE C99 B99 Y99 
12 3 9	.CCBBB.HHFLY.AAFLYGW.FLYGWDUUU..DEEE H99 G99 W99 
12 3 9	.CCBBBHH.FLY.AAFLYGWDFLYGWDUUU...EEE G99 W99 D99 
12 3 9	.CCBBB.HHFLY.AAFLY.WDFLYGWDUUUG..EEE H99 W99 D99 
12 3 9	CC.BBBHH.FLY.AAFLY.WDFLYGWDUUUG..EEE C99 W99 D99 
12 3 9	CC.BBB.HHFLY.AAFLYG..FLYGWDUUU.WDEEE C99 H99 G99 
12 3 9	CC.BBBHH.FLYGAAFLYG.DFLY.WDUUU.W.EEE C99 G98 D99 
12 3 9	CCBBB..HHFLY.AAFLY...FLYGWDUUUGWDEEE C99 B99 H99 
12 3 9	.CCBBB.HHFLYGAAFLYG.DFLY.WDUUU.W.EEE H99 G98 D99 
12 3 9	CC.BBBHH.FLY.AAFLYG.DFLYGWDUUU.W.EEE C99 G99 D99 
12 3 9	CC.BBBHH.FLYAA.FLY..DFLYGWDUUUGW.EEE C99 A99 D99 
12 3 9	.CCBBBGHHFLYGAAFLY..DFLY.WDUUU.W.EEE H99 G97 D99 
12 3 9	CC.BBB.HHFLY.AAFLY..DFLYGWDUUUGW.EEE C99 H99 D99 
12 3 9	.CCBBB.HHFLYAA.FLY..DFLYGWDUUUGW.EEE H99 A99 D99 
12 3 9	CC.BBB.HHFLYAA.FLY...FLYGWDUUUGWDEEE C99 H99 A99 
12 3 9	CC.BBBHH.FLY.AAFLY..DFLYGWDUUUGWEEE. C99 D99 E99 
12 3 9	CC.BBBHH.FLYGAAFLYGW.FLY.WDUUU..DEEE C99 G98 W99 
12 3 9	CC.BBBHH.FLY.AAFLYGW.FLYGWDUUU..DEEE C99 G99 W99 
12 3 9	.CCBBB.HHFLY.AAFLYG.DFLYGWDUUU.W.EEE H99 G99 D99 
12 3 9	CC.BBB.HHFLY.AAFLY.W.FLYGWDUUUG.DEEE C99 H99 W99 
12 3 9	.CCBBB.HHFLYGAAFLYGW.FLY.WDUUU..DEEE H99 G98 W99 
12 3 9	.CCBBBHH.FLY.AAFLY.WDFLYGWDUUUGEEE.. W99 D99 E98 
12 3 9	CC.BBB.HHFLYGAAFLYG..FLY.WDUUU.WDEEE C99 H99 G98 
12 3 9	.CCBBBGHHFLYGAAFLY.W.FLY.WDUUU..DEEE H99 G97 W99 
12 3 9	.CCBBBHH.FLYGAAFLYG.DFLY.WDUUU.WEEE. G98 D99 E99 
12 3 9	CC.BBBGHHFLYGAAFLY...FLY.WDUUU.WDEEE C99 G97 H99 
12 3 9	.CCBBBHH.FLYAA.FLYG.DFLYGWDUUU.W.EEE A99 G99 D99 
12 3 9	GCCBBBGHHFLY.AAFLY.W.FLY.WDUUU..DEEE H99 G96 W99 
12 3 9	GCCBBBGHHFLYAA.FLY...FLY.WDUUU.WDEEE H99 A99 G96 
12 3 9	.CCBBBHH.FLYAA.FLY..DFLYGWDUUUGWEEE. A99 D99 E99 
12 3 9	.CCBBB.HHFLYAA.FLYG..FLYGWDUUU.WDEEE H99 A99 G99 
12 3 9	.CCBBB.HHFLY.AAFLY..DFLYGWDUUUGWEEE. H99 D99 E99 
12 3 9	CC.BBBHH.FLYAA.FLYG..FLYGWDUUU.WDEEE C99 A99 G99 
12 3 9	.CCBBBHH.FLYAA.FLY.WDFLYGWDUUUG..EEE A99 W99 D99 
12 3 9	.CCBBBHH.FLYAA.FLYGW.FLYGWDUUU..DEEE A99 G99 W99 
12 3 9	CCDBBBHHDFLYAA.FLY...FLYGW.UUUGW.EEE C99 A99 D96 
12 3 9	.CCBBB.HHFLYAA.FLY.W.FLYGWDUUUG.DEEE H99 A99 W99 
13 4 9	CC.BBBHH.FLYAA.FLYGW.FLYGWDUUU..DEEE C99 A99 W99 G99 
13 4 9	CC.BBBHH.FLYAA.FLY.WDFLYGWDUUUG..EEE C99 A99 W99 D99 
13 4 9	CCDBBBHHDFLYAA.FLY.W.FLYGW.UUUG..EEE C99 A99 W99 D96 
13 4 9	.CCBBBHH.FLYGAAFLYGWDFLY.WDUUUEEE... G98 W99 D99 E97 
