9 0 9	YI.C..YI.C.L.AACDLE.G.D.E.G.D..OOPPP 
7 1 6	YI.C..YI.C...AACD.E.G.DLE.G.DL.OOPPP L98 
7 1 6	YI.C.LYI.C.L.AACD.E.G.D.E.G.D..OOPPP L99 
8 2 6	.I.C..YI.C..YAACD.E.G.DLE.G.DL.OOPPP Y99 L98 
8 2 6	YI....YI.....AACD.E.GCDLE.GCDL.OOPPP C98 L98 
8 2 6	YI.C..YI.C..AA.CD.E.G.DLE.G.DL.OOPPP L98 A99 
8 2 6	YI.C.LYI.C.L.AACD.E.G.D.E.G.D.OO.PPP L99 O99 
8 2 6	YI....YI.C...AACD.E.GCDLE.G.DL.OOPPP C99 L98 
8 2 6	YI.C.LYI.C.L.AACD...G.D.E.G.D.EOOPPP L99 E99 
8 2 6	YI.C.LYI.C.LEAACD.E.G.D...G.D..OOPPP L99 E99 
8 2 6	YI.C.LYI.CDL.AACD.E.G.D.E.G....OOPPP L99 D99 
8 2 6	YI.CDLYI.CDL.AACD.E.G...E.G....OOPPP L99 D98 
8 2 6	YI.C..YI.CD..AACD.E.G.DLE.G..L.OOPPP L98 D99 
8 2 6	YI.C..YI.C...AACD.E.G.DLE.G.DLOO.PPP L98 O99 
8 2 6	YI...LYI...L.AACD.E.GCD.E.GCD..OOPPP C98 L99 
8 2 6	YI.C.LYI.C.LAA.CD.E.G.D.E.G.D..OOPPP L99 A99 
8 2 6	.I.C.LYI.C.LYAACD.E.G.D.E.G.D..OOPPP Y99 L99 
8 2 6	YI...LYI.C.L.AACD.E.GCD.E.G.D..OOPPP C99 L99 
8 2 6	YI.CD.YI.CD..AACD.E.G..LE.G..L.OOPPP L98 D98 
8 2 6	YI.C..YI.C...AACD...G.DLE.G.DLEOOPPP L98 E99 
8 2 6	YI.C..YI.C..EAACD.E.G.DL..G.DL.OOPPP L98 E99 
9 3 6	.I.C..YI.CD.YAACD.E.G.DLE.G..L.OOPPP Y99 D99 L98 
9 3 6	.I.CD.YI.CD.YAACD.E.G..LE.G..L.OOPPP Y99 D98 L98 
9 3 6	YI....YI.C...AACD.E.GCDLE.G.DLOO.PPP C99 L98 O99 
9 3 6	.I.C.L.I.C.LYAACD.Y.G.D.E.G.D.EOOPPP Y98 L99 E99 
9 3 6	YI.CDLYI.CDLEAACD.E.G.....G....OOPPP L99 D98 E99 
9 3 6	.I.C...I.C..YAACD.Y.G.DLE.G.DLEOOPPP Y98 L98 E99 
9 3 6	.I.C.LYI.C.LYAACD...G.D.E.G.D.EOOPPP Y99 L99 E99 
9 3 6	YI....YI.C..EAACD.E.GCDL..G.DL.OOPPP C99 L98 E99 
9 3 6	.I....YI.C..YAACD.E.GCDLE.G.DL.OOPPP Y99 C99 L98 
9 3 6	.I....YI....YAACD.E.GCDLE.GCDL.OOPPP Y99 C98 L98 
9 3 6	YI....YI.C...AACD...GCDLE.G.DLEOOPPP C99 L98 E99 
9 3 6	YI..D.YI.CD..AACD.E.GC.LE.G..L.OOPPP C99 L98 D98 
9 3 6	YI.C.LYI.C.L.AACD.E...D.E.G.D.OOGPPP L99 G99 O99 
9 3 6	YI....YI.CD..AACD.E.GCDLE.G..L.OOPPP C99 L98 D99 
9 3 6	YI.C.LYI.C.LAA.CD.E.G.D.E.G.D.OO.PPP L99 A99 O99 
9 3 6	YI.CDLYI.CDL.AACD.E.G...E.G...OO.PPP L99 D98 O99 
9 3 6	YI.C.LYI.C.LEAACD.E.G.D...G.D.OO.PPP L99 E99 O99 
9 3 6	YI.CDLYI.CDL.AACD...G...E.G...EOOPPP L99 D98 E99 
9 3 6	YI.C.LYI.CDL.AACD.E.G.D.E.G...OO.PPP L99 D99 O99 
9 3 6	YI...LYI...L.AACD.E.GCD.E.GCD.OO.PPP C98 L99 O99 
9 3 6	YI.C.LYI.C.L.AACD.E.G.D.E.G.D.OOPPP. L99 O99 P99 
9 3 6	YI.C..YI.C..AA.CD.E.G.DLE.G.DLOO.PPP L98 A99 O99 
9 3 6	YI...LYI.C.L.AACD.E.GCD.E.G.D.OO.PPP C99 L99 O99 
9 3 6	.I.C.LYI.C.LYAACD.E.G.D.E.G.D.OO.PPP Y99 L99 O99 
9 3 6	YIGC..YIGC..AA.CD.E...DLE...DL.OOPPP L98 A99 G97 
9 3 6	YI.C.LYI.CDLAA.CD.E.G.D.E.G....OOPPP L99 A99 D99 
9 3 6	YI.CDLYI.CDLAA.CD.E.G...E.G....OOPPP L99 A99 D98 
9 3 6	YI...LYI...LAA.CD.E.GCD.E.GCD..OOPPP C98 L99 A99 
9 3 6	YI.CD.YI.CD.EAACD.E.G..L..G..L.OOPPP L98 D98 E99 
9 3 6	YIGC.LYIGC.LAA.CD.E...D.E...D..OOPPP L99 A99 G97 
9 3 6	.I...LYI.C.LYAACD.E.GCD.E.G.D..OOPPP Y99 C99 L99 
9 3 6	YI.CD.YI.CD..AACD...G..LE.G..LEOOPPP L98 D98 E99 
9 3 6	YI.C..YI.C..AA.CD...G.DLE.G.DLEOOPPP L98 A99 E99 
9 3 6	YI.C..YI.CD..AACD.E.G.DLE.G..LOO.PPP L98 D99 O99 
9 3 6	YI.C..YI.C...AACD.E.G.DLE.G.DLOOPPP. L98 O99 P99 
9 3 6	YI...LYI.C.LAA.CD.E.GCD.E.G.D..OOPPP C99 L99 A99 
9 3 6	.I...LYI...LYAACD.E.GCD.E.GCD..OOPPP Y99 L99 C98 
9 3 6	YI.CD.YI.CD.AA.CD.E.G..LE.G..L.OOPPP L98 A99 D98 
9 3 6	YI.C..YI.C...AACD.E...DLE.G.DLOOGPPP L98 G99 O99 
9 3 6	YI.C..YI.C..EAACD.E.G.DL..G.DLOO.PPP L98 E99 O99 
9 3 6	YI....YI.....AACD.E.GCDLE.GCDLOO.PPP C98 L98 O99 
9 3 6	YI.C..YI.CD.AA.CD.E.G.DLE.G..L.OOPPP L98 A99 D99 
9 3 6	YI.CD.YI.CD..AACD.E.G..LE.G..LOO.PPP L98 D98 O99 
9 3 6	YI.C..YI.CD.EAACD.E.G.DL..G..L.OOPPP L98 D99 E99 
9 3 6	YI....YI.C..AA.CD.E.GCDLE.G.DL.OOPPP C99 L98 A99 
9 3 6	YI.C..YI.CD..AACD...G.DLE.G..LEOOPPP L98 D99 E99 
9 3 6	YI..DLYI.CDL.AACD.E.GC..E.G....OOPPP C99 L99 D98 
9 3 6	YI..DLYI..DL.AACD.E.GC..E.GC...OOPPP C98 L99 D98 
9 3 6	YI....YI....EAACD.E.GCDL..GCDL.OOPPP C98 L98 E99 
9 3 6	.I.CDLYI.CDLYAACD.E.G...E.G....OOPPP Y99 D98 L99 
9 3 6	YI..D.YI..D..AACD.E.GC.LE.GC.L.OOPPP C98 L98 D98 
9 3 6	YI....YI.....AACD...GCDLE.GCDLEOOPPP C98 L98 E99 
9 3 6	YI...LYI..DL.AACD.E.GCD.E.GC...OOPPP C98 L99 D99 
9 3 6	YI...LYI.CDL.AACD.E.GCD.E.G....OOPPP C99 L99 D99 
9 3 6	YI.C.LYI.CDLEAACD.E.G.D...G....OOPPP L99 D99 E99 
9 3 6	.I.C.LYI.CDLYAACD.E.G.D.E.G....OOPPP Y99 L99 D99 
9 3 6	.I.C..YI.C..YAACD...G.DLE.G.DLEOOPPP Y99 E99 L98 
9 3 6	.I.C..YI.C..YAACD.E.G.DLE.G.DLOO.PPP Y99 L98 O99 
9 3 6	YI....YI..D..AACD.E.GCDLE.GC.L.OOPPP C98 L98 D99 
9 3 6	YI...LYI...LEAACD.E.GCD...GCD..OOPPP C98 L99 E99 
9 3 6	YI....YI....AA.CD.E.GCDLE.GCDL.OOPPP C98 L98 A99 
9 3 6	YI...LYI.C.LEAACD.E.GCD...G.D..OOPPP C99 L99 E99 
9 3 6	YI.C.LYI.CDL.AACD...G.D.E.G...EOOPPP L99 D99 E99 
9 3 6	YI...LYI.C.L.AACD...GCD.E.G.D.EOOPPP C99 L99 E99 
9 3 6	YI.C.LYI.C.LAA.CD...G.D.E.G.D.EOOPPP L99 A99 E99 
9 3 6	YI...LYI...L.AACD...GCD.E.GCD.EOOPPP C98 L99 E99 
10 4 6	.I.CD.YI.CD.YAACD.E.G..LE.G..LOO.PPP Y99 D98 L98 O99 
10 4 6	.I.CDL.I.CDLYAACD.Y.G...E.G...EOOPPP Y98 L99 D98 E99 
10 4 6	.I....YI.C..YAACD...GCDLE.G.DLEOOPPP Y99 C99 E99 L98 
10 4 6	.I.CDLYI.CDLYAACD...G...E.G...EOOPPP Y99 L99 D98 E99 
10 4 6	YI...LYI.CDLEAACD.E.GCD...G....OOPPP C99 L99 D99 E99 
10 4 6	YI..D.YI.CD.EAACD.E.GC.L..G..L.OOPPP C99 L98 D98 E99 
10 4 6	YI.C..YI.C..AA.CD.E.G.DLE.G.DLOOPPP. L98 A99 O99 P99 
10 4 6	YI....YI.CD.EAACD.E.GCDL..G..L.OOPPP C99 L98 D99 E99 
10 1 9	YI.C..YI.C.L.AACDL..G.D.E.G.D.EOOPPP E99 
10 4 6	YI....YI.....AACD.E..CDLE.GCDLOOGPPP C98 L98 G99 O99 
10 4 6	YI.CDLYI.CDLEAACD.E.G.....G...OO.PPP L99 D98 E99 O99 
10 4 6	.I...LYI.C.LYAACD...GCD.E.G.D.EOOPPP Y99 C99 L99 E99 
10 4 6	.I.C...I.CD.YAACD.Y.G.DLE.G..LEOOPPP Y98 D99 L98 E99 
10 4 6	.I.C..YI.C..YAACD.E...DLE.G.DLOOGPPP Y99 L98 G99 O99 
10 4 6	.I...LYI..DLYAACD.E.GCD.E.GC...OOPPP Y99 L99 C98 D99 
