9 0 9	JJJ.PSFF..PSHAADPUH.NDLUBINDLOBINGGO 
10 1 9	.JJJPSFF..PSHAADPUH.NDLUBINDLOBINGGO J99 
10 1 9	JJJ.PS..FFPSHAADPUH.NDLUBINDLOBINGGO F98 
10 1 9	JJJ.PSFF..PSHAADPUHINDLUBINDLOB.NGGO I99 
10 1 9	JJJ.PS.FF.PSHAADPUH.NDLUBINDLOBINGGO F99 
10 1 9	JJJDPSFF.DPSHAADPUH.N.LUBIN.LOBINGGO D98 
10 1 9	JJJ.PSFF.DPSHAADPUH.NDLUBIN.LOBINGGO D99 
11 2 9	.JJJPS..FFPSHAADPUH.NDLUBINDLOBINGGO J99 F98 
11 2 9	.JJJPSFF..PSHAADPUHINDLUBINDLOB.NGGO J99 I99 
11 2 9	JJJ.PS.FFDPSHAADPUH.NDLUBIN.LOBINGGO F99 D99 
11 2 9	JJJ.PSHFF.PSHAADPU..NDLUBINDLOBINGGO F99 H99 
11 2 9	.JJJPS.FF.PSHAADPUH.NDLUBINDLOBINGGO J99 F99 
11 2 9	JJJ.PS..FFPSHAADPUHINDLUBINDLOB.NGGO F98 I99 
11 2 9	JJJ.PSFF.DPSHAADPUHINDLUBIN.LOB.NGGO D99 I99 
11 2 9	JJJDPS.FFDPSHAADPUH.N.LUBIN.LOBINGGO F99 D98 
11 2 9	JJJ.PS.FF.PSHAADPUHINDLUBINDLOB.NGGO F99 I99 
11 2 9	JJJ.PSH.FFPSHAADPU..NDLUBINDLOBINGGO F98 H99 
11 2 9	JJJDPSFF.DPSHAADPUHIN.LUBIN.LOB.NGGO D98 I99 
11 2 9	.JJJPSFF.DPSHAADPUH.NDLUBIN.LOBINGGO J99 D99 
12 3 9	.JJJPS..FFPSHAADPUHINDLUBINDLOB.NGGO J99 F98 I99 
12 3 9	.JJJPS.FFDPSHAADPUH.NDLUBIN.LOBINGGO J99 F99 D99 
12 3 9	JJJ.PS.FFDPSHAADPUHINDLUBIN.LOB.NGGO F99 D99 I99 
12 3 9	JJJDPS.FFDPSHAADPUHIN.LUBIN.LOB.NGGO F99 D98 I99 
12 3 9	JJJ.PSHFFDPSHAADPU..NDLUBIN.LOBINGGO F99 H99 D99 
12 3 9	.JJJPS.FF.PSHAADPUHINDLUBINDLOB.NGGO J99 F99 I99 
12 3 9	HJJJPSH.FFPS.AADPU..NDLUBINDLOBINGGO J99 F98 H98 
12 3 9	.JJJPSFF.DPSHAADPUHINDLUBIN.LOB.NGGO J99 D99 I99 
12 3 9	.JJJPSH.FFPSHAADPU..NDLUBINDLOBINGGO J99 F98 H99 
12 3 9	JJJ.PSHFF.PSHAADPU.INDLUBINDLOB.NGGO F99 H99 I99 
12 3 9	JJJ.PSH.FFPSHAADPU.INDLUBINDLOB.NGGO F98 H99 I99 
12 3 9	JJJ.PSH.FFPSHAADPUB.NDLUBINDLO.INGGO F98 H99 B99 
12 3 9	HJJJPSHFF.PS.AADPU..NDLUBINDLOBINGGO J99 F99 H98 
12 3 9	JJJDPSHFFDPSHAADPU..N.LUBIN.LOBINGGO F99 H99 D98 
12 3 9	JJJ.PSHFF.PSHAADPUB.NDLUBINDLO.INGGO F99 H99 B99 
12 3 9	.JJJPSHFF.PSHAADPU..NDLUBINDLOBINGGO J99 F99 H99 
13 4 9	HJJJPSH.FFPS.AADPU.INDLUBINDLOB.NGGO J99 F98 H98 I99 
13 4 9	JJJ.PSHFFDPSHAADPU.INDLUBIN.LOB.NGGO F99 H99 D99 I99 
13 4 9	HJJJPSH.FFPSBAADPUB.NDLU.INDLO.INGGO J99 F98 H98 B98 
