7 0 7	VVBC....BCDEAABCDEHJ..F.HJNNFI.KK.FI 
6 1 5	VVBCD...BCDEAABC.EHJ..F.HJNNFI.KK.FI D99 
6 2 4	VVBCDE..BCDEAABC..HJ..F.HJNNFI.KK.FI D99 E99 
7 1 6	VVBC.E..BCDEAABCD.HJ..F.HJNNFI.KK.FI E99 
7 2 5	VVBCD...BCDEAABC.E.J..F.HJNNFIHKK.FI D99 H99 
7 3 4	VVBCDE..BCDEAABC..HJ..F.HJNNFI..KKFI D99 E99 K99 
7 2 5	VV.CD...BCDEAABC.EHJB.F.HJNNFI.KK.FI B99 D99 
7 2 5	VVB.D...BCDEAABC.EHJ.CF.HJNNFI.KK.FI C99 D99 
7 3 4	VVBCDE..BCDEAABC..HJ..F.HJNNFIKK..FI D99 E99 K99 
7 3 4	VVBCDE..BCDEAABC..HJ..FIHJNNFI.KK.F. D99 E99 I99 
7 2 5	VVBCD...BCDEAABC.EHJ..F.HJNNFIKK..FI D99 K99 
7 3 4	VVBCDE..BCDEAABC...J..F.HJNNFIHKK.FI D99 E99 H99 
7 2 5	VVBCD...BCDEAABC.EHJ..F.HJNNFI..KKFI D99 K99 
8 2 6	VVBCD...BCDEAABC.EHJ..FIHJNNFI.KK.F. D99 I99 
8 2 6	VVBC.E..BCDEAABCD.HJ..F.HJNNFI..KKFI E99 K99 
8 3 5	VV.CD...BCDEAABC.E.JB.F.HJNNFIHKK.FI B99 D99 H99 
8 3 5	VVB.D...BCDEAABC.E.J.CF.HJNNFIHKK.FI C99 D99 H99 
8 4 4	VVB.DE..BCDEAABC...J.CF.HJNNFIHKK.FI C99 D99 E99 H99 
8 4 4	VV.CDE..BCDEAABC...JB.F.HJNNFIHKK.FI B99 D99 E99 H99 
8 2 6	VVBC.E..BCDEAABCD.HJ..F.HJNNFIKK..FI E99 K99 
8 4 4	VVB.DE..BCDEAABC..HJ.CFIHJNNFI.KK.F. C99 D99 E99 I99 
8 4 4	VVBCDE..BCDEAABC..HJ..FIHJNNFIKK..F. D99 E99 I99 K99 
8 4 4	VV.CDE..BCDEAABC..HJB.FIHJNNFI.KK.F. B99 D99 E99 I99 
8 1 7	VVB.....BCDEAABCDEHJ.CF.HJNNFI.KK.FI C99 
8 2 6	VVBC.E..BCDEAABCD.HJ..FIHJNNFI.KK.F. E99 I99 
8 4 4	VV.CDE..BCDEAABC..HJB.F.HJNNFIKK..FI B99 D99 E99 K99 
8 1 7	VV.C....BCDEAABCDEHJB.F.HJNNFI.KK.FI B99 
8 3 5	VVB.D...BCDEAABC.EHJ.CF.HJNNFIKK..FI C99 D99 K99 
8 2 6	VV.C.E..BCDEAABCD.HJB.F.HJNNFI.KK.FI B99 E99 
8 2 6	VVBCD...BCD.AABC.EHJ..FEHJNNFI.KK.FI D99 E99 
8 3 5	VVBCD...BCDEAABC.E.J..F.HJNNFIH.KKFI D99 H99 K99 
8 3 5	VV.CD...BCDEAABC.EHJB.F.HJNNFIKK..FI B99 D99 K99 
8 1 7	VVBC....BCDEAABCDEHJ..F.HJNNFI..KKFI K99 
8 4 4	VVBCDE..BCDEAABC..HJ..FIHJNNFI..KKF. D99 E99 I99 K99 
