6 0 6	..DII...DCLLAABC.OJ.B.POJFFFPOSSS.GG 
6 1 5	..D.II..DCLLAABC.OJ.B.POJFFFPOSSS.GG I99 
6 2 4	..DCII..DCLLAAB..OJ.B.POJFFFPOSSS.GG I99 C99 
7 1 6	..DII...D.LLAABC.OJ.BCPOJFFFPOSSS.GG C99 
7 2 5	..D.II..DCLLAABC.OJ.B.POJFFFPOSSSGG. I99 G99 
6 3 3	..D.II..DCLLAABC..J.B.POJFFFPOSSSGGO I99 O99 G99 
6 4 2	..DCII..DCLLAAB...J.B.POJFFFPOSSSGGO I99 C99 O99 G99 
7 3 4	..DCII..DCLLAAB..OJ.B.POJFFFPOSSSGG. I99 C99 G99 
7 3 4	..DCII..DCLLAAB..OJ.B.POJFFFPO.SSSGG I99 C99 S99 
7 1 6	..DII...DCLLAABC.OJ.B.POJFFFPO.SSSGG S99 
7 1 6	..DII...DCLLAABC.OJ.B.POJFFFPOSSSGG. G99 
6 2 4	..DII...DCLLAABC..J.B.POJFFFPOSSSGGO O99 G99 
7 3 4	..DII...D.LLAABC..J.BCPOJFFFPOSSSGGO C99 O99 G99 
8 2 6	..DII...D.LLAABC.OJ.BCPOJFFFPO.SSSGG C99 S99 
8 2 6	..DII...DLL.AABC.OJ.BCPOJFFFPOSSS.GG C99 L99 
8 4 4	..DII...DLL.AABC..J.BCPOJFFFPOSSSGGO C99 L99 O99 G99 
8 3 5	..DII...DLLOAABC.OJ.BCPOJFFFP.SSS.GG C99 L99 O99 
8 2 6	..D.II..D.LLAABC.OJ.BCPOJFFFPOSSS.GG I99 C99 
8 2 6	..DII...DCLLAABC.O..B.POJFFFPOJSSSGG J99 S99 
8 4 4	..DCII..DCLLAAB..O..B.POJFFFPOJSSSGG I99 C99 J99 S99 
8 4 4	..D.II..D.LLAABC..J.BCPOJFFFPOSSSGGO I99 C99 O99 G99 
8 4 4	..DII...DCLLAABC..J.B.POJFFFPOSSSGGO I98 O99 G99 
8 3 5	..D.II..DCLLAABC.O..B.POJFFFPOJSSSGG I99 J99 S99 
9 5 4	..D.II..DLL.AABC..J.BCPOJFFFPOSSSGGO I99 C99 L99 O99 G99 
9 3 6	..DIIO..DLLOAABC.OJ.BCP.JFFFP.SSS.GG C99 L99 O98 
9 1 8	..DII...DCLLAABCPOJ.B.POJFFF.OSSS.GG P99 
9 3 6	..D.II..DLL.AABC.OJ.BCPOJFFFPOSSS.GG I99 C99 L99 
9 3 6	..DII...D.LLAABC.O..BCPOJFFFPOJSSSGG C99 J99 S99 
9 4 5	..D.II..DCLLAABCP.J.B.POJFFF.OSSSGGO I99 O99 P99 G99 
9 3 6	..D.II..D.LLAABC.OJ.BCPOJFFFPO.SSSGG I99 C99 S99 
9 4 5	..DII...DLLOAABC.OJ.BCPOJFFFP.SSSGG. C99 L99 O99 G99 
9 2 7	..D.II..DCLLAABCPOJ.B.POJFFF.OSSS.GG I99 P99 
9 4 5	..D.II..DLL.AABC.OJ.BCPOJFFFPOSSSGG. I99 C99 L99 G99 
9 5 4	..DCII..DCLLAAB.P.J.B.POJFFF.OSSSGGO I99 C99 O99 P99 G99 
9 4 5	..D.II..DCLLAABC.OJ.B.POJFFFPO.SSSGG I99 J98 S99 
9 4 5	..DII...DLLOAABC.OJ.BCPOJFFFP..SSSGG C99 L99 O99 S99 
10 3 7	..D.II..DCLLAABCPOJ.B.POJFFF.OSSSGG. I99 P99 G99 
10 2 8	..DII...DCLLAABCPOJ.B.POJFFF.OSSSGG. P99 G99 
9 3 6	..DII...DCLLAABCP.J.B.POJFFF.OSSSGGO O99 P99 G99 
10 4 6	..D.II..DLL.AABC.OJ.BCPOJFFFPO.SSSGG I99 C99 L99 S99 
10 2 8	..DII...DCLLAABCPOJ.B.POJFFF.O.SSSGG P99 S99 
10 2 8	..DII...DCLLAABCPOJ.B.POJ.FFFOSSS.GG P99 F99 
10 2 8	..DII...D.LLAABCPOJ.BCPOJFFF.OSSS.GG C99 P99 
10 4 6	..DII...DCLLAABCP.J.B.POJ.FFFOSSSGGO O99 P99 F99 G99 
10 4 6	..DIIO..DLLOAABC.OJ.BCP.JFFFP.SSSGG. C99 L99 O98 G99 
10 4 6	..DCII..DCLLAAB.POJ.B.POJFFF.OSSSGG. I99 C99 P99 G99 
10 3 7	..D.II..DCLLAABCPOJ.B.POJ.FFFOSSS.GG I99 P99 F99 
