3 0 3	U.B..DU.BCCDAABT.DFW.TKKFWLLL..WOOO. 
4 1 3	U....DU.BCCDAABT.DFWBTKKFWLLL..WOOO. B99 
4 1 3	U.B..DU.BCCDAABT.DFW.TKKFW.LLL.WOOO. L99 
4 1 3	U.B..DU.BCCDAABT.DFW.TKKFWLLL..W.OOO O99 
4 1 3	U.B..DU.BCCDAABT.D.W.TKKFWLLL.FWOOO. F99 
5 2 3	U....DU.BCCDAABT.DFWBTKKFWLLL..W.OOO B99 O99 
5 2 3	U.B..DU.BCCDAABT.D.W.TKKFW.LLLFWOOO. F99 L99 
5 2 3	U....DU..CCDAABT.DFWBTKKFWBLLL.WOOO. B98 L99 
5 2 3	U.B..DU.BCCDAABT.D.W.TKKFWLLL.FW.OOO F99 O99 
5 2 3	U....DU.BCCDAABT.DFWBTKKFW.LLL.WOOO. B99 L99 
5 2 3	U.B..DU.BCCDAABT.DFW.TKKFW.LLL.W.OOO L99 O99 
5 3 2	U....DU..CCDAA.T.DFWBTKKFWBLLL.WBOOO B97 L99 O99 
5 2 3	U....DU.BCCDAABT.D.WBTKKFWLLL.FWOOO. B99 F99 
6 4 2	U....DU..CCD.AAT.DFWBTKKFWBLLL.WBOOO B97 A99 L99 O99 
6 4 2	U....DU..CCDAA.T.D.WBTKKFWBLLLFWBOOO B97 F99 L99 O99 
6 4 2	U....DU.CC.DAA.T.DFWBTKKFWBLLL.WBOOO B97 C99 L99 O99 
6 4 2	U....DUCC..DAA.T.DFWBTKKFWBLLL.WBOOO B97 C98 L99 O99 
6 5 1	U..T.DUCCT.DAA...DFWB.KKFWBLLL.WBOOO B97 C98 T98 L99 O99 
6 3 3	U....DU.BCCDAABT.D.WBTKKFWLLL.FW.OOO B99 F99 O99 
6 3 3	U....DU.BCCDAABT.DFWBTKKFW.LLL.W.OOO B99 L99 O99 
6 3 3	U.B..DU.BCCDAABT.D.W.TKKFW.LLLFW.OOO F99 L99 O99 
6 3 3	U....DUCC..DAABT.DFWBTKKFWBLLL.WOOO. B98 C98 L99 
6 4 2	U..T.DUCCT.DAAB..DFWB.KKFWBLLL.WOOO. B98 C98 T98 L99 
6 3 3	U....DU.CC.DAABT.DFWBTKKFWBLLL.WOOO. B98 C99 L99 
6 3 3	U....DU..CCDAABT.D.WBTKKFWBLLLFWOOO. B98 F99 L99 
6 3 3	U....DU..CCDAABT.DFWBTKKFWBLLL.W.OOO B98 L99 O99 
6 3 3	U....DU.BCCDAABT.D.WBTKKFW.LLLFWOOO. B99 F99 L99 
7 6 1	U..T.DUCCT.DAA...D.WB.KKFWBLLLFWBOOO B97 C98 T98 F99 L99 O99 
7 6 1	U..T.DUCCT.DAA...DFWBKK.FWBLLL.WBOOO B97 C98 T98 K99 L99 O99 
7 6 1	U..T.DUCCT.D..AA.DFWB.KKFWBLLL.WBOOO B97 C98 A98 T98 L99 O99 
7 6 1	U..T.DUCCT.D...AADFWB.KKFWBLLL.WBOOO B97 C98 A97 T98 L99 O99 
7 6 1	U..T.DUCCT.D.AA..DFWB.KKFWBLLL.WBOOO B97 C98 A99 T98 L99 O99 
7 5 2	U....DU..CCD.AAT.D.WBTKKFWBLLLFWBOOO B97 A99 F99 L99 O99 
7 5 2	U....DUCC..D.AAT.DFWBTKKFWBLLL.WBOOO B97 C98 A99 L99 O99 
7 5 2	U..T.DUCCT.DAAB..DFWBKK.FWBLLL.WOOO. B98 C98 T98 K99 L99 
7 5 2	U....DU.CC.D.AAT.DFWBTKKFWBLLL.WBOOO B97 C99 A99 L99 O99 
7 5 2	U....DU..CCDFAAT.DFWBTKK.WBLLL.WBOOO B97 A99 F99 L99 O99 
7 5 2	U..T.DUCCT.DAAB..D.WB.KKFWBLLLFWOOO. B98 C98 T98 F99 L99 
7 5 2	U....DUCCT.DAA.T.DFWB.KKFWBLLL.WBOOO B97 C98 T99 L99 O99 
7 5 2	.....DU..CCDUAAT.DFWBTKKFWBLLL.WBOOO U99 A99 B97 L99 O99 
7 5 2	U....DUCC..DAA.T.D.WBTKKFWBLLLFWBOOO B97 C98 F99 L99 O99 
7 5 2	U....DU.CC.DAA.T.D.WBTKKFWBLLLFWBOOO B97 C99 F99 L99 O99 
7 4 3	U....DUCCT.DAABT.DFWB.KKFWBLLL.WOOO. B98 C98 T99 L99 
7 4 3	U....DUCC..DAABT.D.WBTKKFWBLLLFWOOO. B98 C98 F99 L99 
7 4 3	U....DU.CC.DAABT.D.WBTKKFWBLLLFWOOO. B98 C99 F99 L99 
8 7 1	U..T.DUCCT.D.AA..DFWBKK.FWBLLL.WBOOO B97 C98 A99 T98 K99 L99 O99 
8 7 1	U..T.DUCCT.D..AA.DFWBKK.FWBLLL.WBOOO B97 C98 A98 T98 K99 L99 O99 
8 7 1	U..T..UCCT.DAA...DFWBKKDFWBLLL.WBOOO B97 D99 C98 T98 K99 L99 O99 
8 7 1	U..T.DUCCT.D..BAADFWB.KKFWBLLL.W.OOO B96 C98 A97 T98 L99 O99 
8 7 1	U..T.DUCCT.D...AAD.WB.KKFWBLLLFWBOOO B97 C98 A97 T98 F99 L99 O99 
8 7 1	U..T.DUCCT.D..AA.D.WB.KKFWBLLLFWBOOO B97 C98 A98 T98 F99 L99 O99 
8 7 1	U..T.DUCCT.D.AA..D.WB.KKFWBLLLFWBOOO B97 C98 A99 T98 F99 L99 O99 
8 7 1	U..T.DUCCT.D.WAA.DFWB.KKFWBLLL..BOOO B97 C98 A98 T98 W99 L99 O99 
8 7 1	U..T.DUCCT.DAA...D.WBKK.FWBLLLFWBOOO B97 C98 T98 F99 K99 L99 O99 
