3 0 3	U.B..DU.BCCDAABT.DFW.TKKFWLLL..W..GG 
4 1 3	U....DU.BCCDAABT.DFWBTKKFWLLL..W..GG B99 
4 1 3	U.B..DU.BCCDAABT.DFW.TKKFW.LLL.W..GG L99 
4 2 2	U....DU..CCDAA.T.DFWBTKKFWBLLL.WB.GG B97 L99 
4 1 3	U.B..DU.BCCDAABT.DFW.TKKFWLLL..WGG.. G98 
4 1 3	U.B..DU.BCCDAABT.D.W.TKKFWLLL.FW..GG F99 
4 1 3	U.B..DU.BCCDAABT.DFW.TKKFWLLL..W.GG. G99 
5 3 2	U....DU.CC.DAA.T.DFWBTKKFWBLLL.WB.GG B97 C99 L99 
5 3 2	U....DU..CCD.AAT.DFWBTKKFWBLLL.WB.GG B97 A99 L99 
5 3 2	U....DU..CCDAA.T.D.WBTKKFWBLLLFWB.GG B97 F99 L99 
5 3 2	U....DUCC..DAA.T.DFWBTKKFWBLLL.WB.GG B97 C98 L99 
5 4 1	U..T.DUCCT.DAA...DFWB.KKFWBLLL.WB.GG B97 C98 T98 L99 
5 3 2	U....DU..CCDAA.T.DFWBTKKFWBLLL.WBGG. B97 L99 G99 
5 2 3	U.B..DU.BCCDAABT.D.W.TKKFWLLL.FW.GG. F99 G99 
5 2 3	U....DU.BCCDAABT.DFWBTKKFWLLL..WGG.. B99 G98 
5 2 3	U....DU.BCCDAABT.DFWBTKKFWLLL..W.GG. B99 G99 
5 2 3	U....DU.BCCDAABT.DFWBTKKFW.LLL.W..GG B99 L99 
5 2 3	U....DU.BCCDAABT.D.WBTKKFWLLL.FW..GG B99 F99 
5 2 3	U.B..DU.BCCDAABT.DFW.TKKFW.LLL.W.GG. L99 G99 
5 2 3	U.B..DU.BCCDAABT.D.W.TKKFW.LLLFW..GG F99 L99 
5 2 3	U.B..DU.BCCDAABT.DFW.TKKFW.LLL.WGG.. L99 G98 
5 2 3	U.B..DU.BCCDAABT.D.W.TKKFWLLL.FWGG.. F99 G98 
5 2 3	U....DU..CCDAABT.DFWBTKKFWBLLL.W..GG B98 L99 
6 5 1	U..T.DUCCT.D.AA..DFWB.KKFWBLLL.WB.GG B97 C98 A99 T98 L99 
6 5 1	U..T.DUCCT.D...AADFWB.KKFWBLLL.WB.GG B97 C98 A97 T98 L99 
6 5 1	U..T.DUCCT.DAA...D.WB.KKFWBLLLFWB.GG B97 C98 T98 F99 L99 
6 5 1	U..T.DUCCT.D..AA.DFWB.KKFWBLLL.WB.GG B97 C98 A98 T98 L99 
6 5 1	U..T.DUCCT.DAA...DFWB.KKFWBLLL.WBGG. B97 C98 T98 L99 G99 
6 5 1	U..T.DUCCT.DAA...DFWBKK.FWBLLL.WB.GG B97 C98 T98 K99 L99 
6 4 2	U....DUCC..DAA.T.DFWBTKKFWBLLL.WBGG. B97 C98 L99 G99 
6 4 2	U....DU.CC.D.AAT.DFWBTKKFWBLLL.WB.GG B97 C99 A99 L99 
6 4 2	U....DU..CCD.AAT.DFWBTKKFWBLLL.WBGG. B97 A99 L99 G99 
6 4 2	U....DU.CC.DAA.T.DFWBTKKFWBLLL.WBGG. B97 C99 L99 G99 
6 4 2	U....DUCCT.DAA.T.DFWB.KKFWBLLL.WB.GG B97 C98 T99 L99 
6 4 2	U....DUCC..DAA.T.D.WBTKKFWBLLLFWB.GG B97 C98 F99 L99 
6 4 2	U....DU..CCDAA.T.D.WBTKKFWBLLLFWBGG. B97 F99 L99 G99 
6 4 2	U....DU..CCDFAAT.DFWBTKK.WBLLL.WB.GG B97 A99 F99 L99 
6 4 2	U....DU..CCD.AAT.D.WBTKKFWBLLLFWB.GG B97 A99 F99 L99 
6 4 2	U....DUCC..D.AAT.DFWBTKKFWBLLL.WB.GG B97 C98 A99 L99 
6 4 2	.....DU..CCDUAAT.DFWBTKKFWBLLL.WB.GG U99 A99 B97 L99 
6 4 2	U....DU.CC.DAA.T.D.WBTKKFWBLLLFWB.GG B97 C99 F99 L99 
6 3 3	U....DU.BCCDAABT.DFWBTKKFW.LLL.WGG.. B99 L99 G98 
6 3 3	U.B..DU.BCCDAABT.D.W.TKKFW.LLLFW.GG. F99 L99 G99 
6 3 3	U....DU.BCCDAABT.D.WBTKKFWLLL.FW.GG. B99 F99 G99 
6 3 3	U....DU.BCCDAABT.D.WBTKKFWLLL.FWGG.. B99 F99 G98 
6 3 3	U....DU..CCDAABT.DFWBTKKFWBLLL.WGG.. B98 L99 G98 
6 3 3	U.B..DU.BCCDAABT.D.W.TKKFW.LLLFWGG.. F99 L99 G98 
7 6 1	...T.DUCCT.DUAA..DFWB.KKFWBLLL.WB.GG U99 T98 C98 A99 B97 L99 
7 6 1	U..T.DUCCT.D.AA..DFWB.KKFWBLLL.WBGG. B97 C98 A99 T98 L99 G99 
7 6 1	U..T.DUCCT.D...AADFWB.KKFWBLLL.WBGG. B97 C98 A97 T98 L99 G99 
7 6 1	U..T.DUCCT.DAA...DFWBKK.FWBLLL.WBGG. B97 C98 T98 K99 L99 G99 
7 6 1	U..T..UCCT.DAA...DFWBKKDFWBLLL.WB.GG B97 D99 C98 T98 K99 L99 
7 6 1	U..T.DUCCT.D..AA.DFWB.KKFWBLLL.WBGG. B97 C98 A98 T98 L99 G99 
7 6 1	U..T.DUCCT.D.WAA.DFWB.KKFWBLLL..B.GG B97 C98 A98 T98 W99 L99 
7 6 1	U..T.DUCCT.D..AA.DFWBKK.FWBLLL.WB.GG B97 C98 A98 T98 K99 L99 
7 6 1	U..T.DUCCT.DAA...D.WB.KKFWBLLLFWBGG. B97 C98 T98 F99 L99 G99 
7 6 1	U..T.DUCCT.DF.AA.DFWB.KK.WBLLL.WB.GG B97 C98 A98 T98 F99 L99 
7 6 1	...T.DUCCT.DU.AA.DFWB.KKFWBLLL.WB.GG U99 T98 C98 A98 B97 L99 
7 6 1	U..T.DUCCT.DAA...D.WBKK.FWBLLLFWB.GG B97 C98 T98 F99 K99 L99 
7 6 1	U..T.DUCCT.D..AA.D.WB.KKFWBLLLFWB.GG B97 C98 A98 T98 F99 L99 
7 6 1	U..T.DUCCT.D...AADFWBKK.FWBLLL.WB.GG B97 C98 A97 T98 K99 L99 
7 6 1	U..T.DUCCT.D..BAADFWB.KKFWBLLL.W..GG B96 C98 A97 T98 L99 
7 6 1	U..T.DUCCT.DF..AADFWB.KK.WBLLL.WB.GG B97 C98 A97 T98 F99 L99 
7 6 1	U..T.DUCCT.D.W.AADFWB.KKFWBLLL..B.GG B97 C98 A97 T98 W99 L99 
7 6 1	U..T.DUCCT.D...AAD.WB.KKFWBLLLFWB.GG B97 C98 A97 T98 F99 L99 
7 6 1	...T.DUCCT.DU..AADFWB.KKFWBLLL.WB.GG U99 T98 C98 A97 B97 L99 
7 6 1	U..T.DUCCT.D.AA..DFWBKK.FWBLLL.WB.GG B97 C98 A99 T98 K99 L99 
7 6 1	U..T.DUCCT.DFAA..DFWB.KK.WBLLL.WB.GG B97 C98 A99 T98 F99 L99 
7 6 1	U..T.DUCCT.D.AA..D.WB.KKFWBLLLFWB.GG B97 C98 A99 T98 F99 L99 
7 5 2	U....DU..CCDFAAT.DFWBTKK.WBLLL.WBGG. B97 A99 F99 L99 G99 
7 5 2	U....DUCC..D.AAT.D.WBTKKFWBLLLFWB.GG B97 C98 A99 F99 L99 
