3 0 3	.CCBBBHH.FLY.AAFLY...FLYGWDUUUGWDEEE C99 
4 1 3	CC.BBBHH.FLY.AAFLY...FLYGWDUUUGWDEEE C99 
4 1 3	.CCBBBHH.FLYAA.FLY...FLYGWDUUUGWDEEE A99 
4 1 3	.CCBBBHH.FLY.AAFLY.W.FLYGWDUUUG.DEEE W99 
4 1 3	.CCBBBHH.FLY.AAFLY..DFLYGWDUUUGW.EEE D99 
4 1 3	.CCBBB.HHFLY.AAFLY...FLYGWDUUUGWDEEE H99 
4 1 3	.CCBBBHH.FLYGAAFLYG..FLY.WDUUU.WDEEE G98 
4 1 3	.CCBBBHH.FLY.AAFLYG..FLYGWDUUU.WDEEE G99 
5 2 3	CCBBB.HH.FLY.AAFLY...FLYGWDUUUGWDEEE C99 B99 
5 2 3	.CCBBBHH.FLYAA.FLY.W.FLYGWDUUUG.DEEE A99 W99 
5 2 3	.CCBBBHH.FLYAA.FLYG..FLYGWDUUU.WDEEE A99 G99 
5 2 3	.CCBBBGHHFLYGAAFLY...FLY.WDUUU.WDEEE H99 G97 
5 2 3	.CCBBB.HHFLYGAAFLYG..FLY.WDUUU.WDEEE H99 G98 
5 2 3	CC.BBBHH.FLY.AAFLY.W.FLYGWDUUUG.DEEE C99 W99 
5 2 3	.CCBBB.HHFLYAA.FLY...FLYGWDUUUGWDEEE H99 A99 
5 2 3	CC.BBBHH.FLY.AAFLY..DFLYGWDUUUGW.EEE C99 D99 
5 2 3	.CCBBB.HHFLY.AAFLYG..FLYGWDUUU.WDEEE H99 G99 
5 2 3	CC.BBBHH.FLYGAAFLYG..FLY.WDUUU.WDEEE C99 G98 
5 2 3	.CCBBBHH.FLY.AAFLY.WDFLYGWDUUUG..EEE W99 D99 
5 2 3	.CCBBBHH.FLYGAAFLYG.DFLY.WDUUU.W.EEE G98 D99 
5 2 3	GCCBBBGHHFLY.AAFLY...FLY.WDUUU.WDEEE H99 G96 
5 2 3	.CCBBBHH.FLY.AAFLYG.DFLYGWDUUU.W.EEE G99 D99 
5 2 3	CC.BBBHH.FLY.AAFLYG..FLYGWDUUU.WDEEE C99 G99 
5 2 3	.CCBBB.HHFLY.AAFLY..DFLYGWDUUUGW.EEE H99 D99 
5 2 3	.CCBBBHH.FLYGAAFLYGW.FLY.WDUUU..DEEE G98 W99 
5 2 3	CC.BBBHH.FLYAA.FLY...FLYGWDUUUGWDEEE C99 A99 
5 2 3	.CCBBBHH.FLY.AAFLYGW.FLYGWDUUU..DEEE G99 W99 
5 2 3	.CCBBBHH.FLY.AAFLY..DFLYGWDUUUGWEEE. D99 E99 
5 2 3	.CCBBB.HHFLY.AAFLY.W.FLYGWDUUUG.DEEE H99 W99 
5 2 3	CC.BBB.HHFLY.AAFLY...FLYGWDUUUGWDEEE C99 H99 
5 2 3	.CCBBBHH.FLYAA.FLY..DFLYGWDUUUGW.EEE A99 D99 
6 2 4	.CCBBBHHDFLYAADFLY...FLYGW.UUUGW.EEE A99 D97 
6 3 3	CC.BBBHH.FLYAA.FLY.W.FLYGWDUUUG.DEEE C99 A99 W99 
