3 0 3	..GGOS..DFOSAADFO.T.DF..TVKKJJ.VIII. G98 
4 1 3	.GG.OS..DFOSAADFO.T.DF..TVKKJJ.VIII. G99 
4 1 3	..GG.S..DFOSAADFO.T.DFO.TVKKJJ.VIII. O99 
4 1 3	..GGOS..DFOSAADFO.TVDF..TVKKJJ..III. V99 
4 1 3	..GGOS..DFOSAADFO...DF..TVKKJJTVIII. T99 
4 1 3	GG..OS..DFOSAADFO.T.DF..TVKKJJ.VIII. G98 
4 1 3	..GGOS..DFOSAADFO.T.DF..TVKKJJ.V.III I99 
5 1 4	..GGO...DFOSAADFOST.DF..TVKKJJ.VIII. S99 
5 2 3	...GGS..DFOSAADFO.T.DFO.TVKKJJ.VIII. G99 O99 
5 2 3	GGD.OS..DFOSAADFO.T..F..TVKKJJ.VIII. G98 D99 
5 2 3	GG..OS..DFOSAADFO.T.DF..TVKKJJ.V.III G98 I99 
5 2 3	GG...S..DFOSAADFO.T.DFO.TVKKJJ.VIII. G98 O99 
5 2 3	.GG.OS..DFOSAADFO.TVDF..TVKKJJ..III. G99 V99 
5 2 3	.GG.OS..DFOSAADFO.T.DF..TVKKJJ.V.III G99 I99 
5 2 3	GG..OS..DFOSAADFO...DF..TVKKJJTVIII. G98 T99 
5 2 3	.GG.OS..DFOSAADFO...DF..TVKKJJTVIII. G99 T99 
5 2 3	..GGOS..DFOSAADFO.TVDF..TVKKJJIII... V99 I98 
5 2 3	..GGOS..DFOSAADFO.TVDF..TVKKJJ.III.. V99 I99 
5 1 4	..GGO...DFO.AADFOST.DF.STVKKJJ.VIII. S98 
5 2 3	.GGFOS..DFOSAADFO.T.D...TVKKJJ.VIII. G99 F99 
5 2 3	..GGOS..DFOSAADFO..VDF..TVKKJJT.III. T99 V99 
5 2 3	..GGOS..DFOSAADFO...DF..TVKKJJTV.III T99 I99 
5 2 3	..GG.S..DFOSAADFO.T.DFO.TVKKJJ.V.III O99 I99 
5 2 3	GG..OS..DFOSAADFO.TVDF..TVKKJJ..III. G98 V99 
5 2 3	..GG.S..DFOSAADFO...DFO.TVKKJJTVIII. O99 T99 
5 2 3	..GG.S..DFOSAADFO.TVDFO.TVKKJJ..III. O99 V99 
5 2 3	..GGOS..DFOSAADFO.TVDF..TVKKJJ...III V99 I99 
5 2 3	.GG..S..DFOSAADFO.T.DFO.TVKKJJ.VIII. G99 O99 
5 2 3	GG.FOS..DFOSAADFO.T.D...TVKKJJ.VIII. G98 F99 
6 2 4	.GG.O...DFO.AADFOST.DF.STVKKJJ.VIII. G99 S98 
6 2 4	..GGO...DFO.AADFOST.DF.STVKKJJ.V.III S98 I99 
6 3 3	...GGS..DFOSAADFO.T.DFO.TVKKJJ.V.III G99 O99 I99 
6 3 3	.GGFOS..DFOSAADFO.T.D...TVKKJJ.V.III G99 F99 I99 
6 3 3	.GGFOS..DFOSAADFO...D...TVKKJJTVIII. G99 F99 T99 
6 2 4	GG..O...DFO.AADFOST.DF.STVKKJJ.VIII. G98 S98 
6 3 3	.GG..S..DFOSAADFO.T.DFO.TVKKJJ.V.III G99 O99 I99 
6 2 4	GG..O...DFOSAADFOST.DF..TVKKJJ.VIII. G98 S99 
6 2 4	..GGO...DFOSAADFOST.DF..TVKKJJ.V.III S99 I99 
6 3 3	.GG.OS..DFOSAADFO.TVDF..TVKKJJIII... G99 V99 I98 
6 3 3	.GG.OS..DFOSAADFO.TVDF..TVKKJJ.III.. G99 V99 I99 
6 2 4	..GGO...DFO.AADFOS..DF.STVKKJJTVIII. S98 T99 
6 3 3	.GG.OS..DFOSAADFO..VDF..TVKKJJT.III. G99 T99 V99 
6 3 3	.GGFOS..DFOSAADFO.TVD...TVKKJJ..III. G99 F99 V99 
6 2 4	..GGO...DFOSAADFOS..DF..TVKKJJTVIII. S99 T99 
6 3 3	GG..OS..DFOSAADFO.TVDF..TVKKJJ...III G98 V99 I99 
6 3 3	GG..OS..DFOSAADFO..VDF..TVKKJJT.III. G98 T99 V99 
6 3 3	GGD.OS..DFOSAADFO.T..F..TVKKJJ.V.III G98 D99 I99 
6 3 3	.GG..S..DFOSAADFO.TVDFO.TVKKJJ..III. G99 O99 V99 
6 3 3	GG...S..DFOSAADFO...DFO.TVKKJJTVIII. G98 O99 T99 
6 3 3	GG.F.S..DFOSAADFO.T.D.O.TVKKJJ.VIII. G98 F99 O99 
6 3 3	GG...S..DFOSAADFO.TVDFO.TVKKJJ..III. G98 O99 V99 
6 3 3	.GG.OS..DFOSAADFO...DF..TVKKJJTV.III G99 T99 I99 
6 3 3	GG..OS..DFOSAADFO...DF..TVKKJJTV.III G98 T99 I99 
6 3 3	.GG.OS..DFOSAADFO.TVDF..TVKKJJ...III G99 V99 I99 
6 3 3	GG.FOS..DFOSAADFO.T.D...TVKKJJ.V.III G98 F99 I99 
6 3 3	..GGOS..DFOSAADFO..VDF..TVKKJJTIII.. T99 V99 I99 
6 2 4	..GGO...DFO.AADFOSTVDF.STVKKJJ..III. S98 V99 
6 3 3	GG...S..DFOSAADFO.T.DFO.TVKKJJ.V.III G98 O99 I99 
6 2 4	..GGO...DFOSAADFOSTVDF..TVKKJJ..III. S99 V99 
6 3 3	GGD.OS..DFOSAADFO.TV.F..TVKKJJ..III. G98 D99 V99 
6 3 3	GG.FOS..DFOSAADFO.TVD...TVKKJJ..III. G98 F99 V99 
6 3 3	GGD.OS..DFOSAADFO....F..TVKKJJTVIII. G98 D99 T99 
6 3 3	GGDFOS..DFOSAADFO.T.....TVKKJJ.VIII. G98 D99 F99 
6 3 3	..GGOS..DFOSAADFO..VDF..TVKKJJT..III T99 V99 I99 
6 3 3	..GG.S..DFOSAADFO...DFO.TVKKJJTV.III O99 T99 I99 
6 3 3	..GG.S..DFOSAADFO..VDFO.TVKKJJT.III. O99 T99 V99 
6 3 3	GGD..S..DFOSAADFO.T..FO.TVKKJJ.VIII. G98 O99 D99 
6 3 3	.GGF.S..DFOSAADFO.T.D.O.TVKKJJ.VIII. G99 O99 F99 
6 3 3	..GG.S..DFOSAADFO.TVDFO.TVKKJJ...III O99 V99 I99 
6 2 4	.GG.O...DFOSAADFOST.DF..TVKKJJ.VIII. G99 S99 
6 3 3	...GGS..DFOSAADFO.TVDFO.TVKKJJ..III. G99 O99 V99 
6 3 3	..GG.S..DFOSAADFO.TVDFO.TVKKJJ.III.. O99 V99 I99 
6 3 3	...GGS..DFOSAADFO...DFO.TVKKJJTVIII. G99 O99 T99 
6 3 3	GG..OS..DFOSAADFO.TVDF..TVKKJJ.III.. G98 V99 I99 
6 2 4	..GG....DFO.AADFOST.DFOSTVKKJJ.VIII. O99 S98 
6 3 3	..DGGS..DFOSAADFO.T..FO.TVKKJJ.VIII. G99 O99 D99 
6 3 3	..GG.S..DFOSAADFO.TVDFO.TVKKJJIII... O99 V99 I98 
6 3 3	GG..OS..DFOSAADFO.TVDF..TVKKJJIII... G98 V99 I98 
