2 0 2	.OOTT.YIIIPFYAA.PFMCCDD.MUUU.L.KKEEL O99 
2 1 1	.OOTTFYIIIPFYAA.P.MCCDD.MUUU.L.KKEEL F99 
3 1 2	YOOTT.YIIIPF.AA.PFMCCDD.MUUU.L.KKEEL Y99 
3 1 2	.OOTT.YIIIPFYAA.PF.CCDD.MUUU.LMKKEEL M99 
3 1 2	.OOTT.YIIIPFYAA.PFMCCDD.MUUU.LKK.EEL K99 
3 2 1	.OOTTFYIIIPFYAA.P.MCC.DDMUUU.L.KKEEL F99 D99 
3 2 1	.OOTTFYIIIPFYAA.P.MCCDD.MUUU.LKK.EEL F99 K99 
3 2 1	.OOTTFYIIIPFYAA.P..CCDD.MUUU.LMKKEEL F99 M99 
3 1 2	.OOTT.YIIIPFY.AAPFMCCDD.MUUU.L.KKEEL A99 
3 2 1	.OOTTFYIIIPFY.AAP.MCCDD.MUUU.L.KKEEL F99 A99 
3 2 1	YOOTTFYIIIPF.AA.P.MCCDD.MUUU.L.KKEEL Y99 F99 
3 1 2	OO.TT.YIIIPFYAA.PFMCCDD.MUUU.L.KKEEL O99 
3 1 2	.OO.TTYIIIPFYAA.PFMCCDD.MUUU.L.KKEEL T99 
3 2 1	OO.TTFYIIIPFYAA.P.MCCDD.MUUU.L.KKEEL O99 F99 
3 1 2	.OOTT.YIIIPFYAA.PFMCCDDLMUUU.L.KKEE. L99 
3 1 2	.OOTT.YIIIP.YAA.PFMCCDDFMUUU.L.KKEEL F99 
3 1 2	.OOTT.YIIIPFYAA.PFMCCDD.M.UUUL.KKEEL U99 
3 1 2	.OOTT.YIIIPFYAA.PFMCC.DDMUUU.L.KKEEL D99 
3 2 1	.OOTTFYIIIPFYAA.P.MCCDDLMUUU.L.KKEE. F99 L99 
3 2 1	.OOTTFYIIIPFYAA.P.MCCDD.M.UUUL.KKEEL F99 U99 
4 2 2	YOOTT.YIIIPF.AA.PFMCCDD.MUUU.LKK.EEL Y99 K99 
4 2 2	.OOTT.YIIIP.YAA.PF.CCDDFMUUU.LMKKEEL F99 M99 
4 2 2	.OOTT.YIIIPFYAA.PFMCCDD.MUUU.LKKEE.L K99 E99 
4 2 2	.OO.TTYIIIPFY.AAPFMCCDD.MUUU.L.KKEEL T99 A99 
4 2 2	.OOTT.YIIIPFY.AAPFMCCDDLMUUU.L.KKEE. A99 L99 
4 3 1	.OOTTFYIIIPFYAA.P.MCCDDLMUUU.L.KK.EE F99 L99 E99 
4 2 2	OO.TT.YIIIPFY.AAPFMCCDD.MUUU.L.KKEEL O99 A99 
4 2 2	.OOTT..IIIPFYAA.PFYCCDD.MUUU.LMKKEEL Y99 M99 
4 3 1	.OOTTFYIIIPFYAA.P..CCDDLMUUU.LMKKEE. F99 M99 L99 
4 3 1	.OOTTFYIIIPFYAA.P..CCDD.M.UUULMKKEEL F99 M99 U99 
4 2 2	.OO.TTYIIIPFYAA.PF.CCDD.MUUU.LMKKEEL T99 M99 
4 2 2	.OOTT.YIIIPFYAA.PF.CCDDLMUUU.LMKKEE. M99 L99 
4 3 1	.OOTTFYIIIPFYAA.P.CC.DD.MUUU.LMKKEEL F99 M99 C99 
4 3 1	.OOTTFYIIIPFY.AAP..CCDD.MUUU.LMKKEEL F99 A99 M99 
4 2 2	OO.TT.YIIIPFYAA.PF.CCDD.MUUU.LMKKEEL O99 M99 
4 3 1	YOOTTFYIIIPF.AA.P..CCDD.MUUU.LMKKEEL Y99 F99 M99 
