3 0 3	..GGOR..DFORAADFO.T.DF..TVKKJJ.VIII. G98 
4 1 3	.GG.OR..DFORAADFO.T.DF..TVKKJJ.VIII. G99 
4 1 3	..GG.R..DFORAADFO.T.DFO.TVKKJJ.VIII. O99 
4 1 3	..GGOR..DFORAADFO.TVDF..TVKKJJ..III. V99 
4 1 3	..GGOR..DFORAADFO...DF..TVKKJJTVIII. T99 
4 1 3	GG..OR..DFORAADFO.T.DF..TVKKJJ.VIII. G98 
4 1 3	..GGOR..DFORAADFO.T.DF..TVKKJJ.V.III I99 
5 1 4	..GGO...DFORAADFORT.DF..TVKKJJ.VIII. R99 
5 2 3	...GGR..DFORAADFO.T.DFO.TVKKJJ.VIII. G99 O99 
5 2 3	GGD.OR..DFORAADFO.T..F..TVKKJJ.VIII. G98 D99 
5 2 3	GG..OR..DFORAADFO.T.DF..TVKKJJ.V.III G98 I99 
5 2 3	GG...R..DFORAADFO.T.DFO.TVKKJJ.VIII. G98 O99 
5 2 3	.GG.OR..DFORAADFO.TVDF..TVKKJJ..III. G99 V99 
5 2 3	.GG.OR..DFORAADFO.T.DF..TVKKJJ.V.III G99 I99 
5 2 3	GG..OR..DFORAADFO...DF..TVKKJJTVIII. G98 T99 
5 2 3	.GG.OR..DFORAADFO...DF..TVKKJJTVIII. G99 T99 
5 2 3	..GGOR..DFORAADFO.TVDF..TVKKJJIII... V99 I98 
5 2 3	..GGOR..DFORAADFO.TVDF..TVKKJJ.III.. V99 I99 
5 1 4	..GGO...DFO.AADFORT.DF.RTVKKJJ.VIII. R98 
5 2 3	.GGFOR..DFORAADFO.T.D...TVKKJJ.VIII. G99 F99 
5 2 3	..GGOR..DFORAADFO..VDF..TVKKJJT.III. T99 V99 
5 2 3	..GGOR..DFORAADFO...DF..TVKKJJTV.III T99 I99 
5 2 3	..GG.R..DFORAADFO.T.DFO.TVKKJJ.V.III O99 I99 
5 2 3	GG..OR..DFORAADFO.TVDF..TVKKJJ..III. G98 V99 
5 2 3	..GG.R..DFORAADFO...DFO.TVKKJJTVIII. O99 T99 
5 2 3	..GG.R..DFORAADFO.TVDFO.TVKKJJ..III. O99 V99 
5 2 3	..GGOR..DFORAADFO.TVDF..TVKKJJ...III V99 I99 
5 2 3	.GG..R..DFORAADFO.T.DFO.TVKKJJ.VIII. G99 O99 
5 2 3	GG.FOR..DFORAADFO.T.D...TVKKJJ.VIII. G98 F99 
6 2 4	.GG.O...DFO.AADFORT.DF.RTVKKJJ.VIII. G99 R98 
6 2 4	..GGO...DFO.AADFORT.DF.RTVKKJJ.V.III R98 I99 
6 3 3	...GGR..DFORAADFO.T.DFO.TVKKJJ.V.III G99 O99 I99 
6 3 3	.GGFOR..DFORAADFO.T.D...TVKKJJ.V.III G99 F99 I99 
6 3 3	.GGFOR..DFORAADFO...D...TVKKJJTVIII. G99 F99 T99 
6 2 4	GG..O...DFO.AADFORT.DF.RTVKKJJ.VIII. G98 R98 
6 3 3	.GG..R..DFORAADFO.T.DFO.TVKKJJ.V.III G99 O99 I99 
6 2 4	GG..O...DFORAADFORT.DF..TVKKJJ.VIII. G98 R99 
6 2 4	..GGO...DFORAADFORT.DF..TVKKJJ.V.III R99 I99 
6 3 3	.GG.OR..DFORAADFO.TVDF..TVKKJJIII... G99 V99 I98 
6 3 3	.GG.OR..DFORAADFO.TVDF..TVKKJJ.III.. G99 V99 I99 
6 2 4	..GGO...DFO.AADFOR..DF.RTVKKJJTVIII. R98 T99 
6 3 3	.GG.OR..DFORAADFO..VDF..TVKKJJT.III. G99 T99 V99 
6 3 3	.GGFOR..DFORAADFO.TVD...TVKKJJ..III. G99 F99 V99 
6 2 4	..GGO...DFORAADFOR..DF..TVKKJJTVIII. R99 T99 
6 3 3	GG..OR..DFORAADFO.TVDF..TVKKJJ...III G98 V99 I99 
6 3 3	GG..OR..DFORAADFO..VDF..TVKKJJT.III. G98 T99 V99 
6 3 3	GGD.OR..DFORAADFO.T..F..TVKKJJ.V.III G98 D99 I99 
6 3 3	.GG..R..DFORAADFO.TVDFO.TVKKJJ..III. G99 O99 V99 
6 3 3	GG...R..DFORAADFO...DFO.TVKKJJTVIII. G98 O99 T99 
6 3 3	GG.F.R..DFORAADFO.T.D.O.TVKKJJ.VIII. G98 F99 O99 
6 3 3	GG...R..DFORAADFO.TVDFO.TVKKJJ..III. G98 O99 V99 
6 3 3	.GG.OR..DFORAADFO...DF..TVKKJJTV.III G99 T99 I99 
6 3 3	GG..OR..DFORAADFO...DF..TVKKJJTV.III G98 T99 I99 
6 3 3	.GG.OR..DFORAADFO.TVDF..TVKKJJ...III G99 V99 I99 
6 3 3	GG.FOR..DFORAADFO.T.D...TVKKJJ.V.III G98 F99 I99 
