12 0 12	VVBC....BCDEAABCDEHJ..F.HJNNFI.KK.FI 
10 1 9	VVBCD...BCDEAABC.EHJ..F.HJNNFI.KK.FI D99 
8 2 6	VVBCDE..BCDEAABC..HJ..F.HJNNFI.KK.FI D99 E99 
9 3 6	VV.CDE..BCDEAABC..HJB.F.HJNNFI.KK.FI B99 D99 E99 
9 3 6	VVBCDE..BCDEAABC..HJ..F.HJNNFI..KKFI D99 E99 K99 
9 3 6	VVB.DE..BCDEAABC..HJ.CF.HJNNFI.KK.FI C99 D99 E99 
9 3 6	VVBCDE..BCDEAABC..HJ..FIHJNNFI.KK.F. D99 E99 I99 
9 3 6	VVBCDE..BCDEAABC..HJ..F.HJNNFIKK..FI D99 E99 K99 
9 3 6	VVBCDE..BCDEAABC...J..F.HJNNFIHKK.FI D99 E99 H99 
10 4 6	.VVCDE..BCDEAABC..HJB.F.HJNNFI.KK.FI V99 B99 D99 E99 
10 4 6	VV.CDE..BCDEAABC...JB.F.HJNNFIHKK.FI B99 D99 E99 H99 
10 4 6	VV.CDE..BCDEAABC..HJB.FIHJNNFI.KK.F. B99 D99 E99 I99 
10 4 6	VV..DE..BCDEAABC..HJBCF.HJNNFI.KK.FI B99 C99 D99 E99 
10 4 6	VVBCDE..BCDEAABC..HJ..FIHJNNFIKK..F. D99 E99 I99 K99 
10 4 6	VVB.DE..BCDEAABC...J.CF.HJNNFIHKK.FI C99 D99 E99 H99 
10 4 6	VVB.DE..BCDEAABC..HJ.CFIHJNNFI.KK.F. C99 D99 E99 I99 
10 4 6	VVB.DE..BCDEAABC..HJ.CF.HJNNFIKK..FI C99 D99 E99 K99 
10 4 6	VVBCDE..BCDEAABC...J..FIHJNNFIHKK.F. D99 E99 H99 I99 
10 1 9	VVBC.E..BCDEAABCD.HJ..F.HJNNFI.KK.FI E99 
10 4 6	VVBCDE..BCDEAABC..HJ..FIHJNNFI..KKF. D99 E99 I99 K99 
10 4 6	VVBCDE..BCDEAABC...J..F.HJNNFIH.KKFI D99 E99 H99 K99 
10 4 6	VVBCDE..BCDEAABC..H...F.HJNNFI.JKKFI D99 E99 J99 K99 
10 4 6	VV.CDE..BCDEAABC..HJB.F.HJNNFIKK..FI B99 D99 E99 K99 
10 4 6	VV.CDE..BCDEAABC..HJB.F.HJNNFI..KKFI B99 D99 E99 K99 
10 4 6	VVB.DE..BCDEAABC..HJ.CF.HJNNFI..KKFI C99 D99 E99 K99 
11 5 6	.VVCDE..BCDEAABC...JB.F.HJNNFIHKK.FI V99 B99 D99 E99 H99 
11 5 6	.VVCDE..BCDEAABC..HJB.FIHJNNFI.KK.F. V99 B99 D99 E99 I99 
11 5 6	.VVCDE..BCDEAABC..HJB.F.HJNNFIKK..FI V99 B99 D99 E99 K99 
11 5 6	.VV.DE..BCDEAABC..HJBCF.HJNNFI.KK.FI V99 B99 C99 D99 E99 
11 5 6	VVBCDE..BCDEAABC..H...FIHJNNFI.JKKF. D99 E99 J99 I99 K99 
11 5 6	VVBCDE..BCDEAABC......F.HJNNFIHJKKFI D99 E99 H99 J99 K99 
11 5 6	VV.CDE..BCDEAABC..H.B.F.HJNNFI.JKKFI B99 D99 E99 J99 K99 
11 5 6	VVB.DE..BCDEAABC..H..CF.HJNNFI.JKKFI C99 D99 E99 J99 K99 
11 2 9	VVBCD...BCDEAABC.E.J..F.HJNNFIHKK.FI D99 H99 
11 5 6	VVBCDE..BCDEAABC...J..FIHJNNFIH.KKF. D99 E99 H99 I99 K99 
11 2 9	VVBCD...BCDEAABC.EHJ..FIHJNNFI.KK.F. D99 I99 
11 2 9	VVBCD...BCDEAABC.EHJ..F.HJNNFIKK..FI D99 K99 
11 5 6	VVB.DE..BCDEAABC...J.CF.HJNNFIH.KKFI C99 D99 E99 H99 K99 
11 5 6	VVB.DE..BCDEAABC..HJ.CFIHJNNFI..KKF. C99 D99 E99 I99 K99 
11 5 6	VVB.DE..BCDEAABC...J.CFIHJNNFIHKK.F. C99 D99 E99 H99 I99 
11 2 9	VVBCD...BCD.AABC.EHJ..FEHJNNFI.KK.FI D99 E99 
11 2 9	VVB.D...BCDEAABC.EHJ.CF.HJNNFI.KK.FI C99 D99 
11 5 6	VV..DE..BCDEAABC..HJBCF.HJNNFIKK..FI B99 C99 D99 E99 K99 
11 5 6	VV..DE..BCDEAABC..HJBCF.HJNNFI..KKFI B99 C99 D99 E99 K99 
11 5 6	VVB.DE..BCDEAABC..HJ.CFIHJNNFIKK..F. C99 D99 E99 I99 K99 
11 2 9	VV.CD...BCDEAABC.EHJB.F.HJNNFI.KK.FI B99 D99 
11 5 6	VV.CDE..BCDEAABC..HJB.FIHJNNFI..KKF. B99 D99 E99 I99 K99 
11 5 6	..VVDE..BCDEAABC..HJBCF.HJNNFI.KK.FI V98 B99 C99 D99 E99 
11 5 6	VV.CDE..BCDEAABC..HJB.FIHJNNFIKK..F. B99 D99 E99 I99 K99 
11 2 9	VVBCD...BCDEAABC.EHJ..F.HJNNFI..KKFI D99 K99 
11 5 6	VV.CDE..BCDEAABC...JB.F.HJNNFIH.KKFI B99 D99 E99 H99 K99 
11 5 6	VV..DE..BCDEAABC..HJBCFIHJNNFI.KK.F. B99 C99 D99 E99 I99 
11 5 6	VV.CDE..BCDEAABC...JB.FIHJNNFIHKK.F. B99 D99 E99 H99 I99 
11 5 6	.VVCDE..BCDEAABC..HJB.F.HJNNFI..KKFI V99 B99 D99 E99 K99 
11 5 6	VV..DE..BCDEAABC...JBCF.HJNNFIHKK.FI B99 C99 D99 E99 H99 
12 6 6	..VVDE..BCDEAABC..HJBCF.HJNNFI..KKFI V98 B99 C99 D99 E99 K99 
12 6 6	..VVDE..BCDEAABC...JBCF.HJNNFIHKK.FI V98 B99 C99 D99 E99 H99 
12 6 6	..VVDE..BCDEAABC..HJBCFIHJNNFI.KK.F. V98 B99 C99 D99 E99 I99 
12 3 9	VVBCDE..BCDEAABC.IHJ..FIHJNNF..KK.F. D99 E99 I98 
12 6 6	VV..DE..BCDEAABC..HJBCFIHJNNFI..KKF. B99 C99 D99 E99 I99 K99 
12 6 6	..VVDE..BCDEAABC..HJBCF.HJNNFIKK..FI V98 B99 C99 D99 E99 K99 
