6 0 6	..GGGD..E..DAAE..DH.....H.BBCCZZ..FF G98 
7 1 6	.GGG.D..E..DAAE..DH.....H.BBCCZZ..FF G99 
7 1 6	..GGG...E..DAAE..DH....DH.BBCCZZ..FF D99 
7 1 6	..GGGD..E..DAAE..DH.....H.BBCC..ZZFF Z98 
7 1 6	..GGGD..E..DAAE..DH.....H.BBCCZZFF.. F98 
7 1 6	..GGGD..E..DAAE..DH.....H.BBCC.ZZ.FF Z99 
7 1 6	GGG..D..E..DAAE..DH.....H.BBCCZZ..FF G98 
7 1 6	..GGGD..E..DAAE..DH.....HBB.CCZZ..FF B99 
7 1 6	..GGGD.....DAAE..DH.E...H.BBCCZZ..FF E99 
7 1 6	..GGGD..E..DAAE..DH.....H.BBCCZZ.FF. F99 
8 2 6	.GGG.D..E..DAAE..DH.....H.BBCCZZ.FF. G99 F99 
8 2 6	GGG.....E..DAAE..DH....DH.BBCCZZ..FF G98 D99 
8 2 6	..GGGD..E..DAAE..DH.....HBB.CC..ZZFF B99 Z98 
8 2 6	GGG..D.....DAAE..DH.E...H.BBCCZZ..FF G98 E99 
8 2 6	..GGGD.....DAAE..DH.E...H.BBCCZZ.FF. E99 F99 
8 2 6	..GGGD..E..DAAE..DH.....HBBCC.ZZ..FF B99 C99 
8 2 6	..GGGD..E..DAAE..DH.....HBB.CC.ZZ.FF B99 Z99 
8 2 6	.GGG.D..E..DAAE..DH.....H.BBCCZZFF.. G99 F98 
8 2 6	..GGGD..E..DAAE..D......H.BBCCHZZ.FF H99 Z99 
8 2 6	..GGGD.....DAAE..DH.E...H.BBCC.ZZ.FF E99 Z99 
8 2 6	.GGG.D..E..DAAE..DH.....H.BBCC..ZZFF G99 Z98 
8 2 6	..GGG...E..DAAE..DH....DH.BBCCZZFF.. D99 F98 
8 2 6	GGG..D..E..DAAE..DH.....H.BBCC.ZZ.FF G98 Z99 
8 2 6	..GGGD.....DAAE..DH.E...H.BBCCZZFF.. E99 F98 
8 2 6	.GGG.D..E..DAAE..DH.....H.BBCC.ZZ.FF G99 Z99 
8 2 6	GGG..D..E..DAAE..DH.....H.BBCCZZFF.. G98 F98 
8 2 6	..GGGD..E..DAAE..D......H.BBCCH.ZZFF H99 Z98 
8 2 6	.GGG.D..E..DAAE..DH.....HBB.CCZZ..FF G99 B99 
8 2 6	..GGGD.....DAAE..DH.E...H.BBCC..ZZFF E99 Z98 
8 2 6	..GGGD..E..DAAE..DH.....HBB.CCZZFF.. B99 F98 
8 2 6	..GGGD..E..DAAE..DH.....HBB.CCZZ.FF. B99 F99 
8 2 6	GGG..D..E..DAAE..DH.....H.BBCC..ZZFF G98 Z98 
8 2 6	.GGG.D.....DAAE..DH.E...H.BBCCZZ..FF G99 E99 
8 2 6	..GGG...E..DAAE..DH....DH.BBCCZZ.FF. D99 F99 
8 2 6	..GGG...E..DAAE..DH....DH.BBCC..ZZFF D99 Z98 
8 2 6	.GGG....E..DAAE..DH....DH.BBCCZZ..FF G99 D99 
8 2 6	..GGG...E..DAAE..DH....DH.BBCC.ZZ.FF D99 Z99 
8 2 6	GGG..D..E..DAAE..DH.....H.BBCCZZ.FF. G98 F99 
8 2 6	..GGG...E..DAAE..DH....DHBB.CCZZ..FF D99 B99 
8 2 6	..GGG......DAAE..DH.E..DH.BBCCZZ..FF D99 E99 
8 2 6	..GGGD..E..DAAE..DH.....H.BBCC.ZZFF. Z99 F99 
8 2 6	...GGG..E..DAAE..DH....DH.BBCCZZ..FF G99 D99 
6 3 3	..EGGG..E..DAA...DH....DH.BBCCZZ..FF G99 D99 E99 
7 4 3	..EGGG..E..D.AA..DH....DH.BBCCZZ..FF G99 D99 E99 A99 
