6 0 6	..D.....D...AADG.....GB.ECCGB.E.FFB. D99 
7 1 6	........D...AADG....DGB.ECCGB.E.FFB. D99 
7 1 6	..DG....DG..AADG......B.ECC.B.E.FFB. G98 
7 1 6	..D.....D...AADG..E..GB.ECCGB...FFB. E99 
7 1 6	..D.....DG..AADG.....GB.ECC.B.E.FFB. G99 
7 1 6	..D.....D...AADG.....GB.ECCGB.EFF.B. F99 
5 2 3	..D.....D...AAD......GB.ECCGB.EFFGB. G99 F99 
6 3 3	........D...AAD.....DGB.ECCGB.EFFGB. D99 G99 F99 
6 3 3	..D.....D...AAD...E..GB.ECCGB..FFGB. G99 E99 F99 
7 4 3	........D...AAD...E.DGB.ECCGB..FFGB. D99 G99 E99 F99 
7 4 3	..D.....D...AAD...E..GB.ECCGB.FF.GB. G99 E99 F98 
8 2 6	........D...AADG....DGB.ECCGB.EFF.B. D99 F99 
8 2 6	..D.....DG..AADG.....GB.ECC.B.EFF.B. G99 F99 
8 2 6	........D...AADG..E.DGB.ECCGB...FFB. D99 E99 
8 2 6	..D.....DG..AADG.....GB.E.CCB.E.FFB. G99 C99 
8 2 6	..D.....D...AADG..E..GB.ECCGB.FF..B. E99 F98 
8 5 3	........D...AAD...E.DGB.ECCGB.FF.GB. D99 G99 E99 F98 
8 2 6	..D.....D...AADG..E..GB.ECCGB..FF.B. E99 F99 
8 2 6	..DG....DG..AADG......B.E.CCB.E.FFB. G98 C99 
8 2 6	..D.....DG..AADG..E..GB.ECC.B...FFB. G99 E99 
8 2 6	..DG....DG..AADG..E...B.ECC.B...FFB. G98 E99 
8 2 6	..DG....DG..AADG......B.ECC.B.EFF.B. G98 F99 
8 2 6	...G....DG..AADG....D.B.ECC.B.E.FFB. D99 G98 
8 2 6	........DG..AADG....DGB.ECC.B.E.FFB. D99 G99 
9 3 6	..D.....DG..AADG.....GB.E.CCB.EFF.B. G99 C99 F99 
9 3 6	........DG..AADG..E.DGB.ECC.B...FFB. D99 G99 E99 
9 3 6	...G....DG..AADG..E.D.B.ECC.B...FFB. D99 G98 E99 
9 3 6	..D.....DG..AADG..E..GB.E.CCB...FFB. G99 E99 C99 
9 3 6	..DG....DG..AADG..E...B.E.CCB...FFB. G98 E99 C99 
9 3 6	..DG....DG..AADG......B.E.CCB.EFF.B. G98 C99 F99 
9 3 6	...G....DG..AADG....D.B.E.CCB.E.FFB. D99 G98 C99 
9 3 6	..D.B...D.B.AAD.B....G..ECCG..EFFG.. G99 B97 F99 
9 3 6	..D.....D...AAD.B....GB.ECCGB.EFFG.. G99 B99 F99 
9 3 6	..D.....D.B.AAD.B....GB.ECCG..EFFG.. G99 B98 F99 
9 3 6	........D...AADG..E.DGB.ECCGB.FF..B. D99 E99 F98 
9 3 6	........DG..AADG....DGB.E.CCB.E.FFB. D99 G99 C99 
10 1 9	..D.....D...AADGB....GB.ECCGB.E.FF.. B99 
10 1 9	..D.B...D.B.AADGB....G..ECCG..E.FF.. B97 
10 4 6	..D.....DG..AADG..E..GB.E.CCB.FF..B. G99 E99 C99 F98 
