9 0 9	.C....BC.PTUBAAPTUYYYOTU..DOLL..D... 
7 1 6	.C.P..BC.PTUBAA.TUYYYOTU..DOLL..D... P99 
8 2 6	BC.P..BC.PTU.AA.TUYYYOTU..DOLL..D... B99 P99 
8 2 6	.C.PT.BC.PTUBAA.TUYYYO.U..DOLL..D... P99 T99 
8 2 6	.C.P.UBC.PTUBAA.TUYYYOT...DOLL..D... P99 U99 
8 2 6	.C.P..BC.PTUB.AATUYYYOTU..DOLL..D... P99 A99 
8 2 6	.C.P..BC.PTUBAA.TUYYY.TU..DOLL..DO.. P99 O99 
9 3 6	BC.P..BC.PTU.AA.TUYYY.TU..DOLL..DO.. B99 P99 O99 
9 3 6	.C.PTUBC.PTUBAA.TUYYYO....DOLL..D... P99 T99 U99 
9 3 6	.C.P..BC.PTUB.AATUYYY.TU..DOLL..DO.. P99 A99 O99 
9 3 6	BC.P..BC.PTUAA..TUYYYOTU..DOLL..D... B99 P99 A99 
9 3 6	BC.P..BC.PTU..AATUYYYOTU..DOLL..D... B99 P99 A99 
9 3 6	BC.PT.BC.PTU.AA.TUYYYO.U..DOLL..D... B99 P99 T99 
9 3 6	BC.P.UBC.PTU.AA.TUYYYOT...DOLL..D... B99 P99 U99 
9 3 6	.C.P..BC.PTUBAA.TU.YYYTU..DOLL..DO.. P99 Y99 O99 
9 3 6	...P..BC.PTUBCAATUYYYOTU..DOLL..D... C99 P99 A99 
9 3 6	.C.PT.BC.PTUB.AATUYYYO.U..DOLL..D... P99 T99 A99 
9 3 6	.C.P.UBC.PTUB.AATUYYYOT...DOLL..D... P99 U99 A99 
9 3 6	.C.P.UBC.PTUBAA.TUYYY.T...DOLL..DO.. P99 U99 O99 
9 3 6	.C.PT.BC.PTUBAA.TUYYY..U..DOLL..DO.. P99 T99 O99 
10 4 6	BC.P..BC.PTU.AA.TU.YYYTU..DOLL..DO.. B99 P99 Y99 O99 
10 4 6	.C.PTUBC.PTUB.AATUYYYO....DOLL..D... P99 T99 U99 A99 
10 4 6	.C.PTUBC.PTUBAA.TUYYY.....DOLL..DO.. P99 T99 U99 O99 
10 4 6	.C.P..BC.PTUB.AATU.YYYTU..DOLL..DO.. P99 A99 Y99 O99 
10 4 6	.C.PT.BC.PTUBAA.TU..YYYU..DOLL..DO.. P99 T99 Y98 O99 
10 4 6	BC.PTUBC.PTU.AA.TUYYYO....DOLL..D... B99 P99 T99 U99 
10 4 6	BC.P..BC.PTU..AATUYYY.TU..DOLL..DO.. B99 P99 A99 O99 
10 4 6	BC.P..BC.PTUAA..TUYYY.TU..DOLL..DO.. B99 P99 A99 O99 
10 1 9	.C....BC.PTUBAAPTUYYY.TU..DOLL..DO.. O99 
10 4 6	BC.P.UBC.PTU.AA.TUYYY.T...DOLL..DO.. B99 P99 U99 O99 
10 4 6	BC.PT.BC.PTU.AA.TUYYY..U..DOLL..DO.. B99 P99 T99 O99 
10 1 9	BC....BC.PTU.AAPTUYYYOTU..DOLL..D... B99 
10 4 6	.C.P...C.PTU.AA.TUBYYYTUB.DOLL..DO.. B98 P99 Y99 O99 
10 4 6	.C.PT.BC.PTUBAA.TU.YYY.U..DOLL..DO.. P99 T99 Y99 O99 
10 4 6	.C.P...C.PTU.AA.TU.YYYTUB.DOLLB.DO.. B97 P99 Y99 O99 
10 4 6	BC.P.UBC.PTU..AATUYYYOT...DOLL..D... B99 P99 U99 A99 
10 4 6	.C.P...C.PTUBAA.TUBYYYTU..DOLL..DO.. B99 P99 Y99 O99 
10 4 6	BC.PT.BC.PTU..AATUYYYO.U..DOLL..D... B99 P99 T99 A99 
10 4 6	B..P..BC.PTU.CAATUYYYOTU..DOLL..D... C99 B99 P99 A99 
10 4 6	.C.P.UBC.PTUBAA.TU.YYYT...DOLL..DO.. P99 U99 Y99 O99 
10 4 6	...PT.BC.PTUBCAATUYYYO.U..DOLL..D... C99 P99 T99 A99 
10 1 9	.C..T.BC.PTUBAAPTUYYYO.U..DOLL..D... T99 
10 4 6	BC.P.UBC.PTUAA..TUYYYOT...DOLL..D... B99 P99 U99 A99 
10 4 6	BC.PT.BC.PTUAA..TUYYYO.U..DOLL..D... B99 P99 T99 A99 
10 4 6	.C.P.UBC.PTUB.AATUYYY.T...DOLL..DO.. P99 U99 A99 O99 
10 4 6	...P.UBC.PTUBCAATUYYYOT...DOLL..D... C99 P99 U99 A99 
10 1 9	.C...UBC.PTUBAAPTUYYYOT...DOLL..D... U99 
10 4 6	.C.PT.BC.PTUB.AATUYYY..U..DOLL..DO.. P99 T99 A99 O99 
10 4 6	...P..BC.PTUBCAATUYYY.TU..DOLL..DO.. C99 P99 A99 O99 
11 5 6	BC.P..BC.PTU..AATU.YYYTU..DOLL..DO.. B99 P99 A99 Y99 O99 
11 5 6	.C.PTUBC.PTUBAA.TU...YYY..DOLL..DO.. P99 T99 U99 Y97 O99 
11 5 6	.C.P...C.PTU..AATUBYYYTUB.DOLL..DO.. B98 P99 A99 Y99 O99 
11 5 6	.C.P...C.PTU..AATU.YYYTUB.DOLLB.DO.. B97 P99 A99 Y99 O99 
11 5 6	BC.PT.BC.PTUAA..TUYYY..U..DOLL..DO.. B99 P99 T99 A99 O99 
11 5 6	...P..BC.PTUBCAATU.YYYTU..DOLL..DO.. C99 P99 A99 Y99 O99 
11 5 6	.C.P...C.PTUB.AATUBYYYTU..DOLL..DO.. B99 P99 A99 Y99 O99 
11 2 9	.C.P..BC.PTUBAAOTUYYYOTU..D.LL..D... P99 O99 
11 5 6	.C.PTUBC.PTUB.AATUYYY.....DOLL..DO.. P99 T99 U99 A99 O99 
11 5 6	.C.PTUBC.PTUBAA.TU..YYY...DOLL..DO.. P99 T99 U99 Y98 O99 
11 5 6	.C.PTUBC.PTUBAA.TU.YYY....DOLL..DO.. P99 T99 U99 Y99 O99 
11 5 6	BC.PTUBC.PTU.AA.TUYYY.....DOLL..DO.. B99 P99 T99 U99 O99 
11 5 6	BC.PTUBC.PTU..AATUYYYO....DOLL..D... B99 P99 T99 U99 A99 
11 5 6	.C.P.UBC.PTUB.AATU.YYYT...DOLL..DO.. P99 U99 A99 Y99 O99 
11 5 6	BC.P.UBC.PTUAA..TUYYY.T...DOLL..DO.. B99 P99 U99 A99 O99 
11 5 6	BC.P..BC.PTUAA..TU.YYYTU..DOLL..DO.. B99 P99 A99 Y99 O99 
11 5 6	...PTUBC.PTUBCAATUYYYO....DOLL..D... C99 P99 T99 U99 A99 
11 5 6	BC.P.UBC.PTU.AA.TU.YYYT...DOLL..DO.. B99 P99 U99 Y99 O99 
11 5 6	BC.PT.BC.PTU.AA.TU.YYY.U..DOLL..DO.. B99 P99 T99 Y99 O99 
11 5 6	BC.P.UBC.PTU..AATUYYY.T...DOLL..DO.. B99 P99 U99 A99 O99 
11 5 6	.C.P...C.PTUAA..TUBYYYTUB.DOLL..DO.. B98 P99 A99 Y99 O99 
11 5 6	.C.PT..C.PTUBAA.TUBYYY.U..DOLL..DO.. B99 P99 T99 Y99 O99 
