9 0 9	..DII...DCLLAABC.OJ.B.POJFFFPOJ..... 
7 1 6	..DII...DCLLAABC..J.B.POJFFFPOJ....O O99 
8 2 6	..D.II..DCLLAABC..J.B.POJFFFPOJ....O I99 O99 
6 3 3	..DCII..DCLLAAB...J.B.POJFFFPOJ....O I99 C99 O99 
7 4 3	..DCII..DCLLAAB...J.B..OJFFFPOJ...PO I99 C99 O99 P99 
8 2 6	..DII...DCLLAABC..J.B..OJFFFPOJ...PO O99 P99 
8 2 6	..DII...D.LLAABC..J.BCPOJFFFPOJ....O C99 O99 
9 3 6	..DII...D.LLAABC..J.BC.OJFFFPOJ...PO C99 O99 P99 
9 3 6	..DII...DLL.AABC..J.BCPOJFFFPOJ....O C99 L99 O99 
9 3 6	..D.II..DCLLAABC..J.B..OJFFFPOJ...PO I99 O99 P99 
9 3 6	..D.II..D.LLAABC..J.BCPOJFFFPOJ....O I99 C99 O99 
10 4 6	..DCII..DCLLAAB.P.J.B.POJFFF.OJ....O I99 C99 O99 P99 
10 4 6	..DII...DLL.AABC..J.BC.OJFFFPOJ...PO C99 L99 O99 P99 
10 4 6	..DCII..DCLLAAB..OJ.B.POJFFFPOJ..... I99 C99 O98 
10 1 9	..DII...D.LLAABC.OJ.BCPOJFFFPOJ..... C99 
10 1 9	..D.II..DCLLAABC.OJ.B.POJFFFPOJ..... I99 
10 1 9	..DII...DCLLAABC.OJ.B..OJFFFPOJ...P. P99 
10 4 6	..D.II..DLL.AABC..J.BCPOJFFFPOJ....O I99 C99 L99 O99 
11 5 6	..DCII..DCLLAAB..OJ.B..OJFFFPOJ...P. I99 C99 O98 P99 
11 5 6	..D.II..D.LLAABC..J.BC.OJFFFPOJ...PO I99 C97 O99 P99 
11 2 9	..DII...DCLLAABCP.J.B.POJFFF.OJ....O O99 P99 
11 5 6	..DCII..DCLLAAB.P.J.B.POJ.FFFOJ....O I99 C99 O99 P99 F99 
11 5 6	..D.II..DLL.AABC..J.BC.OJFFFPOJ...PO I99 C99 L99 O99 P99 
