9 0 9	.B....SB.CDESAACDEHHHGDE..VG....VWW. 
7 1 6	.B.C..SB.CDESAA.DEHHHGDE..VG....VWW. C99 
5 2 3	.B.C..SB.CD.SAA.D.HHHGDE..VG.E..VWWE C99 E98 
6 3 3	SB.C..SB.CD..AA.D.HHHGDE..VG.E..VWWE S99 C99 E98 
6 3 3	.B.C..SB.C..SAA.D.HHHGDE..VGDE..VWWE C99 D99 E98 
6 3 3	.B.CD.SB.CD.SAA.D.HHHG.E..VG.E..VWWE C99 D99 E98 
6 3 3	.B.C..SB.CD.S.AAD.HHHGDE..VG.E..VWWE C99 E98 A99 
7 4 3	SB.C..SB.CD...AAD.HHHGDE..VG.E..VWWE S99 C99 E98 A99 
7 4 3	.B.C..SB.C..S.AAD.HHHGDE..VGDE..VWWE C99 D99 E98 A99 
7 4 3	SB.C..SB.C...AA.D.HHHGDE..VGDE..VWWE S99 C99 D99 E98 
7 4 3	SB.CD.SB.CD..AA.D.HHHG.E..VG.E..VWWE S99 C99 D99 E98 
7 4 3	SB.C..SB.CD.AA..D.HHHGDE..VG.E..VWWE S99 C99 E98 A99 
7 1 6	.B....SB.CD.SAACD.HHHGDE..VG.E..VWWE E98 
7 4 3	.B.CD.SB.CD.S.AAD.HHHG.E..VG.E..VWWE C99 D99 E98 A99 
7 4 3	...C..SB.CD.SBAAD.HHHGDE..VG.E..VWWE B99 C99 A99 E98 
8 2 6	.B.C..SB.CDES.AADEHHHGDE..VG....VWW. C99 A99 
8 5 3	...CD.SB.CD.SBAAD.HHHG.E..VG.E..VWWE B99 C99 D99 A99 E98 
8 2 6	.B.C.ESB.CDESAA.DEHHHGD...VG....VWW. C99 E99 
8 5 3	SB.CD.SB.CD.AA..D.HHHG.E..VG.E..VWWE S99 C99 D99 E98 A99 
8 2 6	.B.C..SB.CD.SAA.DEHHHGDE..VG.E..VWW. C99 E99 
8 5 3	SB.C..SB.C..AA..D.HHHGDE..VGDE..VWWE S99 C99 D99 E98 A99 
8 2 6	.B.CD.SB.CDESAA.DEHHHG.E..VG....VWW. C99 D99 
