6 0 6	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
6 1 5	JJJ.PS...DPSHAADPUH.NDLUBIN.LOBINGGO D99 
7 1 6	.JJJPS....PSHAADPUH.NDLUBINDLOBINGGO J99 
7 1 6	JJJ.PS....PSHAADPUHINDLUBINDLOB.NGGO I99 
7 2 5	JJJ.PSH..DPSHAADPU..NDLUBIN.LOBINGGO H99 D99 
7 2 5	JJJ.PS...DPSHAADPUHINDLUBIN.LOB.NGGO D99 I99 
7 1 6	JJJ.PSH...PSHAADPU..NDLUBINDLOBINGGO H99 
7 1 6	JJJDPS...DPSHAADPUH.N.LUBIN.LOBINGGO D98 
8 2 6	.JJJPSH...PSHAADPU..NDLUBINDLOBINGGO J99 H99 
8 2 6	JJJDPS...DPSHAADPUHIN.LUBIN.LOB.NGGO D98 I99 
8 2 6	JJJ.PSH...PSHAADPUB.NDLUBINDLO.INGGO H99 B99 
8 3 5	JJJ.PSH..DPSHAADPUB.NDLUBIN.LO.INGGO H99 D99 B99 
8 2 6	.JJJPS....PSHAADPUHINDLUBINDLOB.NGGO J99 I99 
8 2 6	.JJJPS...DPSHAADPUH.NDLUBIN.LOBINGGO J99 D99 
8 2 6	JJJ.PSH...PSHAADPU.INDLUBINDLOB.NGGO H99 I99 
8 3 5	JJJ.PSH..DPSHAADPU.INDLUBIN.LOB.NGGO H99 D99 I99 
8 2 6	HJJJPSH...PS.AADPU..NDLUBINDLOBINGGO J99 H98 
9 3 6	.JJJPSH...PSHAADPU.INDLUBINDLOB.NGGO J99 H99 I99 
9 3 6	JJJ.PSH...PSHAADPUBINDLUBINDLO..NGGO H99 B99 I99 
9 3 6	HJJJPSH...PSAA.DPU..NDLUBINDLOBINGGO J99 H98 A99 
9 3 6	HJJJPSH...PS.AADPUB.NDLUBINDLO.INGGO J99 H98 B99 
9 3 6	HJJJPSH...PSBAADPUB.NDLU.INDLO.INGGO J99 H98 B98 
9 3 6	.JJJPSH...PSHAADPUB.NDLUBINDLO.INGGO J99 H99 B99 
9 3 6	JJJDPSH..DPSHAADPUB.N.LUBIN.LO.INGGO H99 D98 B99 
9 3 6	JJJDPSH..DPSHAADPU.IN.LUBIN.LOB.NGGO H99 D98 I99 
9 3 6	JJJDPSH..DPSHAADPU..N.LUBIN.LOBINGGO H99 D98 
9 3 6	.JJJPS...DPSHAADPUHINDLUBIN.LOB.NGGO J99 D99 I99 
9 3 6	.JJJPSH..DPSHAADPU..NDLUBIN.LOBINGGO J99 H99 D99 
9 4 5	JJJ.PSH..DPSHAADPUBINDLUBIN.LO..NGGO H99 D99 B99 I99 
9 3 6	HJJJPSH..DPS.AADPU..NDLUBIN.LOBINGGO J99 H98 D99 
9 3 6	HJJJPSH...PS.AADPU.INDLUBINDLOB.NGGO J99 H98 I99 
10 4 6	.JJJPSH...PSHAADPUBINDLUBINDLO..NGGO J99 H99 B99 I99 
10 4 6	JJJDPSH..DPSHAADPUBIN.LUBIN.LO..NGGO H99 D98 B99 I99 
10 4 6	HJJJPSH..DPSBAADPUB.NDLU.IN.LO.INGGO J99 H98 D99 B98 
10 4 6	.JJJPSH..DPSHAADPU.INDLUBIN.LOB.NGGO J99 H99 D99 I99 
10 4 6	HJJJPSH...PSAA.DPU.INDLUBINDLOB.NGGO J99 H98 A99 I99 
10 4 6	HJJJPSH...PS.AADPUBINDLUBINDLO..NGGO J99 H98 B99 I99 
10 4 6	HJJJPSH...PSBAADPUBINDLU.INDLO..NGGO J99 H98 B98 I99 
10 4 6	.JJJPSH..DPSHAADPUB.NDLUBIN.LO.INGGO J99 H99 D99 B99 
10 4 6	HJJJPSH...PSAA.DPUB.NDLUBINDLO.INGGO J99 H98 A99 B99 
10 4 6	HJJJPSH..DPS.AADPUB.NDLUBIN.LO.INGGO J99 H98 D99 B99 
10 4 6	HJJJPSH..DPS.AADPU.INDLUBIN.LOB.NGGO J99 H98 D99 I99 
10 4 6	HJJJPSH..DPSAA.DPU..NDLUBIN.LOBINGGO J99 H98 A99 D99 
11 5 6	HJJJPSH...PSAA.DPUBINDLUBINDLO..NGGO J99 H98 A99 B99 I99 
11 5 6	HJJJPSH..DPS.AADPUBINDLUBIN.LO..NGGO J99 H98 D99 B99 I99 
11 5 6	HJJJPSH..DPSAA.DPUB.NDLUBIN.LO.INGGO J99 H98 A99 D99 B99 
11 5 6	HJJJPSH..DPSBAADPUBINDLU.IN.LO..NGGO J99 H98 D99 B98 I99 
11 5 6	HJJJPSH..DPSAA.DPU.INDLUBIN.LOB.NGGO J99 H98 A99 D99 I99 
11 5 6	.JJJPSH..DPSHAADPUBINDLUBIN.LO..NGGO J99 H99 D99 B99 I99 
11 4 7	HJJJPSH...PSAANDPU..NDLUBINDLOBI.GGO J99 H98 A99 N99 
12 6 6	HJJJPSH..DPSAA.DPUBINDLUBIN.LO..NGGO J99 H98 A99 D99 B99 I99 
12 5 7	HJJJPSH..DPSAANDPU..NDLUBIN.LOBI.GGO J99 H98 A99 D99 N99 
12 4 8	HJJJPSH.N.PSAANDPU..NDLUBI.DLOBI.GGO J99 H98 A99 N98 
12 5 7	HJJJPSH...PSAANDPUB.NDLUBINDLO.I.GGO J99 H98 A99 N99 B99 
12 5 7	HJJJPSH...PSAANDPU.INDLUBINDLOB..GGO J99 H98 A99 N99 I99 
13 6 7	HJJJPSH..DPSAANDPUB.NDLUBIN.LO.I.GGO J99 H98 A99 D99 N99 B99 
13 5 8	HJJJPSH.NDPSAANDPU..NDLUBI..LOBI.GGO J99 H98 A99 D99 N98 
13 5 8	HJJJPSH...PSAANDPU..NDLUBINDLOBIGG.O J99 H98 A99 N99 G99 
13 6 7	HJJJPSH...PSAANDPU.INDLUBINDLOBGG..O J99 H98 A99 N99 I99 G98 
13 6 7	HJJJPSH...PSAANDPUBINDLUBINDLO...GGO J99 H98 A99 N99 B99 I99 
13 6 7	HJJJPSH..DPSAANDPU.INDLUBIN.LOB..GGO J99 H98 A99 D99 N99 I99 
13 5 8	HJJJPSH.N.PSAANDPU.INDLUBI.DLOB..GGO J99 H98 A99 N98 I99 
13 7 6	HJJJPSH...PSAANDPUBINDLUBINDLOGG...O J99 H98 A99 N99 B99 I99 G97 
13 5 8	HJJJPSH.N.PSAANDPUB.NDLUBI.DLO.I.GGO J99 H98 A99 N98 B99 
13 8 5	HJJJPSH...PSAAN.PUBINDLUBINDLOGG.D.O J99 H98 A99 D99 N99 B99 I99 G97 
13 7 6	HJJJPSH...PSAAN.PU.INDLUBINDLOBGGD.O J99 H98 A99 D99 N99 I99 G98 
13 9 4	HJJJPSH...PSAA..PUBINDLUBINDLOGGND.O J99 H98 A99 D99 N98 B99 I99 G97 
13 8 5	HJJJPSH...PSAA.DPUBINDLUBINDLOGGN..O J99 H98 A99 N98 B99 I99 G97 
13 5 8	HJJJPSH.N.PSAANDPU..NDLUBI.DLOBIGG.O J99 H98 A99 N98 G99 
14 7 7	HJJJPSH...PSAANDPUBINDLUBINDLO.GG..O J99 H98 A99 N99 B99 I99 G98 
14 8 6	HJJJPSH...PSAANDPUBIND.UBINDLOGG..LO J99 H98 A99 N99 L99 B99 I99 G97 
14 8 6	HJJJPSH...PSAAN.PU.IND.UBINDLOBGGDLO J99 H98 A99 D99 N99 L99 I99 G98 
14 10 4	HJJJPSH...PS..AAPUBINDLUBINDLOGGND.O J99 H98 A97 D99 N98 B99 I99 G97 
14 10 4	HJJJPSH...PS.AA.PUBINDLUBINDLOGGND.O J99 H98 A98 D99 N98 B99 I99 G97 
14 6 8	HJJJPSH.N.PSAANDPU..ND.UBI.DLOBIGGLO J99 H98 A99 N98 L99 G99 
14 9 5	HJJJPSH...PSAAN.PUBIND.UBINDLOGG.DLO J99 H98 A99 D99 N99 L99 B99 I99 G97 
14 8 6	HJJJPSH.N.PSAAN.PU.INDLUBI.DLOBGGD.O J99 H98 A99 D99 N98 I99 G98 
14 6 8	HJJJPSH...PSAANDPUB.NDLUBINDLO.IGG.O J99 H98 A99 N99 B99 G99 
14 7 7	HJJJPSH..DPSAANDPUBINDLUBIN.LO...GGO J99 H98 A99 D99 N99 B99 I99 
14 6 8	HJJJPSH...PSAANDPU..ND.UBINDLOBIGGLO J99 H98 A99 N99 L99 G99 
14 6 8	HJJJPSH.NDPSAANDPU..NDLUBI..LOBIGG.O J99 H98 A99 D99 N98 G99 
14 6 8	HJJJPSH.N.PSAANDPUBINDLUBI.DLO...GGO J99 H98 A99 N98 B99 I99 
14 6 8	HJJJPSH.NDPSAANDPU.INDLUBI..LOB..GGO J99 H98 A99 D99 N98 I99 
14 6 8	HJJJPSH.N.PSAANDPU.INDLUBI.DLOB.GG.O J99 H98 A99 N98 I99 G99 
14 6 8	HJJJPSH.N.PSAANDPUB.NDLUBI.DLO.IGG.O J99 H98 A99 N98 B99 G99 
14 10 4	HJJJPSH...PSAA..PUBIND.UBINDLOGGNDLO J99 H98 A99 D99 N98 L99 B99 I99 G97 
14 6 8	HJJJPSH.NDPSAANDPUB.NDLUBI..LO.I.GGO J99 H98 A99 D99 N98 B99 
14 7 7	HJJJPSH...PSAANDPU.IND.UBINDLOBGG.LO J99 H98 A99 N99 L99 I99 G98 
14 6 8	HJJJPSH..DPSAANDPU..NDLUBIN.LOBIGG.O J99 H98 A99 D99 N99 G99 
14 7 7	HJJJPSH.N.PSAANDPU.INDLUBI.DLOBGG..O J99 H98 A99 N98 I99 G98 
14 9 5	HJJJPSH...PSAA.DPUBIND.UBINDLOGGN.LO J99 H98 A99 N98 L99 B99 I99 G97 
14 6 8	HJJJPSH...PSAANDPU.INDLUBINDLOB.GG.O J99 H98 A99 N99 I99 G99 
14 9 5	HJJJPSH...PS.AADPUBINDLUBINDLOGGN..O J99 H98 A98 N98 B99 I99 G97 
15 7 8	HJJJPSH.NDPSAANDPUBINDLUBI..LO...GGO J99 H98 A99 D99 N98 B99 I99 
15 8 7	HJJJPSH...PSAANDPUBIND.UBINDLO.GG.LO J99 H98 A99 N99 L99 B99 I99 G98 
15 11 4	HJJJPSH...PS.AA.PUBIND.UBINDLOGGNDLO J99 H98 A98 D99 N98 L99 B99 I99 G97 
15 7 8	HJJJPSH...PSAANDPU.IND.UBINDLOB.GGLO J99 H98 A99 N99 L99 I99 G99 
15 10 5	HJJJ.SH...PSAA.DPUBINDPUBINDLOGGN.LO J99 P99 H98 A99 N98 L99 B99 I99 G97 
15 10 5	HJJJPSH...PSBAADPUBINDLU.INDLOGGN..O J99 H98 A98 N98 B98 I99 G97 
15 9 6	HJJJPSH...PSAAN.PUBIND.UBINDLO.GGDLO J99 H98 A99 D99 N99 L99 B99 I99 G98 
15 11 4	HJJJPSH...PS..AAPUBIND.UBINDLOGGNDLO J99 H98 A97 D99 N98 L99 B99 I99 G97 
15 9 6	HJJJPSH...PSAAN.PUBINDLUBINDLO.GGD.O J99 H98 A99 D99 N99 B99 I99 G96 
