5 0 5	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.DEE. C99 
5 1 4	.CCBBBHH.FL..AAFL....FLYG.DUUYG.DEE. Y99 
5 1 4	.CCBBBHH.FL..AAFL....FL.G.DUUYG.DEEY Y98 
6 1 5	.CCBBBHH.FL.AA.FLY...FLYG.DUU.G.DEE. A99 
6 1 5	.CCBBBHH.FL..AAFLYG..FLYG.DUU...DEE. G99 
6 2 4	.CCBBBHH.FL.GAAFL.G..FLY..DUUY..DEE. Y99 G98 
6 2 4	.CCBBBHH.FL..AAFL....FLYG.DUUYG.D.EE Y99 E99 
6 2 4	.CCBBBHH.FL..AAFL...DFL.G.DUUYG..EEY Y98 D99 
6 2 4	.CCBBBHH.FL..AAFL.G..FLYG.DUUY..DEE. Y99 G99 
6 2 4	.CCBBB.HHFL..AAFL....FLYG.DUUYG.DEE. H99 Y99 
6 2 4	.CCBBBHH.FL.AA.FL....FLYG.DUUYG.DEE. A99 Y99 
6 1 5	CC.BBBHH.FL..AAFLY...FLYG.DUU.G.DEE. C99 
6 1 5	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.D.EE E99 
6 2 4	CC.BBBHH.FL..AAFL....FLYG.DUUYG.DEE. C99 Y99 
6 2 4	.CCBBBHH.FL..AAFL.G..FL.G.DUUY..DEEY Y98 G99 
6 2 4	.CCBBBHH.FL.GAAFL.G..FL...DUUY..DEEY Y98 G98 
6 1 5	.CCBBB.HHFL..AAFLY...FLYG.DUU.G.DEE. H99 
6 1 5	.CCBBBHH.FL..AAFLY..DFLYG.DUU.G..EE. D99 
6 2 4	.CCBBBHH.FL.AA.FL....FL.G.DUUYG.DEEY A99 Y98 
6 2 4	.CCBBB.HHFL..AAFL....FL.G.DUUYG.DEEY H99 Y98 
6 1 5	.CCBBBHH.FL.GAAFLYG..FLY..DUU...DEE. G98 
6 2 4	CC.BBBHH.FL..AAFL....FL.G.DUUYG.DEEY C99 Y98 
6 2 4	.CCBBBHH.FL..AAFL...DFLYG.DUUYG..EE. Y99 D99 
7 2 5	.CCBBBHH.FL.AA.FLY...FLYG.DUU.G.D.EE A99 E99 
7 2 5	.CCBBB.HHFL..AAFLYG..FLYG.DUU...DEE. H99 G99 
7 3 4	.CCBBBHH.FL.GAAFL.G..FLY..DUUY..D.EE Y99 G98 E99 
7 2 5	CCBBB.HH.FL..AAFLY...FLYG.DUU.G.DEE. C99 B99 
7 2 5	CC.BBB.HHFL..AAFLY...FLYG.DUU.G.DEE. C99 H99 
7 3 4	CCBBB.HH.FL..AAFL....FL.G.DUUYG.DEEY C99 B99 Y98 
7 3 4	.CCBBBHH.FL..AAFL...DFLYG.DUUYGEE... Y99 D99 E98 
7 2 5	CC.BBBHH.FL..AAFLYG..FLYG.DUU...DEE. C99 G99 
7 3 4	.CCBBBHH.FL.AA.FL...DFLYG.DUUYG..EE. A99 Y99 D99 
7 2 5	.CCBBBHH.FL..AAFLYG..FLYG.DUU...D.EE G99 E99 
7 3 4	GCCBBBGHHFL..AAFL....FLY..DUUY..DEE. H99 Y99 G96 
7 3 4	CC.BBBHH.FL.AA.FL....FLYG.DUUYG.DEE. C99 A99 Y99 
7 3 4	.CCBBBGHHFL.GAAFL....FLY..DUUY..DEE. H99 Y99 G97 
7 2 5	.CCBBBHH.FL.AA.FLY..DFLYG.DUU.G..EE. A99 D99 
7 3 4	.CCBBBHH.FL..AAFL...DFLYG.DUUYG...EE Y99 D99 E99 
7 3 4	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY...EE. Y99 G99 D99 
7 3 4	.CCBBB.HHFL.AA.FL....FLYG.DUUYG.DEE. H99 A99 Y99 
7 3 4	CC.BBB.HHFL..AAFL....FLYG.DUUYG.DEE. C99 H99 Y99 
7 3 4	.CCBBBHH.FL..AAFL...DFL.G.DUUYGEE..Y Y98 D99 E98 
7 3 4	.CCBBBHH.FL.AA.FL.G..FLYG.DUUY..DEE. A99 Y99 G99 
7 3 4	CCBBBYHH.FLY.AAFL....FL.G.DUU.G.DEE. C99 B99 Y98 
7 3 4	.CCBBB.HHFL..AAFL.G..FLYG.DUUY..DEE. H99 Y99 G99 
7 1 6	.CCBBBHH.FLY.AAFLY...FL.G.DUU.G.DEE. Y99 
7 2 5	.CCBBBHH.FL.AA.FLYG..FLYG.DUU...DEE. A99 G99 
7 3 4	CC.BBBHH.FL..AAFL.G..FLYG.DUUY..DEE. C99 G99 Y99 
7 3 4	.CCBBBHH.FL..AAFL...DFL.G.DUUYG.EE.Y Y98 D99 E99 
7 3 4	.CCBBBHH.FL.GAAFL.G.DFL...DUUY...EEY Y98 G98 D99 
7 2 5	.CCBBB.HHFL.AA.FLY...FLYG.DUU.G.DEE. H99 A99 
7 3 4	.CCBBBHH.FL..AAFL.G.DFL.G.DUUY...EEY Y98 G99 D99 
7 3 4	.CCBBB.HHFL..AAFL...DFLYG.DUUYG..EE. H99 Y99 D99 
7 3 4	.CCBBBHH.FL.AA.FL...DFL.G.DUUYG..EEY A99 Y98 D99 
7 2 5	CC.BBBHH.FL.AA.FLY...FLYG.DUU.G.DEE. C99 A99 
7 3 4	.CCBBB.HHFL..AAFL...DFL.G.DUUYG..EEY H99 Y98 D99 
7 3 4	CC.BBBHH.FL..AAFL...DFL.G.DUUYG..EEY C99 D99 Y98 
7 3 4	.CCBBBHH.FL..AAFL.G..FLYG.DUUY..D.EE Y99 G99 E99 
7 3 4	CC.BBB.HHFL..AAFL....FL.G.DUUYG.DEEY C99 H99 Y98 
7 3 4	.CCBBBGHHFL.GAAFL....FL...DUUY..DEEY H99 Y98 G97 
7 3 4	.CCBBBHH.FL..AAFL...DFLYG.DUUYG.EE.. Y99 D99 E99 
7 1 6	.CCBBBHH.FL..AAFLY...FLYG.D.UUG.DEE. U99 
7 3 4	.CCBBBHH.FL.AA.FL....FLYG.DUUYG.D.EE A99 Y99 E99 
7 3 4	.CCBBB.HHFL.AA.FL....FL.G.DUUYG.DEEY H99 A99 Y98 
7 3 4	CC.BBBHH.FL.AA.FL....FL.G.DUUYG.DEEY C99 A99 Y98 
7 3 4	.CCBBB.HHFL..AAFL....FLYG.DUUYG.D.EE H99 Y99 E99 
7 2 5	.CCBBBHH.FL..AAFLY..DFLYG.DUU.G.EE.. D99 E99 
7 3 4	CC.BBBHH.FL..AAFL....FLYG.DUUYG.D.EE C99 Y99 E99 
7 3 4	CC.BBBHH.FL..AAFL...DFLYG.DUUYG..EE. C99 Y99 D99 
7 3 4	.CCBBB.HHFL.GAAFL.G..FL...DUUY..DEEY H99 Y98 G98 
7 2 5	.CCBBBHH.FL.GAAFLYG.DFLY..DUU....EE. G98 D99 
7 3 4	GCCBBBGHHFL..AAFL....FL...DUUY..DEEY H99 Y98 G96 
7 2 5	.CCBBB.HHFL..AAFLY..DFLYG.DUU.G..EE. H99 D99 
7 3 4	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY...EE. Y99 G98 D99 
7 2 5	GCCBBBGHHFL..AAFLY...FLY..DUU...DEE. H99 G96 
7 2 5	.CCBBBGHHFL.GAAFLY...FLY..DUU...DEE. H99 G97 
7 3 4	.CCBBBHH.FL.AA.FL.G..FL.G.DUUY..DEEY A99 Y98 G99 
7 3 4	CC.BBBHH.FL.GAAFL.G..FL...DUUY..DEEY C99 G98 Y98 
7 2 5	.CCBBB.HHFL.GAAFLYG..FLY..DUU...DEE. H99 G98 
7 3 4	.CCBBB.HHFL.GAAFL.G..FLY..DUUY..DEE. H99 Y99 G98 
7 3 4	.CCBBB.HHFL..AAFL.G..FL.G.DUUY..DEEY H99 Y98 G99 
7 3 4	CC.BBBHH.FL..AAFL.G..FL.G.DUUY..DEEY C99 G99 Y98 
7 3 4	CC.BBBHH.FL.GAAFL.G..FLY..DUUY..DEE. C99 G98 Y99 
7 3 4	CCBBB.HH.FL..AAFL....FLYG.DUUYG.DEE. C99 B99 Y99 
7 2 5	.CCBBBHH.FL..AAFLY..DFLYG.DUU.G...EE D99 E99 
7 2 5	CC.BBBHH.FL..AAFLY...FLYG.DUU.G.D.EE C99 E99 
7 2 5	.CCBBBHH.FL.GAAFLYG..FLY..DUU...D.EE G98 E99 
7 2 5	.CCBBB.HHFL..AAFLY...FLYG.DUU.G.D.EE H99 E99 
7 2 5	.CCBBBHH.FL..AAFLYG.DFLYG.DUU....EE. G99 D99 
7 2 5	CC.BBBHH.FL..AAFLY..DFLYG.DUU.G..EE. C99 D99 
7 2 5	.CCBBBHH.FL..AAFLY..DFLYG.DUU.GEE... D99 E98 
7 2 5	CC.BBBHH.FL.GAAFLYG..FLY..DUU...DEE. C99 G98 
8 2 6	.CCBBBHH.FL.AADFLY..DFLYG..UU.G..EE. A99 D98 
8 3 5	.CCBBB.HHFL..AAFLYG..FLYG.DUU...D.EE H99 G99 E99 
8 4 4	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY.EE... Y99 G98 D99 E98 
8 3 5	CC.BBBHH.FL.AA.FLYG..FLYG.DUU...DEE. C99 A99 G99 
8 4 4	CC.BBBHH.FL..AAFL.G..FLYG.DUUY..D.EE C99 G99 Y99 E99 
8 3 5	CC.BBB.HHFL..AAFLY...FLYG.DUU.G.D.EE C99 H99 E99 
8 4 4	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY.EE... Y99 G99 D99 E98 
8 3 5	.CCBBBHH.FL.AADFL...DFLYG..UUYG..EE. A99 Y99 D98 
8 3 5	CCBBB.HH.FL..AAFLY...FLYG.DUU.G.D.EE C99 B99 E99 
8 4 4	.CCBBBHH.FL.AA.FL...DFLYG.DUUYGEE... A99 Y99 D99 E98 
8 4 4	.CCBBB.HHFL..AAFL...DFLYG.DUUYGEE... H99 Y99 D99 E98 
8 4 4	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY....EE Y99 G98 D99 E99 
8 4 4	CC.BBBHH.FL..AAFL...DFLYG.DUUYGEE... C99 D99 Y99 E98 
8 4 4	CCBBB.HH.FL.GAAFL.G..FL...DUUY..DEEY C99 B99 G98 Y98 
8 4 4	CCBBB.HH.FL..AAFL.G..FL.G.DUUY..DEEY C99 B99 G99 Y98 
8 4 4	CCBBB.HH.FL..AAFL...DFL.G.DUUYG..EEY C99 B99 D99 Y98 
8 4 4	CCBBB.HH.FL.AA.FL....FL.G.DUUYG.DEEY C99 B99 A99 Y98 
8 4 4	.CCBBBHH.FL.AA.FL...DFLYG.DUUYG...EE A99 Y99 D99 E99 
8 2 6	.CCBBBHH.FL.AA.FLY...FLYG.D.UUG.DEE. A99 U99 
8 4 4	CCBBB..HHFL..AAFL....FL.G.DUUYG.DEEY C99 B99 H99 Y98 
8 3 5	.CCBBB.HHFL.GAAFLYG..FLY..DUU...D.EE H99 G98 E99 
8 3 5	CC.BBBGHHFL.GAAFLY...FLY..DUU...DEE. C99 H99 G97 
8 3 5	CC.BBB.HHFL..AAFLY..DFLYG.DUU.G..EE. C99 H99 D99 
8 3 5	CC.BBBHH.FL..AAFLYG..FLYG.DUU...D.EE C99 G99 E99 
8 3 5	.CCBBBHH.FL..AAFLYG.DFLYG.DUU..EE... G99 D99 E98 
8 3 5	GCCBBBGHHFL..AAFLY...FLY..DUU...D.EE H99 G96 E99 
8 3 5	CC.BBBHH.FL.GAAFLYG..FLY..DUU...D.EE C99 G98 E99 
8 3 5	CC.BBBHH.FL..AAFLY..DFLYG.DUU.G...EE C99 D99 E99 
8 3 5	CC.BBB.HHFL.GAAFLYG..FLY..DUU...DEE. C99 H99 G98 
8 3 5	.CCBBB.HHFL..AAFLY..DFLYG.DUU.GEE... H99 D99 E98 
8 3 5	GCCBBBGHHFL.AA.FLY...FLY..DUU...DEE. H99 A99 G96 
8 3 5	GCCBBBGHHFL..AAFLY..DFLY..DUU....EE. H99 G96 D99 
8 3 5	CC.BBB.HHFL.AA.FLY...FLYG.DUU.G.DEE. C99 H99 A99 
8 4 4	.CCBBBGHHFL.GAAFL....FLY..DUUY..D.EE H99 Y99 G97 E99 
8 4 4	CC.BBB.HHFL..AAFL....FLYG.DUUYG.D.EE C99 H99 Y99 E99 
8 3 5	.CCBBBHH.FL.GAAFLYG.DFLY..DUU..EE... G98 D99 E98 
8 3 5	.CCBBBHH.FL.GAAFLYG.DFLY..DUU.EE.... G98 D99 E97 
8 3 5	.CCBBBGHHFL.GAAFLY..DFLY..DUU....EE. H99 G97 D99 
8 3 5	CCBBB.HH.FL..AAFLY..DFLYG.DUU.G..EE. C99 B99 D99 
8 4 4	CC.BBBHH.FL.AA.FL....FLYG.DUUYG.D.EE C99 A99 Y99 E99 
8 3 5	.CCBBB.HHFL.GAAFLYG.DFLY..DUU....EE. H99 G98 D99 
8 3 5	CC.BBBHH.FL.GAAFLYG.DFLY..DUU....EE. C99 G98 D99 
8 3 5	CCBBB.HH.FL.GAAFLYG..FLY..DUU...DEE. C99 B99 G98 
8 4 4	CCBBB.HH.FL..AAFL...DFLYG.DUUYG..EE. C99 B99 Y99 D99 
8 4 4	CCBBB.HH.FL..AAFL....FLYG.DUUYG.D.EE C99 B99 Y99 E99 
8 3 5	CCBBB.HH.FL..AAFLYG..FLYG.DUU...DEE. C99 B99 G99 
8 4 4	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY....EE Y99 G99 D99 E99 
8 4 4	.CCBBB.HHFL.AA.FL....FLYG.DUUYG.D.EE H99 A99 Y99 E99 
8 3 5	.CCBBBHH.FL.GAAFLYG.DFLY..DUU...EE.. G98 D99 E99 
8 3 5	.CCBBBHH.FL..AAFLYG.DFLYG.DUU...EE.. G99 D99 E99 
8 3 5	.CCBBBHH.FL.AA.FLY..DFLYG.DUU.GEE... A99 D99 E98 
8 3 5	.CCBBB.HHFL..AAFLY..DFLYG.DUU.G.EE.. H99 D99 E99 
8 3 5	CC.BBBHH.FL..AAFLY..DFLYG.DUU.G.EE.. C99 D99 E99 
8 3 5	CCBBB.HH.FLY.AAFLY...FL.G.DUU.G.DEE. C99 B99 Y99 
8 4 4	.CCBBBHH.FL..AAFL.G.DFLYG.DUUYEE.... Y99 G99 D99 E97 
8 3 5	CCBBB.HH.FL.AA.FLY...FLYG.DUU.G.DEE. C99 B99 A99 
8 4 4	CC.BBBHH.FL.AA.FL.G..FL.G.DUUY..DEEY C99 A99 G99 Y98 
8 4 4	.CCBBB.HHFL.AA.FL.G..FL.G.DUUY..DEEY H99 A99 Y98 G99 
8 3 5	CCBBB..HHFL..AAFLY...FLYG.DUU.G.DEE. C99 B99 H99 
8 4 4	.CCBBBHH.FL.GAAFL.G.DFL...DUUY.EE..Y Y98 G98 D99 E98 
8 4 4	CCBBBYHH.FLY.AAFL....FL.G.DUU.G.D.EE C99 B99 Y98 E99 
8 2 6	.CCBBBHH.FLY.AAFLY...FL.G.D.UUG.DEE. Y99 U99 
8 4 4	CC.BBBHH.FL..AAFL...DFLYG.DUUYG.EE.. C99 D99 Y99 E99 
8 4 4	.CCBBBGHHFL.GAAFL...DFL...DUUY...EEY H99 Y98 G97 D99 
8 4 4	CC.BBB.HHFL..AAFL.G..FL.G.DUUY..DEEY C99 H99 G99 Y98 
8 4 4	CC.BBB.HHFL.AA.FL....FL.G.DUUYG.DEEY C99 H99 A99 Y98 
8 4 4	.CCBBB.HHFL.GAAFL.G..FLY..DUUY..D.EE H99 Y99 G98 E99 
8 4 4	.CCBBBHH.FL.AA.FL.G..FLYG.DUUY..D.EE A99 Y99 G99 E99 
8 4 4	CC.BBB.HHFL..AAFL...DFL.G.DUUYG..EEY C99 H99 D99 Y98 
8 3 5	CCDBBBHHDFL.AA.FLY...FLYG..UU.G..EE. C99 A99 D96 
8 4 4	CC.BBBHH.FL.GAAFL.G..FLY..DUUY..D.EE C99 G98 Y99 E99 
8 3 5	.CCBBB.HHFL..AAFLYG.DFLYG.DUU....EE. H99 G99 D99 
8 4 4	.CCBBB.HHFL..AAFL.G..FLYG.DUUY..D.EE H99 Y99 G99 E99 
8 4 4	.CCBBB.HHFL.GAAFL.G.DFLY..DUUY...EE. H99 Y99 G98 D99 
8 4 4	CC.BBBHH.FL.AA.FL...DFL.G.DUUYG..EEY C99 A99 D99 Y98 
8 4 4	.CCBBBHH.FL.AA.FL.G.DFL.G.DUUY...EEY A99 Y98 G99 D99 
8 2 6	.CCBBBHH.FLYAA.FLY...FL.G.DUU.G.DEE. A99 Y99 
8 4 4	CC.BBBHH.FL..AAFL.G.DFL.G.DUUY...EEY C99 G99 D99 Y98 
8 4 4	.CCBBB.HHFL..AAFL.G.DFL.G.DUUY...EEY H99 Y98 G99 D99 
8 3 5	.CCBBB.HHFL.AA.FLYG..FLYG.DUU...DEE. H99 A99 G99 
8 2 6	.CCBBBHH.FL..AAFLY...FLYG.D.UUG.D.EE U99 E99 
7 3 4	.CCBBBHH..L..AA.LY...FLYG.DFUUG.DFEE F98 U99 E99 
8 3 5	CC.BBB.HHFL..AAFLYG..FLYG.DUU...DEE. C99 H99 G99 
8 3 5	.CCBBBHH..L..AAFLY...FLYG.DFUUG.D.EE F99 U99 E99 
8 4 4	.CCBBBHH..L..AA.LYG..FLYG.DFUU..DFEE F98 G99 U99 E99 
8 4 4	.CCBBBHH..L.GAA.LYG..FLY..DFUU..DFEE F98 G98 U99 E99 
8 4 4	.CCBBBHH..L..AA.LY..DFLYG.DFUUG..FEE F98 D99 U99 E99 
8 4 4	CC.BBBHH..L..AA.LY...FLYG.DFUUG.DFEE C99 F98 U99 E99 
8 4 4	.CCBBB.HH.L..AA.LY...FLYG.DFUUG.DFEE H99 F98 U99 E99 
8 4 4	.CCBBB..HHL..AA.LY...FLYG.DFUUG.DFEE H98 F98 U99 E99 
8 4 4	.CCBBBHH..L.AA..LY...FLYG.DFUUG.DFEE F98 A99 U99 E99 
8 4 4	.CCBBBHH..L...AALY...FLYG.DFUUG.DFEE F98 A99 U99 E99 
