2 0 2	..B.....B...AAB.......C..DEEC..D..C. B99 
3 1 2	........B...AAB.....B.C..DEEC..D..C. B99 
3 1 2	..B.....B...AAB....D..C..DEEC.....C. D99 
4 1 3	..B.....B.C.AAB.C.....C..DEE...D.... C98 
4 1 3	..B.....B...AAB.C.....C..DEEC..D.... C99 
4 2 2	........B...AAB....DB.C..DEEC.....C. B99 D99 
5 2 3	........B.C.AAB.C...B.C..DEE...D.... B99 C98 
5 1 4	..B.C...B.C.AAB.C........DEE...D.... C97 
5 2 3	........B...AAB.C...B.C..DEEC..D.... B99 C99 
5 2 3	..B.....B.C.AAB.C..D..C..DEE........ C98 D99 
5 2 3	..B.....B...AAB.C..D..C..DEEC....... C99 D99 
6 2 4	....C...B.C.AAB.C...B....DEE...D.... B99 C97 
6 2 4	..B.C...B.C.AAB.C........D..EE.D.... C97 E98 
5 3 2	....C.....C.AA..C...B....DB.EE.DB... B97 C97 E98 
6 2 4	..B.....B.C.AAB.C.....C..D..EE.D.... C98 E98 
6 3 3	....C...B.C.AAB.C...B....D..EE.D.... B99 C97 E98 
6 3 3	....C.....C.AAB.C...B....DB.EE.D.... B98 C97 E98 
6 4 2	....C.....C.AA..C...B....DBEE..DB... B97 C97 E97 
6 3 3	..........C.AAB.C...B.C..DB.EE.D.... B98 C98 E98 
6 3 3	........B.C.AAB.C...B.C..D.EE..D.... B99 C98 E99 
6 3 3	....C...B.C.AAB.C...B....D.EE..D.... B99 C97 E99 
6 2 4	..B.....B.C.AAB.C.....C..D.EE..D.... C98 E99 
6 3 3	........B.C.AAB.C..DB.C..DEE........ B99 C98 D99 
6 2 4	..B.C...B.C.AAB.C........D.EE..D.... C97 E99 
6 3 3	........B...AAB.C..DB.C..DEEC....... B99 C99 D99 
6 2 4	..B.C...B.C.AAB.C..D.....DEE........ C97 D99 
6 4 2	....C.....C...AAC...B....DB.EE.DB... B97 C97 A98 E98 
6 4 2	....C.....C.AA..C..DB....DB.EE..B... B97 C97 D99 E98 
6 3 3	........B.C.AAB.C...B.C..D..EE.D.... B99 C98 E98 
6 4 2	....C.....C..AA.C...B....DB.EE.DB... B97 C97 A99 E98 
6 4 2	..........C.AA..C...B.C..DB.EE.DB... C96 B97 E98 
7 3 4	..B.C...B.C.AAB.C..D.....D..EE...... C97 D99 E98 
7 4 3	....C...B.C.AAB.C..DB....D..EE...... B99 C97 D99 E98 
7 4 3	..........C.AAB.C...B.C..DBEE..D.... B98 C98 E97 
7 5 2	..........C..AA.C...B.C..DB.EE.DB... C96 A99 B97 E98 
7 5 2	....C..D..C..DAAC...B.....B.EE..B... B97 C97 A98 D97 E98 
7 5 2	....C.....C..DAAC..DB.....B.EE..B... B97 C97 A98 D98 E98 
7 5 2	..........C.AA..C..DB.C..DB.EE..B... C96 D99 B97 E98 
7 3 4	..B.....B.C.AAB.C..D..C..D..EE...... C98 D99 E98 
7 4 3	....C.....C.AAB.C...B....DBEE..D.... B98 C97 E97 
7 5 2	....C.....C.AA..C..DB....DBEE...B... B97 C97 D99 E97 
7 3 4	..B.....B.C.AAB.C..D..C..D.EE....... C98 D99 E99 
7 5 2	....C.....C...AAC...B....DBEE..DB... B97 C97 A98 E97 
