0 0 0	U.B..DU.BCCDAABT.DFW.TKKFWLLL..WOOO. 
1 1 0	U....DU.BCCDAABT.DFWBTKKFWLLL..WOOO. B99 
1 1 0	U.B..DU.BCCDAABT.D.W.TKKFWLLL.FWOOO. F99 
1 1 0	U.B..DU.BCCDAABT.DFW.TKKFW.LLL.WOOO. L99 
1 1 0	U.B..DU.BCCDAABT.DFW.TKKFWLLL..W.OOO O99 
2 2 0	U....DU.BCCDAABT.D.WBTKKFWLLL.FWOOO. B99 F99 
2 2 0	U....DU.BCCDAABT.DFWBTKKFW.LLL.WOOO. B99 L99 
2 2 0	U....DU.BCCDAABT.DFWBTKKFWLLL..W.OOO B99 O99 
2 2 0	U.B..DU.BCCDAABT.D.W.TKKFW.LLLFWOOO. F99 L99 
2 2 0	U.B..DU.BCCDAABT.D.W.TKKFWLLL.FW.OOO F99 O99 
2 2 0	U....DU..CCDAABT.DFWBTKKFWBLLL.WOOO. B98 L99 
2 2 0	U.B..DU.BCCDAABT.DFW.TKKFW.LLL.W.OOO L99 O99 
3 3 0	U....DU.BCCDAABT.D.WBTKKFW.LLLFWOOO. B99 F99 L99 
3 3 0	U....DU.BCCDAABT.D.WBTKKFWLLL.FW.OOO B99 F99 O99 
3 3 0	U....DU.BCCDAABT.DFWBTKKFW.LLL.W.OOO B99 L99 O99 
3 3 0	U....DU..CCDAABT.D.WBTKKFWBLLLFWOOO. B98 F99 L99 
3 3 0	U.B..DU.BCCDAABT.D.W.TKKFW.LLLFW.OOO F99 L99 O99 
3 3 0	U....DU.CC.DAABT.DFWBTKKFWBLLL.WOOO. B98 C99 L99 
3 3 0	U....DUCC..DAABT.DFWBTKKFWBLLL.WOOO. B98 C98 L99 
3 3 0	U....DU..CCDAABT.DFWBTKKFWBLLL.W.OOO B98 L99 O99 
3 3 0	U....DU..CCDAA.T.DFWBTKKFWBLLL.WBOOO B97 L99 O99 
4 4 0	U....DU.BCCDAABT.D.WBTKKFW.LLLFW.OOO B99 F99 L99 O99 
4 4 0	U....DU.CC.DAABT.D.WBTKKFWBLLLFWOOO. B98 C99 F99 L99 
4 4 0	U....DUCC..DAABT.D.WBTKKFWBLLLFWOOO. B98 C98 F99 L99 
4 4 0	U....DU..CCDAABT.D.WBTKKFWBLLLFW.OOO B98 F99 L99 O99 
4 4 0	U....DU..CCDAA.T.D.WBTKKFWBLLLFWBOOO B97 F99 L99 O99 
4 4 0	U....DU.CC.DAABT.DFWBTKKFWBLLL.W.OOO B98 C99 L99 O99 
4 4 0	U....DUCCT.DAABT.DFWB.KKFWBLLL.WOOO. B98 C98 T99 L99 
4 4 0	U..T.DUCCT.DAAB..DFWB.KKFWBLLL.WOOO. B98 C98 T98 L99 
4 4 0	U....DUCC..DAABT.DFWBTKKFWBLLL.W.OOO B98 C98 L99 O99 
4 4 0	U....DU.CC.DAA.T.DFWBTKKFWBLLL.WBOOO B97 C99 L99 O99 
4 4 0	U....DUCC..DAA.T.DFWBTKKFWBLLL.WBOOO B97 C98 L99 O99 
4 4 0	U....DU..CCD.AAT.DFWBTKKFWBLLL.WBOOO B97 A99 L99 O99 
5 5 0	U....DU.CC.DAABT.D.WBTKKFWBLLLFW.OOO B98 C99 F99 L99 O99 
5 5 0	U....DUCCT.DAABT.D.WB.KKFWBLLLFWOOO. B98 C98 T99 F99 L99 
5 5 0	U..T.DUCCT.DAAB..D.WB.KKFWBLLLFWOOO. B98 C98 T98 F99 L99 
5 5 0	U....DUCC..DAABT.D.WBTKKFWBLLLFW.OOO B98 C98 F99 L99 O99 
5 5 0	U....DU.CC.DAA.T.D.WBTKKFWBLLLFWBOOO B97 C99 F99 L99 O99 
5 5 0	U....DUCC..DAA.T.D.WBTKKFWBLLLFWBOOO B97 C98 F99 L99 O99 
5 5 0	U....DU..CCD.AAT.D.WBTKKFWBLLLFWBOOO B97 A99 F99 L99 O99 
5 5 0	U....DUCCT.DAABT.DFWBKK.FWBLLL.WOOO. B98 C98 T99 K99 L99 
5 5 0	U....DUCCT.DAABT.DFWB.KKFWBLLL.W.OOO B98 C98 T99 L99 O99 
5 5 0	U..T.DUCCT.DAAB..DFWBKK.FWBLLL.WOOO. B98 C98 T98 K99 L99 
5 5 0	U..T.DUCCT.DAAB..DFWB.KKFWBLLL.W.OOO B98 C98 T98 L99 O99 
5 5 0	U....DU.CC.D.AAT.DFWBTKKFWBLLL.WBOOO B97 C99 A99 L99 O99 
5 5 0	U....DUCC..D.AAT.DFWBTKKFWBLLL.WBOOO B97 C98 A99 L99 O99 
5 5 0	U....DUCCT.DAA.T.DFWB.KKFWBLLL.WBOOO B97 C98 T99 L99 O99 
5 5 0	U..T.DUCCT.DAA...DFWB.KKFWBLLL.WBOOO B97 C98 T98 L99 O99 
5 5 0	.....DU..CCDUAAT.DFWBTKKFWBLLL.WBOOO U99 A99 B97 L99 O99 
5 5 0	U....DU..CCDFAAT.DFWBTKK.WBLLL.WBOOO B97 A99 F99 L99 O99 
6 6 0	U....DUCCT.DAABT.D.WBKK.FWBLLLFWOOO. B98 C98 T99 F99 K99 L99 
6 6 0	U....DUCCT.DAABT.D.WB.KKFWBLLLFW.OOO B98 C98 T99 F99 L99 O99 
6 6 0	U..T.DUCCT.DAAB..D.WBKK.FWBLLLFWOOO. B98 C98 T98 F99 K99 L99 
6 6 0	U..T.DUCCT.DAAB..D.WB.KKFWBLLLFW.OOO B98 C98 T98 F99 L99 O99 
6 6 0	U....DU.CC.D.AAT.D.WBTKKFWBLLLFWBOOO B97 C99 A99 F99 L99 O99 
6 6 0	U....DUCC..D.AAT.D.WBTKKFWBLLLFWBOOO B97 C98 A99 F99 L99 O99 
6 6 0	U....DUCCT.DAA.T.D.WB.KKFWBLLLFWBOOO B97 C98 T99 F99 L99 O99 
6 6 0	U..T.DUCCT.DAA...D.WB.KKFWBLLLFWBOOO B97 C98 T98 F99 L99 O99 
6 6 0	.....DU..CCDUAAT.D.WBTKKFWBLLLFWBOOO U99 A99 B97 F99 L99 O99 
6 6 0	.....D...CCDUAAT.DUWBTKKFWBLLLFWBOOO U98 A99 B97 F99 L99 O99 
6 6 0	U.....UCCT.DAABT.DFWBKKDFWBLLL.WOOO. B98 D99 C98 T99 K99 L99 
6 6 0	U....DUCCT.DAABT.DFWBKK.FWBLLL.W.OOO B98 C98 T99 K99 L99 O99 
6 6 0	U..T..UCCT.DAAB..DFWBKKDFWBLLL.WOOO. B98 D99 C98 T98 K99 L99 
6 6 0	U..T.DUCCT.DAAB..DFWBKK.FWBLLL.W.OOO B98 C98 T98 K99 L99 O99 
6 6 0	.....DU.CC.DUAAT.DFWBTKKFWBLLL.WBOOO U99 C99 A99 B97 L99 O99 
6 6 0	U....DU.CC.DFAAT.DFWBTKK.WBLLL.WBOOO B97 C99 A99 F99 L99 O99 
