0 0 0	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
1 1 0	.JJJPS....PSHAADPUH.NDLUBINDLOBINGGO J99 
1 1 0	JJJ.PSH...PSHAADPU..NDLUBINDLOBINGGO H99 
1 1 0	JJJ.PS...DPSHAADPUH.NDLUBIN.LOBINGGO D99 
1 1 0	JJJDPS...DPSHAADPUH.N.LUBIN.LOBINGGO D98 
1 1 0	JJJ.PS....PSHAADPUHINDLUBINDLOB.NGGO I99 
2 2 0	.JJJPSH...PSHAADPU..NDLUBINDLOBINGGO J99 H99 
2 2 0	HJJJPSH...PS.AADPU..NDLUBINDLOBINGGO J99 H98 
2 2 0	.JJJPS...DPSHAADPUH.NDLUBIN.LOBINGGO J99 D99 
2 2 0	.JJJPS....PSHAADPUHINDLUBINDLOB.NGGO J99 I99 
2 2 0	JJJ.PSH..DPSHAADPU..NDLUBIN.LOBINGGO H99 D99 
2 2 0	JJJDPSH..DPSHAADPU..N.LUBIN.LOBINGGO H99 D98 
2 2 0	JJJ.PSH...PSHAADPUB.NDLUBINDLO.INGGO H99 B99 
2 2 0	JJJ.PSH...PSHAADPU.INDLUBINDLOB.NGGO H99 I99 
2 2 0	JJJ.PS...DPSHAADPUHINDLUBIN.LOB.NGGO D99 I99 
2 2 0	JJJDPS...DPSHAADPUHIN.LUBIN.LOB.NGGO D98 I99 
3 3 0	.JJJPSH..DPSHAADPU..NDLUBIN.LOBINGGO J99 H99 D99 
3 3 0	.JJJPSH...PSHAADPUB.NDLUBINDLO.INGGO J99 H99 B99 
3 3 0	.JJJPSH...PSHAADPU.INDLUBINDLOB.NGGO J99 H99 I99 
3 3 0	HJJJPSH...PSAA.DPU..NDLUBINDLOBINGGO J99 H98 A99 
3 3 0	HJJJPSH..DPS.AADPU..NDLUBIN.LOBINGGO J99 H98 D99 
3 3 0	HJJJPSH...PS.AADPUB.NDLUBINDLO.INGGO J99 H98 B99 
3 3 0	HJJJPSH...PSBAADPUB.NDLU.INDLO.INGGO J99 H98 B98 
3 3 0	HJJJPSH...PS.AADPU.INDLUBINDLOB.NGGO J99 H98 I99 
3 3 0	.JJJPS...DPSHAADPUHINDLUBIN.LOB.NGGO J99 D99 I99 
3 3 0	JJJ.PSH..DPSHAADPUB.NDLUBIN.LO.INGGO H99 D99 B99 
3 3 0	JJJ.PSH..DPSHAADPU.INDLUBIN.LOB.NGGO H99 D99 I99 
3 3 0	JJJDPSH..DPSHAADPUB.N.LUBIN.LO.INGGO H99 D98 B99 
3 3 0	JJJDPSH..DPSHAADPU.IN.LUBIN.LOB.NGGO H99 D98 I99 
3 3 0	JJJ.PSH...PSHAADPUBINDLUBINDLO..NGGO H99 B99 I99 
4 4 0	.JJJPSH..DPSHAADPUB.NDLUBIN.LO.INGGO J99 H99 D99 B99 
4 4 0	.JJJPSH..DPSHAADPU.INDLUBIN.LOB.NGGO J99 H99 D99 I99 
4 4 0	.JJJPSH...PSHAADPUBINDLUBINDLO..NGGO J99 H99 B99 I99 
4 4 0	HJJJPSH..DPSAA.DPU..NDLUBIN.LOBINGGO J99 H98 A99 D99 
4 4 0	HJJJPSH...PSAANDPU..NDLUBINDLOBI.GGO J99 H98 A99 N99 
4 4 0	HJJJPSH.N.PSAANDPU..NDLUBI.DLOBI.GGO J99 H98 A99 N98 
4 4 0	HJJJPSH...PSAA.DPUB.NDLUBINDLO.INGGO J99 H98 A99 B99 
4 4 0	HJJJPSH...PSAA.DPU.INDLUBINDLOB.NGGO J99 H98 A99 I99 
4 4 0	HJJJPSH..DPS.AADPUB.NDLUBIN.LO.INGGO J99 H98 D99 B99 
4 4 0	HJJJPSH..DPSBAADPUB.NDLU.IN.LO.INGGO J99 H98 D99 B98 
4 4 0	HJJJPSH..DPS.AADPU.INDLUBIN.LOB.NGGO J99 H98 D99 I99 
4 4 0	HJJJPSH...PS.AADPUBINDLUBINDLO..NGGO J99 H98 B99 I99 
4 4 0	HJJJPSH...PSBAADPUBINDLU.INDLO..NGGO J99 H98 B98 I99 
4 4 0	JJJ.PSH..DPSHAADPUBINDLUBIN.LO..NGGO H99 D99 B99 I99 
4 4 0	JJJDPSH..DPSHAADPUBIN.LUBIN.LO..NGGO H99 D98 B99 I99 
5 5 0	.JJJPSH..DPSHAADPUBINDLUBIN.LO..NGGO J99 H99 D99 B99 I99 
5 5 0	HJJJPSH..DPSAANDPU..NDLUBIN.LOBI.GGO J99 H98 A99 D99 N99 
5 5 0	HJJJPSH.NDPSAANDPU..NDLUBI..LOBI.GGO J99 H98 A99 D99 N98 
5 5 0	HJJJPSH..DPSAA.DPUB.NDLUBIN.LO.INGGO J99 H98 A99 D99 B99 
5 5 0	HJJJPSH..DPSAA.DPU.INDLUBIN.LOB.NGGO J99 H98 A99 D99 I99 
5 5 0	HJJJPSH...PSAANDPUB.NDLUBINDLO.I.GGO J99 H98 A99 N99 B99 
5 5 0	HJJJPSH...PSAANDPU.INDLUBINDLOB..GGO J99 H98 A99 N99 I99 
5 5 0	HJJJPSH...PSAANDPU..NDLUBINDLOBIGG.O J99 H98 A99 N99 G99 
5 5 0	HJJJPSH.N.PSAANDPUB.NDLUBI.DLO.I.GGO J99 H98 A99 N98 B99 
5 5 0	HJJJPSH.N.PSAANDPU.INDLUBI.DLOB..GGO J99 H98 A99 N98 I99 
5 5 0	HJJJPSH.N.PSAANDPU..NDLUBI.DLOBIGG.O J99 H98 A99 N98 G99 
5 5 0	HJJJPSH...PSAA.DPUBINDLUBINDLO..NGGO J99 H98 A99 B99 I99 
5 5 0	HJJJPSH..DPS.AADPUBINDLUBIN.LO..NGGO J99 H98 D99 B99 I99 
5 5 0	HJJJPSH..DPSBAADPUBINDLU.IN.LO..NGGO J99 H98 D99 B98 I99 
6 6 0	HJJJPSH..DPSAANDPUB.NDLUBIN.LO.I.GGO J99 H98 A99 D99 N99 B99 
6 6 0	HJJJPSH..DPSAANDPU.INDLUBIN.LOB..GGO J99 H98 A99 D99 N99 I99 
6 6 0	HJJJPSH..DPSAANDPU..NDLUBIN.LOBIGG.O J99 H98 A99 D99 N99 G99 
6 6 0	HJJJPSH.NDPSAANDPUB.NDLUBI..LO.I.GGO J99 H98 A99 D99 N98 B99 
6 6 0	HJJJPSH.NDPSAANDPU.INDLUBI..LOB..GGO J99 H98 A99 D99 N98 I99 
6 6 0	HJJJPSH.NDPSAANDPU..NDLUBI..LOBIGG.O J99 H98 A99 D99 N98 G99 
6 6 0	HJJJPSH..DPSAA.DPUBINDLUBIN.LO..NGGO J99 H98 A99 D99 B99 I99 
6 6 0	HJJJPSH...PSAANDPUBINDLUBINDLO...GGO J99 H98 A99 N99 B99 I99 
6 6 0	HJJJPSH...PSAANDPUB.NDLUBINDLO.IGG.O J99 H98 A99 N99 B99 G99 
6 6 0	HJJJPSH...PSAANDPU.INDLUBINDLOB.GG.O J99 H98 A99 N99 I99 G99 
6 6 0	HJJJPSH...PSAANDPU.INDLUBINDLOBGG..O J99 H98 A99 N99 I99 G98 
6 6 0	HJJJPSH...PSAANDPU..ND.UBINDLOBIGGLO J99 H98 A99 N99 L99 G99 
6 6 0	HJJJPSH.N.PSAANDPUBINDLUBI.DLO...GGO J99 H98 A99 N98 B99 I99 
6 6 0	HJJJPSH.N.PSAANDPUB.NDLUBI.DLO.IGG.O J99 H98 A99 N98 B99 G99 
6 6 0	HJJJPSH.N.PSAANDPU.INDLUBI.DLOB.GG.O J99 H98 A99 N98 I99 G99 
6 6 0	HJJJPSH.N.PSAANDPU.INDLUBI.DLOBGG..O J99 H98 A99 N98 I99 G98 
6 6 0	HJJJPSH.N.PSAANDPU..ND.UBI.DLOBIGGLO J99 H98 A99 N98 L99 G99 
7 7 0	HJJJPSH..DPSAANDPUBINDLUBIN.LO...GGO J99 H98 A99 D99 N99 B99 I99 
7 7 0	HJJJPSH..DPSAANDPUB.NDLUBIN.LO.IGG.O J99 H98 A99 D99 N99 B99 G99 
7 7 0	HJJJPSH..DPSAANDPU.INDLUBIN.LOB.GG.O J99 H98 A99 D99 N99 I99 G99 
7 7 0	HJJJPSH..DPSAANDPU.INDLUBIN.LOBGG..O J99 H98 A99 D99 N99 I99 G98 
