0 0 0	.CCBBBHH.FLY.AAFLY...FLYGWDUUUGWDEEE 
1 1 0	CC.BBBHH.FLY.AAFLY...FLYGWDUUUGWDEEE C99 
1 1 0	.CCBBB.HHFLY.AAFLY...FLYGWDUUUGWDEEE H99 
1 1 0	.CCBBBHH.FLYAA.FLY...FLYGWDUUUGWDEEE A99 
1 1 0	.CCBBBHH.FLY.AAFLYG..FLYGWDUUU.WDEEE G99 
1 1 0	.CCBBBHH.FLYGAAFLYG..FLY.WDUUU.WDEEE G98 
1 1 0	.CCBBBHH.FLY.AAFLY.W.FLYGWDUUUG.DEEE W99 
1 1 0	.CCBBBHH.FLY.AAFLY..DFLYGWDUUUGW.EEE D99 
2 2 0	CCBBB.HH.FLY.AAFLY...FLYGWDUUUGWDEEE C99 B99 
2 2 0	CC.BBB.HHFLY.AAFLY...FLYGWDUUUGWDEEE C99 H99 
2 2 0	CC.BBBHH.FLYAA.FLY...FLYGWDUUUGWDEEE C99 A99 
2 2 0	CC.BBBHH.FLY.AAFLYG..FLYGWDUUU.WDEEE C99 G99 
2 2 0	CC.BBBHH.FLYGAAFLYG..FLY.WDUUU.WDEEE C99 G98 
2 2 0	CC.BBBHH.FLY.AAFLY.W.FLYGWDUUUG.DEEE C99 W99 
2 2 0	CC.BBBHH.FLY.AAFLY..DFLYGWDUUUGW.EEE C99 D99 
2 2 0	.CCBBB.HHFLYAA.FLY...FLYGWDUUUGWDEEE H99 A99 
2 2 0	.CCBBB.HHFLY.AAFLYG..FLYGWDUUU.WDEEE H99 G99 
2 2 0	.CCBBB.HHFLYGAAFLYG..FLY.WDUUU.WDEEE H99 G98 
2 2 0	.CCBBBGHHFLYGAAFLY...FLY.WDUUU.WDEEE H99 G97 
2 2 0	GCCBBBGHHFLY.AAFLY...FLY.WDUUU.WDEEE H99 G96 
2 2 0	.CCBBB.HHFLY.AAFLY.W.FLYGWDUUUG.DEEE H99 W99 
2 2 0	.CCBBB.HHFLY.AAFLY..DFLYGWDUUUGW.EEE H99 D99 
2 2 0	.CCBBBHH.FLYAA.FLYG..FLYGWDUUU.WDEEE A99 G99 
2 2 0	.CCBBBHH.FLYAA.FLY.W.FLYGWDUUUG.DEEE A99 W99 
2 2 0	.CCBBBHH.FLYAA.FLY..DFLYGWDUUUGW.EEE A99 D99 
2 2 0	.CCBBBHH.FLYAADFLY..DFLYGW.UUUGW.EEE A99 D98 
2 2 0	.CCBBBHHDFLYAADFLY...FLYGW.UUUGW.EEE A99 D97 
2 2 0	.CCBBBHH.FLY.AAFLYGW.FLYGWDUUU..DEEE G99 W99 
2 2 0	.CCBBBHH.FLY.AAFLYG.DFLYGWDUUU.W.EEE G99 D99 
2 2 0	.CCBBBHH.FLYGAAFLYGW.FLY.WDUUU..DEEE G98 W99 
2 2 0	.CCBBBHH.FLYGAAFLYG.DFLY.WDUUU.W.EEE G98 D99 
2 2 0	.CCBBBHH.FLY.AAFLY.WDFLYGWDUUUG..EEE W99 D99 
2 2 0	.CCBBBHH.FLY.AAFLY..DFLYGWDUUUGWEEE. D99 E99 
3 3 0	CCBBB..HHFLY.AAFLY...FLYGWDUUUGWDEEE C99 B99 H99 
3 3 0	CCBBBYHH.FLY.AAFLY...FL.GWDUUUGWDEEE C99 B99 Y99 
3 3 0	CCBBB.HH.FLYAA.FLY...FLYGWDUUUGWDEEE C99 B99 A99 
3 3 0	CCBBB.HH.FLY.AAFLYG..FLYGWDUUU.WDEEE C99 B99 G99 
3 3 0	CCBBB.HH.FLYGAAFLYG..FLY.WDUUU.WDEEE C99 B99 G98 
3 3 0	CCBBB.HH.FLY.AAFLY.W.FLYGWDUUUG.DEEE C99 B99 W99 
3 3 0	CCBBB.HH.FLY.AAFLY..DFLYGWDUUUGW.EEE C99 B99 D99 
3 3 0	CC.BBB.HHFLYAA.FLY...FLYGWDUUUGWDEEE C99 H99 A99 
3 3 0	CC.BBB.HHFLY.AAFLYG..FLYGWDUUU.WDEEE C99 H99 G99 
3 3 0	CC.BBB.HHFLYGAAFLYG..FLY.WDUUU.WDEEE C99 H99 G98 
3 3 0	CC.BBBGHHFLYGAAFLY...FLY.WDUUU.WDEEE C99 H99 G97 
3 3 0	CC.BBB.HHFLY.AAFLY.W.FLYGWDUUUG.DEEE C99 H99 W99 
3 3 0	CC.BBB.HHFLY.AAFLY..DFLYGWDUUUGW.EEE C99 H99 D99 
3 3 0	CC.BBBHH.FLYAA.FLYG..FLYGWDUUU.WDEEE C99 A99 G99 
3 3 0	CC.BBBHH.FLYAA.FLY.W.FLYGWDUUUG.DEEE C99 A99 W99 
3 3 0	CC.BBBHH.FLYAA.FLY..DFLYGWDUUUGW.EEE C99 A99 D99 
3 3 0	CC.BBBHH.FLYAADFLY..DFLYGW.UUUGW.EEE C99 A99 D98 
3 3 0	CC.BBBHHDFLYAADFLY...FLYGW.UUUGW.EEE C99 A99 D97 
3 3 0	CCDBBBHHDFLYAA.FLY...FLYGW.UUUGW.EEE C99 A99 D96 
3 3 0	CC.BBBHH.FLY.AAFLYGW.FLYGWDUUU..DEEE C99 G99 W99 
3 3 0	CC.BBBHH.FLY.AAFLYG.DFLYGWDUUU.W.EEE C99 G99 D99 
3 3 0	CC.BBBHH.FLYGAAFLYGW.FLY.WDUUU..DEEE C99 G98 W99 
3 3 0	CC.BBBHH.FLYGAAFLYG.DFLY.WDUUU.W.EEE C99 G98 D99 
3 3 0	CC.BBBHH.FLY.AAFLY.WDFLYGWDUUUG..EEE C99 W99 D99 
3 3 0	CC.BBBHH.FLY.AAFLY..DFLYGWDUUUGWEEE. C99 D99 E99 
3 3 0	.CCBBB.HHFLYAA.FLYG..FLYGWDUUU.WDEEE H99 A99 G99 
3 3 0	.CCBBB.HHFLYAA.FLY.W.FLYGWDUUUG.DEEE H99 A99 W99 
3 3 0	.CCBBB.HHFLYAA.FLY..DFLYGWDUUUGW.EEE H99 A99 D99 
3 3 0	.CCBBB.HHFLYAADFLY..DFLYGW.UUUGW.EEE H99 A99 D98 
3 3 0	.CCBBB.HHFLY.AAFLYGW.FLYGWDUUU..DEEE H99 G99 W99 
3 3 0	.CCBBB.HHFLY.AAFLYG.DFLYGWDUUU.W.EEE H99 G99 D99 
3 3 0	.CCBBB.HHFLYGAAFLYGW.FLY.WDUUU..DEEE H99 G98 W99 
3 3 0	.CCBBB.HHFLYGAAFLYG.DFLY.WDUUU.W.EEE H99 G98 D99 
3 3 0	.CCBBBGHHFLYGAAFLY.W.FLY.WDUUU..DEEE H99 G97 W99 
3 3 0	.CCBBBGHHFLYGAAFLY..DFLY.WDUUU.W.EEE H99 G97 D99 
3 3 0	GCCBBBGHHFLYAA.FLY...FLY.WDUUU.WDEEE H99 A99 G96 
3 3 0	GCCBBBGHHFLY.AAFLY.W.FLY.WDUUU..DEEE H99 G96 W99 
3 3 0	GCCBBBGHHFLY.AAFLY..DFLY.WDUUU.W.EEE H99 G96 D99 
3 3 0	.CCBBB.HHFLY.AAFLY.WDFLYGWDUUUG..EEE H99 W99 D99 
3 3 0	.CCBBB.HHFLY.AAFLY..DFLYGWDUUUGWEEE. H99 D99 E99 
3 3 0	.CCBBBHH.FLYAA.FLYGW.FLYGWDUUU..DEEE A99 G99 W99 
3 3 0	.CCBBBHH.FLYAA.FLYG.DFLYGWDUUU.W.EEE A99 G99 D99 
3 3 0	.CCBBBHH.FLYAADFLYG.DFLYGW.UUU.W.EEE A99 G99 D98 
3 3 0	.CCBBBHHDFLYAADFLYG..FLYGW.UUU.W.EEE A99 G99 D97 
3 3 0	.CCBBBHH.FLYAA.FLY.WDFLYGWDUUUG..EEE A99 W99 D99 
3 3 0	.CCBBBHH.FLYAADFLY.WDFLYGW.UUUG..EEE A99 W99 D98 
3 3 0	.CCBBBHHDFLYAADFLY.W.FLYGW.UUUG..EEE A99 W99 D97 
3 3 0	.CCBBBHH.FLYAA.FLY..DFLYGWDUUUGWEEE. A99 D99 E99 
3 3 0	.CCBBBHH.FLYAADFLY..DFLYGWUUU.GW.EEE A99 D98 U99 
3 3 0	.CCBBBHH.FLYAADFLY..DFLYGW.UUUGWEEE. A99 D98 E99 
3 3 0	.CCBBBHHDFLYAADFLY...FLYGWUUU.GW.EEE A99 D97 U99 
3 3 0	.CCBBBHHDFLYAADFLY...FLYGW.UUUGWEEE. A99 D97 E99 
3 3 0	.CCBBBHH.FLY.AAFLYGWDFLYGWDUUU...EEE G99 W99 D99 
3 3 0	.CCBBBHH.FLY.AAFLYG.DFLYGWDUUU.WEEE. G99 D99 E99 
3 3 0	.CCBBBHH.FLYGAAFLYGWDFLY.WDUUU...EEE G98 W99 D99 
3 3 0	.CCBBBHH.FLYGAAFLYG.DFLY.WDUUU.WEEE. G98 D99 E99 
3 3 0	.CCBBBHH.FLY.AAFLY.WDFLYGWDUUUG.EEE. W99 D99 E99 
3 3 0	.CCBBBHH.FLY.AAFLY.WDFLYGWDUUUGEEE.. W99 D99 E98 
4 4 0	CCBBBY.HHFLY.AAFLY...FL.GWDUUUGWDEEE C99 B99 H99 Y99 
4 4 0	CCBBB..HHFLYAA.FLY...FLYGWDUUUGWDEEE C99 B99 H99 A99 
4 4 0	CCBBB..HHFLY.AAFLYG..FLYGWDUUU.WDEEE C99 B99 H99 G99 
4 4 0	CCBBB..HHFLYGAAFLYG..FLY.WDUUU.WDEEE C99 B99 H99 G98 
4 4 0	CCBBB.GHHFLYGAAFLY...FLY.WDUUU.WDEEE C99 B99 H99 G97 
4 4 0	CCBBB..HHFLY.AAFLY.W.FLYGWDUUUG.DEEE C99 B99 H99 W99 
