0 0 0	.T.YYY.T.HHHAAFFFDGGGG.DR.BBBDREEVVV 
1 1 0	.TYYY..T.HHHAAFFFDGGGG.DR.BBBDREEVVV Y99 
1 1 0	.T.YYY.THHH.AAFFFDGGGG.DR.BBBDREEVVV H99 
1 1 0	.T.YYY.T.HHHAAFFFD.GGGGDR.BBBDREEVVV G99 
1 1 0	.T.YYY.T.HHHAAFFFDGGGG.DRBBB.DREEVVV B99 
2 2 0	.TYYY..THHH.AAFFFDGGGG.DR.BBBDREEVVV Y99 H99 
2 2 0	.TYYY..T.HHHAAFFFD.GGGGDR.BBBDREEVVV Y99 G99 
2 2 0	.TYYY..T.HHHAAFFFDGGGG.DRBBB.DREEVVV Y99 B99 
2 2 0	.T.YYY.THHHDAAFFFDGGGG.DR.BBB.REEVVV H99 D99 
2 2 0	.T.YYY.THHH.AAFFFD.GGGGDR.BBBDREEVVV H99 G99 
2 2 0	.T.YYY.THHH.AAFFFDGGGG.DRBBB.DREEVVV H99 B99 
2 2 0	.T.YYY.T.HHHAAFFFDRGGGGDR.BBBD.EEVVV G99 R99 
2 2 0	.T.YYY.T.HHHAAFFFD.GGGGDRBBB.DREEVVV G99 B99 
3 3 0	.TYYY..THHHDAAFFFDGGGG.DR.BBB.REEVVV Y99 H99 D99 
3 3 0	.TYYYD.THHHDAAFFFDGGGG..R.BBB.REEVVV Y99 H99 D98 
3 3 0	.TYYY..THHH.AAFFFD.GGGGDR.BBBDREEVVV Y99 H99 G99 
3 3 0	.TYYY..THHH.AAFFFDGGGG.DRBBB.DREEVVV Y99 H99 B99 
3 3 0	.TYYY..T.HHHAAFFFDRGGGGDR.BBBD.EEVVV Y99 G99 R99 
3 3 0	.TYYY..T.HHHAAFFFD.GGGGDRBBB.DREEVVV Y99 G99 B99 
3 3 0	.T.YYY.THHHDAAFFFD.GGGGDR.BBB.REEVVV H99 D99 G99 
3 3 0	.T.YYY.THHHDAAFFFDGGGG.DRBBB..REEVVV H99 D99 B99 
3 3 0	.T.YYY.THHHDAAFFFDGGGG.DR..BBBREEVVV H99 D99 B99 
3 3 0	.T.YYY.THHH.AAFFFDRGGGGDR.BBBD.EEVVV H99 G99 R99 
3 3 0	.T.YYY.THHH.AAFFFD.GGGGDRBBB.DREEVVV H99 G99 B99 
3 3 0	.T.YYY.T.HHHAAFFFDRGGGGDRBBB.D.EEVVV G99 R99 B99 
3 3 0	.T.YYY.T.HHHAAFFFDRGGGGDR.BBBDEE.VVV G99 R99 E99 
4 4 0	.TYYY..THHHDAAFFFD.GGGGDR.BBB.REEVVV Y99 H99 D99 G99 
4 4 0	.TYYY..THHHDAAFFFDGGGG.DRBBB..REEVVV Y99 H99 D99 B99 
4 4 0	.TYYY..THHHDAAFFFDGGGG.DR..BBBREEVVV Y99 H99 D99 B99 
4 4 0	.TYYYD.THHHDAAFFFD.GGGG.R.BBB.REEVVV Y99 H99 D98 G99 
4 4 0	.TYYYD.THHHDAAFFFD..GGGGR.BBB.REEVVV Y99 H99 D98 G98 
4 4 0	.TYYYD.THHHDAAFFFDGGGG..RBBB..REEVVV Y99 H99 D98 B99 
4 4 0	.TYYYD.THHHDAAFFFDGGGG..R..BBBREEVVV Y99 H99 D98 B99 
4 4 0	.TYYY..THHH.AAFFFDRGGGGDR.BBBD.EEVVV Y99 H99 G99 R99 
4 4 0	.TYYY..THHH.AAFFFD.GGGGDRBBB.DREEVVV Y99 H99 G99 B99 
4 4 0	.TYYY..T.HHHAAFFFDRGGGGDRBBB.D.EEVVV Y99 G99 R99 B99 
4 4 0	.TYYY..T.HHHAAFFFDRGGGGDR.BBBDEE.VVV Y99 G99 R99 E99 
4 4 0	.T.YYY.THHHDAAFFFDRGGGGDR.BBB..EEVVV H99 D99 G99 R99 
4 4 0	.T.YYY.THHHDAAFFFD.GGGGDRBBB..REEVVV H99 D99 G99 B99 
4 4 0	.T.YYY.THHHDAAFFFD.GGGGDR..BBBREEVVV H99 D99 G99 B99 
4 4 0	.T.YYY.THHH.AAFFFDRGGGGDRBBB.D.EEVVV H99 G99 R99 B99 
4 4 0	.T.YYY.THHH.AAFFFDRGGGGDR.BBBDEE.VVV H99 G99 R99 E99 
4 4 0	.T.YYY.T.HHHAAFFFDRGGGGDRBBB.DEE.VVV G99 R99 B99 E99 
4 4 0	.T.YYY.T.HHHAAFFFDRGGGGDR.BBBDEEVVV. G99 R99 E99 V99 
5 5 0	.TYYY..THHHDAAFFFDRGGGGDR.BBB..EEVVV Y99 H99 D99 G99 R99 
5 5 0	.TYYY..THHHDAAFFFD.GGGGDRBBB..REEVVV Y99 H99 D99 G99 B99 
5 5 0	.TYYY..THHHDAAFFFD.GGGGDR..BBBREEVVV Y99 H99 D99 G99 B99 
5 5 0	.TYYYD.THHHDAAFFFDRGGGG.R.BBB..EEVVV Y99 H99 D98 G99 R99 
5 5 0	.TYYYD.THHHDAAFFFD.GGGG.RBBB..REEVVV Y99 H99 D98 G99 B99 
5 5 0	.TYYYD.THHHDAAFFFD.GGGG.R..BBBREEVVV Y99 H99 D98 G99 B99 
5 5 0	.TYYYD.THHHDAAFFFDR.GGGGR.BBB..EEVVV Y99 H99 D98 G98 R99 
5 5 0	.TYYYD.THHHDAAFFFD..GGGGRBBB..REEVVV Y99 H99 D98 G98 B99 
