0 0 0	...O..LLKOYPAAKOYPDDD.BB.RRR.V..JJJV 
1 1 0	......LLKOYPAAKOYPDDDOBB.RRR.V..JJJV O99 
1 1 0	..KO..LLKOYPAA.OYPDDD.BB.RRR.V..JJJV K99 
1 1 0	...OY.LLKOYPAAKO.PDDD.BB.RRR.V..JJJV Y99 
1 1 0	...O.PLLKOYPAAKOY.DDD.BB.RRR.V..JJJV P99 
1 1 0	...O..LLKOYPAAKOYP.DDDBB.RRR.V..JJJV D99 
1 1 0	...O..LLKOYPAAKOYPDDDBB..RRR.V..JJJV B99 
1 1 0	...O..LLKOYPAAKOYPDDD.BBRRR..V..JJJV R99 
1 1 0	...O..LLKOYPAAKOYPDDD.BB..RRRV..JJJV R99 
1 1 0	...O..LLKOYPAAKOYPDDD.BB.RRR.V.JJJ.V J99 
1 1 0	...O..LLKOYPAAKOYPDDD.BB.RRR.VJJJ..V J98 
2 2 0	..K...LLKOYPAA.OYPDDDOBB.RRR.V..JJJV O99 K99 
2 2 0	....Y.LLKOYPAAKO.PDDDOBB.RRR.V..JJJV O99 Y99 
2 2 0	.....PLLKOYPAAKOY.DDDOBB.RRR.V..JJJV O99 P99 
2 2 0	......LLKOYPAAKOYPDDDOBBRRR..V..JJJV O99 R99 
2 2 0	......LLKOYPAAKOYPDDDOBB..RRRV..JJJV O99 R99 
2 2 0	......LLKOYPAAKOYPDDDOBB.RRR.V.JJJ.V O99 J99 
2 2 0	......LLKOYPAAKOYPDDDOBB.RRR.VJJJ..V O99 J98 
2 2 0	..KOY.LLKOYPAA.O.PDDD.BB.RRR.V..JJJV K99 Y99 
2 2 0	..KO.PLLKOYPAA.OY.DDD.BB.RRR.V..JJJV K99 P99 
2 2 0	..KO..LLKOYP.AAOYPDDD.BB.RRR.V..JJJV K99 A99 
2 2 0	..KO..LLKOYPAA.OYP.DDDBB.RRR.V..JJJV K99 D99 
2 2 0	..KO..LLKOYPAA.OYPDDDBB..RRR.V..JJJV K99 B99 
2 2 0	..KO..LLKOYPAA.OYPDDD.BBRRR..V..JJJV K99 R99 
2 2 0	..KO..LLKOYPAA.OYPDDD.BB..RRRV..JJJV K99 R99 
2 2 0	..KO..LLKOYPAA.OYPDDD.BB.RRR.V.JJJ.V K99 J99 
2 2 0	..KO..LLKOYPAA.OYPDDD.BB.RRR.VJJJ..V K99 J98 
2 2 0	...OYPLLKOYPAAKO..DDD.BB.RRR.V..JJJV Y99 P99 
2 2 0	...OY.LLKOYPAAKO.P.DDDBB.RRR.V..JJJV Y99 D99 
2 2 0	...OY.LLKOYPAAKO.PDDDBB..RRR.V..JJJV Y99 B99 
2 2 0	...OY.LLKOYPAAKO.PDDD.BBRRR..V..JJJV Y99 R99 
2 2 0	...OY.LLKOYPAAKO.PDDD.BB..RRRV..JJJV Y99 R99 
2 2 0	...OY.LLKOYPAAKO.PDDD.BB.RRR.V.JJJ.V Y99 J99 
2 2 0	...OY.LLKOYPAAKO.PDDD.BB.RRR.VJJJ..V Y99 J98 
2 2 0	...O.PLLKOYPAAKOY..DDDBB.RRR.V..JJJV P99 D99 
2 2 0	...O.PLLKOYPAAKOY.DDDBB..RRR.V..JJJV P99 B99 
2 2 0	...O.PLLKOYPAAKOY.DDD.BBRRR..V..JJJV P99 R99 
2 2 0	...O.PLLKOYPAAKOY.DDD.BB..RRRV..JJJV P99 R99 
2 2 0	...O.PLLKOYPAAKOY.DDD.BB.RRR.V.JJJ.V P99 J99 
2 2 0	...O.PLLKOYPAAKOY.DDD.BB.RRR.VJJJ..V P99 J98 
2 2 0	...O..LLKOYPAAKOYP.DDDBBRRR..V..JJJV D99 R99 
2 2 0	...O..LLKOYPAAKOYP.DDDBB..RRRV..JJJV D99 R99 
2 2 0	...O..LLKOYPAAKOYP.DDDBB.RRR.V.JJJ.V D99 J99 
2 2 0	...O..LLKOYPAAKOYP.DDDBB.RRR.VJJJ..V D99 J98 
2 2 0	...O..LLKOY.AAKOYPDDDBBP.RRR.V..JJJV P99 B99 
2 2 0	...O..LLKOYPAAKOYPDDDBB.RRR..V..JJJV B99 R99 
2 2 0	...O..LLKOYPAAKOYPDDDBB...RRRV..JJJV B99 R99 
2 2 0	...O..LLKOYPAAKOYPDDDBBV.RRR.V..JJJ. B99 V99 
2 2 0	...O..LLKOYPAAKOYPDDDBB..RRR.V.JJJ.V B99 J99 
2 2 0	...O..LLKOYPAAKOYPDDDBB..RRR.VJJJ..V B99 J98 
2 2 0	......LLK.YPAAKOYPDDDOBBRRRO.V..JJJV O98 R99 
2 2 0	...O..LLKOYPAAKOYPDDD.BBRRR..V.JJJ.V R99 J99 
2 2 0	...O..LLKOYPAAKOYPDDD.BBRRR..VJJJ..V R99 J98 
2 2 0	...O..LLKOYPAAKOYPDDD.BB..RRRV.JJJ.V R99 J99 
2 2 0	...O..LLKOYPAAKOYPDDD.BB..RRRVJJJ..V R99 J98 
3 3 0	..K.Y.LLKOYPAA.O.PDDDOBB.RRR.V..JJJV O99 K99 Y99 
3 3 0	..K..PLLKOYPAA.OY.DDDOBB.RRR.V..JJJV O99 K99 P99 
3 3 0	..K...LLKOYP.AAOYPDDDOBB.RRR.V..JJJV O99 K99 A99 
3 3 0	..K...LLKOYPAA.OYPDDDOBBRRR..V..JJJV O99 K99 R99 
3 3 0	..K...LLKOYPAA.OYPDDDOBB..RRRV..JJJV O99 K99 R99 
3 3 0	..K...LLKOYPAA.OYPDDDOBB.RRR.V.JJJ.V O99 K99 J99 
3 3 0	..K...LLKOYPAA.OYPDDDOBB.RRR.VJJJ..V O99 K99 J98 
3 3 0	....YPLLKOYPAAKO..DDDOBB.RRR.V..JJJV O99 Y99 P99 
3 3 0	....Y.LLKOYPAAKO.PDDDOBBRRR..V..JJJV O99 Y99 R99 
