0 0 0	BB.K..CCCKU..AAKUG.FF.UG.....GEEE.TT 
1 1 0	.BBK..CCCKU..AAKUG.FF.UG.....GEEE.TT B99 
1 1 0	BB....CCCKU..AAKUG.FFKUG.....GEEE.TT K99 
1 1 0	BB....CCC.U..AAKUG.FFKUG...K.GEEE.TT K98 
1 1 0	BB....CCC.U..AA.UG.FFKUG...K.GEEEKTT K97 
1 1 0	BB.K..CCCK...AAKUG.FF.UG....UGEEE.TT U99 
1 1 0	BB.KU.CCCKU..AAKUG.FF..G.....GEEE.TT U99 
1 1 0	BB.K..CCCKU.AA.KUG.FF.UG.....GEEE.TT A99 
1 1 0	BB.K..CCCKUG.AAKUG.FF.UG......EEE.TT G99 
1 1 0	BB.K.GCCCKUG.AAKUG.FF.U.......EEE.TT G98 
1 1 0	BB.K..CCCKU..AAKUGFF..UG.....GEEE.TT F99 
1 1 0	BB.K..CCCKU..AAKUG..FFUG.....GEEE.TT F99 
1 1 0	BB.K..CCCKU..AAKUG.FF.UG.....G.EEETT E99 
1 1 0	BB.K..CCCKU..AAKUG.FF.UG.....GEEETT. T99 
2 2 0	.BB...CCCKU..AAKUG.FFKUG.....GEEE.TT B99 K99 
2 2 0	.BB...CCC.U..AAKUG.FFKUG...K.GEEE.TT B99 K98 
2 2 0	.BB...CCC.U..AA.UG.FFKUG...K.GEEEKTT B99 K97 
2 2 0	.BBK..CCCK...AAKUG.FF.UG....UGEEE.TT B99 U99 
2 2 0	.BBKU.CCCKU..AAKUG.FF..G.....GEEE.TT B99 U99 
2 2 0	.BBK..CCCKU.AA.KUG.FF.UG.....GEEE.TT B99 A99 
2 2 0	.BBK..CCCKUG.AAKUG.FF.UG......EEE.TT B99 G99 
2 2 0	.BBK.GCCCKUG.AAKUG.FF.U.......EEE.TT B99 G98 
2 2 0	.BBK..CCCKU..AAKUGFF..UG.....GEEE.TT B99 F99 
2 2 0	.BBK..CCCKU..AAKUG..FFUG.....GEEE.TT B99 F99 
2 2 0	.BBK..CCCKU..AAKUG.FF.UG.....G.EEETT B99 E99 
2 2 0	.BBK..CCCKU..AAKUG.FF.UG.....GEEETT. B99 T99 
2 2 0	..BB..CCCKU..AAKUG.FFKUG.....GEEE.TT B98 K99 
2 2 0	...BB.CCCKU..AAKUG.FFKUG.....GEEE.TT B97 K99 
2 2 0	....BBCCCKU..AAKUG.FFKUG.....GEEE.TT B96 K99 
2 2 0	BB....CCCK...AAKUG.FFKUG....UGEEE.TT K99 U99 
2 2 0	BB..U.CCCKU..AAKUG.FFK.G.....GEEE.TT K99 U99 
2 2 0	BB....CCCKU.AA.KUG.FFKUG.....GEEE.TT K99 A99 
2 2 0	BB....CCCKUG.AAKUG.FFKUG......EEE.TT K99 G99 
2 2 0	BB...GCCCKUG.AAKUG.FFKU.......EEE.TT K99 G98 
2 2 0	BB....CCCKU..AAKUGFF.KUG.....GEEE.TT K99 F99 
2 2 0	BB....CCCKU..AAKUG.FFKUG.....G.EEETT K99 E99 
2 2 0	BB....CCCKU..AAKUG.FFKUG.....GEEETT. K99 T99 
2 2 0	..BB..CCC.U..AAKUG.FFKUG...K.GEEE.TT B98 K98 
2 2 0	...BB.CCC.U..AAKUG.FFKUG...K.GEEE.TT B97 K98 
2 2 0	....BBCCC.U..AAKUG.FFKUG...K.GEEE.TT B96 K98 
2 2 0	BB.....CCCU..AAKUG.FFKUG...K.GEEE.TT K98 C99 
2 2 0	BB....CCC....AAKUG.FFKUG...KUGEEE.TT K98 U99 
2 2 0	BB..U.CCC.U..AAKUG.FFK.G...K.GEEE.TT K98 U99 
2 2 0	BB....CCC.U.AA.KUG.FFKUG...K.GEEE.TT K98 A99 
2 2 0	BB....CCC.UG.AAKUG.FFKUG...K..EEE.TT K98 G99 
2 2 0	BB...GCCC.UG.AAKUG.FFKU....K..EEE.TT K98 G98 
2 2 0	BB....CCC.U..AAKUGFF.KUG...K.GEEE.TT K98 F99 
2 2 0	BB....CCC.U..AAKUG.FFKUG...K.G.EEETT K98 E99 
2 2 0	BB....CCC.U..AAKUG.FFKUG...K.GEEETT. K98 T99 
2 2 0	..BB..CCC.U..AA.UG.FFKUG...K.GEEEKTT B98 K97 
2 2 0	...BB.CCC.U..AA.UG.FFKUG...K.GEEEKTT B97 K97 
2 2 0	....BBCCC.U..AA.UG.FFKUG...K.GEEEKTT B96 K97 
2 2 0	BB.....CCCU..AA.UG.FFKUG...K.GEEEKTT K97 C99 
2 2 0	BB....CCC....AA.UG.FFKUG...KUGEEEKTT K97 U99 
2 2 0	BB..U.CCC.U..AA.UG.FFK.G...K.GEEEKTT K97 U99 
2 2 0	BB....CCC.U.AA..UG.FFKUG...K.GEEEKTT K97 A99 
2 2 0	BB....CCC.U...AAUG.FFKUG...K.GEEEKTT K97 A99 
2 2 0	BB....CCC.UG.AA.UG.FFKUG...K..EEEKTT K97 G99 
2 2 0	BB...GCCC.UG.AA.UG.FFKU....K..EEEKTT K97 G98 
2 2 0	BB....CCC.U..AA.UGFF.KUG...K.GEEEKTT K97 F99 
2 2 0	BB.K..CCCK..AA.KUG.FF.UG....UGEEE.TT U99 A99 
2 2 0	BB.K..CCCK.G.AAKUG.FF.UG....U.EEE.TT U99 G99 
2 2 0	BB.K.GCCCK.G.AAKUG.FF.U.....U.EEE.TT U99 G98 
2 2 0	BB.K..CCCK...AAKUGFF..UG....UGEEE.TT U99 F99 
2 2 0	BB.K..CCCK...AAKUG..FFUG....UGEEE.TT U99 F99 
2 2 0	BB.K..CCCK...AAKUG.FF.UG....UG.EEETT U99 E99 
