0 0 0	VVBC....BCDEAABCDEHJ..F.HJNNFI.KK.FI 
1 1 0	VV.C....BCDEAABCDEHJB.F.HJNNFI.KK.FI B99 
1 1 0	VVB.....BCDEAABCDEHJ.CF.HJNNFI.KK.FI C99 
1 1 0	VVBCD...BCDEAABC.EHJ..F.HJNNFI.KK.FI D99 
1 1 0	VVBC....BCD.AABCDEHJ..FEHJNNFI.KK.FI E99 
1 1 0	VVBC.E..BCDEAABCD.HJ..F.HJNNFI.KK.FI E99 
1 1 0	VVBC....BCDEAABCDE.J..F.HJNNFIHKK.FI H99 
1 1 0	VVBC....BCDEAABCDEHJ..FIHJNNFI.KK.F. I99 
1 1 0	VVBC....BCDEAABCDEHJ..F.HJNNFIKK..FI K99 
1 1 0	VVBC....BCDEAABCDEHJ..F.HJNNFI..KKFI K99 
2 2 0	.VVC....BCDEAABCDEHJB.F.HJNNFI.KK.FI V99 B99 
2 2 0	VV......BCDEAABCDEHJBCF.HJNNFI.KK.FI B99 C99 
2 2 0	VV.CD...BCDEAABC.EHJB.F.HJNNFI.KK.FI B99 D99 
2 2 0	VV.C....BCD.AABCDEHJB.FEHJNNFI.KK.FI B99 E99 
2 2 0	VV.C.E..BCDEAABCD.HJB.F.HJNNFI.KK.FI B99 E99 
2 2 0	VV.C....BCDEAABCDE.JB.F.HJNNFIHKK.FI B99 H99 
2 2 0	VV.C....BCDEAABCDEHJB.FIHJNNFI.KK.F. B99 I99 
2 2 0	VV.C....BCDEAABCDEHJB.F.HJNNFIKK..FI B99 K99 
2 2 0	VV.C....BCDEAABCDEHJB.F.HJNNFI..KKFI B99 K99 
2 2 0	VVB.D...BCDEAABC.EHJ.CF.HJNNFI.KK.FI C99 D99 
2 2 0	VVB.....BCD.AABCDEHJ.CFEHJNNFI.KK.FI C99 E99 
2 2 0	VVB..E..BCDEAABCD.HJ.CF.HJNNFI.KK.FI C99 E99 
2 2 0	VVB.....BCDEAABCDE.J.CF.HJNNFIHKK.FI C99 H99 
2 2 0	VVB.....BCDEAABCDEHJ.CFIHJNNFI.KK.F. C99 I99 
2 2 0	VVB.....BCDEAABCDEHJ.CF.HJNNFIKK..FI C99 K99 
2 2 0	VVB.....BCDEAABCDEHJ.CF.HJNNFI..KKFI C99 K99 
2 2 0	VVBCD...BCD.AABC.EHJ..FEHJNNFI.KK.FI D99 E99 
2 2 0	VVBCDE..BCDEAABC..HJ..F.HJNNFI.KK.FI D99 E99 
2 2 0	VVBCD...BCDEAABC.E.J..F.HJNNFIHKK.FI D99 H99 
2 2 0	VVBCD...BCDEAABCFEHJ..F.HJNNFI.KK..I D99 F99 
2 2 0	VVBCD...BCDEAABC.EHJ..FIHJNNFI.KK.F. D99 I99 
2 2 0	VVBCD...BCDEAABC.EHJ..F.HJNNFIKK..FI D99 K99 
2 2 0	VVBCD...BCDEAABC.EHJ..F.HJNNFI..KKFI D99 K99 
2 2 0	VVBC....BCD.AABCDE.J..FEHJNNFIHKK.FI E99 H99 
2 2 0	VVBC....BCD.AABCDEHJ..FEHJNNFIKK..FI E99 K99 
2 2 0	VVBC....BCD.AABCDEHJ..FEHJNNFI..KKFI E99 K99 
2 2 0	VVBC.E..BCDEAABCD..J..F.HJNNFIHKK.FI E99 H99 
2 2 0	VVBC.E..BCDEAABCD.HJ..FIHJNNFI.KK.F. E99 I99 
2 2 0	VVBC.E..BCDEAABCDIHJ..FIHJNNF..KK.F. E99 I98 
2 2 0	VVBC.E..BCDEAABCD.HJ..F.HJNNFIKK..FI E99 K99 
2 2 0	VVBC.E..BCDEAABCD.HJ..F.HJNNFI..KKFI E99 K99 
2 2 0	VVBC....BCDEAABCDE.J..FIHJNNFIHKK.F. H99 I99 
2 2 0	VVBC....BCDEAABCDE.J..F.HJNNFIH.KKFI H99 K99 
2 2 0	VVBC....BCDEAABCDEHJ..FIHJNNFIKK..F. I99 K99 
2 2 0	VVBC....BCDEAABCDEHJ..FIHJNNFI..KKF. I99 K99 
2 2 0	VVBC....BCDEAABCDEH...F.HJNNFI.JKKFI J99 K99 
3 3 0	.VV.....BCDEAABCDEHJBCF.HJNNFI.KK.FI V99 B99 C99 
3 3 0	.VVCD...BCDEAABC.EHJB.F.HJNNFI.KK.FI V99 B99 D99 
3 3 0	.VVC....BCD.AABCDEHJB.FEHJNNFI.KK.FI V99 B99 E99 
3 3 0	.VVC.E..BCDEAABCD.HJB.F.HJNNFI.KK.FI V99 B99 E99 
3 3 0	.VVC....BCDEAABCDE.JB.F.HJNNFIHKK.FI V99 B99 H99 
3 3 0	.VVC....BCDEAABCDEHJB.FIHJNNFI.KK.F. V99 B99 I99 
3 3 0	.VVC....BCDEAABCDEHJB.F.HJNNFIKK..FI V99 B99 K99 
3 3 0	.VVC....BCDEAABCDEHJB.F.HJNNFI..KKFI V99 B99 K99 
3 3 0	..VV....BCDEAABCDEHJBCF.HJNNFI.KK.FI V98 B99 C99 
3 3 0	...VV...BCDEAABCDEHJBCF.HJNNFI.KK.FI V97 B99 C99 
3 3 0	....VV..BCDEAABCDEHJBCF.HJNNFI.KK.FI V96 B99 C99 
3 3 0	VV..D...BCDEAABC.EHJBCF.HJNNFI.KK.FI B99 C99 D99 
3 3 0	VV......BCD.AABCDEHJBCFEHJNNFI.KK.FI B99 C99 E99 
3 3 0	VV...E..BCDEAABCD.HJBCF.HJNNFI.KK.FI B99 C99 E99 
3 3 0	VV......BCDEAABCDE.JBCF.HJNNFIHKK.FI B99 C99 H99 
3 3 0	VV......BCDEAABCDEHJBCFIHJNNFI.KK.F. B99 C99 I99 
3 3 0	VV......BCDEAABCDEHJBCF.HJNNFIKK..FI B99 C99 K99 
3 3 0	VV......BCDEAABCDEHJBCF.HJNNFI..KKFI B99 C99 K99 
3 3 0	VV.CD...BCD.AABC.EHJB.FEHJNNFI.KK.FI B99 D99 E99 
3 3 0	VV.CDE..BCDEAABC..HJB.F.HJNNFI.KK.FI B99 D99 E99 
3 3 0	VV.CD...BCDEAABC.E.JB.F.HJNNFIHKK.FI B99 D99 H99 
3 3 0	VV.CD...BCDEAABCFEHJB.F.HJNNFI.KK..I B99 D99 F99 
3 3 0	VV.CD...BCDEAABC.EHJB.FIHJNNFI.KK.F. B99 D99 I99 
3 3 0	VV.CD...BCDEAABC.EHJB.F.HJNNFIKK..FI B99 D99 K99 
3 3 0	VV.CD...BCDEAABC.EHJB.F.HJNNFI..KKFI B99 D99 K99 
3 3 0	VV.C....BCD.AABCDE.JB.FEHJNNFIHKK.FI B99 E99 H99 
3 3 0	VV.C....BCD.AABCDEHJB.FEHJNNFIKK..FI B99 E99 K99 
3 3 0	VV.C....BCD.AABCDEHJB.FEHJNNFI..KKFI B99 E99 K99 
3 3 0	VV.C.E..BCDEAABCD..JB.F.HJNNFIHKK.FI B99 E99 H99 
3 3 0	VV.C.E..BCDEAABCD.HJB.FIHJNNFI.KK.F. B99 E99 I99 
3 3 0	VV.C.E..BCDEAABCDIHJB.FIHJNNF..KK.F. B99 E99 I98 
3 3 0	VV.C.E..BCDEAABCD.HJB.F.HJNNFIKK..FI B99 E99 K99 
3 3 0	VV.C.E..BCDEAABCD.HJB.F.HJNNFI..KKFI B99 E99 K99 
