0 0 0	TTT..G..B..GAABFFG....C..DEEC..D..C. 
1 1 0	.TTT.G..B..GAABFFG....C..DEEC..D..C. T99 
1 1 0	..TTTG..B..GAABFFG....C..DEEC..D..C. T98 
1 1 0	TTT.....B..GAABFFG....CG.DEEC..D..C. G99 
1 1 0	TTT.....B...AABFFG....CG.DEECG.D..C. G98 
1 1 0	TTT.....B...AABFF.....CG.DEECG.D..CG G97 
1 1 0	TTT..G.....GAABFFG..B.C..DEEC..D..C. B99 
1 1 0	TTT..G..B..GAABFFG.D..C..DEEC.....C. D99 
2 2 0	.TTT....B..GAABFFG....CG.DEEC..D..C. T99 G99 
2 2 0	.TTT....B...AABFFG....CG.DEECG.D..C. T99 G98 
2 2 0	.TTT....B...AABFF.....CG.DEECG.D..CG T99 G97 
2 2 0	.TTT.G.....GAABFFG..B.C..DEEC..D..C. T99 B99 
2 2 0	.TTT.G..B..GAABFFG.D..C..DEEC.....C. T99 D99 
2 2 0	..TTT...B..GAABFFG....CG.DEEC..D..C. T98 G99 
2 2 0	..TTT...B...AABFFG....CG.DEECG.D..C. T98 G98 
2 2 0	..TTT...B...AABFF.....CG.DEECG.D..CG T98 G97 
2 2 0	..TTTG.....GAABFFG..B.C..DEEC..D..C. T98 B99 
2 2 0	..TTTG..B..GAABFFG.D..C..DEEC.....C. T98 D99 
2 2 0	...TTT..B..GAABFFG....CG.DEEC..D..C. T97 G99 
2 2 0	TTT........GAABFFG..B.CG.DEEC..D..C. G99 B99 
2 2 0	TTT.....B..GAABFFG.D..CG.DEEC.....C. G99 D99 
2 2 0	...TTT..B...AABFFG....CG.DEECG.D..C. T97 G98 
2 2 0	TTT.........AABFFG..B.CG.DEECG.D..C. G98 B99 
2 2 0	TTT.....B...AABFFG.D..CG.DEECG....C. G98 D99 
2 2 0	...TTT..B...AABFF.....CG.DEECG.D..CG T97 G97 
2 2 0	TTT.........AABFF...B.CG.DEECG.D..CG G97 B99 
2 2 0	TTT.....B...AAB.......CG.DEECG.D..CG G97 F99 
2 2 0	TTT.....B...AABFF..D..CG.DEECG....CG G97 D99 
2 2 0	TTT..G.....GAABFFG.DB.C..DEEC.....C. B99 D99 
3 3 0	.TTT.......GAABFFG..B.CG.DEEC..D..C. T99 G99 B99 
