0 0 0	...HHH.....FAA.B.FCC.BD..E..DG.ESSDG 
1 1 0	..HHH......FAA.B.FCC.BD..E..DG.ESSDG H99 
1 1 0	.HHH.......FAA.B.FCC.BD..E..DG.ESSDG H98 
1 1 0	HHH........FAA.B.FCC.BD..E..DG.ESSDG H97 
1 1 0	...HHH......AA.B.FCC.BDF.E..DG.ESSDG F99 
1 1 0	...HHH.....F.AAB.FCC.BD..E..DG.ESSDG A99 
1 1 0	...HHH.....FAA...FCC.BD..E.BDG.ESSDG B99 
1 1 0	...HHH...B.FAA.B.FCC..D..E..DG.ESSDG B99 
1 1 0	...HHH.....FAA.B.F.CCBD..E..DG.ESSDG C99 
1 1 0	...HHH.....FAA.BDFCC.BD..E..DG.ESS.G D99 
1 1 0	...HHH....DFAA.BDFCC.BD..E...G.ESS.G D98 
1 1 0	...HHH.....FAA.B.FCC.BDG.E..DG.ESSD. G99 
2 2 0	..HHH.......AA.B.FCC.BDF.E..DG.ESSDG H99 F99 
2 2 0	..HHHF.....FAA.B..CC.BD..E..DG.ESSDG H99 F99 
2 2 0	..HHH......F.AAB.FCC.BD..E..DG.ESSDG H99 A99 
2 2 0	..HHH......FAA...FCC.BD..E.BDG.ESSDG H99 B99 
2 2 0	..HHH....B.FAA.B.FCC..D..E..DG.ESSDG H99 B99 
2 2 0	..HHH......FAA.B.F.CCBD..E..DG.ESSDG H99 C99 
2 2 0	..HHH......FAA.BDFCC.BD..E..DG.ESS.G H99 D99 
2 2 0	..HHH.....DFAA.BDFCC.BD..E...G.ESS.G H99 D98 
2 2 0	..HHH......FAA.B.FCC.BDG.E..DG.ESSD. H99 G99 
2 2 0	.HHH........AA.B.FCC.BDF.E..DG.ESSDG H98 F99 
2 2 0	.HHH.F.....FAA.B..CC.BD..E..DG.ESSDG H98 F99 
2 2 0	.HHH.......F.AAB.FCC.BD..E..DG.ESSDG H98 A99 
2 2 0	.HHH.......FAA...FCC.BD..E.BDG.ESSDG H98 B99 
2 2 0	.HHH.....B.FAA.B.FCC..D..E..DG.ESSDG H98 B99 
2 2 0	.HHH.......FAA.B.F.CCBD..E..DG.ESSDG H98 C99 
2 2 0	.HHH.......FAA.BDFCC.BD..E..DG.ESS.G H98 D99 
2 2 0	.HHH......DFAA.BDFCC.BD..E...G.ESS.G H98 D98 
2 2 0	.HHHD.....DFAA.BDFCC.B...E...G.ESS.G H98 D97 
2 2 0	.HHH.......FAA.B.FCC.BDG.E..DG.ESSD. H98 G99 
2 2 0	HHH.........AA.B.FCC.BDF.E..DG.ESSDG H97 F99 
2 2 0	HHH..F.....FAA.B..CC.BD..E..DG.ESSDG H97 F99 
2 2 0	HHH........F.AAB.FCC.BD..E..DG.ESSDG H97 A99 
2 2 0	HHH........FAA...FCC.BD..E.BDG.ESSDG H97 B99 
2 2 0	HHH......B.FAA.B.FCC..D..E..DG.ESSDG H97 B99 
2 2 0	HHHB.....B.FAA...FCC..D..E..DG.ESSDG H97 B98 
2 2 0	HHH........FAA.B.F.CCBD..E..DG.ESSDG H97 C99 
2 2 0	HHH........FAA.BDFCC.BD..E..DG.ESS.G H97 D99 
2 2 0	HHH.......DFAA.BDFCC.BD..E...G.ESS.G H97 D98 
2 2 0	HHH.D.....DFAA.BDFCC.B...E...G.ESS.G H97 D97 
2 2 0	HHH........FAA.B.FCC.BDG.E..DG.ESSD. H97 G99 
2 2 0	...HHH.......AAB.FCC.BDF.E..DG.ESSDG F99 A99 
2 2 0	...HHH......AA...FCC.BDF.E.BDG.ESSDG F99 B99 
