0 0 0	..D.....D...AADG.....GB.ECCGB.E.FFB. 
1 1 0	........D...AADG....DGB.ECCGB.E.FFB. D99 
1 1 0	..D.....DG..AADG.....GB.ECC.B.E.FFB. G99 
1 1 0	..DG....DG..AADG......B.ECC.B.E.FFB. G98 
1 1 0	..D.....D...AADGB....GB.ECCGB.E.FF.. B99 
1 1 0	..D.....D.B.AADGB....GB.ECCG..E.FF.. B98 
1 1 0	..D.B...D.B.AADGB....G..ECCG..E.FF.. B97 
1 1 0	..D.....D...AADG..E..GB.ECCGB...FFB. E99 
1 1 0	..D.....D...AADG.....GB.ECCGB.EFF.B. F99 
2 2 0	........DG..AADG....DGB.ECC.B.E.FFB. D99 G99 
2 2 0	...G....DG..AADG....D.B.ECC.B.E.FFB. D99 G98 
2 2 0	........D...AADGB...DGB.ECCGB.E.FF.. D99 B99 
2 2 0	........D.B.AADGB...DGB.ECCG..E.FF.. D99 B98 
2 2 0	....B...D.B.AADGB...DG..ECCG..E.FF.. D99 B97 
2 2 0	........D...AADG..E.DGB.ECCGB...FFB. D99 E99 
2 2 0	........D...AADG....DGB.ECCGB.EFF.B. D99 F99 
2 2 0	..D.....DG..AADGB....GB.ECC.B.E.FF.. G99 B99 
2 2 0	..D.....DGB.AADGB....GB.ECC...E.FF.. G99 B98 
2 2 0	..D.B...DGB.AADGB....G..ECC...E.FF.. G99 B97 
2 2 0	..D.....DG..AADG..E..GB.ECC.B...FFB. G99 E99 
2 2 0	..D.....DG..AADG.....GB.E.CCB.E.FFB. G99 C99 
2 2 0	..D.....DG..AADG.....GB.ECC.B.EFF.B. G99 F99 
2 2 0	..DG....DG..AADGB.....B.ECC.B.E.FF.. G98 B99 
2 2 0	..DG....DGB.AADGB.....B.ECC...E.FF.. G98 B98 
2 2 0	..DGB...DGB.AADGB.......ECC...E.FF.. G98 B97 
2 2 0	..DG....DG..AADG..E...B.ECC.B...FFB. G98 E99 
2 2 0	..DG....DG..AADG......B.E.CCB.E.FFB. G98 C99 
2 2 0	..DG....DG..AADG......B.ECC.B.EFF.B. G98 F99 
2 2 0	..D.....D...AADGB.E..GB.ECCGB...FF.. B99 E99 
2 2 0	..D.....D...AADGB....GB.ECCGB.EFF... B99 F99 
2 2 0	..D.....D...AADGB....GB.ECCGB.E..FF. B99 F99 
2 2 0	..D.....D...AADGB....GB.ECCGB.E...FF B99 F98 
2 2 0	..D.....D.B.AADGB.E..GB.ECCG....FF.. B98 E99 
2 2 0	..D.....D.B.AADGB....GB.ECCG..EFF... B98 F99 
2 2 0	..D.....D.B.AADGB....GB.ECCG..E..FF. B98 F99 
2 2 0	..D.....D.B.AADGB....GB.ECCG..E...FF B98 F98 
2 2 0	..D.B...D.B.AADGB.E..G..ECCG....FF.. B97 E99 
2 2 0	..D.B...D.B.AADGB....G..ECCG..EFF... B97 F99 
2 2 0	..D.B...D.B.AADGB....G..ECCG..E..FF. B97 F99 
2 2 0	..D.B...D.B.AADGB....G..ECCG..E...FF B97 F98 
2 2 0	..D.....D...AADG..E..GB.ECCGB..FF.B. E99 F99 
2 2 0	..D.....D...AADG..E..GB.ECCGB.FF..B. E99 F98 
2 2 0	..D.....D...AAD......GB.ECCGB.EFFGB. G99 F99 
3 3 0	........DG..AADGB...DGB.ECC.B.E.FF.. D99 G99 B99 
3 3 0	........DGB.AADGB...DGB.ECC...E.FF.. D99 G99 B98 
3 3 0	....B...DGB.AADGB...DG..ECC...E.FF.. D99 G99 B97 
3 3 0	........DG..AADG..E.DGB.ECC.B...FFB. D99 G99 E99 
3 3 0	........DG..AADG....DGB.E.CCB.E.FFB. D99 G99 C99 
3 3 0	........DG..AADG....DGB.ECC.B.EFF.B. D99 G99 F99 
3 3 0	...G....DG..AADGB...D.B.ECC.B.E.FF.. D99 G98 B99 
3 3 0	...G....DGB.AADGB...D.B.ECC...E.FF.. D99 G98 B98 
3 3 0	...GB...DGB.AADGB...D...ECC...E.FF.. D99 G98 B97 
3 3 0	...G....DG..AADG..E.D.B.ECC.B...FFB. D99 G98 E99 
3 3 0	...G....DG..AADG....D.B.E.CCB.E.FFB. D99 G98 C99 
3 3 0	...G....DG..AADG....D.B.ECC.B.EFF.B. D99 G98 F99 
3 3 0	........D...AADGB.E.DGB.ECCGB...FF.. D99 B99 E99 
3 3 0	........D...AADGB...DGB.ECCGB.EFF... D99 B99 F99 
3 3 0	........D...AADGB...DGB.ECCGB.E..FF. D99 B99 F99 
3 3 0	........D...AADGB...DGB.ECCGB.E...FF D99 B99 F98 
3 3 0	........D.B.AADGB.E.DGB.ECCG....FF.. D99 B98 E99 
3 3 0	........D.B.AADGB...DGB.ECCG..EFF... D99 B98 F99 
3 3 0	........D.B.AADGB...DGB.ECCG..E..FF. D99 B98 F99 
3 3 0	........D.B.AADGB...DGB.ECCG..E...FF D99 B98 F98 
3 3 0	....B...D.B.AADGB.E.DG..ECCG....FF.. D99 B97 E99 
3 3 0	....B...D.B.AADGB...DG..ECCG..EFF... D99 B97 F99 
3 3 0	....B...D.B.AADGB...DG..ECCG..E..FF. D99 B97 F99 
3 3 0	....B...D.B.AADGB...DG..ECCG..E...FF D99 B97 F98 
3 3 0	........D...AADG..E.DGB.ECCGB..FF.B. D99 E99 F99 
3 3 0	........D...AADG..E.DGB.ECCGB.FF..B. D99 E99 F98 
3 3 0	........D...AAD.....DGB.ECCGB.EFFGB. D99 G99 F99 
3 3 0	..D.....DG..AADGB.E..GB.ECC.B...FF.. G99 B99 E99 
3 3 0	..D.....DG..AADGB....GB.E.CCB.E.FF.. G99 B99 C99 
3 3 0	..D.....DG..AADGB....GB.ECC.B.EFF... G99 B99 F99 
3 3 0	..D.....DG..AADGB....GB.ECC.B.E..FF. G99 B99 F99 
3 3 0	..D.....DG..AADGB....GB.ECC.B.E...FF G99 B99 F98 
3 3 0	..D.....DGB.AADGB.E..GB.ECC.....FF.. G99 B98 E99 
3 3 0	..D.....DGB.AADGB....GB.E.CC..E.FF.. G99 B98 C99 
3 3 0	..D.....DGB.AADGB....GB.E..CC.E.FF.. G99 B98 C98 
3 3 0	..D.....DGB.AADGB....GB.E...CCE.FF.. G99 B98 C97 
3 3 0	..D.....DGB.AADGB....GB.ECC...EFF... G99 B98 F99 
3 3 0	..D.....DGB.AADGB....GB.ECC...E..FF. G99 B98 F99 
3 3 0	..D.....DGB.AADGB....GB.ECC...E...FF G99 B98 F98 
3 3 0	..D.B...DGB.AADGB.E..G..ECC.....FF.. G99 B97 E99 
3 3 0	..D.B...DGB.AADGB....G..E.CC..E.FF.. G99 B97 C99 
3 3 0	..D.B...DGB.AADGB....G..E..CC.E.FF.. G99 B97 C98 
3 3 0	..D.B...DGB.AADGB....G..E...CCE.FF.. G99 B97 C97 
3 3 0	..D.B...DGB.AADGB....G..ECC...EFF... G99 B97 F99 
3 3 0	..D.B...DGB.AADGB....G..ECC...E..FF. G99 B97 F99 
3 3 0	..D.B...DGB.AADGB....G..ECC...E...FF G99 B97 F98 
3 3 0	..D.....DG..AADG..E..GB.E.CCB...FFB. G99 E99 C99 
3 3 0	..D.....DG..AADG..E..GB.ECC.B..FF.B. G99 E99 F99 
3 3 0	..D.....DG..AADG..E..GB.ECC.B.FF..B. G99 E99 F98 
3 3 0	..D.....DG..AADG.....GB.E.CCB.EFF.B. G99 C99 F99 
3 3 0	..DG....DG..AADGB.E...B.ECC.B...FF.. G98 B99 E99 
3 3 0	..DG....DG..AADGB.....B.E.CCB.E.FF.. G98 B99 C99 
3 3 0	..DG....DG..AADGB.....B.ECC.B.EFF... G98 B99 F99 
3 3 0	..DG....DG..AADGB.....B.ECC.B.E..FF. G98 B99 F99 
3 3 0	..DG....DG..AADGB.....B.ECC.B.E...FF G98 B99 F98 
3 3 0	..DG....DGB.AADGB.E...B.ECC.....FF.. G98 B98 E99 
3 3 0	..DG....DGB.AADGB.....B.E.CC..E.FF.. G98 B98 C99 
3 3 0	..DG....DGB.AADGB.....B.E..CC.E.FF.. G98 B98 C98 
3 3 0	..DG....DGB.AADGB.....B.E...CCE.FF.. G98 B98 C97 
3 3 0	..DG....DGB.AADGB.....B.ECC...EFF... G98 B98 F99 
3 3 0	..DG....DGB.AADGB.....B.ECC...E..FF. G98 B98 F99 
3 3 0	..DG....DGB.AADGB.....B.ECC...E...FF G98 B98 F98 
3 3 0	..DGB...DGB.AADGB.E.....ECC.....FF.. G98 B97 E99 
3 3 0	..DGB...DGB.AADGB.......E.CC..E.FF.. G98 B97 C99 
3 3 0	..DGB...DGB.AADGB.......E..CC.E.FF.. G98 B97 C98 
3 3 0	..DGB...DGB.AADGB.......E...CCE.FF.. G98 B97 C97 
3 3 0	..DGB...DGB.AADGB.......ECC...EFF... G98 B97 F99 
3 3 0	..DGB...DGB.AADGB.......ECC...E..FF. G98 B97 F99 
3 3 0	..DGB...DGB.AADGB.......ECC...E...FF G98 B97 F98 
3 3 0	..DG....DG..AADG..E...B.E.CCB...FFB. G98 E99 C99 
3 3 0	..DG....DG..AADG..E...B.ECC.B..FF.B. G98 E99 F99 
3 3 0	..DG....DG..AADG..E...B.ECC.B.FF..B. G98 E99 F98 
3 3 0	..DG....DG..AADG......B.E.CCB.EFF.B. G98 C99 F99 
3 3 0	..D.....D...AADGB.E..GB.ECCGB..FF... B99 E99 F99 
3 3 0	..D.....D...AADGB.E..GB.ECCGB.FF.... B99 E99 F98 
3 3 0	..D.....D...AADGB.E..GB.ECCGB....FF. B99 E99 F99 
3 3 0	..D.....D...AADGB.E..GB.ECCGB.....FF B99 E99 F98 
3 3 0	..D.....D...AAD.B....GB.ECCGB.EFFG.. G99 B99 F99 
3 3 0	..D.....D...AAD.B....GB.ECCGB.E..GFF G99 B99 F98 
3 3 0	..D.....D.B.AADGB.E..GB.ECCG...FF... B98 E99 F99 
3 3 0	..D.....D.B.AADGB.E..GB.ECCG..FF.... B98 E99 F98 
3 3 0	..D.....D.B.AADGB.E..GB.ECCG.....FF. B98 E99 F99 
3 3 0	..D.....D.B.AADGB.E..GB.ECCG......FF B98 E99 F98 
3 3 0	..D.....D.B.AAD.B....GB.ECCG..EFFG.. G99 B98 F99 
3 3 0	..D.....D.B.AAD.B....GB.ECCG..E..GFF G99 B98 F98 
3 3 0	..D.B...D.B.AADGB.E..G..ECCG...FF... B97 E99 F99 
3 3 0	..D.B...D.B.AADGB.E..G..ECCG..FF.... B97 E99 F98 
3 3 0	..D.B...D.B.AADGB.E..G..ECCG.....FF. B97 E99 F99 
3 3 0	..D.B...D.B.AADGB.E..G..ECCG......FF B97 E99 F98 
3 3 0	..D.B...D.B.AAD.B....G..ECCG..EFFG.. G99 B97 F99 
3 3 0	..D.B...D.B.AAD.B....G..ECCG..E..GFF G99 B97 F98 
3 3 0	..D.....D...AAD...E..GB.ECCGB..FFGB. G99 E99 F99 
3 3 0	..D.....D...AAD...E..GB.ECCGB.FF.GB. G99 E99 F98 
4 4 0	........DG..AADGB.E.DGB.ECC.B...FF.. D99 G99 B99 E99 
4 4 0	........DG..AADGB...DGB.E.CCB.E.FF.. D99 G99 B99 C99 
4 4 0	........DG..AADGB...DGB.ECC.B.EFF... D99 G99 B99 F99 
4 4 0	........DG..AADGB...DGB.ECC.B.E..FF. D99 G99 B99 F99 
4 4 0	........DG..AADGB...DGB.ECC.B.E...FF D99 G99 B99 F98 
4 4 0	........DGB.AADGB.E.DGB.ECC.....FF.. D99 G99 B98 E99 
4 4 0	........DGB.AADGB...DGB.E.CC..E.FF.. D99 G99 B98 C99 
4 4 0	........DGB.AADGB...DGB.E..CC.E.FF.. D99 G99 B98 C98 
4 4 0	........DGB.AADGB...DGB.E...CCE.FF.. D99 G99 B98 C97 
4 4 0	........DGB.AADGB...DGB.ECC...EFF... D99 G99 B98 F99 
4 4 0	........DGB.AADGB...DGB.ECC...E..FF. D99 G99 B98 F99 
4 4 0	........DGB.AADGB...DGB.ECC...E...FF D99 G99 B98 F98 
4 4 0	....B...DGB.AADGB.E.DG..ECC.....FF.. D99 G99 B97 E99 
4 4 0	....B...DGB.AADGB...DG..E.CC..E.FF.. D99 G99 B97 C99 
4 4 0	....B...DGB.AADGB...DG..E..CC.E.FF.. D99 G99 B97 C98 
4 4 0	....B...DGB.AADGB...DG..E...CCE.FF.. D99 G99 B97 C97 
4 4 0	....B...DGB.AADGB...DG..ECC...EFF... D99 G99 B97 F99 
4 4 0	....B...DGB.AADGB...DG..ECC...E..FF. D99 G99 B97 F99 
4 4 0	....B...DGB.AADGB...DG..ECC...E...FF D99 G99 B97 F98 
4 4 0	........DG..AADG..E.DGB.E.CCB...FFB. D99 G99 E99 C99 
4 4 0	........DG..AADG..E.DGB.ECC.B..FF.B. D99 G99 E99 F99 
4 4 0	........DG..AADG..E.DGB.ECC.B.FF..B. D99 G99 E99 F98 
4 4 0	........DG..AADG....DGB.E.CCB.EFF.B. D99 G99 C99 F99 
4 4 0	...G....DG..AADGB.E.D.B.ECC.B...FF.. D99 G98 B99 E99 
4 4 0	...G....DG..AADGB...D.B.E.CCB.E.FF.. D99 G98 B99 C99 
4 4 0	...G....DG..AADGB...D.B.ECC.B.EFF... D99 G98 B99 F99 
4 4 0	...G....DG..AADGB...D.B.ECC.B.E..FF. D99 G98 B99 F99 
4 4 0	...G....DG..AADGB...D.B.ECC.B.E...FF D99 G98 B99 F98 
4 4 0	...G....DGB.AADGB.E.D.B.ECC.....FF.. D99 G98 B98 E99 
4 4 0	...G....DGB.AADGB...D.B.E.CC..E.FF.. D99 G98 B98 C99 
4 4 0	...G....DGB.AADGB...D.B.E..CC.E.FF.. D99 G98 B98 C98 
4 4 0	...G....DGB.AADGB...D.B.E...CCE.FF.. D99 G98 B98 C97 
4 4 0	...G....DGB.AADGB...D.B.ECC...EFF... D99 G98 B98 F99 
4 4 0	...G....DGB.AADGB...D.B.ECC...E..FF. D99 G98 B98 F99 
4 4 0	...G....DGB.AADGB...D.B.ECC...E...FF D99 G98 B98 F98 
4 4 0	...GB...DGB.AADGB.E.D...ECC.....FF.. D99 G98 B97 E99 
4 4 0	...GB...DGB.AADGB...D...E.CC..E.FF.. D99 G98 B97 C99 
4 4 0	...GB...DGB.AADGB...D...E..CC.E.FF.. D99 G98 B97 C98 
4 4 0	...GB...DGB.AADGB...D...E...CCE.FF.. D99 G98 B97 C97 
4 4 0	...GB...DGB.AADGB...D...ECC...EFF... D99 G98 B97 F99 
4 4 0	...GB...DGB.AADGB...D...ECC...E..FF. D99 G98 B97 F99 
4 4 0	...GB...DGB.AADGB...D...ECC...E...FF D99 G98 B97 F98 
4 4 0	...G....DG..AADG..E.D.B.E.CCB...FFB. D99 G98 E99 C99 
4 4 0	...G....DG..AADG..E.D.B.ECC.B..FF.B. D99 G98 E99 F99 
4 4 0	...G....DG..AADG..E.D.B.ECC.B.FF..B. D99 G98 E99 F98 
4 4 0	...G....DG..AADG....D.B.E.CCB.EFF.B. D99 G98 C99 F99 
4 4 0	........D...AADGB.E.DGB.ECCGB..FF... D99 B99 E99 F99 
4 4 0	........D...AADGB.E.DGB.ECCGB.FF.... D99 B99 E99 F98 
4 4 0	........D...AADGB.E.DGB.ECCGB....FF. D99 B99 E99 F99 
4 4 0	........D...AADGB.E.DGB.ECCGB.....FF D99 B99 E99 F98 
4 4 0	........D...AAD.B...DGB.ECCGB.EFFG.. D99 G99 B99 F99 
4 4 0	........D...AAD.B...DGB.ECCGB.E..GFF D99 G99 B99 F98 
4 4 0	........D.B.AADGB.E.DGB.ECCG...FF... D99 B98 E99 F99 
4 4 0	........D.B.AADGB.E.DGB.ECCG..FF.... D99 B98 E99 F98 
4 4 0	........D.B.AADGB.E.DGB.ECCG.....FF. D99 B98 E99 F99 
4 4 0	........D.B.AADGB.E.DGB.ECCG......FF D99 B98 E99 F98 
4 4 0	........D.B.AAD.B...DGB.ECCG..EFFG.. D99 G99 B98 F99 
4 4 0	........D.B.AAD.B...DGB.ECCG..E..GFF D99 G99 B98 F98 
4 4 0	....B...D.B.AADGB.E.DG..ECCG...FF... D99 B97 E99 F99 
4 4 0	....B...D.B.AADGB.E.DG..ECCG..FF.... D99 B97 E99 F98 
4 4 0	....B...D.B.AADGB.E.DG..ECCG.....FF. D99 B97 E99 F99 
4 4 0	....B...D.B.AADGB.E.DG..ECCG......FF D99 B97 E99 F98 
4 4 0	....B...D.B.AAD.B...DG..ECCG..EFFG.. D99 G99 B97 F99 
4 4 0	....B...D.B.AAD.B...DG..ECCG..E..GFF D99 G99 B97 F98 
4 4 0	........D...AAD...E.DGB.ECCGB..FFGB. D99 G99 E99 F99 
4 4 0	........D...AAD...E.DGB.ECCGB.FF.GB. D99 G99 E99 F98 
4 4 0	..D.....DG..AADGB.E..GB.E.CCB...FF.. G99 B99 E99 C99 
4 4 0	..D.....DG..AADGB.E..GB.ECC.B..FF... G99 B99 E99 F99 
4 4 0	..D.....DG..AADGB.E..GB.ECC.B.FF.... G99 B99 E99 F98 
4 4 0	..D.....DG..AADGB.E..GB.ECC.B....FF. G99 B99 E99 F99 
4 4 0	..D.....DG..AADGB.E..GB.ECC.B.....FF G99 B99 E99 F98 
4 4 0	..D.....DG..AADGB....GB.E.CCB.EFF... G99 B99 C99 F99 
4 4 0	..D.....DG..AADGB....GB.E.CCB.E..FF. G99 B99 C99 F99 
4 4 0	..D.....DG..AADGB....GB.E.CCB.E...FF G99 B99 C99 F98 
4 4 0	..D.....DGB.AADGB.E..GB.E.CC....FF.. G99 B98 E99 C99 
4 4 0	..D.....DGB.AADGB.E..GB.E..CC...FF.. G99 B98 E99 C98 
4 4 0	..D.....DGB.AADGB.E..GB.E...CC..FF.. G99 B98 E99 C97 
4 4 0	..D.....DGB.AADGB.E..GB.ECC....FF... G99 B98 E99 F99 
4 4 0	..D.....DGB.AADGB.E..GB.ECC...FF.... G99 B98 E99 F98 
4 4 0	..D.....DGB.AADGB.E..GB.ECC......FF. G99 B98 E99 F99 
4 4 0	..D.....DGB.AADGB.E..GB.ECC.......FF G99 B98 E99 F98 
4 4 0	..D.....DGB.AADGB....GB.E.CC..EFF... G99 B98 C99 F99 
4 4 0	..D.....DGB.AADGB....GB.E.CC..E..FF. G99 B98 C99 F99 
4 4 0	..D.....DGB.AADGB....GB.E.CC..E...FF G99 B98 C99 F98 
4 4 0	.........GB.AADGB...DGB.E.DCC.E.FF.. D98 G99 B98 C98 
4 4 0	..D.....DGB.AADGB....GB.E..CC.EFF... G99 B98 C98 F99 
4 4 0	..D.....DGB.AADGB....GB.E..CC.E..FF. G99 B98 C98 F99 
4 4 0	..D.....DGB.AADGB....GB.E..CC.E...FF G99 B98 C98 F98 
4 4 0	.........GB.AADGB...DGB.E.D.CCE.FF.. D98 G99 B98 C97 
4 4 0	..D.....D.B.AADGB....GB.E..GCCE.FF.. G98 B98 C97 
