0 0 0	VVBC....BCDEAABCDEHJ..F.HJNNF..KK.F. 
1 1 0	VV.C....BCDEAABCDEHJB.F.HJNNF..KK.F. B99 
1 1 0	VVB.....BCDEAABCDEHJ.CF.HJNNF..KK.F. C99 
1 1 0	VVBCD...BCDEAABC.EHJ..F.HJNNF..KK.F. D99 
1 1 0	VVBC....BCD.AABCDEHJ..FEHJNNF..KK.F. E99 
1 1 0	VVBC....BCD.AABCD.HJ..FEHJNNFE.KK.F. E98 
1 1 0	VVBC....BCD.AABCD.HJ..F.HJNNFE.KK.FE E97 
1 1 0	VVBC.E..BCDEAABCD.HJ..F.HJNNF..KK.F. E99 
1 1 0	VVBC....BCDEAABCDE.J..F.HJNNF.HKK.F. H99 
1 1 0	VVBC....BCDEAABCDEHJ..F.HJNNF.KK..F. K99 
1 1 0	VVBC....BCDEAABCDEHJ..F.HJNNF...KKF. K99 
2 2 0	.VVC....BCDEAABCDEHJB.F.HJNNF..KK.F. V99 B99 
2 2 0	VV......BCDEAABCDEHJBCF.HJNNF..KK.F. B99 C99 
2 2 0	VV.CD...BCDEAABC.EHJB.F.HJNNF..KK.F. B99 D99 
2 2 0	VV.C....BCD.AABCDEHJB.FEHJNNF..KK.F. B99 E99 
2 2 0	VV.C....BCD.AABCD.HJB.FEHJNNFE.KK.F. B99 E98 
2 2 0	VV.C....BCD.AABCD.HJB.F.HJNNFE.KK.FE B99 E97 
2 2 0	VV.C.E..BCDEAABCD.HJB.F.HJNNF..KK.F. B99 E99 
2 2 0	VV.C....BCDEAABCDE.JB.F.HJNNF.HKK.F. B99 H99 
2 2 0	VV.C....BCDEAABCDEHJB.F.HJNNF.KK..F. B99 K99 
2 2 0	VV.C....BCDEAABCDEHJB.F.HJNNF...KKF. B99 K99 
2 2 0	VVB.D...BCDEAABC.EHJ.CF.HJNNF..KK.F. C99 D99 
2 2 0	VVB.....BCD.AABCDEHJ.CFEHJNNF..KK.F. C99 E99 
2 2 0	VVB.....BCD.AABCD.HJ.CFEHJNNFE.KK.F. C99 E98 
2 2 0	VVB.....BCD.AABCD.HJ.CF.HJNNFE.KK.FE C99 E97 
2 2 0	VVB..E..BCDEAABCD.HJ.CF.HJNNF..KK.F. C99 E99 
2 2 0	VVB.....BCDEAABCDE.J.CF.HJNNF.HKK.F. C99 H99 
2 2 0	VVB.....BCDEAABCDEHJ.CF.HJNNF.KK..F. C99 K99 
2 2 0	VVB.....BCDEAABCDEHJ.CF.HJNNF...KKF. C99 K99 
2 2 0	VVBCD...BCD.AABC.EHJ..FEHJNNF..KK.F. D99 E99 
2 2 0	VVBCD...BCD.AABC..HJ..FEHJNNFE.KK.F. D99 E98 
2 2 0	VVBCD...BCD.AABC..HJ..F.HJNNFE.KK.FE D99 E97 
2 2 0	VVBCDE..BCDEAABC..HJ..F.HJNNF..KK.F. D99 E99 
2 2 0	VVBCD...BCDEAABC.E.J..F.HJNNF.HKK.F. D99 H99 
2 2 0	VVBCD...BCDEAABCFEHJ..F.HJNNF..KK... D99 F99 
2 2 0	VVBCD...BCDEAABC.EHJ..F.HJNNF.KK..F. D99 K99 
2 2 0	VVBCD...BCDEAABC.EHJ..F.HJNNF...KKF. D99 K99 
2 2 0	VVBC....BCD.AABCDE.J..FEHJNNF.HKK.F. E99 H99 
2 2 0	VVBC....BCD.AABCDEHJ..FEHJNNF.KK..F. E99 K99 
2 2 0	VVBC....BCD.AABCDEHJ..FEHJNNF...KKF. E99 K99 
2 2 0	VVBC....BCD.AABCD..J..FEHJNNFEHKK.F. E98 H99 
2 2 0	VVBC....BCD.AABCD.HJ..FEHJNNFEKK..F. E98 K99 
2 2 0	VVBC....BCD.AABCD.HJ..FEHJNNFE..KKF. E98 K99 
2 2 0	VVBC....BCD.AABCD..J..F.HJNNFEHKK.FE E97 H99 
2 2 0	VVBC....BCD.AABCD.HJ..F.HJNNFEKK..FE E97 K99 
2 2 0	VVBC....BCD.AABCD.HJ..F.HJNNFE..KKFE E97 K99 
2 2 0	VVBC.E..BCDEAABCD..J..F.HJNNF.HKK.F. E99 H99 
2 2 0	VVBC.E..BCDEAABCD.HJ..F.HJNNF.KK..F. E99 K99 
2 2 0	VVBC.E..BCDEAABCD.HJ..F.HJNNF...KKF. E99 K99 
2 2 0	VVBC....BCDEAABCDE.J..F.HJNNF.H.KKF. H99 K99 
2 2 0	VVBC....BCDEAABCDEH...F.HJNNF..JKKF. J99 K99 
3 3 0	.VV.....BCDEAABCDEHJBCF.HJNNF..KK.F. V99 B99 C99 
3 3 0	.VVCD...BCDEAABC.EHJB.F.HJNNF..KK.F. V99 B99 D99 
3 3 0	.VVC....BCD.AABCDEHJB.FEHJNNF..KK.F. V99 B99 E99 
3 3 0	.VVC....BCD.AABCD.HJB.FEHJNNFE.KK.F. V99 B99 E98 
3 3 0	.VVC....BCD.AABCD.HJB.F.HJNNFE.KK.FE V99 B99 E97 
3 3 0	.VVC.E..BCDEAABCD.HJB.F.HJNNF..KK.F. V99 B99 E99 
3 3 0	.VVC....BCDEAABCDE.JB.F.HJNNF.HKK.F. V99 B99 H99 
