0 0 0	.OOTT.YIIIPFYAA.PFMCCDD.MUUU.L.KKEEL 
1 1 0	OO.TT.YIIIPFYAA.PFMCCDD.MUUU.L.KKEEL O99 
1 1 0	.OO.TTYIIIPFYAA.PFMCCDD.MUUU.L.KKEEL T99 
1 1 0	YOOTT.YIIIPF.AA.PFMCCDD.MUUU.L.KKEEL Y99 
1 1 0	.OOTT.YIIIP.YAA.PFMCCDDFMUUU.L.KKEEL F99 
1 1 0	.OOTTFYIIIPFYAA.P.MCCDD.MUUU.L.KKEEL F99 
1 1 0	.OOTT.YIIIPFY.AAPFMCCDD.MUUU.L.KKEEL A99 
1 1 0	.OOTT.YIIIPFYAA.PF.CCDD.MUUU.LMKKEEL M99 
1 1 0	.OOTT.YIIIPFYAA.PFMCC.DDMUUU.L.KKEEL D99 
1 1 0	.OOTT.YIIIPFYAA.PFMCCDD.M.UUUL.KKEEL U99 
1 1 0	.OOTT.YIIIPFYAA.PFMCCDDLMUUU.L.KKEE. L99 
1 1 0	.OOTT.YIIIPFYAA.PFMCCDD.MUUU.LKK.EEL K99 
2 2 0	OOTT..YIIIPFYAA.PFMCCDD.MUUU.L.KKEEL O99 T99 
2 2 0	OO..TTYIIIPFYAA.PFMCCDD.MUUU.L.KKEEL O99 T99 
2 2 0	OO.TT.YIIIP.YAA.PFMCCDDFMUUU.L.KKEEL O99 F99 
2 2 0	OO.TTFYIIIPFYAA.P.MCCDD.MUUU.L.KKEEL O99 F99 
2 2 0	OO.TT.YIIIPFY.AAPFMCCDD.MUUU.L.KKEEL O99 A99 
2 2 0	OO.TT.YIIIPFYAA.PF.CCDD.MUUU.LMKKEEL O99 M99 
2 2 0	OO.TT.YIIIPFYAA.PFMCC.DDMUUU.L.KKEEL O99 D99 
2 2 0	OO.TT.YIIIPFYAA.PFMCCDD.M.UUUL.KKEEL O99 U99 
2 2 0	OO.TT.YIIIPFYAA.PFMCCDDLMUUU.L.KKEE. O99 L99 
2 2 0	OO.TT.YIIIPFYAA.PFMCCDD.MUUU.LKK.EEL O99 K99 
2 2 0	..OOTTYIIIPFYAA.PFMCCDD.MUUU.L.KKEEL O99 T99 
2 2 0	YOO.TTYIIIPF.AA.PFMCCDD.MUUU.L.KKEEL T99 Y99 
2 2 0	.OO.TTYIIIP.YAA.PFMCCDDFMUUU.L.KKEEL T99 F99 
2 2 0	.OO.TTYIIIPFY.AAPFMCCDD.MUUU.L.KKEEL T99 A99 
2 2 0	.OO.TTYIIIPFYAA.PF.CCDD.MUUU.LMKKEEL T99 M99 
2 2 0	.OO.TTYIIIPFYAA.PFMCC.DDMUUU.L.KKEEL T99 D99 
2 2 0	.OO.TTYIIIPFYAA.PFMCCDD.M.UUUL.KKEEL T99 U99 
2 2 0	.OO.TTYIIIPFYAA.PFMCCDDLMUUU.L.KKEE. T99 L99 
2 2 0	.OO.TTYIIIPFYAA.PFMCCDD.MUUU.LKK.EEL T99 K99 
2 2 0	YOOTT.YIIIP..AA.PFMCCDDFMUUU.L.KKEEL Y99 F99 
2 2 0	YOOTTFYIIIPF.AA.P.MCCDD.MUUU.L.KKEEL Y99 F99 
2 2 0	YOOTT.YIIIPFAA..PFMCCDD.MUUU.L.KKEEL Y99 A99 
2 2 0	YOOTT.YIIIPF..AAPFMCCDD.MUUU.L.KKEEL Y99 A99 
2 2 0	YOOTT.YIIIPF.AA.PF.CCDD.MUUU.LMKKEEL Y99 M99 
2 2 0	YOOTT.YIIIPFMAA.PFMCCDD..UUU.L.KKEEL Y99 M99 
2 2 0	YOOTT.YIIIPF.AA.PFMCC.DDMUUU.L.KKEEL Y99 D99 
2 2 0	YOOTT.YIIIPF.AA.PFMCCDD.M.UUUL.KKEEL Y99 U99 
2 2 0	YOOTT.YIIIPF.AA.PFMCCDDLMUUU.L.KKEE. Y99 L99 
2 2 0	YOOTT.YIIIPF.AA.PFMCCDD.MUUU.LKK.EEL Y99 K99 
2 2 0	.OOTT.YIIIP.Y.AAPFMCCDDFMUUU.L.KKEEL F99 A99 
2 2 0	.OOTT.YIIIP.YAA.PF.CCDDFMUUU.LMKKEEL F99 M99 
2 2 0	.OOTT.YIIIP.YAA.PFMCCDDFM.UUUL.KKEEL F99 U99 
2 2 0	.OOTT.YIIIP.YAA.PFMCCDDFMUUU.LKK.EEL F99 K99 
2 2 0	.OOTTFYIIIPFY.AAP.MCCDD.MUUU.L.KKEEL F99 A99 
2 2 0	.OOTTFYIIIPFYAA.P..CCDD.MUUU.LMKKEEL F99 M99 
2 2 0	.OOTTFYIIIPFYAA.P.MCC.DDMUUU.L.KKEEL F99 D99 
2 2 0	.OOTTFYIIIPFYAA.P.MCCDD.M.UUUL.KKEEL F99 U99 
2 2 0	.OOTTFYIIIPFYAA.P.MCCDDLMUUU.L.KKEE. F99 L99 
2 2 0	.OOTTFYIIIPFYAA.PLMCCDDLMUUU...KKEE. F99 L98 
2 2 0	.OOTTFYIIIPFYAA.P.MCCDD.MUUU.LKK.EEL F99 K99 
2 2 0	.OOTT.YIIIPFY.AAPF.CCDD.MUUU.LMKKEEL A99 M99 
2 2 0	.OOTT.YIIIPFY.AAPFMCC.DDMUUU.L.KKEEL A99 D99 
2 2 0	.OOTT.YIIIPFY.AAPFMCCDD.M.UUUL.KKEEL A99 U99 
2 2 0	.OOTT.YIIIPFY.AAPFMCCDDLMUUU.L.KKEE. A99 L99 
2 2 0	.OOTT.YIIIPFY.AAPFMCCDD.MUUU.LKK.EEL A99 K99 
2 2 0	.OOTT..IIIPFYAA.PFYCCDD.MUUU.LMKKEEL Y99 M99 
2 2 0	.OOTT.YIIIPFYAA.PFCC.DD.MUUU.LMKKEEL M99 C99 
2 2 0	.OOTT.YIIIPFYAA.PF.CC.DDMUUU.LMKKEEL M99 D99 
2 2 0	.OOTT.YIIIPFYAA.PF.CCDD.M.UUULMKKEEL M99 U99 
2 2 0	.OOTT.YIIIPFYAA.PF.CCDDLMUUU.LMKKEE. M99 L99 
2 2 0	.OOTT.YIIIPFYAA.PFM.CCDDMUUU.L.KKEEL C99 D99 
2 2 0	.OOTT.YIIIPFYAA.PFMCC.DDM.UUUL.KKEEL D99 U99 
2 2 0	.OOTT.YIIIPFYAA.PFMCC.DDMUUU.LKK.EEL D99 K99 
2 2 0	.OOTT.YIIIPFYAA.PFMCCDDLM.UUUL.KKEE. U99 L99 
2 2 0	.OOTT.YIIIPFYAA.PFMCCDD.M.UUULKK.EEL U99 K99 
2 2 0	.OOTT.YIIIPFYAA.PFMCCDDLMUUU.LKK.EE. L99 K99 
2 2 0	.OOTT.YIIIPFYAA.PFMCCDDLMUUU.L.KK.EE L99 E99 
2 2 0	.OOTT.YIIIPFYAA.PFMCCDD.MUUU.LKKEE.L K99 E99 
3 3 0	OOTTP.YIIIPFYAA..FMCCDD.MUUU.L.KKEEL O99 T99 P99 
3 3 0	OOTT..YIIIP.YAA.PFMCCDDFMUUU.L.KKEEL O99 T99 F99 
3 3 0	OOTT.FYIIIPFYAA.P.MCCDD.MUUU.L.KKEEL O99 T99 F99 
3 3 0	OOTT..YIIIPFY.AAPFMCCDD.MUUU.L.KKEEL O99 T99 A99 
3 3 0	OOTT..YIIIPFYAA.PF.CCDD.MUUU.LMKKEEL O99 T99 M99 
3 3 0	OOTT..YIIIPFYAA.PFMCC.DDMUUU.L.KKEEL O99 T99 D99 
3 3 0	OOTT..YIIIPFYAA.PFMCCDD.M.UUUL.KKEEL O99 T99 U99 
3 3 0	OOTT..YIIIPFYAA.PFMCCDDLMUUU.L.KKEE. O99 T99 L99 
3 3 0	OOTT..YIIIPFYAA.PFMCCDD.MUUU.LKK.EEL O99 T99 K99 
3 3 0	OO..TTYIIIP.YAA.PFMCCDDFMUUU.L.KKEEL O99 T99 F99 
3 3 0	OO..TTYIIIPFY.AAPFMCCDD.MUUU.L.KKEEL O99 T99 A99 
3 3 0	OO..TTYIIIPFYAA.PF.CCDD.MUUU.LMKKEEL O99 T99 M99 
3 3 0	OO..TTYIIIPFYAA.PFMCC.DDMUUU.L.KKEEL O99 T99 D99 
3 3 0	OO..TTYIIIPFYAA.PFMCCDD.M.UUUL.KKEEL O99 T99 U99 
3 3 0	OO..TTYIIIPFYAA.PFMCCDDLMUUU.L.KKEE. O99 T99 L99 
3 3 0	OO..TTYIIIPFYAA.PFMCCDD.MUUU.LKK.EEL O99 T99 K99 
3 3 0	OO.TT.YIIIP.Y.AAPFMCCDDFMUUU.L.KKEEL O99 F99 A99 
3 3 0	OO.TT.YIIIP.YAA.PF.CCDDFMUUU.LMKKEEL O99 F99 M99 
3 3 0	OO.TT.YIIIP.YAA.PFMCCDDFM.UUUL.KKEEL O99 F99 U99 
3 3 0	OO.TT.YIIIP.YAA.PFMCCDDFMUUU.LKK.EEL O99 F99 K99 
3 3 0	OO.TTFYIIIPFY.AAP.MCCDD.MUUU.L.KKEEL O99 F99 A99 
3 3 0	OO.TTFYIIIPFYAA.P..CCDD.MUUU.LMKKEEL O99 F99 M99 
3 3 0	OO.TTFYIIIPFYAA.P.MCC.DDMUUU.L.KKEEL O99 F99 D99 
3 3 0	OO.TTFYIIIPFYAA.P.MCCDD.M.UUUL.KKEEL O99 F99 U99 
3 3 0	OO.TTFYIIIPFYAA.P.MCCDDLMUUU.L.KKEE. O99 F99 L99 
