0 0 0	.C....BC.PTUBAAPTUYYYOTU..DOLL..D... 
1 1 0	BC....BC.PTU.AAPTUYYYOTU..DOLL..D... B99 
1 1 0	.C.P..BC.PTUBAA.TUYYYOTU..DOLL..D... P99 
1 1 0	.C..T.BC.PTUBAAPTUYYYO.U..DOLL..D... T99 
1 1 0	.C...UBC.PTUBAAPTUYYYOT...DOLL..D... U99 
1 1 0	.C....BC.PTUBAAPTUYYY.TU..DOLL..DO.. O99 
2 2 0	BC.P..BC.PTU.AA.TUYYYOTU..DOLL..D... B99 P99 
2 2 0	BC..T.BC.PTU.AAPTUYYYO.U..DOLL..D... B99 T99 
2 2 0	BC...UBC.PTU.AAPTUYYYOT...DOLL..D... B99 U99 
2 2 0	BC....BC.PTUAA.PTUYYYOTU..DOLL..D... B99 A99 
2 2 0	BC....BC.PTU.AAPTUYYY.TU..DOLL..DO.. B99 O99 
2 2 0	.C.PT.BC.PTUBAA.TUYYYO.U..DOLL..D... P99 T99 
2 2 0	.C.P.UBC.PTUBAA.TUYYYOT...DOLL..D... P99 U99 
2 2 0	.C.P..BC.PTUB.AATUYYYOTU..DOLL..D... P99 A99 
2 2 0	.C.P..BC.PTUBAA.TUYYY.TU..DOLL..DO.. P99 O99 
2 2 0	.C.P..BC.PTUBAAOTUYYYOTU..D.LL..D... P99 O99 
2 2 0	.C..TUBC.PTUBAAPTUYYYO....DOLL..D... T99 U99 
2 2 0	.C..T.BC.PTUBAAPTUYYY..U..DOLL..DO.. T99 O99 
2 2 0	.C...UBC.PTUBAAPTUYYY.T...DOLL..DO.. U99 O99 
2 2 0	.C....BC..TUBAAPTUYYYPTU..DOLL..DO.. P99 O99 
2 2 0	.C....BC.PTUBAAPTU.YYYTU..DOLL..DO.. Y99 O99 
3 3 0	BC.PT.BC.PTU.AA.TUYYYO.U..DOLL..D... B99 P99 T99 
3 3 0	BC.P.UBC.PTU.AA.TUYYYOT...DOLL..D... B99 P99 U99 
3 3 0	BC.P..BC.PTUAA..TUYYYOTU..DOLL..D... B99 P99 A99 
3 3 0	BC.P..BC.PTU..AATUYYYOTU..DOLL..D... B99 P99 A99 
3 3 0	BC.P..BC.PTU.AA.TUYYY.TU..DOLL..DO.. B99 P99 O99 
3 3 0	BC.P..BC.PTU.AAOTUYYYOTU..D.LL..D... B99 P99 O99 
3 3 0	BC..TUBC.PTU.AAPTUYYYO....DOLL..D... B99 T99 U99 
3 3 0	BC..T.BC.PTUAA.PTUYYYO.U..DOLL..D... B99 T99 A99 
3 3 0	BC..T.BC.PTU.AAPTUYYY..U..DOLL..DO.. B99 T99 O99 
3 3 0	BC...UBC.PTUAA.PTUYYYOT...DOLL..D... B99 U99 A99 
3 3 0	BC...UBC.PTU.AAPTUYYY.T...DOLL..DO.. B99 U99 O99 
3 3 0	BC....BC.PTUAA.PTUYYY.TU..DOLL..DO.. B99 A99 O99 
3 3 0	BC....BC..TU.AAPTUYYYPTU..DOLL..DO.. B99 P99 O99 
3 3 0	BC....BC.PTU.AAPTU.YYYTU..DOLL..DO.. B99 Y99 O99 
3 3 0	.C.PTUBC.PTUBAA.TUYYYO....DOLL..D... P99 T99 U99 
3 3 0	.C.PT.BC.PTUB.AATUYYYO.U..DOLL..D... P99 T99 A99 
3 3 0	.C.PT.BC.PTUBAA.TUYYY..U..DOLL..DO.. P99 T99 O99 
3 3 0	.C.PT.BC.PTUBAAOTUYYYO.U..D.LL..D... P99 T99 O99 
3 3 0	.C.P.UBC.PTUB.AATUYYYOT...DOLL..D... P99 U99 A99 
3 3 0	.C.P.UBC.PTUBAA.TUYYY.T...DOLL..DO.. P99 U99 O99 
3 3 0	.C.P.UBC.PTUBAAOTUYYYOT...D.LL..D... P99 U99 O99 
3 3 0	...P..BC.PTUBCAATUYYYOTU..DOLL..D... C99 P99 A99 
3 3 0	.C.P..BC.PTUB.AATUYYY.TU..DOLL..DO.. P99 A99 O99 
3 3 0	.C.P..BC.PTUBAA.TU.YYYTU..DOLL..DO.. P99 Y99 O99 
3 3 0	.C.P..BC.PTUBAAOTUYYYOTU..DLL...D... P99 O99 L99 
3 3 0	.C..TUBC.PTUBAAPTUYYY.....DOLL..DO.. T99 U99 O99 
3 3 0	.C..T.BC..TUBAAPTUYYYP.U..DOLL..DO.. P99 T99 O99 
3 3 0	.C..T.BC.PTUBAAPTU.YYY.U..DOLL..DO.. T99 Y99 O99 
3 3 0	.C..T.BC.PTUBAAPTU..YYYU..DOLL..DO.. T99 Y98 O99 
3 3 0	.C...UBC..TUBAAPTUYYYPT...DOLL..DO.. P99 U99 O99 
3 3 0	.C...UBC.PTUBAAPTU.YYYT...DOLL..DO.. U99 Y99 O99 
3 3 0	.C.....C.PTUBAAPTUBYYYTU..DOLL..DO.. B99 Y99 O99 
3 3 0	.C.....C.PTU.AAPTUBYYYTUB.DOLL..DO.. B98 Y99 O99 
3 3 0	.C.....C.PTU.AAPTU.YYYTUB.DOLLB.DO.. B97 Y99 O99 
4 4 0	BC.PTUBC.PTU.AA.TUYYYO....DOLL..D... B99 P99 T99 U99 
4 4 0	BC.PT.BC.PTUAA..TUYYYO.U..DOLL..D... B99 P99 T99 A99 
4 4 0	BC.PT.BC.PTU..AATUYYYO.U..DOLL..D... B99 P99 T99 A99 
4 4 0	BC.PT.BC.PTU.AA.TUYYY..U..DOLL..DO.. B99 P99 T99 O99 
4 4 0	BC.PT.BC.PTU.AAOTUYYYO.U..D.LL..D... B99 P99 T99 O99 
4 4 0	BC.P.UBC.PTUAA..TUYYYOT...DOLL..D... B99 P99 U99 A99 
4 4 0	BC.P.UBC.PTU..AATUYYYOT...DOLL..D... B99 P99 U99 A99 
4 4 0	BC.P.UBC.PTU.AA.TUYYY.T...DOLL..DO.. B99 P99 U99 O99 
4 4 0	BC.P.UBC.PTU.AAOTUYYYOT...D.LL..D... B99 P99 U99 O99 
4 4 0	BC.P..BC.PTUAA..TUYYY.TU..DOLL..DO.. B99 P99 A99 O99 
4 4 0	BC.P..BC.PTUAA.OTUYYYOTU..D.LL..D... B99 P99 A99 O99 
4 4 0	B..P..BC.PTU.CAATUYYYOTU..DOLL..D... C99 B99 P99 A99 
4 4 0	BC.P..BC.PTU..AATUYYY.TU..DOLL..DO.. B99 P99 A99 O99 
4 4 0	BC.P..BC.PTU.AA.TU.YYYTU..DOLL..DO.. B99 P99 Y99 O99 
4 4 0	BC.P..BC.PTU.AAOTUYYYOTU..DLL...D... B99 P99 O99 L99 
4 4 0	BC..TUBC.PTUAA.PTUYYYO....DOLL..D... B99 T99 U99 A99 
4 4 0	BC..TUBC.PTU.AAPTUYYY.....DOLL..DO.. B99 T99 U99 O99 
4 4 0	BC..T.BC.PTUAA.PTUYYY..U..DOLL..DO.. B99 T99 A99 O99 
4 4 0	BC..T.BC..TU.AAPTUYYYP.U..DOLL..DO.. B99 P99 T99 O99 
4 4 0	BC..T.BC.PTU.AAPTU.YYY.U..DOLL..DO.. B99 T99 Y99 O99 
4 4 0	BC..T.BC.PTU.AAPTU..YYYU..DOLL..DO.. B99 T99 Y98 O99 
4 4 0	BC...UBC.PTUAA.PTUYYY.T...DOLL..DO.. B99 U99 A99 O99 
4 4 0	BC...UBC..TU.AAPTUYYYPT...DOLL..DO.. B99 P99 U99 O99 
4 4 0	BC...UBC.PTU.AAPTU.YYYT...DOLL..DO.. B99 U99 Y99 O99 
4 4 0	BC....BC..TUAA.PTUYYYPTU..DOLL..DO.. B99 P99 A99 O99 
4 4 0	BC....BC.PTUAA.PTU.YYYTU..DOLL..DO.. B99 A99 Y99 O99 
4 4 0	.C.PTUBC.PTUB.AATUYYYO....DOLL..D... P99 T99 U99 A99 
4 4 0	.C.PTUBC.PTUBAA.TUYYY.....DOLL..DO.. P99 T99 U99 O99 
4 4 0	.C.PTUBC.PTUBAAOTUYYYO....D.LL..D... P99 T99 U99 O99 
4 4 0	...PT.BC.PTUBCAATUYYYO.U..DOLL..D... C99 P99 T99 A99 
4 4 0	.C.PT.BC.PTUB.AATUYYY..U..DOLL..DO.. P99 T99 A99 O99 
4 4 0	.C.PT.BC.PTUBAA.TU.YYY.U..DOLL..DO.. P99 T99 Y99 O99 
4 4 0	.C.PT.BC.PTUBAA.TU..YYYU..DOLL..DO.. P99 T99 Y98 O99 
4 4 0	.C.PT.BC.PTUBAAOTUYYYO.U..DLL...D... P99 T99 O99 L99 
4 4 0	...P.UBC.PTUBCAATUYYYOT...DOLL..D... C99 P99 U99 A99 
4 4 0	.C.P.UBC.PTUB.AATUYYY.T...DOLL..DO.. P99 U99 A99 O99 
4 4 0	.C.P.UBC.PTUBAA.TU.YYYT...DOLL..DO.. P99 U99 Y99 O99 
4 4 0	.C.P.UBC.PTUBAAOTUYYYOT...DLL...D... P99 U99 O99 L99 
4 4 0	...P..BC.PTUBCAATUYYY.TU..DOLL..DO.. C99 P99 A99 O99 
4 4 0	.C.P..BC.PTUB.AATU.YYYTU..DOLL..DO.. P99 A99 Y99 O99 
4 4 0	.C.P...C.PTUBAA.TUBYYYTU..DOLL..DO.. B99 P99 Y99 O99 
4 4 0	.C.P...C.PTU.AA.TUBYYYTUB.DOLL..DO.. B98 P99 Y99 O99 
4 4 0	.C.P...C.PTU.AA.TU.YYYTUB.DOLLB.DO.. B97 P99 Y99 O99 
4 4 0	.C.P..BC.PT.BAAOTUYYYOTU..DLLU..D... P99 U99 O99 L99 
4 4 0	.C.P..BC.PT.BAAOT.YYYOTU..DLLU..D..U P99 U98 O99 L99 
4 4 0	.C..TUBC..TUBAAPTUYYYP....DOLL..DO.. P99 T99 U99 O99 
4 4 0	.C..TUBC.PTUBAAPTU.YYY....DOLL..DO.. T99 U99 Y99 O99 
4 4 0	.C..TUBC.PTUBAAPTU..YYY...DOLL..DO.. T99 U99 Y98 O99 
4 4 0	.C..TUBC.PTUBAAPTU...YYY..DOLL..DO.. T99 U99 Y97 O99 
4 4 0	.C..T..C.PTUBAAPTUBYYY.U..DOLL..DO.. B99 T99 Y99 O99 
4 4 0	.C..T..C.PTU.AAPTUBYYY.UB.DOLL..DO.. B98 T99 Y99 O99 
4 4 0	.C..T..C.PTU.AAPTU.YYY.UB.DOLLB.DO.. B97 T99 Y99 O99 
4 4 0	.C..T..C.PTUBAAPTUB.YYYU..DOLL..DO.. B99 T99 Y98 O99 
4 4 0	.C..T..C.PTU.AAPTUB.YYYUB.DOLL..DO.. B98 T99 Y98 O99 
4 4 0	.C..T..C.PTU.AAPTU..YYYUB.DOLLB.DO.. B97 T99 Y98 O99 
4 4 0	.C...U.C.PTUBAAPTUBYYYT...DOLL..DO.. B99 U99 Y99 O99 
4 4 0	.C...U.C.PTU.AAPTUBYYYT.B.DOLL..DO.. B98 U99 Y99 O99 
4 4 0	.C...U.C.PTU.AAPTU.YYYT.B.DOLLB.DO.. B97 U99 Y99 O99 
4 4 0	.C.....C.PTUAA.PTUBYYYTUB.DOLL..DO.. B98 A99 Y99 O99 
4 4 0	.C.....C.PTUAA.PTU.YYYTUB.DOLLB.DO.. B97 A99 Y99 O99 
4 4 0	.C.....C.PTU.AAPTUYYY.TUB.DOLLB.DO.. B97 Y98 O99 
5 5 0	BC.PTUBC.PTUAA..TUYYYO....DOLL..D... B99 P99 T99 U99 A99 
5 5 0	BC.PTUBC.PTU..AATUYYYO....DOLL..D... B99 P99 T99 U99 A99 
5 5 0	BC.PTUBC.PTU.AA.TUYYY.....DOLL..DO.. B99 P99 T99 U99 O99 
5 5 0	BC.PTUBC.PTU.AAOTUYYYO....D.LL..D... B99 P99 T99 U99 O99 
5 5 0	BC.PT.BC.PTUAA..TUYYY..U..DOLL..DO.. B99 P99 T99 A99 O99 
5 5 0	BC.PT.BC.PTUAA.OTUYYYO.U..D.LL..D... B99 P99 T99 A99 O99 
5 5 0	B..PT.BC.PTU.CAATUYYYO.U..DOLL..D... C99 B99 P99 T99 A99 
5 5 0	BC.PT.BC.PTU..AATUYYY..U..DOLL..DO.. B99 P99 T99 A99 O99 
5 5 0	BC.PT.BC.PTU.AA.TU.YYY.U..DOLL..DO.. B99 P99 T99 Y99 O99 
5 5 0	BC.PT.BC.PTU.AA.TU..YYYU..DOLL..DO.. B99 P99 T99 Y98 O99 
5 5 0	BC.PT.BC.PTU.AAOTUYYYO.U..DLL...D... B99 P99 T99 O99 L99 
5 5 0	BC.P.UBC.PTUAA..TUYYY.T...DOLL..DO.. B99 P99 U99 A99 O99 
5 5 0	BC.P.UBC.PTUAA.OTUYYYOT...D.LL..D... B99 P99 U99 A99 O99 
5 5 0	B..P.UBC.PTU.CAATUYYYOT...DOLL..D... C99 B99 P99 U99 A99 
5 5 0	BC.P.UBC.PTU..AATUYYY.T...DOLL..DO.. B99 P99 U99 A99 O99 
5 5 0	BC.P.UBC.PTU.AA.TU.YYYT...DOLL..DO.. B99 P99 U99 Y99 O99 
5 5 0	BC.P.UBC.PTU.AAOTUYYYOT...DLL...D... B99 P99 U99 O99 L99 
5 5 0	BC.P..BC.PTUAA..TU.YYYTU..DOLL..DO.. B99 P99 A99 Y99 O99 
5 5 0	BC.P..BC.PTUAA.OTUYYYOTU..DLL...D... B99 P99 A99 O99 L99 
5 5 0	B..P..BC.PTU.CAATUYYY.TU..DOLL..DO.. C99 B99 P99 A99 O99 
5 5 0	BC.P..BC.PTU..AATU.YYYTU..DOLL..DO.. B99 P99 A99 Y99 O99 
5 5 0	BC.P..BC.PT..AAOTUYYYOTU..DLLU..D... B99 P99 U99 O99 L99 
5 5 0	BC.P..BC.PT..AAOT.YYYOTU..DLLU..D..U B99 P99 U98 O99 L99 
5 5 0	BC..TUBC.PTUAA.PTUYYY.....DOLL..DO.. B99 T99 U99 A99 O99 
5 5 0	BC..TUBC..TU.AAPTUYYYP....DOLL..DO.. B99 P99 T99 U99 O99 
5 5 0	BC..TUBC.PTU.AAPTU.YYY....DOLL..DO.. B99 T99 U99 Y99 O99 
5 5 0	BC..TUBC.PTU.AAPTU..YYY...DOLL..DO.. B99 T99 U99 Y98 O99 
5 5 0	BC..TUBC.PTU.AAPTU...YYY..DOLL..DO.. B99 T99 U99 Y97 O99 
5 5 0	BC..T.BC..TUAA.PTUYYYP.U..DOLL..DO.. B99 P99 T99 A99 O99 
5 5 0	BC..T.BC.PTUAA.PTU.YYY.U..DOLL..DO.. B99 T99 A99 Y99 O99 
5 5 0	BC..T.BC.PTUAA.PTU..YYYU..DOLL..DO.. B99 T99 A99 Y98 O99 
5 5 0	BC...UBC..TUAA.PTUYYYPT...DOLL..DO.. B99 P99 U99 A99 O99 
5 5 0	BC...UBC.PTUAA.PTU.YYYT...DOLL..DO.. B99 U99 A99 Y99 O99 
5 5 0	...PTUBC.PTUBCAATUYYYO....DOLL..D... C99 P99 T99 U99 A99 
5 5 0	.C.PTUBC.PTUB.AATUYYY.....DOLL..DO.. P99 T99 U99 A99 O99 
5 5 0	.C.PTUBC.PTUBAA.TU.YYY....DOLL..DO.. P99 T99 U99 Y99 O99 
5 5 0	.C.PTUBC.PTUBAA.TU..YYY...DOLL..DO.. P99 T99 U99 Y98 O99 
5 5 0	.C.PTUBC.PTUBAA.TU...YYY..DOLL..DO.. P99 T99 U99 Y97 O99 
5 5 0	.C.PTUBC.PTUBAAOTUYYYO....DLL...D... P99 T99 U99 O99 L99 
5 5 0	...PT.BC.PTUBCAATUYYY..U..DOLL..DO.. C99 P99 T99 A99 O99 
5 5 0	.C.PT.BC.PTUB.AATU.YYY.U..DOLL..DO.. P99 T99 A99 Y99 O99 
5 5 0	.C.PT.BC.PTUB.AATU..YYYU..DOLL..DO.. P99 T99 A99 Y98 O99 
5 5 0	.C.PT..C.PTUBAA.TUBYYY.U..DOLL..DO.. B99 P99 T99 Y99 O99 
5 5 0	.C.PT..C.PTU.AA.TUBYYY.UB.DOLL..DO.. B98 P99 T99 Y99 O99 
5 5 0	.C.PT..C.PTU.AA.TU.YYY.UB.DOLLB.DO.. B97 P99 T99 Y99 O99 
5 5 0	.C.PT..C.PTUBAA.TUB.YYYU..DOLL..DO.. B99 P99 T99 Y98 O99 
5 5 0	.C.PT..C.PTU.AA.TUB.YYYUB.DOLL..DO.. B98 P99 T99 Y98 O99 
5 5 0	.C.PT..C.PTU.AA.TU..YYYUB.DOLLB.DO.. B97 P99 T99 Y98 O99 
5 5 0	.C.PT.BC.PT.BAAOTUYYYO.U..DLLU..D... P99 T99 U99 O99 L99 
5 5 0	.C.PT.BC.PT.BAAOT.YYYO.U..DLLU..D..U P99 T99 U98 O99 L99 
5 5 0	...P.UBC.PTUBCAATUYYY.T...DOLL..DO.. C99 P99 U99 A99 O99 
5 5 0	.C.P.UBC.PTUB.AATU.YYYT...DOLL..DO.. P99 U99 A99 Y99 O99 
5 5 0	.C.P.U.C.PTUBAA.TUBYYYT...DOLL..DO.. B99 P99 U99 Y99 O99 
5 5 0	.C.P.U.C.PTU.AA.TUBYYYT.B.DOLL..DO.. B98 P99 U99 Y99 O99 
5 5 0	.C.P.U.C.PTU.AA.TU.YYYT.B.DOLLB.DO.. B97 P99 U99 Y99 O99 
5 5 0	...P..BC.PTUBCAATU.YYYTU..DOLL..DO.. C99 P99 A99 Y99 O99 
5 5 0	.C.P...C.PTUB.AATUBYYYTU..DOLL..DO.. B99 P99 A99 Y99 O99 
