0 0 0	FFFEEDU..RODUAAROJ..BBBJIII.......TT 
1 1 0	FFFEED...RODUAAROJU.BBBJIII.......TT U99 
1 1 0	FFFEEDU..RODUAARO...BBBJIII..J....TT J99 
1 1 0	FFFEEDU..RODUAAROJ.BBB.JIII.......TT B99 
1 1 0	FFFEEDU..RODUAAROJBBB..JIII.......TT B98 
1 1 0	FFFEEDU..RODUAAROJ..BBBJ.III......TT I99 
1 1 0	FFFEEDU..RODUAAROJ..BBBJ..III.....TT I98 
1 1 0	FFFEEDU..RODUAAROJ..BBBJ...III....TT I97 
1 1 0	FFFEEDU..RODUAAROJ..BBBJIII......TT. T99 
1 1 0	FFFEEDU..RODUAAROJ..BBBJIII.....TT.. T98 
1 1 0	FFFEEDU..RODUAAROJ..BBBJIII....TT... T97 
1 1 0	FFFEEDU..RODUAAROJ..BBBJIII...TT.... T96 
2 2 0	FFFEED...RODUAARO.U.BBBJIII..J....TT U99 J99 
2 2 0	FFFEED...RODUAAROJUBBB.JIII.......TT U99 B99 
2 2 0	FFFEED...RODUAAROJU.BBBJ.III......TT U99 I99 
2 2 0	FFFEED...RODUAAROJU.BBBJ..III.....TT U99 I98 
2 2 0	FFFEED...RODUAAROJU.BBBJ...III....TT U99 I97 
2 2 0	FFFEED...RODUAAROJU.BBBJIII......TT. U99 T99 
2 2 0	FFFEED...RODUAAROJU.BBBJIII.....TT.. U99 T98 
2 2 0	FFFEED...RODUAAROJU.BBBJIII....TT... U99 T97 
2 2 0	FFFEED...RODUAAROJU.BBBJIII...TT.... U99 T96 
2 2 0	FFFEE.U..RODUAAROD..BBBJIII..J....TT D99 J99 
2 2 0	FFFEEDU..RODUAARO..BBB.JIII..J....TT J99 B99 
2 2 0	FFFEEDU..RODUAARO.BBB..JIII..J....TT J99 B98 
2 2 0	FFFEEDU..RODUAARO...BBBJ.III.J....TT J99 I99 
2 2 0	FFFEEDU..RODUAARO...BBBJ..IIIJ....TT J99 I98 
2 2 0	FFFEEDU..RODUAARO...BBBJIII..J...TT. J99 T99 
2 2 0	FFFEEDU..RODUAARO...BBBJIII..J..TT.. J99 T98 
2 2 0	FFFEEDU..RODUAARO...BBBJIII..J.TT... J99 T97 
2 2 0	FFFEEDU..RODUAARO...BBBJIII..JTT.... J99 T96 
2 2 0	FFFEEDU..R.DUAAROJ.BBBOJIII.......TT O99 B99 
2 2 0	FFFEEDU..R.DUAAR.J.BBBOJIII.O.....TT O98 B99 
2 2 0	FFFEEDU..RODUAAROJ.BBB.J.III......TT B99 I99 
2 2 0	FFFEEDU..RODUAAROJ.BBB.J..III.....TT B99 I98 
2 2 0	FFFEEDU..RODUAAROJ.BBB.J...III....TT B99 I97 
2 2 0	FFFEEDU..RODUAAROJ.BBB.JIII......TT. B99 T99 
2 2 0	FFFEEDU..RODUAAROJ.BBB.JIII.....TT.. B99 T98 
2 2 0	FFFEEDU..RODUAAROJ.BBB.JIII....TT... B99 T97 
2 2 0	FFFEEDU..RODUAAROJ.BBB.JIII...TT.... B99 T96 
2 2 0	FFFEEDU...ODUAAROJBBBR.JIII.......TT R99 B98 
2 2 0	FFFEEDU...ODUAA.OJBBBR.JIIIR......TT R98 B98 
2 2 0	FFFEEDU...ODUAA.OJBBB..JIIIR.....RTT R97 B98 
2 2 0	FFFEEDU..R.DUAAROJBBB.OJIII.......TT O99 B98 
2 2 0	FFFEEDU..R.DUAAR.JBBB.OJIII.O.....TT O98 B98 
2 2 0	FFFEEDU..RODUAAROJBBB..J.III......TT B98 I99 
2 2 0	FFFEEDU..RODUAAROJBBB..J..III.....TT B98 I98 
2 2 0	FFFEEDU..RODUAAROJBBB..J...III....TT B98 I97 
2 2 0	FFFEEDU..RODUAAROJBBB..JIII......TT. B98 T99 
2 2 0	FFFEEDU..RODUAAROJBBB..JIII.....TT.. B98 T98 
2 2 0	FFFEEDU..RODUAAROJBBB..JIII....TT... B98 T97 
2 2 0	FFFEEDU..RODUAAROJBBB..JIII...TT.... B98 T96 
2 2 0	FFFEED...ROD.AAROJU.BBBJUIII......TT U98 I99 
2 2 0	FFFEED...ROD.AAROJ..BBBJUIII..U...TT U97 I99 
2 2 0	FFFEEDU..RODUAAROJ..BBBJ.III.....TT. I99 T99 
2 2 0	FFFEEDU..RODUAAROJ..BBBJ.III....TT.. I99 T98 
2 2 0	FFFEEDU..RODUAAROJ..BBBJ.III...TT... I99 T97 
2 2 0	FFFEEDU..RODUAAROJ..BBBJ.III..TT.... I99 T96 
2 2 0	FFFEED...ROD.AAROJU.BBBJU.III.....TT U98 I98 
2 2 0	FFFEED...ROD.AAROJ..BBBJU.III.U...TT U97 I98 
2 2 0	FFFEEDU..RODUAAROJ..BBBJ..III....TT. I98 T99 
2 2 0	FFFEEDU..RODUAAROJ..BBBJ..III...TT.. I98 T98 
2 2 0	FFFEEDU..RODUAAROJ..BBBJ..III..TT... I98 T97 
2 2 0	FFFEEDU..RODUAAROJ..BBBJ..III.TT.... I98 T96 
2 2 0	FFFEED...ROD.AAROJU.BBBJU..III....TT U98 I97 
2 2 0	FFFEED...ROD.AAROJ..BBBJU..IIIU...TT U97 I97 
2 2 0	FFFEEDU..RODUAAROJ..BBBJ...III...TT. I97 T99 
2 2 0	FFFEEDU..RODUAAROJ..BBBJ...III..TT.. I97 T98 
2 2 0	FFFEEDU..RODUAAROJ..BBBJ...III.TT... I97 T97 
2 2 0	FFFEEDU..RODUAAROJ..BBBJ...IIITT.... I97 T96 
2 2 0	FFFEEDU..RODUAARO...BBB.III..J...TTJ J98 T99 
2 2 0	FFFEEDU..RODUAARO...BBB.III..J..TT.J J98 T98 
2 2 0	FFFEEDU..RODUAARO...BBB.III..J.TT..J J98 T97 
2 2 0	FFFEEDU..RODUAARO...BBB.III..JTT...J J98 T96 
3 3 0	FFFEE....RODUAARODU.BBBJIII..J....TT D99 U99 J99 
3 3 0	FFFEED...RODUAARO.UBBB.JIII..J....TT U99 J99 B99 
3 3 0	FFFEED...RODUAARO.U.BBBJ.III.J....TT U99 J99 I99 
3 3 0	FFFEED...RODUAARO.U.BBBJ..IIIJ....TT U99 J99 I98 
3 3 0	FFFEED...RODUAARO.U.BBBJIII..J...TT. U99 J99 T99 
3 3 0	FFFEED...RODUAARO.U.BBBJIII..J..TT.. U99 J99 T98 
3 3 0	FFFEED...RODUAARO.U.BBBJIII..J.TT... U99 J99 T97 
3 3 0	FFFEED...RODUAARO.U.BBBJIII..JTT.... U99 J99 T96 
3 3 0	FFFEED...R.DUAAROJUBBBOJIII.......TT U99 O99 B99 
3 3 0	FFFEED...R.DUAAR.JUBBBOJIII.O.....TT U99 O98 B99 
3 3 0	FFFEED...RODUAAROJUBBB.J.III......TT U99 B99 I99 
3 3 0	FFFEED...RODUAAROJUBBB.J..III.....TT U99 B99 I98 
3 3 0	FFFEED...RODUAAROJUBBB.J...III....TT U99 B99 I97 
3 3 0	FFFEED...RODUAAROJUBBB.JIII......TT. U99 B99 T99 
3 3 0	FFFEED...RODUAAROJUBBB.JIII.....TT.. U99 B99 T98 
3 3 0	FFFEED...RODUAAROJUBBB.JIII....TT... U99 B99 T97 
