0 0 0	.B....SB.CDESAACDEHHHGDE..VG....V... 
1 1 0	SB....SB.CDE.AACDEHHHGDE..VG....V... S99 
1 1 0	.B.C..SB.CDESAA.DEHHHGDE..VG....V... C99 
1 1 0	.B....SB.C.ESAACDEHHHGDE..VGD...V... D99 
1 1 0	.B....SB.C.ESAAC.EHHHGDE..VGD...V.D. D98 
1 1 0	.B..D.SB.CDESAACDEHHHG.E..VG....V... D99 
1 1 0	.B....SB.CD.SAACDEHHHGDE..VG.E..V... E99 
1 1 0	.B....SB.CD.SAACD.HHHGDE..VG.E..V..E E98 
1 1 0	.B...ESB.CDESAACDEHHHGD...VG....V... E99 
1 1 0	.B....SB.CDESAACDEHHH.DE..VG....VG.. G99 
2 2 0	SB.C..SB.CDE.AA.DEHHHGDE..VG....V... S99 C99 
2 2 0	SB....SB.C.E.AACDEHHHGDE..VGD...V... S99 D99 
2 2 0	SB....SB.C.E.AAC.EHHHGDE..VGD...V.D. S99 D98 
2 2 0	SB..D.SB.CDE.AACDEHHHG.E..VG....V... S99 D99 
2 2 0	SB....SB.CD..AACDEHHHGDE..VG.E..V... S99 E99 
2 2 0	SB....SB.CD..AACD.HHHGDE..VG.E..V..E S99 E98 
2 2 0	SB...ESB.CDE.AACDEHHHGD...VG....V... S99 E99 
2 2 0	SB....SB.CDEAA.CDEHHHGDE..VG....V... S99 A99 
2 2 0	SB....SB.CDE.AACDEHHH.DE..VG....VG.. S99 G99 
2 2 0	.B.C..SB.C.ESAA.DEHHHGDE..VGD...V... C99 D99 
2 2 0	.B.C..SB.C.ESAA..EHHHGDE..VGD...V.D. C99 D98 
2 2 0	.B.CD.SB.CDESAA.DEHHHG.E..VG....V... C99 D99 
2 2 0	.B.C..SB.CD.SAA.DEHHHGDE..VG.E..V... C99 E99 
2 2 0	.B.C..SB.CD.SAA.D.HHHGDE..VG.E..V..E C99 E98 
2 2 0	.B.C.ESB.CDESAA.DEHHHGD...VG....V... C99 E99 
2 2 0	.B.C..SB.CDES.AADEHHHGDE..VG....V... C99 A99 
2 2 0	.B.C..SB.CDESAA.DEHHH.DE..VG....VG.. C99 G99 
2 2 0	.B.C..SB.CDESAAGDEHHHGDE..V.....V... C99 G99 
2 2 0	.B....SB.C..SAACDEHHHGDE..VGDE..V... D99 E99 
2 2 0	.B....SB.C..SAACD.HHHGDE..VGDE..V..E D99 E98 
2 2 0	.B...ESB.C.ESAACDEHHHGD...VGD...V... D99 E99 
2 2 0	.B....SB.C.ESAACDEHHH.DE..VGD...VG.. D99 G99 
2 2 0	.B....SB.C..SAAC.EHHHGDE..VGDE..V.D. D98 E99 
2 2 0	.B....SB.C..SAAC..HHHGDE..VGDE..V.DE D98 E98 
2 2 0	.B...ESB.C.ESAAC.EHHHGD...VGD...V.D. D98 E99 
2 2 0	.B....SB.C.ESAAC.EHHH.DE..VGD...VGD. D98 G99 
2 2 0	.B..D.SB.CD.SAACDEHHHG.E..VG.E..V... D99 E99 
2 2 0	.B..D.SB.CD.SAACD.HHHG.E..VG.E..V..E D99 E98 
2 2 0	.B..DESB.CDESAACDEHHHG....VG....V... D99 E99 
2 2 0	.B..D.SB.CDESAACDEHHH..E..VG....VG.. D99 G99 
2 2 0	.B....SB.CD.SAACDEHHH.DE..VG.E..VG.. E99 G99 
2 2 0	.B....SB.CD.SAACD.HHH.DE..VG.E..VG.E E98 G99 
2 2 0	.B...ESB.CDESAACDEHHH.D...VG....VG.. E99 G99 
2 2 0	.B....SB..DESAACDEHHHCDE..VG....VG.. C99 G99 
2 2 0	.B....SB.CDESAACDE.HHHDE..VG....VG.. H99 G99 
3 3 0	SB.C..SB.C.E.AA.DEHHHGDE..VGD...V... S99 C99 D99 
3 3 0	SB.C..SB.C.E.AA..EHHHGDE..VGD...V.D. S99 C99 D98 
3 3 0	SB.CD.SB.CDE.AA.DEHHHG.E..VG....V... S99 C99 D99 
3 3 0	SB.C..SB.CD..AA.DEHHHGDE..VG.E..V... S99 C99 E99 
3 3 0	SB.C..SB.CD..AA.D.HHHGDE..VG.E..V..E S99 C99 E98 
3 3 0	SB.C.ESB.CDE.AA.DEHHHGD...VG....V... S99 C99 E99 
3 3 0	SB.C..SB.CDEAA..DEHHHGDE..VG....V... S99 C99 A99 
3 3 0	SB.C..SB.CDE..AADEHHHGDE..VG....V... S99 C99 A99 
3 3 0	SB.C..SB.CDE.AA.DEHHH.DE..VG....VG.. S99 C99 G99 
3 3 0	SB.C..SB.CDE.AAGDEHHHGDE..V.....V... S99 C99 G99 
3 3 0	SB....SB.C...AACDEHHHGDE..VGDE..V... S99 D99 E99 
3 3 0	SB....SB.C...AACD.HHHGDE..VGDE..V..E S99 D99 E98 
3 3 0	SB...ESB.C.E.AACDEHHHGD...VGD...V... S99 D99 E99 
3 3 0	SB....SB.C.EAA.CDEHHHGDE..VGD...V... S99 D99 A99 
3 3 0	SB....SB.C.E.AACDEHHH.DE..VGD...VG.. S99 D99 G99 
3 3 0	SB....SB.C...AAC.EHHHGDE..VGDE..V.D. S99 D98 E99 
3 3 0	SB....SB.C...AAC..HHHGDE..VGDE..V.DE S99 D98 E98 
3 3 0	SB...ESB.C.E.AAC.EHHHGD...VGD...V.D. S99 D98 E99 
3 3 0	SB....SB.C.EAA.C.EHHHGDE..VGD...V.D. S99 D98 A99 
3 3 0	SB....SB.C.E.AAC.EHHH.DE..VGD...VGD. S99 D98 G99 
3 3 0	SB..D.SB.CD..AACDEHHHG.E..VG.E..V... S99 D99 E99 
3 3 0	SB..D.SB.CD..AACD.HHHG.E..VG.E..V..E S99 D99 E98 
3 3 0	SB..DESB.CDE.AACDEHHHG....VG....V... S99 D99 E99 
3 3 0	SB..D.SB.CDEAA.CDEHHHG.E..VG....V... S99 D99 A99 
3 3 0	SB..D.SB.CDE.AACDEHHH..E..VG....VG.. S99 D99 G99 
3 3 0	SB....SB.CD.AA.CDEHHHGDE..VG.E..V... S99 E99 A99 
3 3 0	SB....SB.CD..AACDEHHH.DE..VG.E..VG.. S99 E99 G99 
3 3 0	SB....SB.CD.AA.CD.HHHGDE..VG.E..V..E S99 E98 A99 
3 3 0	SB....SB.CD..AACD.HHH.DE..VG.E..VG.E S99 E98 G99 
3 3 0	SB...ESB.CDEAA.CDEHHHGD...VG....V... S99 E99 A99 
3 3 0	SB...ESB.CDE.AACDEHHH.D...VG....VG.. S99 E99 G99 
3 3 0	SB....SB.CDEAA.CDEHHH.DE..VG....VG.. S99 A99 G99 
3 3 0	SB....SB..DE.AACDEHHHCDE..VG....VG.. S99 C99 G99 
3 3 0	SB....SB.CDE.AACDE.HHHDE..VG....VG.. S99 H99 G99 
3 3 0	.B.C..SB.C..SAA.DEHHHGDE..VGDE..V... C99 D99 E99 
3 3 0	.B.C..SB.C..SAA.D.HHHGDE..VGDE..V..E C99 D99 E98 
3 3 0	.B.C.ESB.C.ESAA.DEHHHGD...VGD...V... C99 D99 E99 
3 3 0	.B.C..SB.C.ES.AADEHHHGDE..VGD...V... C99 D99 A99 
3 3 0	.B.C..SB.C.ESAA.DEHHH.DE..VGD...VG.. C99 D99 G99 
3 3 0	.B.C..SB.C.ESAAGDEHHHGDE..V.D...V... C99 D99 G99 
3 3 0	.B.C..SB.C..SAA..EHHHGDE..VGDE..V.D. C99 D98 E99 
3 3 0	.B.C..SB.C..SAA...HHHGDE..VGDE..V.DE C99 D98 E98 
3 3 0	.B.C.ESB.C.ESAA..EHHHGD...VGD...V.D. C99 D98 E99 
