0 0 0	CHH..YC....YCFAADE.F..DE..RITTBBRI.. 
1 1 0	.HH..YC....YCFAADECF..DE..RITTBBRI.. C99 
1 1 0	.HH..Y.....YCFAADECF..DEC.RITTBBRI.. C98 
1 1 0	C.HH.YC....YCFAADE.F..DE..RITTBBRI.. H99 
1 1 0	C..HHYC....YCFAADE.F..DE..RITTBBRI.. H98 
1 1 0	CHH..YC....YC.AADE.F..DE.FRITTBBRI.. F99 
1 1 0	CHH..YCF...YCFAADE....DE..RITTBBRI.. F99 
1 1 0	CHH..YC...DYCFAADE.F...E..RITTBBRI.. D99 
1 1 0	CHH.DYC...DYCFAA.E.F...E..RITTBBRI.. D98 
1 1 0	CHH..YC....YCFAADE.FR.DE..RITTBB.I.. R99 
1 1 0	CHH..YC....YCFAADE.F.IDE..RITTBBR... I99 
2 2 0	HH...YC....YCFAADECF..DE..RITTBBRI.. H99 C99 
2 2 0	..HH.YC....YCFAADECF..DE..RITTBBRI.. C99 H99 
2 2 0	...HHYC....YCFAADECF..DE..RITTBBRI.. C99 H98 
2 2 0	.HH..YC....YC.AADECF..DE.FRITTBBRI.. C99 F99 
2 2 0	.HH..YCF...YCFAADEC...DE..RITTBBRI.. C99 F99 
2 2 0	.HH..YC...DYCFAADECF...E..RITTBBRI.. C99 D99 
2 2 0	.HH.DYC...DYCFAA.ECF...E..RITTBBRI.. C99 D98 
2 2 0	.HH..YC....YCFAADECFR.DE..RITTBB.I.. C99 R99 
2 2 0	.HH..YC....YCFAADECF.IDE..RITTBBR... C99 I99 
2 2 0	HH...Y.....YCFAADECF..DEC.RITTBBRI.. H99 C98 
2 2 0	..HH.Y.....YCFAADECF..DEC.RITTBBRI.. C98 H99 
2 2 0	...HHY.....YCFAADECF..DEC.RITTBBRI.. C98 H98 
2 2 0	.HH..Y.....YC.AADECF..DECFRITTBBRI.. C98 F99 
2 2 0	.HH..Y.F...YCFAADEC...DEC.RITTBBRI.. C98 F99 
2 2 0	.HH..Y....DYCFAADECF...EC.RITTBBRI.. C98 D99 
2 2 0	.HH.DY....DYCFAA.ECF...EC.RITTBBRI.. C98 D98 
2 2 0	.HH..Y.....YCFAADECFR.DEC.RITTBB.I.. C98 R99 
2 2 0	.HH..Y.....YCFAADECF.IDEC.RITTBBR... C98 I99 
2 2 0	C.HH.YC....YC.AADE.F..DE.FRITTBBRI.. H99 F99 
2 2 0	C.HH.YCF...YCFAADE....DE..RITTBBRI.. H99 F99 
2 2 0	CFHH.YCF...YC.AADE....DE..RITTBBRI.. H99 F98 
2 2 0	C.HH.YC...DYCFAADE.F...E..RITTBBRI.. H99 D99 
2 2 0	C.HHDYC...DYCFAA.E.F...E..RITTBBRI.. H99 D98 
2 2 0	C.HH.YC....YCFAADE.FR.DE..RITTBB.I.. H99 R99 
2 2 0	C.HH.YC....YCFAADE.F.IDE..RITTBBR... H99 I99 
2 2 0	C..HHYC....YC.AADE.F..DE.FRITTBBRI.. H98 F99 
2 2 0	C..HHYCF...YCFAADE....DE..RITTBBRI.. H98 F99 
2 2 0	CF.HHYCF...YC.AADE....DE..RITTBBRI.. H98 F98 
2 2 0	C..HHYC...DYCFAADE.F...E..RITTBBRI.. H98 D99 
2 2 0	C..HHYC....YCFAADE.FR.DE..RITTBB.I.. H98 R99 
2 2 0	C..HHYC....YCFAADE.F.IDE..RITTBBR... H98 I99 
2 2 0	CHH..YC....YCAA.DE.F..DE.FRITTBBRI.. F99 A99 
2 2 0	CHH..YC...DYC.AADE.F...E.FRITTBBRI.. F99 D99 
2 2 0	CHH.DYC...DYC.AA.E.F...E.FRITTBBRI.. F99 D98 
2 2 0	CHH..YC....YC.AADE.FR.DE.FRITTBB.I.. F99 R99 
2 2 0	CHH..YC....YC.AADE.F.IDE.FRITTBBR... F99 I99 
2 2 0	CHH..YCF..DYCFAADE.....E..RITTBBRI.. F99 D99 
2 2 0	CHH.DYCF..DYCFAA.E.....E..RITTBBRI.. F99 D98 
2 2 0	CHH..YCF...YCFAADE..R.DE..RITTBB.I.. F99 R99 
2 2 0	CHH..YCF...YCFAADE...IDE..RITTBBR... F99 I99 
2 2 0	CHH..YC...DYCFAADE.FR..E..RITTBB.I.. D99 R99 
2 2 0	CHH..YC...DYCFAADE.F.I.E..RITTBBR... D99 I99 
2 2 0	CHH.DYC...DYCF.AAE.F...E..RITTBBRI.. A99 D98 
2 2 0	CHH.DYC...DYCFAA.E.FR..E..RITTBB.I.. D98 R99 
2 2 0	CHH.DYC...DYCFAA.E.F.I.E..RITTBBR... D98 I99 
2 2 0	CHH..YC....YCFAADE.FRIDE..RITTBB.... R99 I99 
2 2 0	CHH..YC....YCFAADE.FR.DE..RITT.BBI.. R99 B99 
3 3 0	HH...YC....YC.AADECF..DE.FRITTBBRI.. H99 C99 F99 
3 3 0	HH...YCF...YCFAADEC...DE..RITTBBRI.. H99 C99 F99 
3 3 0	HH...YC...DYCFAADECF...E..RITTBBRI.. H99 C99 D99 
3 3 0	HH..DYC...DYCFAA.ECF...E..RITTBBRI.. H99 C99 D98 
3 3 0	HH...YC....YCFAADECFR.DE..RITTBB.I.. H99 C99 R99 
3 3 0	HH...YC....YCFAADECF.IDE..RITTBBR... H99 C99 I99 
3 3 0	..HH.YC....YC.AADECF..DE.FRITTBBRI.. C99 H99 F99 
3 3 0	..HH.YCF...YCFAADEC...DE..RITTBBRI.. C99 H99 F99 
3 3 0	.FHH.YCF...YC.AADEC...DE..RITTBBRI.. C99 H99 F98 
3 3 0	..HH.YC...DYCFAADECF...E..RITTBBRI.. C99 H99 D99 
3 3 0	..HHDYC...DYCFAA.ECF...E..RITTBBRI.. C99 H99 D98 
3 3 0	..HH.YC....YCFAADECFR.DE..RITTBB.I.. C99 H99 R99 
3 3 0	..HH.YC....YCFAADECF.IDE..RITTBBR... C99 H99 I99 
3 3 0	...HHYC....YC.AADECF..DE.FRITTBBRI.. C99 H98 F99 
3 3 0	...HHYCF...YCFAADEC...DE..RITTBBRI.. C99 H98 F99 
3 3 0	.F.HHYCF...YC.AADEC...DE..RITTBBRI.. C99 H98 F98 
3 3 0	...HHYC...DYCFAADECF...E..RITTBBRI.. C99 H98 D99 
3 3 0	...HHYC....YCFAADECFR.DE..RITTBB.I.. C99 H98 R99 
3 3 0	...HHYC....YCFAADECF.IDE..RITTBBR... C99 H98 I99 
3 3 0	.HH..YC....YCAA.DECF..DE.FRITTBBRI.. C99 F99 A99 
3 3 0	.HH..YC...DYC.AADECF...E.FRITTBBRI.. C99 F99 D99 
3 3 0	.HH.DYC...DYC.AA.ECF...E.FRITTBBRI.. C99 F99 D98 
3 3 0	.HH..YC....YC.AADECFR.DE.FRITTBB.I.. C99 F99 R99 
3 3 0	.HH..YC....YC.AADECF.IDE.FRITTBBR... C99 F99 I99 
3 3 0	.HH..YCF..DYCFAADEC....E..RITTBBRI.. C99 F99 D99 
3 3 0	.HH.DYCF..DYCFAA.EC....E..RITTBBRI.. C99 F99 D98 
3 3 0	.HH..YCF...YCFAADEC.R.DE..RITTBB.I.. C99 F99 R99 
3 3 0	.HH..YCF...YCFAADEC..IDE..RITTBBR... C99 F99 I99 
3 3 0	.HH..YC...DYCFAADECFR..E..RITTBB.I.. C99 D99 R99 
3 3 0	.HH..YC...DYCFAADECF.I.E..RITTBBR... C99 D99 I99 
3 3 0	.HH.DYC...DYCF.AAECF...E..RITTBBRI.. C99 A99 D98 
3 3 0	.HH.DYC...DYCFAA.ECFR..E..RITTBB.I.. C99 D98 R99 
3 3 0	.HH.DYC...DYCFAA.ECF.I.E..RITTBBR... C99 D98 I99 
3 3 0	.HH..YC....YCFAADECFRIDE..RITTBB.... C99 R99 I99 
3 3 0	.HH..YC....YCFAADECFR.DE..RITT.BBI.. C99 R99 B99 
3 3 0	HH...Y.....YC.AADECF..DECFRITTBBRI.. H99 C98 F99 
3 3 0	HH...Y.F...YCFAADEC...DEC.RITTBBRI.. H99 C98 F99 
3 3 0	HH...Y....DYCFAADECF...EC.RITTBBRI.. H99 C98 D99 
3 3 0	HH..DY....DYCFAA.ECF...EC.RITTBBRI.. H99 C98 D98 
3 3 0	HH...Y.....YCFAADECFR.DEC.RITTBB.I.. H99 C98 R99 
3 3 0	HH...Y.....YCFAADECF.IDEC.RITTBBR... H99 C98 I99 
3 3 0	..HH.Y.....YC.AADECF..DECFRITTBBRI.. C98 H99 F99 
3 3 0	..HH.Y.F...YCFAADEC...DEC.RITTBBRI.. C98 H99 F99 
3 3 0	.FHH.Y.F...YC.AADEC...DEC.RITTBBRI.. C98 H99 F98 
3 3 0	..HH.Y....DYCFAADECF...EC.RITTBBRI.. C98 H99 D99 
3 3 0	..HHDY....DYCFAA.ECF...EC.RITTBBRI.. C98 H99 D98 
3 3 0	..HH.Y.....YCFAADECFR.DEC.RITTBB.I.. C98 H99 R99 
3 3 0	..HH.Y.....YCFAADECF.IDEC.RITTBBR... C98 H99 I99 
3 3 0	...HHY.....YC.AADECF..DECFRITTBBRI.. C98 H98 F99 
3 3 0	...HHY.F...YCFAADEC...DEC.RITTBBRI.. C98 H98 F99 
3 3 0	.F.HHY.F...YC.AADEC...DEC.RITTBBRI.. C98 H98 F98 
3 3 0	...HHY....DYCFAADECF...EC.RITTBBRI.. C98 H98 D99 
3 3 0	...HHY.....YCFAADECFR.DEC.RITTBB.I.. C98 H98 R99 
3 3 0	...HHY.....YCFAADECF.IDEC.RITTBBR... C98 H98 I99 
3 3 0	.HH..Y.....YCAA.DECF..DECFRITTBBRI.. C98 F99 A99 
3 3 0	.HH..Y....DYC.AADECF...ECFRITTBBRI.. C98 F99 D99 
3 3 0	.HH.DY....DYC.AA.ECF...ECFRITTBBRI.. C98 F99 D98 
3 3 0	.HH..Y.....YC.AADECFR.DECFRITTBB.I.. C98 F99 R99 
3 3 0	.HH..Y.....YC.AADECF.IDECFRITTBBR... C98 F99 I99 
3 3 0	.HH..Y.F..DYCFAADEC....EC.RITTBBRI.. C98 F99 D99 
3 3 0	.HH.DY.F..DYCFAA.EC....EC.RITTBBRI.. C98 F99 D98 
3 3 0	.HH..Y.F...YCFAADEC.R.DEC.RITTBB.I.. C98 F99 R99 
3 3 0	.HH..Y.F...YCFAADEC..IDEC.RITTBBR... C98 F99 I99 
3 3 0	.HH..Y....DYCFAADECFR..EC.RITTBB.I.. C98 D99 R99 
3 3 0	.HH..Y....DYCFAADECF.I.EC.RITTBBR... C98 D99 I99 
3 3 0	.HH.DY....DYCF.AAECF...EC.RITTBBRI.. C98 A99 D98 
3 3 0	.HH.DY....DYCFAA.ECFR..EC.RITTBB.I.. C98 D98 R99 
3 3 0	.HH.DY....DYCFAA.ECF.I.EC.RITTBBR... C98 D98 I99 
3 3 0	.HH..Y.....YCFAADECFRIDEC.RITTBB.... C98 R99 I99 
3 3 0	.HH..Y.....YCFAADECFR.DEC.RITT.BBI.. C98 R99 B99 
3 3 0	C.HH.YC....YCAA.DE.F..DE.FRITTBBRI.. H99 F99 A99 
3 3 0	C.HH.YC...DYC.AADE.F...E.FRITTBBRI.. H99 F99 D99 
3 3 0	C.HHDYC...DYC.AA.E.F...E.FRITTBBRI.. H99 F99 D98 
3 3 0	C.HH.YC....YC.AADE.FR.DE.FRITTBB.I.. H99 F99 R99 
3 3 0	C.HH.YC....YC.AADE.F.IDE.FRITTBBR... H99 F99 I99 
3 3 0	C.HH.YCF..DYCFAADE.....E..RITTBBRI.. H99 F99 D99 
3 3 0	C.HHDYCF..DYCFAA.E.....E..RITTBBRI.. H99 F99 D98 
3 3 0	C.HH.YCF...YCFAADE..R.DE..RITTBB.I.. H99 F99 R99 
3 3 0	C.HH.YCF...YCFAADE...IDE..RITTBBR... H99 F99 I99 
3 3 0	CFHH.YCF...YCAA.DE....DE..RITTBBRI.. H99 F98 A99 
3 3 0	CFHH.YCF..DYC.AADE.....E..RITTBBRI.. H99 F98 D99 
3 3 0	CFHHDYCF..DYC.AA.E.....E..RITTBBRI.. H99 F98 D98 
3 3 0	CFHH.YCF...YC.AADE..R.DE..RITTBB.I.. H99 F98 R99 
3 3 0	CFHH.YCF...YC.AADE...IDE..RITTBBR... H99 F98 I99 
3 3 0	C.HH.YC...DYCFAADE.FR..E..RITTBB.I.. H99 D99 R99 
3 3 0	C.HH.YC...DYCFAADE.F.I.E..RITTBBR... H99 D99 I99 
3 3 0	C.HHDYC...DYCF.AAE.F...E..RITTBBRI.. H99 A99 D98 
3 3 0	C.HHDYC...DYCFAA.E.FR..E..RITTBB.I.. H99 D98 R99 
3 3 0	C.HHDYC...DYCFAA.E.F.I.E..RITTBBR... H99 D98 I99 
3 3 0	C.HH.YC....YCFAADE.FRIDE..RITTBB.... H99 R99 I99 
3 3 0	C.HH.YC....YCFAADE.FR.DE..RITT.BBI.. H99 R99 B99 
3 3 0	C..HHYC....YCAA.DE.F..DE.FRITTBBRI.. H98 F99 A99 
3 3 0	C..HHYC...DYC.AADE.F...E.FRITTBBRI.. H98 F99 D99 
3 3 0	C..HHYC....YC.AADE.FR.DE.FRITTBB.I.. H98 F99 R99 
3 3 0	C..HHYC....YC.AADE.F.IDE.FRITTBBR... H98 F99 I99 
3 3 0	C..HHYCF..DYCFAADE.....E..RITTBBRI.. H98 F99 D99 
3 3 0	C..HHYCF...YCFAADE..R.DE..RITTBB.I.. H98 F99 R99 
3 3 0	C..HHYCF...YCFAADE...IDE..RITTBBR... H98 F99 I99 
3 3 0	CF.HHYCF...YCAA.DE....DE..RITTBBRI.. H98 F98 A99 
3 3 0	CF.HHYCF..DYC.AADE.....E..RITTBBRI.. H98 F98 D99 
3 3 0	CF.HHYCF...YC.AADE..R.DE..RITTBB.I.. H98 F98 R99 
3 3 0	CF.HHYCF...YC.AADE...IDE..RITTBBR... H98 F98 I99 
3 3 0	C..HHYC...DYCFAADE.FR..E..RITTBB.I.. H98 D99 R99 
3 3 0	C..HHYC...DYCFAADE.F.I.E..RITTBBR... H98 D99 I99 
3 3 0	C..HHYC....YCFAADE.FRIDE..RITTBB.... H98 R99 I99 
3 3 0	C..HHYC....YCFAADE.FR.DE..RITT.BBI.. H98 R99 B99 
3 3 0	CHH..YC...DYCAA.DE.F...E.FRITTBBRI.. F99 A99 D99 
3 3 0	CHH.DYC...DYCAA..E.F...E.FRITTBBRI.. F99 A99 D98 
3 3 0	CHH..YC....YCAA.DE.FR.DE.FRITTBB.I.. F99 A99 R99 
3 3 0	CHH..YC....YCAA.DE.F.IDE.FRITTBBR... F99 A99 I99 
3 3 0	CHH..YC....YCAAIDE.F.IDE.FR.TTBBR... F99 A99 I98 
3 3 0	CHH..YC..I.YCAAIDE.F..DE.FR.TTBBR... F99 A99 I97 
3 3 0	CHHI.YC..I.YCAA.DE.F..DE.FR.TTBBR... F99 A99 I96 
3 3 0	CHH..YC...DYC.AADE.FR..E.FRITTBB.I.. F99 D99 R99 
3 3 0	CHH..YC...DYC.AADE.F.I.E.FRITTBBR... F99 D99 I99 
3 3 0	CHH.DYC...DYC..AAE.F...E.FRITTBBRI.. F99 A99 D98 
3 3 0	CHH.DYC...DYC.AA.E.FR..E.FRITTBB.I.. F99 D98 R99 
3 3 0	CHH.DYC...DYC.AA.E.F.I.E.FRITTBBR... F99 D98 I99 
3 3 0	CHH..YC....YC.AADE.FRIDE.FRITTBB.... F99 R99 I99 
3 3 0	CHH..YC....YC.AADE.FR.DE.FRITT.BBI.. F99 R99 B99 
3 3 0	CHH..YCF..DYCFAADE..R..E..RITTBB.I.. F99 D99 R99 
3 3 0	CHH..YCF..DYCFAADE...I.E..RITTBBR... F99 D99 I99 
3 3 0	CHH.DYCF..DYCF.AAE.....E..RITTBBRI.. F99 A99 D98 
3 3 0	CHH.DYCF..DYCFAA.E..R..E..RITTBB.I.. F99 D98 R99 
3 3 0	CHH.DYCF..DYCFAA.E...I.E..RITTBBR... F99 D98 I99 
3 3 0	CHH..YCF...YCFAADE..RIDE..RITTBB.... F99 R99 I99 
3 3 0	CHH..YCF...YCFAADE..R.DE..RITT.BBI.. F99 R99 B99 
3 3 0	CHH..YC...DYCFAADE.FRI.E..RITTBB.... D99 R99 I99 
3 3 0	CHH..YC...DYCFAADE.FR..E..RITT.BBI.. D99 R99 B99 
3 3 0	CHH.DYC...DYCF.AAE.FR..E..RITTBB.I.. A99 D98 R99 
3 3 0	CHH.DYC...DYCFRAAE.FR..E...ITTBB.I.. A99 D98 R98 
3 3 0	CHH.DYC.R.DYCFRAAE.F...E...ITTBB.I.. A99 D98 R97 
3 3 0	CHH.DYC...DYCF.AAE.F.I.E..RITTBBR... A99 D98 I99 
3 3 0	CHH.DYC...DYCFAA.E.FRI.E..RITTBB.... D98 R99 I99 
3 3 0	CHH.DYC...DYCFAA.E.FR..E..RITT.BBI.. D98 R99 B99 
3 3 0	CHH..YC....YCFAADE.FRIDE..RITT.BB... R99 I99 B99 
3 3 0	CHH..YC....YCFAADE.FRIDE..RITT..BB.. R99 I99 B98 
3 3 0	CHH..YC....YCFAADE.FRIDE..RITT...BB. R99 I99 B97 
3 3 0	CHH..YC....YCFAADE.FRIDE..RITT....BB R99 I99 B96 
3 3 0	.HH..Y.....Y.FAADECFR.DEC.RITTCBBI.. C97 R99 B99 
4 4 0	HH...YC....YCAA.DECF..DE.FRITTBBRI.. H99 C99 F99 A99 
4 4 0	HH...YC...DYC.AADECF...E.FRITTBBRI.. H99 C99 F99 D99 
4 4 0	HH..DYC...DYC.AA.ECF...E.FRITTBBRI.. H99 C99 F99 D98 
4 4 0	HH...YC....YC.AADECFR.DE.FRITTBB.I.. H99 C99 F99 R99 
4 4 0	HH...YC....YC.AADECF.IDE.FRITTBBR... H99 C99 F99 I99 
4 4 0	HH...YCF..DYCFAADEC....E..RITTBBRI.. H99 C99 F99 D99 
4 4 0	HH..DYCF..DYCFAA.EC....E..RITTBBRI.. H99 C99 F99 D98 
4 4 0	HH...YCF...YCFAADEC.R.DE..RITTBB.I.. H99 C99 F99 R99 
4 4 0	HH...YCF...YCFAADEC..IDE..RITTBBR... H99 C99 F99 I99 
4 4 0	HH...YC...DYCFAADECFR..E..RITTBB.I.. H99 C99 D99 R99 
4 4 0	HH...YC...DYCFAADECF.I.E..RITTBBR... H99 C99 D99 I99 
4 4 0	HH..DYC...DYCF.AAECF...E..RITTBBRI.. H99 C99 A99 D98 
4 4 0	HH..DYC...DYCFAA.ECFR..E..RITTBB.I.. H99 C99 D98 R99 
4 4 0	HH..DYC...DYCFAA.ECF.I.E..RITTBBR... H99 C99 D98 I99 
4 4 0	HH...YC....YCFAADECFRIDE..RITTBB.... H99 C99 R99 I99 
4 4 0	HH...YC....YCFAADECFR.DE..RITT.BBI.. H99 C99 R99 B99 
4 4 0	..HH.YC....YCAA.DECF..DE.FRITTBBRI.. C99 H99 F99 A99 
4 4 0	..HH.YC...DYC.AADECF...E.FRITTBBRI.. C99 H99 F99 D99 
4 4 0	..HHDYC...DYC.AA.ECF...E.FRITTBBRI.. C99 H99 F99 D98 
4 4 0	..HH.YC....YC.AADECFR.DE.FRITTBB.I.. C99 H99 F99 R99 
