0 0 0	JJJ.PSFF..PSHAADPUH.NDLUBINDLOBINGGO 
1 1 0	.JJJPSFF..PSHAADPUH.NDLUBINDLOBINGGO J99 
1 1 0	JJJ.PS.FF.PSHAADPUH.NDLUBINDLOBINGGO F99 
1 1 0	JJJ.PS..FFPSHAADPUH.NDLUBINDLOBINGGO F98 
1 1 0	JJJ.PSFF.DPSHAADPUH.NDLUBIN.LOBINGGO D99 
1 1 0	JJJDPSFF.DPSHAADPUH.N.LUBIN.LOBINGGO D98 
1 1 0	JJJ.PSFF..PSHAADPUHINDLUBINDLOB.NGGO I99 
2 2 0	.JJJPS.FF.PSHAADPUH.NDLUBINDLOBINGGO J99 F99 
2 2 0	.JJJPS..FFPSHAADPUH.NDLUBINDLOBINGGO J99 F98 
2 2 0	.JJJPSFF.DPSHAADPUH.NDLUBIN.LOBINGGO J99 D99 
2 2 0	.JJJPSFF..PSHAADPUHINDLUBINDLOB.NGGO J99 I99 
2 2 0	JJJ.PSHFF.PSHAADPU..NDLUBINDLOBINGGO F99 H99 
2 2 0	JJJ.PS.FFDPSHAADPUH.NDLUBIN.LOBINGGO F99 D99 
2 2 0	JJJDPS.FFDPSHAADPUH.N.LUBIN.LOBINGGO F99 D98 
2 2 0	JJJ.PS.FF.PSHAADPUHINDLUBINDLOB.NGGO F99 I99 
2 2 0	JJJ.PSH.FFPSHAADPU..NDLUBINDLOBINGGO F98 H99 
2 2 0	JJJ.PS..FFPSHAADPUHINDLUBINDLOB.NGGO F98 I99 
2 2 0	JJJ.PSFF.DPSHAADPUHINDLUBIN.LOB.NGGO D99 I99 
2 2 0	JJJDPSFF.DPSHAADPUHIN.LUBIN.LOB.NGGO D98 I99 
3 3 0	.JJJPSHFF.PSHAADPU..NDLUBINDLOBINGGO J99 F99 H99 
3 3 0	HJJJPSHFF.PS.AADPU..NDLUBINDLOBINGGO J99 F99 H98 
3 3 0	.JJJPS.FFDPSHAADPUH.NDLUBIN.LOBINGGO J99 F99 D99 
3 3 0	.JJJPS.FF.PSHAADPUHINDLUBINDLOB.NGGO J99 F99 I99 
3 3 0	.JJJPSH.FFPSHAADPU..NDLUBINDLOBINGGO J99 F98 H99 
3 3 0	HJJJPSH.FFPS.AADPU..NDLUBINDLOBINGGO J99 F98 H98 
3 3 0	.JJJPS..FFPSHAADPUHINDLUBINDLOB.NGGO J99 F98 I99 
3 3 0	.JJJPSFF.DPSHAADPUHINDLUBIN.LOB.NGGO J99 D99 I99 
3 3 0	JJJ.PSHFFDPSHAADPU..NDLUBIN.LOBINGGO F99 H99 D99 
3 3 0	JJJDPSHFFDPSHAADPU..N.LUBIN.LOBINGGO F99 H99 D98 
3 3 0	JJJ.PSHFF.PSHAADPUB.NDLUBINDLO.INGGO F99 H99 B99 
3 3 0	JJJ.PSHFF.PSHAADPU.INDLUBINDLOB.NGGO F99 H99 I99 
3 3 0	JJJ.PS.FFDPSHAADPUHINDLUBIN.LOB.NGGO F99 D99 I99 
3 3 0	JJJDPS.FFDPSHAADPUHIN.LUBIN.LOB.NGGO F99 D98 I99 
3 3 0	JJJ.PSH.FFPSHAADPUB.NDLUBINDLO.INGGO F98 H99 B99 
3 3 0	JJJ.PSH.FFPSHAADPU.INDLUBINDLOB.NGGO F98 H99 I99 
4 4 0	.JJJPSHFFDPSHAADPU..NDLUBIN.LOBINGGO J99 F99 H99 D99 
4 4 0	.JJJPSHFF.PSHAADPUB.NDLUBINDLO.INGGO J99 F99 H99 B99 
4 4 0	.JJJPSHFF.PSHAADPU.INDLUBINDLOB.NGGO J99 F99 H99 I99 
4 4 0	HJJJPSHFF.PSAA.DPU..NDLUBINDLOBINGGO J99 F99 H98 A99 
4 4 0	HJJJPSHFFDPS.AADPU..NDLUBIN.LOBINGGO J99 F99 H98 D99 
4 4 0	HJJJPSHFF.PS.AADPUB.NDLUBINDLO.INGGO J99 F99 H98 B99 
4 4 0	HJJJPSHFF.PSBAADPUB.NDLU.INDLO.INGGO J99 F99 H98 B98 
4 4 0	HJJJPSHFF.PS.AADPU.INDLUBINDLOB.NGGO J99 F99 H98 I99 
4 4 0	.JJJPS.FFDPSHAADPUHINDLUBIN.LOB.NGGO J99 F99 D99 I99 
4 4 0	.JJJPSH.FFPSHAADPUB.NDLUBINDLO.INGGO J99 F98 H99 B99 
4 4 0	.JJJPSH.FFPSHAADPU.INDLUBINDLOB.NGGO J99 F98 H99 I99 
4 4 0	HJJJPSH.FFPSAA.DPU..NDLUBINDLOBINGGO J99 F98 H98 A99 
4 4 0	HJJJPSH.FFPS.AADPUB.NDLUBINDLO.INGGO J99 F98 H98 B99 
4 4 0	HJJJPSH.FFPSBAADPUB.NDLU.INDLO.INGGO J99 F98 H98 B98 
