0 0 0	...BYYGGGBS..AACSTF..C.TF..CPPF.DD.. 
1 1 0	...BYYGGGB...AACSTF..CSTF..CPPF.DD.. S99 
1 1 0	...BYYGGGBS.AA.CSTF..C.TF..CPPF.DD.. A99 
1 1 0	...BYYGGGBST.AACSTF..C..F..CPPF.DD.. T99 
1 1 0	...BYYGGGBS.FAACSTF..C.TF..CPP..DD.. F99 
1 1 0	...BYYGGGBS..AACSTF..C.TF..CPPFDD... D99 
1 1 0	...BYYGGGBS..AACSTF..C.TF..CPPF..DD. D99 
1 1 0	...BYYGGGBS..AACSTF..C.TF..CPPF...DD D98 
2 2 0	...BYYGGGB..AA.CSTF..CSTF..CPPF.DD.. S99 A99 
2 2 0	...BYYGGGB.T.AACSTF..CS.F..CPPF.DD.. S99 T99 
2 2 0	...BYYGGGB..FAACSTF..CSTF..CPP..DD.. S99 F99 
2 2 0	...BYYGGGB...AACSTF..CSTF..CPPFDD... S99 D99 
2 2 0	...BYYGGGB...AACSTF..CSTF..CPPF..DD. S99 D99 
2 2 0	...BYYGGGB...AACSTF..CSTF..CPPF...DD S99 D98 
2 2 0	...BYYGGGBSTAA.CSTF..C..F..CPPF.DD.. A99 T99 
2 2 0	...BYYGGGBS.AA.CSTF..C.TF..CPPFDD... A99 D99 
2 2 0	...BYYGGGBS.AA.CSTF..C.TF..CPPF..DD. A99 D99 
2 2 0	...BYYGGGBS.AA.CSTF..C.TF..CPPF...DD A99 D98 
2 2 0	...BYYGGGBSTFAACSTF..C..F..CPP..DD.. T99 F99 
2 2 0	...BYYGGGBST.AACSTF..C..F..CPPFDD... T99 D99 
2 2 0	...BYYGGGBST.AACSTF..C..F..CPPF..DD. T99 D99 
2 2 0	...BYYGGGBST.AACSTF..C..F..CPPF...DD T99 D98 
2 2 0	...BYYGGGBS.FAACSTF..C.TF..CPP.DD... F99 D99 
2 2 0	...BYYGGGBS.FAACSTF..C.TF..CPPDD.... F99 D98 
2 2 0	...BYYGGGBS.FAACSTF..C.TF..CPP...DD. F99 D99 
2 2 0	...BYYGGGBS.FAACSTF..C.TF..CPP....DD F99 D98 
2 2 0	...BYYGGGBS..AA.STF..C.TF..CPPFDDC.. C99 D99 
2 2 0	...BYYGGGBS..AA.STF..C.TF..CPPF..CDD C99 D98 
3 3 0	...BYYGGGB.TAA.CSTF..CS.F..CPPF.DD.. S99 A99 T99 
3 3 0	...BYYGGGB..AA.CSTF..CSTF..CPPFDD... S99 A99 D99 
3 3 0	...BYYGGGB..AA.CSTF..CSTF..CPPF..DD. S99 A99 D99 
3 3 0	...BYYGGGB..AA.CSTF..CSTF..CPPF...DD S99 A99 D98 
3 3 0	...BYYGGGB.TFAACSTF..CS.F..CPP..DD.. S99 T99 F99 
3 3 0	...BYYGGGB.T.AACSTF..CS.F..CPPFDD... S99 T99 D99 
3 3 0	...BYYGGGB.T.AACSTF..CS.F..CPPF..DD. S99 T99 D99 
3 3 0	...BYYGGGB.T.AACSTF..CS.F..CPPF...DD S99 T99 D98 
3 3 0	...BYYGGGB..FAACSTF..CSTF..CPP.DD... S99 F99 D99 
3 3 0	...BYYGGGB..FAACSTF..CSTF..CPPDD.... S99 F99 D98 
3 3 0	...BYYGGGB..FAACSTF..CSTF..CPP...DD. S99 F99 D99 
3 3 0	...BYYGGGB..FAACSTF..CSTF..CPP....DD S99 F99 D98 
