0 0 0	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.DEE. 
1 1 0	CC.BBBHH.FL..AAFLY...FLYG.DUU.G.DEE. C99 
1 1 0	.CCBBB.HHFL..AAFLY...FLYG.DUU.G.DEE. H99 
1 1 0	.CCBBBHH.FL.AA.FLY...FLYG.DUU.G.DEE. A99 
1 1 0	.CCBBBHH.FL..AAFL....FLYG.DUUYG.DEE. Y99 
1 1 0	.CCBBBHH.FL..AAFL....FL.G.DUUYG.DEEY Y98 
1 1 0	.CCBBBHH.FLY.AAFLY...FL.G.DUU.G.DEE. Y99 
1 1 0	.CCBBBHH.FL..AAFLYG..FLYG.DUU...DEE. G99 
1 1 0	.CCBBBHH.FL.GAAFLYG..FLY..DUU...DEE. G98 
1 1 0	.CCBBBHH.FL..AAFLY..DFLYG.DUU.G..EE. D99 
1 1 0	.CCBBBHH.FL..AAFLY...FLYG.D.UUG.DEE. U99 
1 1 0	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.D.EE E99 
2 2 0	CCBBB.HH.FL..AAFLY...FLYG.DUU.G.DEE. C99 B99 
2 2 0	CC.BBB.HHFL..AAFLY...FLYG.DUU.G.DEE. C99 H99 
2 2 0	CC.BBBHH.FL.AA.FLY...FLYG.DUU.G.DEE. C99 A99 
2 2 0	CC.BBBHH.FL..AAFL....FLYG.DUUYG.DEE. C99 Y99 
2 2 0	CC.BBBHH.FL..AAFL....FL.G.DUUYG.DEEY C99 Y98 
2 2 0	CC.BBBHH.FLY.AAFLY...FL.G.DUU.G.DEE. C99 Y99 
2 2 0	CC.BBBHH.FL..AAFLYG..FLYG.DUU...DEE. C99 G99 
2 2 0	CC.BBBHH.FL.GAAFLYG..FLY..DUU...DEE. C99 G98 
2 2 0	CC.BBBHH.FL..AAFLY..DFLYG.DUU.G..EE. C99 D99 
2 2 0	CC.BBBHH.FL..AAFLY...FLYG.D.UUG.DEE. C99 U99 
2 2 0	CC.BBBHH.FL..AAFLY...FLYG.DUU.G.D.EE C99 E99 
2 2 0	.CCBBB.HHFL.AA.FLY...FLYG.DUU.G.DEE. H99 A99 
2 2 0	.CCBBB.HHFL..AAFL....FLYG.DUUYG.DEE. H99 Y99 
2 2 0	.CCBBB.HHFL..AAFL....FL.G.DUUYG.DEEY H99 Y98 
2 2 0	.CCBBB.HHFLY.AAFLY...FL.G.DUU.G.DEE. H99 Y99 
2 2 0	.CCBBB.HHFL..AAFLYG..FLYG.DUU...DEE. H99 G99 
2 2 0	.CCBBB.HHFL.GAAFLYG..FLY..DUU...DEE. H99 G98 
2 2 0	.CCBBBGHHFL.GAAFLY...FLY..DUU...DEE. H99 G97 
2 2 0	GCCBBBGHHFL..AAFLY...FLY..DUU...DEE. H99 G96 
2 2 0	.CCBBB.HHFL..AAFLY..DFLYG.DUU.G..EE. H99 D99 
2 2 0	.CCBBB.HHFL..AAFLY...FLYG.D.UUG.DEE. H99 U99 
