0 0 0	.OOTT.YIIIP.YAA.P.MCCHH.MUUU.L.KKEEL 
1 1 0	OO.TT.YIIIP.YAA.P.MCCHH.MUUU.L.KKEEL O99 
1 1 0	.OO.TTYIIIP.YAA.P.MCCHH.MUUU.L.KKEEL T99 
1 1 0	YOOTT.YIIIP..AA.P.MCCHH.MUUU.L.KKEEL Y99 
1 1 0	.OOTT.YIIIP.Y.AAP.MCCHH.MUUU.L.KKEEL A99 
1 1 0	.OOTT.YIIIP.YAA.P..CCHH.MUUU.LMKKEEL M99 
1 1 0	.OOTT.YIIIP.YAA.P.MCC.HHMUUU.L.KKEEL H99 
1 1 0	.OOTT.YIIIP.YAA.P.MCCHH.M.UUUL.KKEEL U99 
1 1 0	.OOTT.YIIIP.YAA.P.MCCHHLMUUU.L.KKEE. L99 
1 1 0	.OOTT.YIIIP.YAA.PLMCCHHLMUUU...KKEE. L98 
1 1 0	.OOTT.YIIIPLYAA.PLMCCHH.MUUU...KKEE. L97 
1 1 0	.OOTTLYIIIPLYAA.P.MCCHH.MUUU...KKEE. L96 
1 1 0	.OOTT.YIIIP.YAA.P.MCCHH.MUUU.LKK.EEL K99 
2 2 0	OOTT..YIIIP.YAA.P.MCCHH.MUUU.L.KKEEL O99 T99 
2 2 0	OO..TTYIIIP.YAA.P.MCCHH.MUUU.L.KKEEL O99 T99 
2 2 0	OO.TT.YIIIP.Y.AAP.MCCHH.MUUU.L.KKEEL O99 A99 
2 2 0	OO.TT.YIIIP.YAA.P..CCHH.MUUU.LMKKEEL O99 M99 
2 2 0	OO.TT.YIIIP.YAA.P.MCC.HHMUUU.L.KKEEL O99 H99 
2 2 0	OO.TT.YIIIP.YAA.P.MCCHH.M.UUUL.KKEEL O99 U99 
2 2 0	OO.TT.YIIIP.YAA.P.MCCHHLMUUU.L.KKEE. O99 L99 
2 2 0	OO.TT.YIIIP.YAA.PLMCCHHLMUUU...KKEE. O99 L98 
2 2 0	OO.TT.YIIIPLYAA.PLMCCHH.MUUU...KKEE. O99 L97 
2 2 0	OO.TTLYIIIPLYAA.P.MCCHH.MUUU...KKEE. O99 L96 
2 2 0	OO.TT.YIIIP.YAA.P.MCCHH.MUUU.LKK.EEL O99 K99 
2 2 0	..OOTTYIIIP.YAA.P.MCCHH.MUUU.L.KKEEL O99 T99 
2 2 0	YOO.TTYIIIP..AA.P.MCCHH.MUUU.L.KKEEL T99 Y99 
2 2 0	.OO.TTYIIIP.Y.AAP.MCCHH.MUUU.L.KKEEL T99 A99 
2 2 0	.OO.TTYIIIP.YAA.P..CCHH.MUUU.LMKKEEL T99 M99 
2 2 0	.OO.TTYIIIP.YAA.P.MCC.HHMUUU.L.KKEEL T99 H99 
2 2 0	.OO.TTYIIIP.YAA.P.MCCHH.M.UUUL.KKEEL T99 U99 
2 2 0	.OO.TTYIIIP.YAA.P.MCCHHLMUUU.L.KKEE. T99 L99 
2 2 0	.OO.TTYIIIP.YAA.PLMCCHHLMUUU...KKEE. T99 L98 
