0 0 0	FFFTTT....YOAAGHYO..GH........DDD... 
1 1 0	FFFTTT.....OAAGHYO..GHY.......DDD... Y99 
1 1 0	FFFTTT.....OAAGH.O..GHY.....Y.DDD... Y98 
1 1 0	FFFTTT.....OAAGH.O..GH......Y.DDD.Y. Y97 
1 1 0	FFFTTT....Y.AAGHYO..GH.O......DDD... O99 
1 1 0	FFFTTT....Y.AAGHY...GH.O.....ODDD... O98 
1 1 0	FFFTTT....Y.AAGHY...GH.......ODDD..O O97 
1 1 0	FFFTTT....YOAA.HYO..GH....G...DDD... G99 
1 1 0	FFFTTT..G.YOAAGHYO...H........DDD... G99 
1 1 0	FFFTTT....YOAAG.YO..GH.....H..DDD... H99 
1 1 0	FFFTTT....YOAAG.YO..G......H..DDDH.. H98 
1 1 0	FFFTTT...HYOAAGHYO..G.........DDD... H99 
1 1 0	FFFTTT....YOAAGHYO..GH.........DDD.. D99 
1 1 0	FFFTTT....YOAAGHYO..GH..........DDD. D98 
1 1 0	FFFTTT....YOAAGHYO..GH...........DDD D97 
2 2 0	FFFTTT......AAGHYO..GHYO......DDD... Y99 O99 
2 2 0	FFFTTT......AAGHY...GHYO.....ODDD... Y99 O98 
2 2 0	FFFTTT......AAGHY...GHY......ODDD..O Y99 O97 
2 2 0	FFFTTT.....OAA.HYO..GHY...G...DDD... Y99 G99 
2 2 0	FFFTTT..G..OAAGHYO...HY.......DDD... Y99 G99 
2 2 0	FFFTTT.....OAAG.YO..GHY....H..DDD... Y99 H99 
2 2 0	FFFTTT.....OAAG.YO..G.Y....H..DDDH.. Y99 H98 
2 2 0	FFFTTT...H.OAAGHYO..G.Y.......DDD... Y99 H99 
2 2 0	FFFTTT.....OAAGHYO..GHY........DDD.. Y99 D99 
2 2 0	FFFTTT.....OAAGHYO..GHY.........DDD. Y99 D98 
2 2 0	FFFTTT.....OAAGHYO..GHY..........DDD Y99 D97 
2 2 0	FFFTTT......AAGH.O..GHYO....Y.DDD... Y98 O99 
2 2 0	FFFTTT......AAGH....GHYO....YODDD... Y98 O98 
2 2 0	FFFTTT......AAGH....GHY.....YODDD..O Y98 O97 
2 2 0	FFFTTT.....OAA.H.O..GHY...G.Y.DDD... Y98 G99 
2 2 0	FFFTTT..G..OAAGH.O...HY.....Y.DDD... Y98 G99 
2 2 0	FFFTTT.....OAAG..O..GHY....HY.DDD... Y98 H99 
2 2 0	FFFTTT.....OAAG..O..G.Y....HY.DDDH.. Y98 H98 
2 2 0	FFFTTT...H.OAAGH.O..G.Y.....Y.DDD... Y98 H99 
2 2 0	FFFTTT.....OAAGH.O..GHY.....Y..DDD.. Y98 D99 
2 2 0	FFFTTT.....OAAGH.O..GHY.....Y...DDD. Y98 D98 
2 2 0	FFFTTT.....OAAGH.O..GHY.....Y....DDD Y98 D97 
2 2 0	FFFTTT......AAGH.O..GH.O....Y.DDD.Y. Y97 O99 
2 2 0	FFFTTT......AAGH....GH.O....YODDD.Y. Y97 O98 
2 2 0	FFFTTT......AAGH....GH......YODDD.YO Y97 O97 
2 2 0	FFFTTT.....OAA.H.O..GH....G.Y.DDD.Y. Y97 G99 
2 2 0	FFFTTT..G..OAAGH.O...H......Y.DDD.Y. Y97 G99 
2 2 0	FFFTTT.....OAAG..O..GH.....HY.DDD.Y. Y97 H99 
2 2 0	FFFTTT.....OAAG..O..G......HY.DDDHY. Y97 H98 
2 2 0	FFFTTT...H.OAAGH.O..G.......Y.DDD.Y. Y97 H99 
2 2 0	FFFTTT.....OAAGH.O..GH......Y..DDDY. Y97 D99 
2 2 0	FFFTTT....Y.AA.HYO..GH.O..G...DDD... O99 G99 
2 2 0	FFFTTT..G.Y.AAGHYO...H.O......DDD... O99 G99 
2 2 0	FFFTTT....Y.AAG.YO..GH.O...H..DDD... O99 H99 
2 2 0	FFFTTT....Y.AAG.YO..G..O...H..DDDH.. O99 H98 
2 2 0	FFFTTT...HY.AAGHYO..G..O......DDD... O99 H99 
2 2 0	FFFTTT....Y.AAGHYO..GH.O.......DDD.. O99 D99 
2 2 0	FFFTTT....Y.AAGHYO..GH.O........DDD. O99 D98 
2 2 0	FFFTTT....Y.AAGHYO..GH.O.........DDD O99 D97 
2 2 0	FFFTTT....Y.AA.HY...GH.O..G..ODDD... O98 G99 
2 2 0	FFFTTT..G.Y.AAGHY....H.O.....ODDD... O98 G99 
2 2 0	FFFTTT....Y.AAG.Y...GH.O...H.ODDD... O98 H99 
2 2 0	FFFTTT....Y.AAG.Y...G..O...H.ODDDH.. O98 H98 
2 2 0	FFFTTT...HY.AAGHY...G..O.....ODDD... O98 H99 
2 2 0	FFFTTT....Y.AAGHY...GH.O.....O.DDD.. O98 D99 
2 2 0	FFFTTT....Y.AAGHY...GH.O.....O..DDD. O98 D98 
2 2 0	FFFTTT....Y.AAGHY...GH.O.....O...DDD O98 D97 
2 2 0	FFFTTT....Y.AA.HY...GH....G..ODDD..O O97 G99 
2 2 0	FFFTTT..G.Y.AAGHY....H.......ODDD..O O97 G99 
2 2 0	FFFTTT....Y.AAG.Y...GH.....H.ODDD..O O97 H99 
2 2 0	FFFTTT....Y.AAG.Y...G......H.ODDDH.O O97 H98 
2 2 0	FFFTTT...HY.AAGHY...G........ODDD..O O97 H99 
2 2 0	FFFTTT....Y.AAGHY...GH.......O.DDD.O O97 D99 
2 2 0	FFFTTT....Y.AAGHY...GH.......O..DDDO O97 D98 
2 2 0	FFFTTT....YO.AAHYO..GH....G...DDD... A99 G99 
2 2 0	FFFTTT....YOAA..YO..GH....GH..DDD... G99 H99 
2 2 0	FFFTTT....YOAA..YO..G.....GH..DDDH.. G99 H98 
2 2 0	FFFTTT...HYOAA.HYO..G.....G...DDD... G99 H99 
2 2 0	FFFTTT....YOAA.HYO..GH....G....DDD.. G99 D99 
2 2 0	FFFTTT....YOAA.HYO..GH....G.....DDD. G99 D98 
2 2 0	FFFTTT....YOAA.HYO..GH....G......DDD G99 D97 
2 2 0	FFFTTT..G.YOAAG.YO...H.....H..DDD... G99 H99 
2 2 0	FFFTTT..G.YOAAG.YO.........H..DDDH.. G99 H98 
2 2 0	FFFTTT..GHYOAAGHYO............DDD... G99 H99 
2 2 0	FFFTTT..G.YOAAGHYO...H.........DDD.. G99 D99 
2 2 0	FFFTTT..G.YOAAGHYO...H..........DDD. G99 D98 
2 2 0	FFFTTT..G.YOAAGHYO...H...........DDD G99 D97 
2 2 0	FFFTTT....YOAAG.YO..GH.....H...DDD.. H99 D99 
2 2 0	FFFTTT....YOAAG.YO..GH.....H....DDD. H99 D98 
2 2 0	FFFTTT....YOAAG.YO..GH.....H.....DDD H99 D97 
2 2 0	FFFTTT...HYOAAGHYO..G..........DDD.. H99 D99 
2 2 0	FFFTTT...HYOAAGHYO..G...........DDD. H99 D98 
2 2 0	FFFTTT...HYOAAGHYO..G............DDD H99 D97 
2 2 0	FFFTTT....YOAA.HYO...H....G.....GDDD G98 D97 
3 3 0	FFFTTT......AA.HYO..GHYO..G...DDD... Y99 O99 G99 
3 3 0	FFFTTT..G...AAGHYO...HYO......DDD... Y99 O99 G99 
3 3 0	FFFTTT......AAG.YO..GHYO...H..DDD... Y99 O99 H99 
3 3 0	FFFTTT......AAG.YO..G.YO...H..DDDH.. Y99 O99 H98 
3 3 0	FFFTTT...H..AAGHYO..G.YO......DDD... Y99 O99 H99 
3 3 0	FFFTTT......AAGHYO..GHYO.......DDD.. Y99 O99 D99 
3 3 0	FFFTTT......AAGHYO..GHYO........DDD. Y99 O99 D98 
3 3 0	FFFTTT......AAGHYO..GHYO.........DDD Y99 O99 D97 
3 3 0	FFFTTT......AA.HY...GHYO..G..ODDD... Y99 O98 G99 
3 3 0	FFFTTT..G...AAGHY....HYO.....ODDD... Y99 O98 G99 
