0 0 0	...O..LLKOYPAAKOYPDDD.BB.RRRGG..JJJ. 
1 1 0	......LLKOYPAAKOYPDDDOBB.RRRGG..JJJ. O99 
1 1 0	..KO..LLKOYPAA.OYPDDD.BB.RRRGG..JJJ. K99 
1 1 0	...OY.LLKOYPAAKO.PDDD.BB.RRRGG..JJJ. Y99 
1 1 0	...O.PLLKOYPAAKOY.DDD.BB.RRRGG..JJJ. P99 
1 1 0	...O..LLKOYPAAKOYP.DDDBB.RRRGG..JJJ. D99 
1 1 0	...O..LLKOYPAAKOYPDDDBB..RRRGG..JJJ. B99 
1 1 0	...O..LLKOYPAAKOYPDDD.BBRRR.GG..JJJ. R99 
1 1 0	...O..LLKOYPAAKOYPDDD.BB.RRRGG.JJJ.. J99 
1 1 0	...O..LLKOYPAAKOYPDDD.BB.RRRGGJJJ... J98 
1 1 0	...O..LLKOYPAAKOYPDDD.BB.RRRGG...JJJ J99 
2 2 0	..K...LLKOYPAA.OYPDDDOBB.RRRGG..JJJ. O99 K99 
2 2 0	....Y.LLKOYPAAKO.PDDDOBB.RRRGG..JJJ. O99 Y99 
2 2 0	.....PLLKOYPAAKOY.DDDOBB.RRRGG..JJJ. O99 P99 
2 2 0	......LLKOYPAAKOYPDDDOBBRRR.GG..JJJ. O99 R99 
2 2 0	......LLKOYPAAKOYPDDDOBB.RRRGG.JJJ.. O99 J99 
2 2 0	......LLKOYPAAKOYPDDDOBB.RRRGGJJJ... O99 J98 
2 2 0	......LLKOYPAAKOYPDDDOBB.RRRGG...JJJ O99 J99 
2 2 0	..KOY.LLKOYPAA.O.PDDD.BB.RRRGG..JJJ. K99 Y99 
2 2 0	..KO.PLLKOYPAA.OY.DDD.BB.RRRGG..JJJ. K99 P99 
2 2 0	..KO..LLKOYP.AAOYPDDD.BB.RRRGG..JJJ. K99 A99 
2 2 0	..KO..LLKOYPAA.OYP.DDDBB.RRRGG..JJJ. K99 D99 
2 2 0	..KO..LLKOYPAA.OYPDDDBB..RRRGG..JJJ. K99 B99 
2 2 0	..KO..LLKOYPAA.OYPDDD.BBRRR.GG..JJJ. K99 R99 
2 2 0	..KO..LLKOYPAA.OYPDDD.BB.RRRGG.JJJ.. K99 J99 
2 2 0	..KO..LLKOYPAA.OYPDDD.BB.RRRGGJJJ... K99 J98 
2 2 0	..KO..LLKOYPAA.OYPDDD.BB.RRRGG...JJJ K99 J99 
2 2 0	...OYPLLKOYPAAKO..DDD.BB.RRRGG..JJJ. Y99 P99 
2 2 0	...OY.LLKOYPAAKO.P.DDDBB.RRRGG..JJJ. Y99 D99 
2 2 0	...OY.LLKOYPAAKO.PDDDBB..RRRGG..JJJ. Y99 B99 
2 2 0	...OY.LLKOYPAAKO.PDDD.BBRRR.GG..JJJ. Y99 R99 
2 2 0	...OY.LLKOYPAAKO.PDDD.BB.RRRGG.JJJ.. Y99 J99 
2 2 0	...OY.LLKOYPAAKO.PDDD.BB.RRRGGJJJ... Y99 J98 
2 2 0	...OY.LLKOYPAAKO.PDDD.BB.RRRGG...JJJ Y99 J99 
2 2 0	...O.PLLKOYPAAKOY..DDDBB.RRRGG..JJJ. P99 D99 
2 2 0	...O.PLLKOYPAAKOY.DDDBB..RRRGG..JJJ. P99 B99 
2 2 0	...O.PLLKOYPAAKOY.DDD.BBRRR.GG..JJJ. P99 R99 
2 2 0	...O.PLLKOYPAAKOY.DDD.BB.RRRGG.JJJ.. P99 J99 
2 2 0	...O.PLLKOYPAAKOY.DDD.BB.RRRGGJJJ... P99 J98 
2 2 0	...O.PLLKOYPAAKOY.DDD.BB.RRRGG...JJJ P99 J99 
2 2 0	...O..LLKOYPAAKOYP.DDDBBRRR.GG..JJJ. D99 R99 
2 2 0	...O..LLKOYPAAKOYP.DDDBB.RRRGG.JJJ.. D99 J99 
2 2 0	...O..LLKOYPAAKOYP.DDDBB.RRRGGJJJ... D99 J98 
2 2 0	...O..LLKOYPAAKOYP.DDDBB.RRRGG...JJJ D99 J99 
2 2 0	...O..LLKOY.AAKOYPDDDBBP.RRRGG..JJJ. P99 B99 
2 2 0	...O..LLKOYPAAKOYPDDDBB.RRR.GG..JJJ. B99 R99 
2 2 0	...O..LLKOYPAAKOYPDDDBB..RRRGG.JJJ.. B99 J99 
2 2 0	...O..LLKOYPAAKOYPDDDBB..RRRGGJJJ... B99 J98 
2 2 0	...O..LLKOYPAAKOYPDDDBB..RRRGG...JJJ B99 J99 
2 2 0	......LLK.YPAAKOYPDDDOBBRRROGG..JJJ. O98 R99 
2 2 0	...O..LLKOYPAAKOYPDDD.BBRRRGG...JJJ. R99 G99 
2 2 0	...O..LLKOYPAAKOYPDDD.BBRRR.GG.JJJ.. R99 J99 
2 2 0	...O..LLKOYPAAKOYPDDD.BBRRR.GGJJJ... R99 J98 
2 2 0	...O..LLKOYPAAKOYPDDD.BBRRR.GG...JJJ R99 J99 
3 3 0	..K.Y.LLKOYPAA.O.PDDDOBB.RRRGG..JJJ. O99 K99 Y99 
3 3 0	..K..PLLKOYPAA.OY.DDDOBB.RRRGG..JJJ. O99 K99 P99 
3 3 0	..K...LLKOYP.AAOYPDDDOBB.RRRGG..JJJ. O99 K99 A99 
3 3 0	..K...LLKOYPAA.OYPDDDOBBRRR.GG..JJJ. O99 K99 R99 
