0 0 0	..B.....B...AAB.......C..DEEC..D..C. 
1 1 0	........B...AAB.....B.C..DEEC..D..C. B99 
1 1 0	..B.....B...AAB.C.....C..DEEC..D.... C99 
1 1 0	..B.....B.C.AAB.C.....C..DEE...D.... C98 
1 1 0	..B.C...B.C.AAB.C........DEE...D.... C97 
1 1 0	..B.....B...AAB....D..C..DEEC.....C. D99 
2 2 0	........B...AAB.C...B.C..DEEC..D.... B99 C99 
2 2 0	........B.C.AAB.C...B.C..DEE...D.... B99 C98 
2 2 0	....C...B.C.AAB.C...B....DEE...D.... B99 C97 
2 2 0	........B...AAB....DB.C..DEEC.....C. B99 D99 
2 2 0	..B.....B...AAB.C..D..C..DEEC....... C99 D99 
2 2 0	..B.....B.C.AAB.C..D..C..DEE........ C98 D99 
2 2 0	..B.....B.C.AAB.C.....C..D.EE..D.... C98 E99 
2 2 0	..B.....B.C.AAB.C.....C..D..EE.D.... C98 E98 
2 2 0	..B.C...B.C.AAB.C..D.....DEE........ C97 D99 
2 2 0	..B.C...B.C.AAB.C........D.EE..D.... C97 E99 
2 2 0	..B.C...B.C.AAB.C........D..EE.D.... C97 E98 
3 3 0	........B...AAB.C..DB.C..DEEC....... B99 C99 D99 
3 3 0	........B.C.AAB.C..DB.C..DEE........ B99 C98 D99 
3 3 0	........B.C.AAB.C...B.C..D.EE..D.... B99 C98 E99 
3 3 0	........B.C.AAB.C...B.C..D..EE.D.... B99 C98 E98 
3 3 0	....C...B.C.AAB.C..DB....DEE........ B99 C97 D99 
3 3 0	....C...B.C.AAB.C...B....D.EE..D.... B99 C97 E99 
3 3 0	....C...B.C.AAB.C...B....D..EE.D.... B99 C97 E98 
3 3 0	..B.....B.C.AAB.C..D..C..D.EE....... C98 D99 E99 
3 3 0	..B.....B.C.AAB.C..D..C..D..EE...... C98 D99 E98 
3 3 0	..........C.AAB.C...B.C..DBEE..D.... B98 C98 E99 
3 3 0	..........C.AA..C...B.C..DBEE..DB... B97 C98 E99 
3 3 0	..........C.AAB.C...B.C..DB.EE.D.... B98 C98 E98 
3 3 0	..........C.AA..C...B.C..DB.EE.DB... B97 C98 E98 
3 3 0	..B.C...B.C.AAB.C..D.....D.EE....... C97 D99 E99 
3 3 0	..B.C...B.C.AAB.C..D.....D..EE...... C97 D99 E98 
3 3 0	....C.....C.AAB.C...B....DBEE..D.... B98 C97 E99 
3 3 0	....C.....C.AA..C...B....DBEE..DB... B97 C97 E99 
3 3 0	....C.....C.AAB.C...B....DB.EE.D.... B98 C97 E98 
3 3 0	....C.....C.AA..C...B....DB.EE.DB... B97 C97 E98 
4 4 0	........B.C.AAB.C..DB.C..D.EE....... B99 C98 D99 E99 
4 4 0	........B.C.AAB.C..DB.C..D..EE...... B99 C98 D99 E98 
