0 0 0	..DII...DCLLAABC.OJ.B.POJFFFPOJ..... 
1 1 0	..D.II..DCLLAABC.OJ.B.POJFFFPOJ..... I99 
1 1 0	..DII...D.LLAABC.OJ.BCPOJFFFPOJ..... C99 
1 1 0	..DII...DCLLAABC..J.B.POJFFFPOJ....O O99 
1 1 0	..DII...DCLLAABC.OJ.B..OJFFFPOJ...P. P99 
1 1 0	..DII...DCLLAABCPOJ.B.POJFFF.OJ..... P99 
2 2 0	..D.II..D.LLAABC.OJ.BCPOJFFFPOJ..... I99 C99 
2 2 0	..DCII..DCLLAAB..OJ.B.POJFFFPOJ..... I99 C99 
2 2 0	..D.II..DCLLAABC..J.B.POJFFFPOJ....O I99 O99 
2 2 0	..D.II..DCLLAABC.OJ.B..OJFFFPOJ...P. I99 P99 
2 2 0	..D.II..DCLLAABCPOJ.B.POJFFF.OJ..... I99 P99 
2 2 0	..DII...DLL.AABC.OJ.BCPOJFFFPOJ..... C99 L99 
2 2 0	..DII...D.LLAABC..J.BCPOJFFFPOJ....O C99 O99 
2 2 0	..DII...D.LLAABC.OJ.BC.OJFFFPOJ...P. C99 P99 
2 2 0	..DII...D.LLAABCPOJ.BCPOJFFF.OJ..... C99 P99 
2 2 0	..DII...DCLLAABC..J.B..OJFFFPOJ...PO O99 P99 
2 2 0	..DII...DCLLAABCP.J.B.POJFFF.OJ....O O99 P99 
2 2 0	..DII...DCLLAABCPOJ.B.POJ.FFFOJ..... P99 F99 
3 3 0	..D.II..DLL.AABC.OJ.BCPOJFFFPOJ..... I99 C99 L99 
3 3 0	..D.II..D.LLAABC..J.BCPOJFFFPOJ....O I99 C99 O99 
3 3 0	..D.II..D.LLAABC.OJ.BC.OJFFFPOJ...P. I99 C99 P99 
3 3 0	..D.II..D.LLAABCPOJ.BCPOJFFF.OJ..... I99 C99 P99 
3 3 0	..DCII..DCLLAAB...J.B.POJFFFPOJ....O I99 C99 O99 
3 3 0	..DCII..DCLLAAB..OJ.B..OJFFFPOJ...P. I99 C99 P99 
3 3 0	..DCII..DCLLAAB.POJ.B.POJFFF.OJ..... I99 C99 P99 
3 3 0	..D.II..DCLLAABC..J.B..OJFFFPOJ...PO I99 O99 P99 
3 3 0	..D.II..DCLLAABCP.J.B.POJFFF.OJ....O I99 O99 P99 
3 3 0	..D.II..DCLLAABCPOJ.B.POJ.FFFOJ..... I99 P99 F99 
3 3 0	..DII...DLL.AABC..J.BCPOJFFFPOJ....O C99 L99 O99 
3 3 0	..DII...DLLOAABC.OJ.BCPOJFFFP.J..... C99 L99 O99 
3 3 0	..DIIO..DLLOAABC.OJ.BCP.JFFFP.J..... C99 L99 O98 
3 3 0	..DII...DLL.AABC.OJ.BC.OJFFFPOJ...P. C99 L99 P99 
3 3 0	..DII...DLL.AABCPOJ.BCPOJFFF.OJ..... C99 L99 P99 
3 3 0	..DII...D.LLAABC..J.BC.OJFFFPOJ...PO C99 O99 P99 
3 3 0	..DII...D.LLAABCP.J.BCPOJFFF.OJ....O C99 O99 P99 
3 3 0	..DII...D.LLAABCPOJ.BCPOJ.FFFOJ..... C99 P99 F99 
3 3 0	..DII...DCLLAABCP.J.B.POJ.FFFOJ....O O99 P99 F99 
4 4 0	..D.II..DLL.AABC..J.BCPOJFFFPOJ....O I99 C99 L99 O99 
4 4 0	..D.II..DLLOAABC.OJ.BCPOJFFFP.J..... I99 C99 L99 O99 
4 4 0	..D.II..DLL.AABC.OJ.BC.OJFFFPOJ...P. I99 C99 L99 P99 
4 4 0	..D.II..DLL.AABCPOJ.BCPOJFFF.OJ..... I99 C99 L99 P99 
4 4 0	..D.II..D.LLAABC..J.BC.OJFFFPOJ...PO I99 C99 O99 P99 
4 4 0	..D.II..D.LLAABCP.J.BCPOJFFF.OJ....O I99 C99 O99 P99 
4 4 0	..D.II..D.LLAABCPOJ.BCPOJ.FFFOJ..... I99 C99 P99 F99 
4 4 0	..DCII..DCLLAAB...J.B..OJFFFPOJ...PO I99 C99 O99 P99 
4 4 0	..DCII..DCLLAAB.P.J.B.POJFFF.OJ....O I99 C99 O99 P99 
4 4 0	..DCII..DCLLAAB.POJ.B.POJ.FFFOJ..... I99 C99 P99 F99 
4 4 0	..D.II..DCLLAABCP.J.B.POJ.FFFOJ....O I99 O99 P99 F99 
4 4 0	..DII...DLL.AABC..J.BC.OJFFFPOJ...PO C99 L99 O99 P99 
4 4 0	..DII...DLL.AABCP.J.BCPOJFFF.OJ....O C99 L99 O99 P99 
4 4 0	..DII...DLLOAABC.OJ.BC.OJFFFP.J...P. C99 L99 O99 P99 
4 4 0	..DII...DLLOAABCPOJ.BCPOJFFF..J..... C99 L99 O99 P99 
4 4 0	..DIIO..DLLOAABC.OJ.BC..JFFFP.J...P. C99 L99 O98 P99 
4 4 0	..DIIO..DLLOAABCPOJ.BCP.JFFF..J..... C99 L99 O98 P99 
4 4 0	..DII...DLL.AABCPOJ.BCPOJ.FFFOJ..... C99 L99 P99 F99 
4 4 0	..DII...D.LLAABCP.J.BCPOJ.FFFOJ....O C99 O99 P99 F99 
5 5 0	..D.II..DLL.AABC..J.BC.OJFFFPOJ...PO I99 C99 L99 O99 P99 
5 5 0	..D.II..DLL.AABCP.J.BCPOJFFF.OJ....O I99 C99 L99 O99 P99 
5 5 0	..D.II..DLLOAABC.OJ.BC.OJFFFP.J...P. I99 C99 L99 O99 P99 
5 5 0	..D.II..DLLOAABCPOJ.BCPOJFFF..J..... I99 C99 L99 O99 P99 
