0 0 0	.C....BC.PTUBAAPTUYYYOTU...O.....KK. 
1 1 0	BC....BC.PTU.AAPTUYYYOTU...O.....KK. B99 
1 1 0	.C.P..BC.PTUBAA.TUYYYOTU...O.....KK. P99 
1 1 0	.C....BC.P.UBAAPTUYYYOTU...OT....KK. T99 
1 1 0	.C..T.BC.PTUBAAPTUYYYO.U...O.....KK. T99 
1 1 0	.C....BC.PT.BAAPTUYYYOTU...O.U...KK. U99 
1 1 0	.C....BC.PT.BAAPT.YYYOTU...O.U...KKU U98 
1 1 0	.C...UBC.PTUBAAPTUYYYOT....O.....KK. U99 
1 1 0	.C....BC.PTUBAAPTUYYYOTU...O....KK.. K99 
1 1 0	.C....BC.PTUBAAPTUYYYOTU...O...KK... K98 
1 1 0	.C....BC.PTUBAAPTUYYYOTU...O..KK.... K97 
1 1 0	.C....BC.PTUBAAPTUYYYOTU...O......KK K99 
2 2 0	BC.P..BC.PTU.AA.TUYYYOTU...O.....KK. B99 P99 
2 2 0	BC....BC.P.U.AAPTUYYYOTU...OT....KK. B99 T99 
2 2 0	BC..T.BC.PTU.AAPTUYYYO.U...O.....KK. B99 T99 
2 2 0	BC....BC.PT..AAPTUYYYOTU...O.U...KK. B99 U99 
2 2 0	BC....BC.PT..AAPT.YYYOTU...O.U...KKU B99 U98 
2 2 0	BC...UBC.PTU.AAPTUYYYOT....O.....KK. B99 U99 
2 2 0	BC....BC.PTUAA.PTUYYYOTU...O.....KK. B99 A99 
2 2 0	BC....BC.PTU.AAPTUYYYOTU...O....KK.. B99 K99 
2 2 0	BC....BC.PTU.AAPTUYYYOTU...O...KK... B99 K98 
2 2 0	BC....BC.PTU.AAPTUYYYOTU...O..KK.... B99 K97 
2 2 0	BC....BC.PTU.AAPTUYYYOTU...O......KK B99 K99 
2 2 0	.C.P..BC.P.UBAA.TUYYYOTU...OT....KK. P99 T99 
2 2 0	.C.PT.BC.PTUBAA.TUYYYO.U...O.....KK. P99 T99 
2 2 0	.C.P..BC.PT.BAA.TUYYYOTU...O.U...KK. P99 U99 
