0 0 0	FFFEEDU..RODUAAROJ..BBBJ...III...... 
1 1 0	FFFEED...RODUAAROJU.BBBJ...III...... U99 
1 1 0	FFFEED...ROD.AAROJU.BBBJU..III...... U98 
1 1 0	FFFEED...ROD.AAROJ..BBBJU..IIIU..... U97 
1 1 0	FFFEEDU..RODUAAROJ.BBB.J...III...... B99 
1 1 0	FFFEEDU..RODUAAROJBBB..J...III...... B98 
1 1 0	FFFEEDU..RODUAAROJ..BBBJ..III....... I99 
1 1 0	FFFEEDU..RODUAAROJ..BBBJ.III........ I98 
1 1 0	FFFEEDU..RODUAAROJ..BBBJIII......... I97 
2 2 0	FFFEED...RODUAAROJUBBB.J...III...... U99 B99 
2 2 0	FFFEED...RODUAAROJU.BBBJ..III....... U99 I99 
2 2 0	FFFEED...RODUAAROJU.BBBJ.III........ U99 I98 
2 2 0	FFFEED...RODUAAROJU.BBBJIII......... U99 I97 
2 2 0	FFFEED...RODAA.ROJU.BBBJU..III...... U98 A99 
2 2 0	FFFEED...ROD.AAROJUBBB.JU..III...... U98 B99 
2 2 0	FFFEED...ROD.AAROJU.BBBJU.III....... U98 I99 
2 2 0	FFFEED...ROD.AAROJU.BBBJUIII........ U98 I98 
2 2 0	FFFEED...RODAA.ROJ..BBBJU..IIIU..... U97 A99 
2 2 0	FFFEED...ROD.AAROJ.BBB.JU..IIIU..... U97 B99 
2 2 0	FFFEED...ROD.AAROJBBB..JU..IIIU..... U97 B98 
2 2 0	FFFEED...ROD.AAROJ..BBBJU.III.U..... U97 I99 
2 2 0	FFFEED...ROD.AAROJ..BBBJUIII..U..... U97 I98 
2 2 0	FFFEEDU..R.DUAAROJ.BBBOJ...III...... O99 B99 
2 2 0	FFFEEDU..RODUAAROJ.BBB.J..III....... B99 I99 
2 2 0	FFFEEDU..RODUAAROJ.BBB.J.III........ B99 I98 
2 2 0	FFFEEDU..RODUAAROJ.BBB.JIII......... B99 I97 
2 2 0	FFFEEDU...ODUAAROJBBBR.J...III...... R99 B98 
2 2 0	FFFEEDU..R.DUAAROJBBB.OJ...III...... O99 B98 
2 2 0	FFFEEDU..RODUAAROJBBB..J..III....... B98 I99 
2 2 0	FFFEEDU..RODUAAROJBBB..J.III........ B98 I98 
2 2 0	FFFEEDU..RODUAAROJBBB..JIII......... B98 I97 
2 2 0	FFFEEDU..RODUAARO...BBBJ..IIIJ...... J99 I99 
2 2 0	FFFEEDU..RODUAARO...BBB...IIIJ.....J J98 I99 
2 2 0	FFFEEDU..RODUAARO...BBBJ.III.J...... J99 I98 
2 2 0	FFFEEDU..RODUAARO...BBB..III.J.....J J98 I98 
2 2 0	FFFEEDU..RODUAARO...BBBJIII..J...... J99 I97 
2 2 0	FFFEEDU..RODUAARO...BBB.III..J.....J J98 I97 
3 3 0	FFFEED...R.DUAAROJUBBBOJ...III...... U99 O99 B99 
3 3 0	FFFEED...RODUAAROJUBBB.J..III....... U99 B99 I99 
3 3 0	FFFEED...RODUAAROJUBBB.J.III........ U99 B99 I98 
3 3 0	FFFEED...RODUAAROJUBBB.JIII......... U99 B99 I97 
3 3 0	FFFEED...RODUAARO.U.BBBJ..IIIJ...... U99 J99 I99 
3 3 0	FFFEED...RODUAARO.U.BBB...IIIJ.....J U99 J98 I99 
3 3 0	FFFEED...RODUAARO.U.BBBJ.III.J...... U99 J99 I98 
3 3 0	FFFEED...RODUAARO.U.BBB..III.J.....J U99 J98 I98 
3 3 0	FFFEED...RODUAARO.U.BBBJIII..J...... U99 J99 I97 
3 3 0	FFFEED...RODUAARO.U.BBB.III..J.....J U99 J98 I97 
3 3 0	FFFEED...RODAA.ROJUBBB.JU..III...... U98 A99 B99 
3 3 0	FFFEED...RODAA.ROJU.BBBJU.III....... U98 A99 I99 
3 3 0	FFFEED...RODAA.ROJU.BBBJUIII........ U98 A99 I98 
3 3 0	FFFEED...R.D.AAROJUBBBOJU..III...... U98 O99 B99 
3 3 0	FFFEED...ROD.AAROJUBBB.JU.III....... U98 B99 I99 
3 3 0	FFFEED...ROD.AAROJUBBB.JUIII........ U98 B99 I98 
3 3 0	FFFEED...ROD.AARO.U.BBBJU.IIIJ...... U98 J99 I99 
3 3 0	FFFEED...ROD.AARO.U.BBB.U.IIIJ.....J U98 J98 I99 
3 3 0	FFFEED...ROD.AARO.U.BBBJUIII.J...... U98 J99 I98 
3 3 0	FFFEED...ROD.AARO.U.BBB.UIII.J.....J U98 J98 I98 
3 3 0	FFFEED...RODAA.ROJ.BBB.JU..IIIU..... U97 A99 B99 
3 3 0	FFFEED...RODAA.ROJBBB..JU..IIIU..... U97 A99 B98 
3 3 0	FFFEED...RODAA.ROJ..BBBJU.III.U..... U97 A99 I99 
3 3 0	FFFEED...RODAA.ROJ..BBBJUIII..U..... U97 A99 I98 
3 3 0	FFFEED...R.D.AAROJ.BBBOJU..IIIU..... U97 O99 B99 
3 3 0	FFFEED...ROD.AAROJ.BBB.JU.III.U..... U97 B99 I99 
3 3 0	FFFEED...ROD.AAROJ.BBB.JUIII..U..... U97 B99 I98 
3 3 0	FFFEED....OD.AAROJBBBR.JU..IIIU..... U97 R99 B98 
3 3 0	FFFEED...R.D.AAROJBBB.OJU..IIIU..... U97 O99 B98 
3 3 0	FFFEED...ROD.AAROJBBB..JU.III.U..... U97 B98 I99 
3 3 0	FFFEED...ROD.AAROJBBB..JUIII..U..... U97 B98 I98 
3 3 0	FFFEED...ROD.AARO...BBBJU.IIIJU..... U97 J99 I99 
3 3 0	FFFEED...ROD.AARO...BBB.U.IIIJU....J U97 J98 I99 
3 3 0	FFFEED...ROD.AARO...BBBJUIII.JU..... U97 J99 I98 
3 3 0	FFFEED...ROD.AARO...BBB.UIII.JU....J U97 J98 I98 
3 3 0	FFFEEDU..R.DUAAROJ.BBBOJ..III....... O99 B99 I99 
3 3 0	FFFEEDU..R.DUAAROJ.BBBOJ.III........ O99 B99 I98 
3 3 0	FFFEEDU..R.DUAAROJ.BBBOJIII......... O99 B99 I97 
3 3 0	FFFEEDU..RODUAARO..BBB.J..IIIJ...... J99 B99 I99 
3 3 0	FFFEEDU..RODUAARO..BBB....IIIJ.....J J98 B99 I99 
3 3 0	FFFEEDU..R.DUAAR.J.BBBOJ.IIIO....... O98 B99 I98 
3 3 0	FFFEEDU..R.DUAAR.J.BBB.J.IIIO.....O. O97 B99 I98 
3 3 0	FFFEEDU..RODUAARO..BBB.J.III.J...... J99 B99 I98 
3 3 0	FFFEEDU..RODUAARO..BBB...III.J.....J J98 B99 I98 
3 3 0	FFFEEDU..R.DUAAR.J.BBBOJIII.O....... O98 B99 I97 
3 3 0	FFFEEDU..R.DUAAR.J.BBB.JIII.O.....O. O97 B99 I97 
3 3 0	FFFEEDU..RODUAARO..BBB.JIII..J...... J99 B99 I97 
3 3 0	FFFEEDU..RODUAARO..BBB..III..J.....J J98 B99 I97 
3 3 0	FFFEEDU....DUAAROJBBBROJ...III...... R99 O99 B98 
3 3 0	FFFEEDU...ODUAAROJBBBR.J..III....... R99 B98 I99 
3 3 0	FFFEEDU...ODUAAROJBBBR.J.III........ R99 B98 I98 
3 3 0	FFFEEDU...ODUAAROJBBBR.JIII......... R99 B98 I97 
3 3 0	FFFEEDU..R.DUAAROJBBB.OJ..III....... O99 B98 I99 
3 3 0	FFFEEDU..R.DUAAROJBBB.OJ.III........ O99 B98 I98 
3 3 0	FFFEEDU..R.DUAAROJBBB.OJIII......... O99 B98 I97 
3 3 0	FFFEEDU..RODUAARO.BBB..J..IIIJ...... J99 B98 I99 
3 3 0	FFFEEDU..RODUAARO.BBB.....IIIJ.....J J98 B98 I99 
3 3 0	FFFEEDU..R.DUAAR.JBBB.OJ.IIIO....... O98 B98 I98 
3 3 0	FFFEEDU..R.DUAAR.JBBB..J.IIIO.....O. O97 B98 I98 
3 3 0	FFFEEDU..RODUAARO.BBB..J.III.J...... J99 B98 I98 
3 3 0	FFFEEDU..RODUAARO.BBB....III.J.....J J98 B98 I98 
3 3 0	FFFEEDU...ODUAA.OJBBBR.JIIIR........ R98 B98 I97 
3 3 0	FFFEEDU...ODUAA.OJBBB..JIIIR.....R.. R97 B98 I97 
3 3 0	FFFEEDU..R.DUAAR.JBBB.OJIII.O....... O98 B98 I97 
3 3 0	FFFEEDU..R.DUAAR.JBBB..JIII.O.....O. O97 B98 I97 
3 3 0	FFFEEDU..RODUAARO.BBB..JIII..J...... J99 B98 I97 
3 3 0	FFFEEDU..RODUAARO.BBB...III..J.....J J98 B98 I97 
3 3 0	FFFEE.U..RODUAAROD..BBBJ..IIIJ...... D99 J99 I99 
3 3 0	FFFEE.U..RODUAAROD..BBB...IIIJ.....J D99 J98 I99 
3 3 0	FFFEE.U..RO.UAAROD..BBBD..IIIJ.....J D98 J98 I99 
3 3 0	FFFEEDU..RODUAARO....BBB..IIIJ.....J J98 B99 I99 
3 3 0	FFFEE.U..RODUAAROD..BBBJ.III.J...... D99 J99 I98 
3 3 0	FFFEE.U..RODUAAROD..BBB..III.J.....J D99 J98 I98 
3 3 0	FFFEE.U..RO.UAAROD..BBBD.III.J.....J D98 J98 I98 
3 3 0	FFFEEDU..RODUAARO....BBB.III.J.....J J98 B99 I98 
3 3 0	FFFEE.U..RODUAAROD..BBBJIII..J...... D99 J99 I97 
3 3 0	FFFEE.U..RODUAAROD..BBB.III..J.....J D99 J98 I97 
3 3 0	FFFEE.U..RO.UAAROD..BBBDIII..J.....J D98 J98 I97 
