0 0 0	.B....SB.CDESAACDEHHHGDE..VG....VWW. 
1 1 0	SB....SB.CDE.AACDEHHHGDE..VG....VWW. S99 
1 1 0	.B.C..SB.CDESAA.DEHHHGDE..VG....VWW. C99 
1 1 0	.B....SB.C.ESAACDEHHHGDE..VGD...VWW. D99 
1 1 0	.B..D.SB.CDESAACDEHHHG.E..VG....VWW. D99 
1 1 0	.B....SB.CD.SAACDEHHHGDE..VG.E..VWW. E99 
1 1 0	.B....SB.CD.SAACD.HHHGDE..VG.E..VWWE E98 
1 1 0	.B...ESB.CDESAACDEHHHGD...VG....VWW. E99 
1 1 0	.B....SB.CDESAACDEHHHGDE..VG....V.WW W99 
2 2 0	SB.C..SB.CDE.AA.DEHHHGDE..VG....VWW. S99 C99 
2 2 0	SB....SB.C.E.AACDEHHHGDE..VGD...VWW. S99 D99 
2 2 0	SB..D.SB.CDE.AACDEHHHG.E..VG....VWW. S99 D99 
2 2 0	SB....SB.CD..AACDEHHHGDE..VG.E..VWW. S99 E99 
2 2 0	SB....SB.CD..AACD.HHHGDE..VG.E..VWWE S99 E98 
2 2 0	SB...ESB.CDE.AACDEHHHGD...VG....VWW. S99 E99 
2 2 0	SB....SB.CDEAA.CDEHHHGDE..VG....VWW. S99 A99 
2 2 0	SB....SB.CDE.AACDEHHHGDE..VG....V.WW S99 W99 
2 2 0	.B.C..SB.C.ESAA.DEHHHGDE..VGD...VWW. C99 D99 
2 2 0	.B.CD.SB.CDESAA.DEHHHG.E..VG....VWW. C99 D99 
2 2 0	.B.C..SB.CD.SAA.DEHHHGDE..VG.E..VWW. C99 E99 
2 2 0	.B.C..SB.CD.SAA.D.HHHGDE..VG.E..VWWE C99 E98 
2 2 0	.B.C.ESB.CDESAA.DEHHHGD...VG....VWW. C99 E99 
2 2 0	.B.C..SB.CDES.AADEHHHGDE..VG....VWW. C99 A99 
2 2 0	.B.C..SB.CDESAAGDEHHHGDE..V.....VWW. C99 G99 
2 2 0	.B.C..SB.CDESAA.DEHHHGDE..VG....V.WW C99 W99 
2 2 0	.B....SB.C..SAACDEHHHGDE..VGDE..VWW. D99 E99 
2 2 0	.B....SB.C..SAACD.HHHGDE..VGDE..VWWE D99 E98 
2 2 0	.B...ESB.C.ESAACDEHHHGD...VGD...VWW. D99 E99 
2 2 0	.B....SB.C.ESAACDEHHHGDE..VGD...V.WW D99 W99 
2 2 0	.B..D.SB.CD.SAACDEHHHG.E..VG.E..VWW. D99 E99 
2 2 0	.B..D.SB.CD.SAACD.HHHG.E..VG.E..VWWE D99 E98 
2 2 0	.B..DESB.CDESAACDEHHHG....VG....VWW. D99 E99 
2 2 0	.B..D.SB.CDESAACDEHHHG.E..VG....V.WW D99 W99 
2 2 0	.B....SB.CD.SAACDEHHHGDE..VG.E..V.WW E99 W99 
2 2 0	.B...ESB.CDESAACDEHHHGD...VG....V.WW E99 W99 
2 2 0	.B....SB.CDESAACDEHHH.DE..VG....VGWW G99 W99 
3 3 0	SB.C..SB.C.E.AA.DEHHHGDE..VGD...VWW. S99 C99 D99 
3 3 0	SB.CD.SB.CDE.AA.DEHHHG.E..VG....VWW. S99 C99 D99 
3 3 0	SB.C..SB.CD..AA.DEHHHGDE..VG.E..VWW. S99 C99 E99 
3 3 0	SB.C..SB.CD..AA.D.HHHGDE..VG.E..VWWE S99 C99 E98 
3 3 0	SB.C.ESB.CDE.AA.DEHHHGD...VG....VWW. S99 C99 E99 
3 3 0	SB.C..SB.CDEAA..DEHHHGDE..VG....VWW. S99 C99 A99 
3 3 0	SB.C..SB.CDE..AADEHHHGDE..VG....VWW. S99 C99 A99 
3 3 0	SB.C..SB.CDE.AAGDEHHHGDE..V.....VWW. S99 C99 G99 
