0 0 0	CHH..YC....YCFAADE.F..DE..RITTBBRIPP 
1 1 0	.HH..YC....YCFAADECF..DE..RITTBBRIPP C99 
1 1 0	.HH..Y.....YCFAADECF..DEC.RITTBBRIPP C98 
1 1 0	C.HH.YC....YCFAADE.F..DE..RITTBBRIPP H99 
1 1 0	C..HHYC....YCFAADE.F..DE..RITTBBRIPP H98 
1 1 0	CHH..YC....YC.AADE.F..DE.FRITTBBRIPP F99 
1 1 0	CHH..YCF...YCFAADE....DE..RITTBBRIPP F99 
1 1 0	CHH..YC...DYCFAADE.F...E..RITTBBRIPP D99 
1 1 0	CHH.DYC...DYCFAA.E.F...E..RITTBBRIPP D98 
1 1 0	CHH..YC....YCFAADE.FR.DE..RITTBB.IPP R99 
1 1 0	CHH..YC....YCFAADE.F.IDE..RITTBBR.PP I99 
2 2 0	HH...YC....YCFAADECF..DE..RITTBBRIPP H99 C99 
2 2 0	..HH.YC....YCFAADECF..DE..RITTBBRIPP C99 H99 
2 2 0	...HHYC....YCFAADECF..DE..RITTBBRIPP C99 H98 
2 2 0	.HH..YC....YC.AADECF..DE.FRITTBBRIPP C99 F99 
2 2 0	.HH..YCF...YCFAADEC...DE..RITTBBRIPP C99 F99 
2 2 0	.HH..YC...DYCFAADECF...E..RITTBBRIPP C99 D99 
2 2 0	.HH.DYC...DYCFAA.ECF...E..RITTBBRIPP C99 D98 
2 2 0	.HH..YC....YCFAADECFR.DE..RITTBB.IPP C99 R99 
2 2 0	.HH..YC....YCFAADECF.IDE..RITTBBR.PP C99 I99 
2 2 0	HH...Y.....YCFAADECF..DEC.RITTBBRIPP H99 C98 
2 2 0	..HH.Y.....YCFAADECF..DEC.RITTBBRIPP C98 H99 
2 2 0	...HHY.....YCFAADECF..DEC.RITTBBRIPP C98 H98 
2 2 0	.HH..Y.....YC.AADECF..DECFRITTBBRIPP C98 F99 
2 2 0	.HH..Y.F...YCFAADEC...DEC.RITTBBRIPP C98 F99 
